code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedures,,,,,0
,,Bilateral Services,,,,,0
,,CT services furnished with equipment that don't meet NEMA standard,,,,,0
,,Computed radiography x-ray,,,,,0
,,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (NEMA) XR-29-2013 standard,,,,,0
,,Discontinued Procedure,,,,,0
,,Excepted off-campus service,,,,,0
,,Non-excepted off-campus service,,,,,0
,,X-ray taken using film,,,,,0
,,X-ray was performed using film,,,,,0
,,X-ray was taken using computed radiography technology/cassette-based imaging,,,,,0
CDM,0003012,R&B OBSTETRICS PVT,2574.0,1462.42,2316.6,4176.0,19
CDM,0012013,R&B ICU INTERMEDIATE,5148.0,2924.84,2512.0,4942.08,19
CDM,0012476,R&B ICU INTERMEDIATE,5148.0,2924.84,2512.0,4942.08,19
CDM,0013011,R&B ICU INTERMEDIATE,5148.0,2924.84,2512.0,4942.08,19
CDM,0022012,R&B MEDICAL/SURGICAL SEMI-PVT,2574.0,1462.42,2316.6,4176.0,19
CDM,0022475,R&B MEDICAL/SURGICAL SEMI-PVT,2574.0,1462.42,2316.6,4176.0,19
CDM,0023010,R&B MEDICAL/SURGICAL SEMI-PVT,2574.0,1462.42,2316.6,4176.0,19
CDM,0024075,R&B MEDICAL/SURGICAL SEMI-PVT,2574.0,1462.42,2316.6,4176.0,19
CDM,0032011,R&B ICU,8366.0,4753.14,2512.0,8031.36,19
CDM,0032474,R&B ICU,8366.0,4753.14,2512.0,8031.36,19
CDM,0033019,R&B ICU,8366.0,4753.14,2512.0,8031.36,19
CDM,0042473,R&B OBSTETRICS SEMI-PVT,2574.0,1462.42,2316.6,4176.0,19
CDM,0044073,R&B OBSTETRICS SEMI-PVT,2574.0,1462.42,2316.6,4176.0,19
CDM,0055160,R&B NURSERY LEVEL 1,2574.0,1462.42,2316.6,4176.0,19
CDM,0072017,R&B ADMIN DAY INTERMEDIATE,1088.0,618.15,979.2,4176.0,19
CDM,0082016,R&B ADMIN DAY SKILLED,1780.0,1011.31,1602.0,2817.48,19
