code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedures,,,,,0
,,Bilateral Services,,,,,0
,,CT services furnished with equipment that don't meet NEMA standard,,,,,0
,,Computed radiography x-ray,,,,,0
,,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (NEMA) XR-29-2013 standard,,,,,0
,,Discontinued OP Hospital/ASC Procedure Prior to Administration of Anesthesia,,,,,0
,,Discontinued Procedure,,,,,0
,,Excepted off-campus service,,,,,0
,,Non-excepted off-campus service,,,,,0
,,X-ray taken using film,,,,,0
,,X-ray was performed using film,,,,,0
,,X-ray was taken using computed radiography technology/cassette-based imaging,,,,,0
APR-DRG,0011,APR-DRG 38.00: Liver Transplant And/Or Intestinal Transplant,,,39510.46,39510.46,5
APR-DRG,0012,APR-DRG 38.00: Liver Transplant And/Or Intestinal Transplant,,,39510.46,39510.46,5
APR-DRG,0013,APR-DRG 38.00: Liver Transplant And/Or Intestinal Transplant,,,46785.59,46785.59,5
APR-DRG,0014,APR-DRG 38.00: Liver Transplant And/Or Intestinal Transplant,,,99308.48,99308.48,5
APR-DRG,0021,APR-DRG 38.00: Heart And/Or Lung Transplant,,,52227.15,52227.15,5
APR-DRG,0022,APR-DRG 38.00: Heart And/Or Lung Transplant,,,67546.33,67546.33,5
APR-DRG,0023,APR-DRG 38.00: Heart And/Or Lung Transplant,,,80558.76,80558.76,5
APR-DRG,0024,APR-DRG 38.00: Heart And/Or Lung Transplant,,,153250.91,153250.91,5
APR-DRG,0041,APR-DRG 38.00: Tracheostomy With Mv >96 Hours With Extensive Procedure,,,37203.71,37203.71,5
APR-DRG,0042,APR-DRG 38.00: Tracheostomy With Mv >96 Hours With Extensive Procedure,,,44183.11,44183.11,5
APR-DRG,0043,APR-DRG 38.00: Tracheostomy With Mv >96 Hours With Extensive Procedure,,,63051.13,63051.13,5
APR-DRG,0044,APR-DRG 38.00: Tracheostomy With Mv >96 Hours With Extensive Procedure,,,92210.8,92210.8,5
APR-DRG,0051,APR-DRG 38.00: Tracheostomy With Mv >96 Hours Without Extensive Procedure,,,24605.32,24605.32,5
