code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedures,,,,,0
,,CT services furnished with equipment that don't meet NEMA standard,,,,,0
,,Computed radiography x-ray,,,,,0
,,Discontinued Procedure,,,,,0
,,Excepted off-campus service,,,,,0
,,Non-excepted off-campus service,,,,,0
,,X-ray taken using film,,,,,0
CDM,0000273,R&B OBSTETRICS PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0000612,R&B PEDIATRICS SEMI-PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0002360,R&B PEDIATRICS SEMI-PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0002436,R&B PEDIATRICS SEMI-PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0010272,R&B NURSERY LEVEL 3,8278.0,3476.76,7036.3,8112.44,13
CDM,0011049,R&B ICU INTERMEDIATE,4730.0,1986.6,4020.5,4635.4,13
CDM,0011064,R&B ICU INTERMEDIATE,4730.0,1986.6,4020.5,4635.4,13
CDM,0012369,R&B ICU INTERMEDIATE,4730.0,1986.6,4020.5,4635.4,13
CDM,0012419,R&B ICU INTERMEDIATE,4730.0,1986.6,4020.5,4635.4,13
CDM,0012435,R&B ICU INTERMEDIATE,4730.0,1986.6,4020.5,4635.4,13
CDM,0012450,R&B ICU INTERMEDIATE,4730.0,1986.6,4020.5,4635.4,13
CDM,0013276,R&B ICU INTERMEDIATE,4730.0,1986.6,4020.5,4635.4,13
CDM,0019265,R&B ICU INTERMEDIATE,4730.0,1986.6,4020.5,4635.4,13
CDM,0019406,R&B ICU INTERMEDIATE,4730.0,1986.6,4020.5,4635.4,13
CDM,0021048,R&B MEDICAL/SURGICAL SEMI-PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0021063,R&B MEDICAL/SURGICAL SEMI-PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0022368,R&B MEDICAL/SURGICAL SEMI-PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0022418,R&B MEDICAL/SURGICAL SEMI-PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0022434,R&B MEDICAL/SURGICAL SEMI-PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0030270,R&B NURSERY LEVEL 4,10643.0,4470.06,9046.55,10430.14,13
CDM,0030296,R&B PEDIATRICS PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0030619,R&B PEDIATRICS PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0031047,R&B ICU,7687.0,3228.54,6533.95,7533.26,13
CDM,0031062,R&B ICU,7687.0,3228.54,6533.95,7533.26,13
CDM,0032367,R&B PEDIATRICS PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0032433,R&B ICU,7687.0,3228.54,6533.95,7533.26,13
CDM,0033274,R&B ICU,7687.0,3228.54,6533.95,7533.26,13
CDM,0039263,R&B ICU,7687.0,3228.54,6533.95,7533.26,13
CDM,0040279,R&B NURSERY LEVEL 2 LOWER ACUITY,5913.0,2483.46,5026.05,5794.74,13
CDM,0050278,R&B NURSERY LEVEL 1,2365.0,993.3,2010.25,2317.7,13
CDM,0052365,R&B HOSPICE PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0060277,R&B NURSERY LEVEL 2 HIGHER ACUITY,5913.0,2483.46,5026.05,5794.74,13
CDM,0073270,R&B ICU PEDIATRICS,8278.0,3476.76,7036.3,8112.44,13
CDM,0080275,R&B NURSERY LEVEL 1 BOARDER,2365.0,993.3,2010.25,2317.7,13
CDM,0082453,R&B PEDIATRICS PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0090290,R&B MEDICAL/SURGICAL PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0091041,R&B MEDICAL/SURGICAL PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0091066,R&B MEDICAL/SURGICAL PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0092361,R&B MEDICAL/SURGICAL PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0092411,R&B MEDICAL/SURGICAL PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0092452,R&B MEDICAL/SURGICAL PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0093278,R&B MEDICAL/SURGICAL PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0099267,R&B MEDICAL/SURGICAL PVT,2365.0,993.3,2010.25,2317.7,13
CDM,0099408,R&B MEDICAL/SURGICAL PVT,2365.0,993.3,2010.25,2317.7,13
CDM,2601359,INF IV HYDRATION 31-60MIN,567.0,238.14,153.09,555.66,38
CDM,2601367,INF IV HYDRATION ADDL HR,175.0,73.5,46.14,171.5,38
CDM,2601375,INF IV THRPY 1ST HR,474.0,199.08,127.98,464.52,38
CDM,2601383,INF IV THRPY ADDL HR,173.0,72.66,46.14,169.54,38
