code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CPT,0037U,FoundationOne CDx,8550.0,5557.5,1226.93,8550.0,55
CPT,0042T,CT PERFUSION W/CONTRAST CBF,269.0,174.85,46.54,269.0,129
CPT,0045U,Oncotype DX DCIS,11283.0,7333.95,1226.93,11283.0,55
CPT,0046U,FLT3 MRD blood-Labpmm,4024.0,2615.6,186.6,4024.0,55
CPT,0046U,FLT3 MRD bone marrow-Labpmm,4024.0,2615.6,186.6,4024.0,55
CPT,0075T,Stent vert extracranil 1st IVN,11538.0,7499.7,173.17,11538.0,42
CPT,0076T,Stent vert extracranil adl IVN,11098.0,7213.7,173.17,11098.0,40
CPT,0112U,Microgendx qPCR+NGS-0112U,826.0,536.9,94.11,826.0,55
CPT,0152U,Karius Spectrum,4378.0,2845.7,757.39,4378.0,55
CPT,0172U,Myriad myChoice CDx,9868.0,6414.2,1226.93,9868.0,55
CPT,0200T,PERQ SACRAL AUGMT UNILAT INJ,22968.0,14929.2,173.17,22968.0,55
CPT,0201T,PERQ SACRAL AUGMT BILAT INJ,20253.0,13164.45,173.17,20253.0,55
CPT,0202U,Respiratory Panel including COVID-19 by PCR,1026.0,666.9,177.5,1026.0,126
CPT,0211U,MI Cancer Seek-0211U-Caris,18473.0,12007.45,1226.93,18473.0,55
CPT,0232T,Njx platelet plasma w img,3503.0,2276.95,173.17,3503.0,56
CPT,0234T,Renal artery atherectomy,17968.0,11679.2,173.17,17968.0,55
CPT,0235T,Visceral art atherectom ea ves,17968.0,11679.2,173.17,17968.0,40
CPT,0236T,Abdominal aorta atherectomy,17309.0,11250.85,173.17,17309.0,55
CPT,0237T,Brachcep & brnch aterec ea ves,18174.0,11813.1,173.17,18174.0,55
CPT,0238T,Iliac art atherectomy ea vesl,24551.0,15958.15,173.17,25843.51,55
CPT,0331T,Myocardial sym innervation,5792.0,3764.8,173.17,5792.0,56
CPT,0332T,Myocard sym innerv w spect CT,5792.0,3764.8,173.17,5792.0,56
CPT,0338T,Trnscth renal symp denrvuni,24613.0,15998.45,173.17,24613.0,55
CPT,0339T,Trnscth renal symp denrvbil,24613.0,15998.45,173.17,24613.0,55
CPT,0345T,Mitral v repr via coron sinus,34481.0,22412.65,173.17,34481.0,40
CPT,0359U,IsoPSA,735.0,477.75,6.32,992.25,55
CPT,0388U,Lung Liquid Biopsy-NG,7477.0,4860.05,22.77,7477.0,55
CPT,0408T,Ins/rplc cardiac modul sys,116889.0,75977.85,173.17,116889.0,56
CPT,0409T,Ins/rplc cardc modul pls gn,115797.0,75268.05,173.17,115797.0,56
CPT,0410T,Ins/rplc car modul atr elt,40974.0,26633.1,173.17,40974.0,56
CPT,0411T,Ins/rplc car modul vnt elt,40974.0,26633.1,173.17,40974.0,56
