code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedures,,,,,0
,,Bilateral Services,,,,,0
,,CT services furnished with equipment that don't meet NEMA standard,,,,,0
,,Computed radiography x-ray,,,,,0
,,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (NEMA) XR-29-2013 standard,,,,,0
,,Discontinued OP Hospital/ASC Procedure Prior to Administration of Anesthesia,,,,,0
,,Discontinued OP Procedure After Anesthesia Admin,,,,,0
,,Discontinued Procedure,,,,,0
,,Excepted off-campus service,,,,,0
,,Non-excepted off-campus service,,,,,0
,,State Supplied Vaccine,,,,,0
,,X-ray taken using film,,,,,0
,,X-ray was performed using film,,,,,0
,,X-ray was taken using computed radiography technology/cassette-based imaging,,,,,0
APR-DRG,0011,INPATIENT APRDRG 0011: LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,6299.0,43928.06,5
APR-DRG,0012,INPATIENT APRDRG 0012: LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,6299.0,45641.78,5
APR-DRG,0013,INPATIENT APRDRG 0013: LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,6299.0,59422.32,5
APR-DRG,0014,INPATIENT APRDRG 0014: LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,6299.0,115332.89,5
APR-DRG,0021,INPATIENT APRDRG 0021: HEART AND/OR LUNG TRANSPLANT,,,6299.0,49342.96,5
APR-DRG,0022,INPATIENT APRDRG 0022: HEART AND/OR LUNG TRANSPLANT,,,6299.0,63703.76,5
APR-DRG,0023,INPATIENT APRDRG 0023: HEART AND/OR LUNG TRANSPLANT,,,6299.0,79299.49,5
APR-DRG,0024,INPATIENT APRDRG 0024: HEART AND/OR LUNG TRANSPLANT,,,6299.0,321963.39,5
APR-DRG,0041,INPATIENT APRDRG 0041: TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,6299.0,45979.01,5
