code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-00001000,HC Cdc 2019 Novel Coronavirus (2019-Ncov) Real-Time Rt-Pcr Diagnostic Panel-Mdph,99.0,44.55,32.33,512.54,54
CDM,PX-00002000,HC 2019 Novelcoronavirus Real Time Rt-Pcr Diagnostic Test Panel-Arup,141.0,63.45,45.81,512.54,54
CDM,PX-00008001,HC Admin Influenza Virus Vac,79.0,35.55,23.59,512.54,74
CDM,PX-00008101,HC Admin Influenza Virus Vac,75.0,33.75,11.4,512.54,56
CDM,PX-00009001,HC Admin Pneumococcal Vaccine,79.0,35.55,23.59,512.54,74
CDM,PX-00009101,HC Admin Pneumococcal Vaccine,75.0,33.75,11.4,512.54,56
CDM,PX-00010001,HC Admin Hepatitis B Vaccine,79.0,35.55,23.59,512.54,74
CDM,PX-00010101,HC Admin Hepatitis B Vaccine,75.0,33.75,11.4,512.54,56
CDM,PX-00076001,HC Prolotherapy,180.0,81.0,64.8,512.54,34
CDM,PX-00091001,HC Obtaining Screen Pap Smear,108.0,48.6,23.55,512.54,71
CDM,PX-00101001,HC Ca Screen;Pelvic/Breast Exam,231.0,103.95,12.42,512.54,66
CDM,PX-00103000,HC Psa Screening,108.0,48.6,17.03,512.54,89
CDM,PX-00105001,HC Colorectal Scrn; Hi Risk Ind,2198.0,989.1,431.24,2654.09,76
CDM,PX-00108001,HC Diab Manage Trn per Indiv,494.0,222.3,49.94,512.54,74
CDM,PX-00109001,Diab Manage Trn Ind/Group,311.0,139.95,17.34,512.54,74
CDM,PX-00111001,HC Wet Mounts W/Preparations,39.0,17.55,7.5,512.54,57
CDM,PX-00112001,HC Potassium Hydroxide Preps,36.0,16.2,5.14,512.54,89
CDM,PX-00114000,HC Fern Test,55.0,24.75,8.59,512.54,89
CDM,PX-00120000,HC Orofacial Pain Est,22.0,9.9,7.92,512.54,37
CDM,PX-00120001,HC Periodic Eval,96.0,43.2,34.56,512.54,74
CDM,PX-00127001,HC Trim Nail(S),167.0,75.15,55.9,695.29,76
CDM,PX-00138001,HC IV Cipaglucosidase Alfa-Atga,746.0,335.7,268.56,1817.16,57
CDM,PX-00140001,HC Limited Eval,96.0,43.2,34.56,512.54,74
CDM,PX-00145001,HC Oral Eval<3yrs-Coun Careg,96.0,43.2,34.56,512.54,39
CDM,PX-00150001,"HC Denture,Initial Vst",334.0,150.3,133.6,3834.61,71
CDM,PX-00160001,"HC Detailed, by Report",96.0,43.2,34.56,512.54,74
CDM,PX-00170001,HC Re-Eval - Limited/Focused,96.0,43.2,34.56,512.54,74
CDM,PX-00175001,"HC Opps Service,Sched Team Conf",1110.0,499.5,216.19,1190.86,52
CDM,PX-00201001,"Admin Pcv, Flu, Hep B, &/or Covid 19 Vacc Home Admin",99.0,44.55,35.64,512.54,57
CDM,PX-00210001,HC Intraoral-Complete Series,96.0,43.2,34.56,680.97,74
CDM,PX-00220001,HC Periapical - First,166.0,74.7,16.19,512.54,74
CDM,PX-00224001,HC Pemivibart Infusion,646.0,290.7,232.56,1258.46,57
CDM,PX-00230001,HC Pericapical Add Film,112.0,50.4,40.32,512.54,26
CDM,PX-00239001,"HC Ther,Impr-Group",99.0,44.55,35.64,512.54,74
CDM,PX-0023U001,HC Onc Aml Dna Gntyp Int Tandem Dup Detcj/Nondetcj,1624.0,730.8,223.66,2030.0,57
CDM,PX-0023U002,HC Flt3 Itd and Tkd Mutation,1624.0,730.8,223.66,2030.0,57
CDM,PX-00240001,HC Occlusal - Intraoral,1051.0,472.95,99.34,3834.61,76
CDM,PX-00244001,HC Casirivi and Imdevi 1200 Mg,0.01,0.005,0.01,0.01,3
CDM,PX-00250001,HC Orofacial Pain New,40.0,18.0,14.4,512.54,37
CDM,PX-00251001,HC Extra-Oral Posterior Dental Radiographic Image,101.0,45.45,36.36,512.54,45
CDM,PX-00257001,HC Unsched Dialysis Esrd Pt Hosp,1832.0,824.4,431.24,1958.73,74
CDM,PX-00259001,HC Inject for Sacroiliac Joint,646.0,290.7,232.56,695.29,23
CDM,PX-00269000,HC Closure Device Placement,124.0,55.8,44.64,695.29,23
CDM,PX-00270000,Mnt Subs Tx for Change Dx,99.0,44.55,23.92,512.54,74
CDM,PX-00270001,HC Bitewing Single Film,841.0,378.45,98.6,3834.61,74
CDM,PX-00272001,HC Bitewings 2 Films,848.0,381.6,99.34,3834.61,74
CDM,PX-00274001,HC Bitewings 4 Films,854.0,384.3,272.7,3834.61,74
CDM,PX-00277001,"HC Hbot, Full Body Chamber, 30m",1823.0,820.35,155.58,1549.55,74
CDM,PX-00279000,"HC Tomosynthesis, Mammo",82.0,36.9,15.15,512.54,69
CDM,PX-00296001,HC Visit to Determ Ldct Elig,240.0,108.0,86.4,512.54,55
CDM,PX-00330001,HC Panoramic Film,103.0,46.35,37.08,680.97,74
CDM,PX-00350001,HC Oral/Facial Images,112.0,50.4,40.32,512.54,74
CDM,PX-00378001,Hospital observation per hr,99.0,44.55,35.64,2732.65,25
CDM,PX-00379001,Direct Refer Hospital Observ,2381.0,1071.45,431.24,2732.65,67
CDM,PX-00390001,HC Trauma Respons W/Hosp Criti,3474.0,1563.3,431.24,3804.11,52
CDM,PX-00396001,Alcohol/Subs Interv 15-30mn,86.0,38.7,30.96,512.54,52
CDM,PX-00397001,Alcohol/Subs Interv >30 Min,357.0,160.65,128.52,512.54,52
CDM,PX-00399001,HC Home Sleep Test/Type 3 Porta,1114.0,501.3,176.52,946.9,74
CDM,PX-00402001,HC Initial Preventive Exam,224.0,100.8,80.64,512.54,45
CDM,PX-00404001,HC Ekg Tracing for Initial Prev,57.0,25.65,20.52,512.54,69
CDM,PX-00410001,HC Grp Psych Partial Hosp or Intens OP 45-50,104.0,46.8,37.44,512.54,32
CDM,PX-00416000,HC Prostate Biopsy Any Mthd,1048.0,471.6,313.59,1023.0,74
CDM,PX-00416001,HC Viral Culture,65.0,29.25,23.4,512.54,37
CDM,PX-00420001,HC ED Svc CKD Ind per Session,298.0,134.1,119.2,512.54,54
CDM,PX-00421001,HC ED Svc CKD Grp per Session,32.0,14.4,12.8,512.54,49
CDM,PX-00422001,HC Intens Cardiac Rehab W/Exerc,349.0,157.05,125.64,512.54,57
CDM,PX-00423001,HC Intens Cardiac Rehab No Exer,349.0,157.05,125.64,512.54,57
CDM,PX-00431001,HC Diag Tst Detect Mucos Abnorm,65.0,29.25,23.4,512.54,37
CDM,PX-00438001,"HC Ppps, Initial Visit",255.0,114.75,23.47,512.54,55
CDM,PX-00439001,"HC Ppps, Subseq Visit",152.0,68.4,23.47,512.54,72
CDM,PX-00442001,Annual Alcohol Screen 5 to 15 Min,36.0,16.2,12.77,512.54,55
CDM,PX-00443001,Brief Alcohol Misuse Counsel,106.0,47.7,12.77,512.54,55
CDM,PX-00444001,Depression Screen Annual 5 to 15 Min,36.0,16.2,6.14,512.54,74
CDM,PX-00445001,High Inten Beh Couns Std 30m,106.0,47.7,6.14,512.54,55
CDM,PX-00446001,Intens Behave Ther Cardio Dx,36.0,16.2,6.14,512.54,55
CDM,PX-00447001,HC Behavior Counsel Obesity 15m,106.0,47.7,12.77,512.54,74
CDM,PX-00460001,HC Pulp Vitality Test,1616.0,727.2,431.24,3834.61,57
CDM,PX-00465001,HC Autolog Prp Diab Wound Ulcer,5027.0,2262.15,431.24,5888.57,59
CDM,PX-00470001,HC Diagnostic Casts,65.0,29.25,23.4,512.54,39
CDM,PX-00472001,"HC Accession of Tissue, Gross Examination, Preparation and Transmission of Written Report",112.0,50.4,40.32,3125.83,37
CDM,PX-00473001,"HC Accession of Tissue, Gross and Microscopic Exam, Prep and Trans of Rpt.",112.0,50.4,40.32,3125.83,37
CDM,PX-00473002,HC Group Behave Obesity Couns 2-10 30min,143.0,64.35,43.53,512.54,56
CDM,PX-00474001,"HC Accession of Tissue, Gross and Micro Exam, Incl. Assess. of Margins for Disease, Prep., Tx of Rpt",112.0,50.4,40.32,3125.83,37
CDM,PX-00475001,HC Hiv Combination Assay,65.0,29.25,21.67,512.54,57
CDM,PX-00478001,HC Immunohistochemical Stains,65.0,29.25,23.4,512.54,37
CDM,PX-00480000,HC Drug Scr Quant Alcohol,282.0,126.9,52.51,512.54,89
CDM,PX-00480001,"HC Q;Fent and Nfent,U",282.0,126.9,52.51,512.54,89
CDM,PX-00480002,HC Acet Analgesic Nonopioid,282.0,126.9,52.51,512.54,89
CDM,PX-00481000,HC Q;Pain Manag Opiates Qtur,385.0,173.25,80.79,512.54,89
CDM,PX-00481001,HC Electron Microscopy Diagnost,65.0,29.25,23.4,512.54,37
CDM,PX-00482001,HC Direct Immunofluorescence,65.0,29.25,23.4,512.54,37
CDM,PX-00483001,HC Indirect Immunofluorescence,65.0,29.25,23.4,512.54,37
CDM,PX-00484001,HC Consult Slides Prep Elsewher,65.0,29.25,23.4,512.54,37
CDM,PX-00485001,HC Consult Inc Prep of Slides,65.0,29.25,23.4,512.54,37
CDM,PX-00502001,"HC Other Oral Pathology Procedures, by Report",65.0,29.25,23.4,512.54,37
CDM,PX-00506001,HC Comp Assess Care Plan Ccm Svc,133.0,59.85,53.2,512.54,20
CDM,PX-00513001,"HC Prolong Prev Svcs, First 30m",178.0,80.1,71.2,512.54,20
CDM,PX-00514001,"HC Prolong Prev Svcs, Addl 30m",178.0,80.1,71.2,512.54,20
CDM,PX-00534001,"HC Anesth,Cardioverter/Defib",585.0,263.25,210.6,512.54,31
CDM,PX-00537001,HC Risk Ascvd Tst Once PR 12 Mo,36.0,16.2,12.96,695.29,74
