code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-25001014,Injection Dopamine Hcl 40 Mg (Newborn Referral),99.0,74.25,78.71,78.71,1
CDM,PX-25001015,Injection Dexamethasone Sod Phos 1mg (Newborn Referral),37.0,27.75,13.51,30.24,18
CDM,PX-25500028,Perflut Lipid Micro Ty a Optison 1m,165.8,124.35,60.52,133.3,6
CDM,PX-25500030,Iopamidol Vl 76% 370mg/Ml 150ml,86.4,64.8,26.78,69.47,14
CDM,PX-25500037,Iodixanol Vl 320mg/Ml 1ml,2.48,1.86,0.77,1.99,14
CDM,PX-25500038,Iodixanol Vl 270mg/Ml 1ml,2.25,1.69,0.7,1.81,8
CDM,PX-25500039,Contrast Low Osmolar 300-399mg 1ml,2.25,1.69,0.7,1.81,14
CDM,PX-25500040,Doxorubicin (Lyoph) IV,1.0,0.75,0.37,0.37,1
CDM,PX-25500041,Iopamidol Vl 76% 370mg/Ml 1ml,0.9,0.67,0.28,0.72,14
CDM,PX-25500042,Contrast Low Osmolar 300-399mg 1ml,0.81,0.61,0.25,0.65,14
CDM,PX-25500044,Iopromide Vl 300mg/Ml Iodine 1ml,0.41,0.31,0.13,0.33,14
CDM,PX-25500045,Iothalamate Meg Vl 17.2% 1ml,0.09,0.07,0.03,0.07,4
CDM,PX-25500050,Omnipaque 350 per 1 Ml,12.22,9.16,3.79,9.82,14
CDM,PX-25500051,Inj Gadoterate Meglumi 0.1ml,0.62,0.46,0.23,0.51,5
CDM,PX-25500052,"Inj Gadobutrol, 0.1ml",0.89,0.67,0.28,0.73,21
CDM,PX-26000001,IV Infus Hydration Initial 31 Min-1 Hour - 96360,826.0,619.5,237.7,675.01,19
CDM,PX-26000002,IV Infus Hydration Ea Additional Hour - 96361,332.0,249.0,52.05,271.31,26
CDM,PX-26000003,IV Infus Non-Chemo Initial Up to 1 Hr - 96365,1018.0,763.5,237.7,831.91,33
CDM,PX-26000004,IV Infus Non-Chemo Same Drug Ea Hr - 96366,409.0,306.75,52.05,334.23,25
CDM,PX-26000005,IV Infus Non-Chemo Ea Add�L Seq Diff Drug Up to 1 Hr - 96367,491.0,368.25,82.82,401.25,14
CDM,PX-26000006,IV Non-Chemo Concurrent Infus - 96368,280.0,210.0,102.2,228.82,6
CDM,PX-26000007,Sc Infus Thpy/Proph/Dx Intl Up to 1,2218.0,1663.5,237.7,250.18,2
CDM,PX-26000010,Therapeutic Prophylactic/Diagnostic Inj Sc/Im - 96372,275.0,206.25,80.29,224.73,30
CDM,PX-26000012,Ivp/ IV < 16 Min Initial Drug - 96374,857.0,642.75,237.7,700.34,28
CDM,PX-26000013,Ivp/ IV <16min Ea Addl Seg Diff Drug - 96375,354.0,265.5,52.05,289.29,27
CDM,PX-26000014,Ivp/ IV <16 Min Ea Add�L Seq Same Drug - 96376,343.0,257.25,106.33,280.3,11
CDM,PX-26000023,Vfc Therapeutic Prophylactic/Diagnostic Inj Sc/Im,23.0,17.25,7.13,105.64,30
CDM,PX-27000005,Pessary Non-Rubber T1,112.0,84.0,40.88,91.53,5
CDM,PX-27000007,Implant Anchor T1,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000008,Implant Anchor T2,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000009,Implant Anchor T3,5389.58,4042.18,1670.77,4404.36,13
CDM,PX-27000010,Implant Bone Void Filler T1,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000011,Implant Bone Void Filler T2,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000012,Implant Bone Void Filler T3,8403.13,6302.35,2604.97,6867.04,13
CDM,PX-27000013,Implant Cable T1,954.21,715.66,295.81,779.78,13
CDM,PX-27000014,Implant Cable T2,3990.48,2992.86,1237.05,3261.02,13
CDM,PX-27000015,Implant Cable T3,5475.6,4106.7,1697.44,4474.66,13
CDM,PX-27000016,Implant Endobutton T1,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000017,Implant Nail / Screw T1,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000018,Implant Nail / Screw T2,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000019,Implant Nail / Screw T3,5676.65,4257.49,1759.76,4638.96,13
CDM,PX-27000020,Implant Pin/Wire/Peg T1,369.95,277.46,114.68,302.32,13
CDM,PX-27000021,Implant Pin/Wire/Peg T2,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000022,Implant Pin/Wire/Peg T3,6090.0,4567.5,1887.9,4976.75,13
CDM,PX-27000023,Implant Plate T1,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000024,Implant Plate T2,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000025,Implant Plate T3,7300.63,5475.47,2263.2,5966.07,13
CDM,PX-27000026,Implant Staple Bone T1,276.5,207.37,85.72,225.96,13
CDM,PX-27000027,Implant Washer / Nut T1,2532.17,1899.13,784.97,2069.29,13
CDM,PX-27000030,Needle Brachytherapy T1,1312.5,984.37,563.06,1072.58,2
CDM,PX-27000031,HC Brachy Nonstranded IR-192 Hdr per Source Tier1,333.0,249.75,121.55,352.66,18
CDM,PX-27000032,Cardioverter-Defibrillator Dual Chamber T3,32716.7,24537.52,12530.5,26736.09,3
CDM,PX-27000033,Cardioverter-Defibrillator Single Chamber T3,27692.98,20769.73,10107.94,22630.7,7
CDM,PX-27000036,HC Catheter Translumin Angioplasty Non-Laser Tier1,639.38,479.53,233.37,522.5,7
CDM,PX-27000037,HC Catheter Translumin Angioplasty Non-Laser Tier2,690.35,517.76,251.98,564.15,7
CDM,PX-27000038,Catheter Balloon Dilatation Non-Vascular T1,729.0,546.75,225.99,595.74,10
CDM,PX-27000039,Catheter Balloon Dilatation Non-Vascular T3,6652.88,4989.66,2062.39,5436.73,10
CDM,PX-27000043,Catheter Brachytherapy Seed Admin T1,6250.0,4687.5,4611.25,5107.5,2
CDM,PX-27000044,Catheter Drainage T1,366.49,274.87,133.77,299.5,6
CDM,PX-27000045,"HC Catheter Ep Diag, 19 or < Electrodes Tier1",1118.99,839.24,408.43,914.44,10
CDM,PX-27000046,"HC Catheter Ep Diag, 20 or > Electrodes Tier1",3508.61,2631.46,1343.8,2867.24,5
CDM,PX-27000047,"HC Catheter Ep Diag, 20 or > Electrodes Tier2",4853.82,3640.36,1859.01,3966.54,5
CDM,PX-27000048,HC Catheter Ep Ablation 3d or Vector Mapping Tier1,1732.5,1299.37,632.36,1415.8,6
CDM,PX-27000049,HC Catheter Ep Ablation 3d or Vector Mapping Tier2,4812.0,3609.0,1756.38,3932.37,6
CDM,PX-27000050,HC Catheter Ep Ablation 3d or Vector Mapping Tier3,5926.73,4445.05,2163.26,4843.32,6
CDM,PX-27000051,HC Catheter Ep Abl Othr Than 3d/Vec/Cool-Tip Tier1,2511.04,1883.28,916.53,2052.02,7
CDM,PX-27000052,HC Catheter Ep Abl Othr Than 3d/Vec/Cool-Tip Tier2,4125.0,3093.75,1505.63,3370.95,7
CDM,PX-27000053,HC Catheter Ep Abl Othr Than 3d/Vec/Cool-Tip Tier3,10600.0,7950.0,3869.0,8662.32,7
CDM,PX-27000054,HC Catheter Hemodialysis Peritoneal Longterm Tier1,1022.18,766.63,534.19,835.33,8
CDM,PX-27000055,HC Catheter Hemodialysis Peritoneal Longterm Tier2,4387.5,3290.62,2292.91,3585.47,8
CDM,PX-27000056,HC Catheter Hemodialysis Peritoneal Longterm Tier3,4759.5,3569.62,2487.31,3889.46,8
CDM,PX-27000057,HC Catheter Inf per/Cent/Midline O/Than Hem Tier1,424.2,318.15,296.09,346.66,5
CDM,PX-27000058,HC Catheter Inf per/Cent/Midline O/Than Hem Tier2,354.29,265.72,247.29,289.53,5
CDM,PX-27000059,HC Catheter Inf per/Cent/Midline O/Than Hem Tier3,6225.0,4668.75,4345.05,5087.07,5
CDM,PX-27000060,HC Catheter Hemodialysis/per Short-Term Tier1,887.6,665.7,275.16,705.64,7
CDM,PX-27000061,Catheter Intravascular Ultrasound T1,2556.89,1917.67,933.26,2089.49,5
CDM,PX-27000062,Catheter Intravascular Ultrasound T3,6000.0,4500.0,2190.0,4903.2,5
CDM,PX-27000068,Catheter Ureteral T1,325.12,243.84,118.67,265.69,9
CDM,PX-27000069,Catheter Intracardiac Echo T1,2926.0,2194.5,1067.99,2391.13,10
CDM,PX-27000070,Catheter Intracardiac Echo T3,6250.0,4687.5,2281.25,5107.5,10
CDM,PX-27000071,Closure Device Vascular T1,784.42,588.31,286.31,641.03,12
CDM,PX-27000072,Closure Device Vascular T3,5750.0,4312.5,2098.75,4698.9,12
CDM,PX-27000073,Tissue Connective Human T1,1601.95,1201.46,853.84,1181.92,3
CDM,PX-27000074,Tissue Connective Human T2,4824.0,3618.0,2571.19,3559.15,3
CDM,PX-27000075,Tissue Connective Human T3,4950.0,3712.5,2638.35,3652.11,3
CDM,PX-27000076,Tissue Connective Non-Human T1,1556.91,1167.68,568.27,1148.69,3
CDM,PX-27000077,Tissue Connective Non-Human T2,4521.72,3391.29,1650.43,3336.13,3
CDM,PX-27000078,Tissue Connective Non-Human T3,8039.33,6029.5,2934.36,5931.42,3
CDM,PX-27000079,Recorder Event Cardiac T3,8913.45,6685.09,3253.41,7284.07,9
CDM,PX-27000080,Adhesion Barrier T1,882.0,661.5,573.3,573.3,1
CDM,PX-27000081,HC Intro/Sheath Intrcard Ep Strble Non Peel Tier1,3169.57,2377.18,1156.89,2590.17,9
CDM,PX-27000082,HC Gen Neurostimulator Non-Rechargeable Tier3,29100.7,21825.52,10621.76,21470.5,3
CDM,PX-27000084,Guide/Glide Wire T1,490.63,367.97,152.1,400.94,16
CDM,PX-27000085,Guide/Glide Wire T2,177.86,133.39,55.14,145.35,16
CDM,PX-27000087,Device Urinary Repair W/Sling Graft T1,3304.25,2478.19,1206.05,2700.23,10
CDM,PX-27000088,Device Urinary Repair W/Sling Graft T2,4734.42,3550.81,1728.06,3868.97,10
CDM,PX-27000089,Device Urinary Repair W/Sling Graft T3,7065.88,5299.41,2579.05,5774.24,10
CDM,PX-27000090,Infusion Pump Programmable Implantable T1,1400.0,1050.0,746.2,1144.08,4
CDM,PX-27000091,Infusion Pump Programmable Implantable T3,25200.0,18900.0,13431.6,20593.44,4
CDM,PX-27000092,Retrieval Device Fractured Med Device T1,1446.41,1084.81,527.94,1182.01,5
CDM,PX-27000093,Retrieval Device Fractured Med Device T2,4312.5,3234.37,1574.06,3524.18,5
CDM,PX-27000094,Retrieval Device Fractured Med Device T3,7754.55,5815.91,2830.41,6337.02,5
CDM,PX-27000095,Implant Ankle / Foot T1,1963.5,1472.62,716.68,1604.57,10
CDM,PX-27000096,Implant Ankle / Foot T2,4544.7,3408.52,1658.82,3713.93,10
CDM,PX-27000097,Implant Ankle / Foot T3,8636.6,6477.45,3152.36,7057.83,10
CDM,PX-27000098,Implant Elbow T1,3531.89,2648.92,1289.14,2886.26,10
CDM,PX-27000099,Implant Elbow T2,4533.6,3400.2,1654.76,3704.86,10
CDM,PX-27000100,Implant Elbow T3,7711.28,5783.46,2814.62,6301.66,10
CDM,PX-27000101,Implant Hip T1,1917.02,1437.76,699.71,1566.59,10
CDM,PX-27000102,Implant Hip T2,4786.95,3590.21,1747.24,3911.9,10
CDM,PX-27000103,Implant Hip T3,5456.38,4092.28,1991.58,4458.95,10
CDM,PX-27000104,Implant Knee T1,2227.09,1670.32,812.89,1819.98,10
CDM,PX-27000105,Implant Knee T2,4402.71,3302.03,1606.99,3597.89,10
CDM,PX-27000106,Implant Knee T3,7643.28,5732.46,2789.8,6246.09,10
CDM,PX-27000107,Implant Shoulder T1,2760.8,2070.6,1007.69,2256.13,10
CDM,PX-27000108,Implant Shoulder T2,4806.87,3605.15,1754.51,3928.17,10
CDM,PX-27000109,Implant Shoulder T3,6357.53,4768.15,2320.5,5195.37,10
CDM,PX-27000110,Implant Wrist / Finger T1,2925.48,2194.11,1067.8,2390.7,10
CDM,PX-27000111,Implant Wrist / Finger T2,4428.0,3321.0,1616.22,3618.56,10
CDM,PX-27000112,Implant Wrist / Finger T3,6251.75,4688.81,2281.89,5108.93,10
CDM,PX-27000113,Lead Icd Device Single Coil T3,9446.88,7085.16,6593.92,7719.99,3
CDM,PX-27000114,Lead Neurostimulator T1,3500.0,2625.0,1277.5,2782.5,6
CDM,PX-27000115,Lead Neurostimulator T2,4993.5,3745.12,1822.63,3969.83,6
CDM,PX-27000116,Lead Neurostimulator T3,7399.33,5549.5,2700.76,5882.47,6
CDM,PX-27000117,Lead Pacemaker Single T1,1231.72,923.79,859.74,1006.56,2
CDM,PX-27000119,Mesh T1,1303.16,977.37,475.65,1064.94,10
CDM,PX-27000120,Mesh T2,4056.27,3042.2,1480.54,3314.78,10
CDM,PX-27000121,Mesh T3,5286.13,3964.6,1929.44,4319.83,10
CDM,PX-27000122,Morcellator T1,1378.13,1033.6,1095.61,1095.61,1
CDM,PX-27000123,Pacemaker Dual Chamber Rate Responsive T3,8912.4,6684.3,3253.03,6575.57,4
CDM,PX-27000124,Pacemaker Single Chamber Rate Responsive T3,5625.0,4218.75,2154.38,4150.13,2
CDM,PX-27000125,Patient Programmer Neurostimulator T1,3974.85,2981.14,1450.82,2932.64,4
CDM,PX-27000126,Port Indwelling T1,1146.4,859.8,355.38,936.84,15
CDM,PX-27000127,Implant Breast Prosthesis T1,2415.81,1811.86,881.77,1974.2,10
CDM,PX-27000128,Implant Breast Prosthesis T3,6625.0,4968.75,2418.13,5413.95,10
CDM,PX-27000129,Implant Tissue Expander T1,3565.03,2673.77,1301.24,2913.34,9
CDM,PX-27000130,Implant Tissue Expander T2,4400.01,3300.01,1606.0,3595.69,9
CDM,PX-27000131,Prosthesis Penile Inflatable T1,2169.58,1627.18,830.95,1514.37,2
CDM,PX-27000132,Prosthesis Penile Inflatable T2,4139.34,3104.5,1585.37,2889.26,2
CDM,PX-27000133,Prosthesis Penile Inflatable T3,17447.8,13085.85,6682.51,12178.56,2
CDM,PX-27000135,Prosthesis Urinary Sphincter T2,5105.19,3828.89,3766.61,4058.63,2
CDM,PX-27000136,Prosthesis Urinary Sphincter T3,8207.98,6155.98,6055.85,6525.34,2
CDM,PX-27000138,System Septal Defect Intracardiac T1,2114.0,1585.5,809.66,1727.56,5
CDM,PX-27000139,System Septal Defect Intracardiac T2,4992.0,3744.0,1911.94,4079.46,5
CDM,PX-27000140,System Septal Defect Intracardiac T3,14401.53,10801.15,5515.79,11768.93,5
CDM,PX-27000141,Impl Genrtor Neurostimulator Non Hi Freq Rechrgeable Bat and Chrging Sys T1,1750.0,1312.5,638.75,1291.15,4
CDM,PX-27000142,Impl Genrtor Neurostimulator Non Hi Freq Rechrgeable Bat and Chrging Sys T3,40812.5,30609.37,14896.56,30111.46,4
CDM,PX-27000143,Interspinous Process Distration Device T3,7500.0,5625.0,5962.5,6129.0,2
