hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Brigham and Women's Faulkner Hospital,2026-03-27,3.0.0,Brigham and Women's Faulkner Hospital,1153 Centre St Boston MA 02130-3446,2048,1578677811,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","both","","","325.00","243.75","PHCS MULTIPLAN [1022]","HB CH CLARITEV (PRIMARY PPO)","237.25","73","","179.17","179.17","179.17","1 through 10","37.73","237.25","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","407.00","305.25","INTERNATIONAL COMMERCIAL [140001]","HB CH AETNA HMO / PPO","237.28","58.3","","74.28","74.28","74.28","22","83.7","407","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","407.00","305.25","PHCS MULTIPLAN [1022]","HB CH CLARITEV (PRIMARY PPO)","297.11","73","","891.32","891.32","891.32","1 through 10","83.7","407","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","407.00","305.25","WELLPOINT [1015]","HB CH WELLPOINT","317.09","77.91","","103.18","103.18","103.18","449","83.7","407","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","199.71","49.07","","294.83","131.00","707.60","714","199.71","5129.31","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS INDEMNITY","203.91","50.1","","370.90","370.90","370.90","1 through 10","199.71","5129.31","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS PPO","203.91","50.1","","412.11","259.50","1211.00","505","199.71","5129.31","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","CIGNA [1006]","HB CH CIGNA HMO / PPO","241.35","59.3","","1842.36","383.83","7058.19","61","199.71","5129.31","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","INTERNATIONAL COMMERCIAL [140001]","HB CH UNITED HMO / PPO / INDEMNITY","319.29","78.45","","503.55","503.55","503.55","1 through 10","199.71","5129.31","percent of total billed charges",""
"Abdomen Peritoneum Omentum Unlstd","PX-75000344","CDM","49999","CPT","0361","RC","","","","both","","","6749.00","5061.75","WELLPOINT [1015]","HB CH WELLPOINT","5258.15","77.91","","3449.15","3449.15","3449.15","1 through 10","1057.74","6418.3","percent of total billed charges",""
"Abdominal Pain,MAJOR","251","DRG","","","","","","","","inpatient","","","24665.65","","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","19030.99","","Standard inlier is a Case rate ($19,030.99). If the cost, defined as total billed multiplied by the cost-to-charge ratio of 0.2802, exceeds the outlier threshold of $31,171, the excess is included in the final reimbursement as an outlier payment. For transfer scenarios, the final reimbursement is the lesser of the Per diem ($2,701.52) for the length of stay and the standard reimbursement.","18166.19","18166.19","18166.19","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MINOR","251","DRG","","","","","","","","inpatient","","","24050.10","","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS PPO","11992.50","","Standard inlier is a Case rate ($11,992.50). If the cost, defined as total billed multiplied by the cost-to-charge ratio of 0.2802, exceeds the outlier threshold of $23,100, the excess is included in the final reimbursement as an outlier payment. For transfer scenarios, the final reimbursement is the lesser of the Per diem ($1,702.29) for the length of stay and the standard reimbursement.","11447.67","11447.67","11447.67","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MINOR","251","DRG","","","","","","","","inpatient","","","24050.10","","HARVARD PILGRIM [120001]","HB CH HPHC HMO / POS","8074.7544","","Fee schedule rate ($11,226.88). If the estimated cost, defined as the billed amount multiplied by the cost-to-charge ratio (0.736), exceeds an outlier threshold, defined as the inlier reimbursement plus a stop loss amount ($93,140), then an outlier payment applies. The outlier payment equals the excess of the estimated cost over the outlier threshold, multiplied by the marginal cost factor (1). Otherwise, no outlier payment applies.","8074.7544","10794.28","10794.28","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MINOR","251","DRG","","","","","","","","inpatient","","","24050.10","","MGB HEALTH PLAN [150001]","HB BWF MGBHP COMMERCIAL HMO","5955.87","","Fee schedule rate ($5,955.87). If the estimated cost, defined as the billed amount multiplied by the cost-to-charge ratio (0.2688), exceeds an outlier threshold, defined as the inlier reimbursement plus a stop loss amount ($24,044), then an outlier payment applies. The outlier payment equals the excess of the estimated cost over the outlier threshold, multiplied by the marginal cost factor (1). Otherwise, no outlier payment applies.","5955.87","5955.87","5955.87","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MINOR","251","DRG","","","","","","","","inpatient","","","24050.10","","WELLSENSE [1003]","HB BWF WELLSENSE MCO","4618.59","","Case rate ($5,106.64). If cost, defined as total billed times cost-to-charge ratio (0.4262), exceeds outlier threshold $47,536.64, an outlier payment of 60% of the excess amount is included. For transfer scenarios, reimbursement is the lesser of a per diem of $0.00 and the sum of the standard inlier and any outlier amount.","5105.39","5105.39","5105.39","1 through 10","4618.59","28780.99","case rate",""
"Abdominal Pain,MODERATE","251","DRG","","","","","","","","inpatient","","","24416.98","","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","14417.27","","Standard inlier is a Case rate ($14,417.27). If the cost, defined as total billed multiplied by the cost-to-charge ratio of 0.2802, exceeds the outlier threshold of $23,100, the excess is included in the final reimbursement as an outlier payment. For transfer scenarios, the final reimbursement is the lesser of the Per diem ($2,046.59) for the length of stay and the standard reimbursement.","14417.27","14417.27","14417.27","1 through 10","4618.59","28780.99","case rate",""
