code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-25500006,Iodixanol Vl 320mg/Ml 1ml,167.0,125.25,87.17,97.36,4
CDM,PX-25500007,Iodixanol Inj 320mg,460.0,345.0,240.12,268.18,4
CDM,PX-25500008,Iopamidol Vl 61% 300mg/Ml 50ml,40.0,30.0,20.88,23.32,4
CDM,PX-25500009,Iopamidol Inj,87.0,65.25,45.41,50.72,4
CDM,PX-25500010,Iopamidol Inj,43.0,32.25,22.45,25.07,4
CDM,PX-25500012,Iopamidol Inj,79.0,59.25,41.24,46.06,4
CDM,PX-25500013,Iohexol Vl 300mg/Ml Iodine 1ml,53.0,39.75,27.67,30.9,4
CDM,PX-25500014,Contrast Low Osmolar 300-399mg 20ml,17.2,12.9,8.98,10.03,4
CDM,PX-25500015,Contrast Lowosmolar 300-399mg 10ml,8.6,6.45,4.49,5.01,4
CDM,PX-25500050,Omnipaque 350 per 1 Ml,12.07,9.05,6.3,7.04,4
CDM,PX-26000001,IV Infus Hydration Initial 31 Min-1 Hour - 96360,581.0,435.75,245.2,455.79,10
CDM,PX-26000002,IV Infus Hydration Ea Additional Hour - 96361,213.0,159.75,53.7,167.1,13
CDM,PX-26000003,IV Infus Non-Chemo Initial Up to 1 Hr - 96365,721.0,540.75,237.7,565.62,18
CDM,PX-26000004,IV Infus Non-Chemo Same Drug Ea Hr - 96366,281.0,210.75,52.05,220.44,16
CDM,PX-26000005,IV Infus Non-Chemo Ea Add�L Seq Diff Drug Up to 1 Hr - 96367,368.0,276.0,82.83,286.71,8
CDM,PX-26000007,Sc Infus Thpy/Proph/Dx Intl Up to 1,2054.0,1540.5,250.18,250.18,1
CDM,PX-26000010,Therapeutic Prophylactic/Diagnostic Inj Sc/Im - 96372,227.0,170.25,80.29,178.08,14
CDM,PX-26000012,Ivp/ IV < 16 Min Initial Drug - 96374,778.0,583.5,237.7,610.34,12
CDM,PX-26000013,Ivp/ IV <16min Ea Addl Seg Diff Drug - 96375,318.0,238.5,52.05,249.47,15
CDM,PX-26000014,Ivp/ IV <16 Min Ea Add�L Seq Same Drug - 96376,247.0,185.25,144.0,193.77,4
CDM,PX-26000023,Vfc Therapeutic Prophylactic/Diagnostic Inj Sc/Im,23.0,17.25,13.41,87.05,14
CDM,PX-27000007,Implant Anchor T1,1143.14,857.35,508.13,1143.14,13
CDM,PX-27000008,Implant Anchor T2,3999.73,2999.8,1777.88,3999.73,13
CDM,PX-27000009,Implant Anchor T3,4311.67,3233.75,1916.54,4311.67,13
CDM,PX-27000010,Implant Bone Void Filler T1,1004.74,753.55,446.61,1004.74,13
CDM,PX-27000011,Implant Bone Void Filler T2,4261.89,3196.42,1894.41,4261.89,13
CDM,PX-27000012,Implant Bone Void Filler T3,6722.5,5041.87,2988.15,6722.5,13
CDM,PX-27000013,Implant Cable T1,817.9,613.42,363.56,817.9,13
CDM,PX-27000014,Implant Cable T2,3325.4,2494.05,1478.14,3325.4,13
CDM,PX-27000015,Implant Cable T3,4380.48,3285.36,1947.12,4380.48,13
CDM,PX-27000016,Implant Endobutton T1,626.73,470.05,278.58,626.73,13
CDM,PX-27000017,Implant Nail / Screw T1,355.26,266.44,157.91,355.26,13
CDM,PX-27000018,Implant Nail / Screw T2,3837.59,2878.19,1705.81,3837.59,13
CDM,PX-27000019,Implant Nail / Screw T3,4541.33,3406.0,2018.62,4541.33,13
CDM,PX-27000020,Implant Pin/Wire/Peg T1,317.09,237.82,140.95,317.09,13
CDM,PX-27000021,Implant Pin/Wire/Peg T2,3484.75,2613.56,1548.97,3484.75,13
CDM,PX-27000022,Implant Pin/Wire/Peg T3,4872.0,3654.0,2165.6,4872.0,13
CDM,PX-27000023,Implant Plate T1,920.21,690.16,409.03,920.21,13
CDM,PX-27000024,Implant Plate T2,3534.72,2651.04,1571.18,3534.72,13
CDM,PX-27000025,Implant Plate T3,5840.51,4380.38,2596.11,5840.51,13
CDM,PX-27000026,Implant Staple Bone T1,237.0,177.75,105.35,237.0,13
CDM,PX-27000027,Implant Washer / Nut T1,88.55,66.41,39.36,88.55,13
CDM,PX-27000036,HC Catheter Translumin Angioplasty Non-Laser Tier1,548.04,411.03,290.46,548.04,6
CDM,PX-27000037,HC Catheter Translumin Angioplasty Non-Laser Tier2,4000.0,3000.0,2120.0,4000.0,6
CDM,PX-27000038,Catheter Balloon Dilatation Non-Vascular T1,625.16,468.87,490.44,490.44,1
CDM,PX-27000039,Catheter Balloon Dilatation Non-Vascular T3,5322.31,3991.73,4175.35,4175.35,1
CDM,PX-27000044,Catheter Drainage T1,314.14,235.6,244.75,246.44,2
CDM,PX-27000054,HC Catheter Hemodialysis Peritoneal Longterm Tier1,876.16,657.12,510.8,519.56,2
CDM,PX-27000055,HC Catheter Hemodialysis Peritoneal Longterm Tier2,3656.25,2742.19,2131.59,2168.16,2
CDM,PX-27000056,HC Catheter Hemodialysis Peritoneal Longterm Tier3,3807.6,2855.7,2219.83,2257.91,2
CDM,PX-27000065,Catheter Thrombectomy/Embolectomy T1,294.54,220.9,231.07,294.54,3
CDM,PX-27000066,Catheter Thrombectomy/Embolectomy T2,3995.83,2996.87,3134.73,3995.83,3
CDM,PX-27000067,Catheter Thrombectomy/Embolectomy T3,4521.94,3391.45,3547.46,4521.94,3
CDM,PX-27000068,Catheter Ureteral T1,278.68,209.01,162.47,278.68,4
CDM,PX-27000076,Tissue Connective Non-Human T1,1334.48,1000.86,1046.9,1046.9,1
CDM,PX-27000077,Tissue Connective Non-Human T2,3768.09,2826.07,2956.07,2956.07,1
CDM,PX-27000078,Tissue Connective Non-Human T3,6431.45,4823.59,5045.47,5045.47,1
CDM,PX-27000081,HC Intro/Sheath Intrcard Ep Strble Non Peel Tier1,2716.78,2037.58,2716.78,2716.78,1
CDM,PX-27000084,Guide/Glide Wire T1,420.54,315.4,222.89,420.54,7
CDM,PX-27000085,Guide/Glide Wire T2,3999.98,2999.98,2119.99,3999.98,7
CDM,PX-27000087,Device Urinary Repair W/Sling Graft T1,2832.2,2124.15,1501.07,2206.57,4
CDM,PX-27000088,Device Urinary Repair W/Sling Graft T2,3945.36,2959.02,2091.04,3073.83,4
CDM,PX-27000089,Device Urinary Repair W/Sling Graft T3,5652.7,4239.52,2995.93,4404.02,4
CDM,PX-27000092,Retrieval Device Fractured Med Device T1,1239.79,929.84,972.62,972.62,1
CDM,PX-27000093,Retrieval Device Fractured Med Device T2,3593.75,2695.31,2819.3,2819.3,1
CDM,PX-27000094,Retrieval Device Fractured Med Device T3,6203.64,4652.73,4866.76,4866.76,1
CDM,PX-27000095,Implant Ankle / Foot T1,1683.0,1262.25,891.99,1683.0,12
CDM,PX-27000096,Implant Ankle / Foot T2,3787.25,2840.44,2007.24,3787.25,12
CDM,PX-27000097,Implant Ankle / Foot T3,6909.27,5181.95,3661.91,6909.27,12
CDM,PX-27000098,Implant Elbow T1,3027.34,2270.5,1604.49,3027.34,12
CDM,PX-27000099,Implant Elbow T2,3778.0,2833.5,2002.34,3778.0,12
CDM,PX-27000100,Implant Elbow T3,6169.02,4626.76,3269.58,6169.02,12
CDM,PX-27000101,Implant Hip T1,1643.16,1232.37,870.87,1643.16,12
CDM,PX-27000102,Implant Hip T2,3989.13,2991.85,2114.24,3989.13,12
CDM,PX-27000103,Implant Hip T3,4365.09,3273.82,2313.5,4365.09,12
CDM,PX-27000104,Implant Knee T1,1908.92,1431.69,1011.73,1908.92,12
CDM,PX-27000105,Implant Knee T2,3668.93,2751.7,1944.53,3668.93,12
CDM,PX-27000106,Implant Knee T3,6114.62,4585.96,3240.75,6114.62,12
CDM,PX-27000107,Implant Shoulder T1,2366.4,1774.8,1254.19,2366.4,12
CDM,PX-27000108,Implant Shoulder T2,4005.72,3004.29,2123.03,4005.72,12
CDM,PX-27000109,Implant Shoulder T3,5086.02,3814.51,2695.59,5086.02,12
CDM,PX-27000110,Implant Wrist / Finger T1,2507.56,1880.67,1329.01,2507.56,12
CDM,PX-27000111,Implant Wrist / Finger T2,3690.0,2767.5,1955.7,3690.0,12
CDM,PX-27000112,Implant Wrist / Finger T3,5001.4,3751.05,2650.74,5001.4,12
CDM,PX-27000114,Lead Neurostimulator T1,3000.0,2250.0,1590.0,1779.0,2
CDM,PX-27000115,Lead Neurostimulator T2,4161.25,3120.94,2205.46,2467.62,2
CDM,PX-27000116,Lead Neurostimulator T3,5919.46,4439.59,3137.31,3510.24,2
CDM,PX-27000119,Mesh T1,1117.0,837.75,496.51,1117.0,8
CDM,PX-27000120,Mesh T2,3380.22,2535.16,1502.51,3380.22,8
CDM,PX-27000121,Mesh T3,4228.9,3171.67,1879.75,4228.9,8
CDM,PX-27000122,Morcellator T1,1181.25,885.94,700.48,700.48,1
CDM,PX-27000125,Patient Programmer Neurostimulator T1,3407.01,2555.26,2020.36,2654.4,2
CDM,PX-27000127,Implant Breast Prosthesis T1,2070.7,1553.02,1207.22,1624.46,4
CDM,PX-27000128,Implant Breast Prosthesis T3,5300.0,3975.0,3089.9,4157.85,4
CDM,PX-27000129,Implant Tissue Expander T1,3055.75,2291.81,1358.28,2397.24,6
CDM,PX-27000130,Implant Tissue Expander T2,3666.67,2750.0,1629.83,2876.5,6
CDM,PX-27000141,Impl Genrtor Neurostimulator Non Hi Freq Rechrgeable Bat and Chrging Sys T1,1500.0,1125.0,889.5,1168.65,2
CDM,PX-27000142,Impl Genrtor Neurostimulator Non Hi Freq Rechrgeable Bat and Chrging Sys T3,32650.0,24487.5,19361.45,25437.62,2
CDM,PX-27000145,Stent Coronary W/Delivery Sys T1,1800.0,1350.0,1412.1,1800.0,2
CDM,PX-27000146,Stent Coronary W/Delivery Sys T2,3639.92,2729.94,2855.52,3639.92,2
CDM,PX-27000147,Stent Coronary W/Delivery Sys T3,4790.0,3592.5,3757.76,4790.0,2
CDM,PX-27000148,Stent Drug Eluting W/Delivery Sys T1,3555.0,2666.25,2788.9,3555.0,2
CDM,PX-27000149,Stent Drug Eluting W/Delivery Sys T2,4377.85,3283.39,3434.42,4377.85,2
CDM,PX-27000150,Stent Drug Eluting W/Delivery Sys T3,5954.85,4466.14,4671.58,5954.85,2
CDM,PX-27000151,HC Stent Graft Endoprosthesis W/Delivery Sys Tier2,3932.19,2949.14,3084.8,3932.19,2
CDM,PX-27000152,HC Stent Graft Endoprosthesis W/Delivery Sys Tier3,6215.94,4661.95,4876.4,6215.94,2
CDM,PX-27000156,HC Stent Noncoated/Noncovered Delivery Sys Tier1,1936.6,1452.45,1519.26,1519.26,1
CDM,PX-27000157,HC Stent Noncoated/Noncovered Delivery Sys Tier2,3700.52,2775.39,2903.06,2903.06,1
CDM,PX-27000158,HC Stent Noncoated/Noncovered Delivery Sys Tier3,4136.4,3102.3,3245.01,3245.01,1
CDM,PX-27000162,Marker Tissue Implantable T1,1778.0,1333.5,1054.35,1778.0,2
CDM,PX-27000166,Adapter/Extension Lead T1,1047.5,785.62,555.18,555.18,1
CDM,PX-27000167,Adapter/Extension Lead T2,3487.5,2615.62,1848.38,1848.38,1
CDM,PX-27000168,Adapter/Extension Lead T3,6280.0,4710.0,3328.4,3328.4,1
CDM,PX-27000174,HC Catheter Extravascular Tissue Ablation Tier1,3498.0,2623.5,2725.29,3498.0,3
CDM,PX-27000175,HC Catheter Extravascular Tissue Ablation Tier2,3296.14,2472.1,2568.02,3296.14,3
CDM,PX-27000176,HC Catheter Extravascular Tissue Ablation Tier3,10112.96,7584.72,7879.01,10112.96,3
CDM,PX-27000177,HC Catheter Guiding Infusion/Perfusion Cap Tier1,521.46,391.09,276.37,521.46,3
CDM,PX-27000178,HC Catheter Guiding Infusion/Perfusion Cap Tier2,3475.0,2606.25,1841.75,3475.0,3
CDM,PX-27000179,HC Catheter Guiding Infusion/Perfusion Cap Tier3,4523.33,3392.5,2397.36,4523.33,3
CDM,PX-27000185,HC Introducer/Sheath N/Guide N/Laser N/Ep Tier1,185.09,138.82,98.1,185.09,6
CDM,PX-27000186,HC Introducer/Sheath N/Guide N/Laser N/Ep Tier2,3825.63,2869.22,2027.58,3825.63,6
CDM,PX-27000191,Lead Neurostimulator Test Kit T1,2502.46,1876.84,2502.46,2502.46,1
CDM,PX-27000200,HC Stent Non-Cor Temp W/O Delivery System Tier1,287.04,215.28,167.34,287.04,5
CDM,PX-27000328,Ko Immobil Knee Prefab Ots T1,42.68,32.01,25.31,27.06,2
CDM,PX-27000329,HC Ko Adj Knee Jnts Rigid Prefab Custom Fit Pt T1,301.21,225.91,173.8,236.3,3
CDM,PX-27000474,HC Shoulder Ortho Shoulder Brace Prefab Tier1,147.42,110.56,78.13,115.65,6
CDM,PX-27000478,Eo W/O Joints Custom T1,232.24,174.18,134.0,182.19,4
CDM,PX-27000485,HC Ewo Rigit Without Joints Custom Tier1,585.22,438.91,459.11,459.11,1
CDM,PX-27000489,HC Whfo With Nontorsion Joints Custome Tier1,365.35,274.01,210.81,284.64,2
CDM,PX-27000491,"Whfo, Rigid W/O Joints",47.97,35.98,27.68,37.63,5
CDM,PX-27000494,HC Who With Nontorsion Joints Custom Tier1,797.64,598.23,465.02,625.75,3
CDM,PX-27000495,HC Who Gauntlet Molded Custom Tier1,388.65,291.49,224.25,304.9,4
CDM,PX-27000496,HC Who Cock-Up Control Extension Prefab Tier1,14.94,11.2,8.86,8.86,1
CDM,PX-27000498,Hfo W/O Joints Cf,217.84,163.38,115.46,170.9,9
CDM,PX-27000499,Ho W/O Joints Custom T1,217.84,163.38,127.0,127.0,1
CDM,PX-27000500,HC Hfo With Nontorsion Joints Custom Tier1,258.36,193.77,149.07,201.29,6
CDM,PX-27000506,Fo W/O Joint Custom T1,171.61,128.71,100.05,163.2,6
CDM,PX-27000562,Bulk Agent Synthetic 1ml T1,919.42,689.56,487.29,545.22,4
CDM,PX-27000612,Alloderm 12 Sq Cm T1,954.0,715.5,497.99,743.26,5
