code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APC,0701,Sr89 strontium,,,2167.52,7724.91,5
APC,0702,"Inj, balfaxar, per i.u",,,2.48,3.35,5
APC,0703,Inj daxibotulinumtoxinA-lanm,,,3.88,5.86,5
APC,0704,"Inj, aflibercept hd, 1 mg",,,415.51,580.13,5
APC,0705,"Inj, avacincaptad peg 0.1 mg",,,136.38,195.85,5
APC,0706,Inj talquetamab-tgvs 0.25 mg,,,84.24,135.3,5
APC,0707,"Cantharidin top, applicator",,,886.27,1219.86,5
APC,0708,"Inj, elranatamab-bcmm, 1 mg",,,222.7,342.94,5
APC,0709,Flortaucipir inj 1 millicuri,,,4619.65,6911.99,5
APC,0710,Inj velmanase alfa-tycv 1 mg,,,550.38,866.77,5
APC,0711,"Inj, artesunate, 1mg",,,64.54,96.55,5
APC,0713,Inj roctavian ml 2x10^13vc g,,,14951.98,23388.45,5
APC,0714,Inj delandistrogene mox rokl,,,4140816.36,6178803.75,5
APC,0715,Pegunigalsidase alfa-iwxj,,,278.36,425.08,5
APC,0716,"Vyjuvek 5x10^9pfu/ml, 0.1 ml",,,1241.4,1910.46,5
APC,0717,"Instill adstiladrin, tx dose",,,78888.6,118011.14,5
APC,0718,"Inj, carmustine (accord)",,,323.38,483.84,5
APC,0719,Inj cyclophos dr.reddy's 5mg,,,11.34,16.96,5
APC,0720,"Inj glofitamab gxbm, 2.5 mg",,,3363.3,5156.76,5
APC,0721,Inj ronzanolixizum-noli 1 mg,,,28.39,43.16,5
APC,0722,"Dexmedetomidine film, 1 mcg",,,0.97,1.31,5
APC,0723,Inj efgart-alfa 2mg hya-qvfc,,,41.25,63.13,5
APC,0726,Dexrazoxane HCl injection,,,104.3,147.08,5
APC,0731,Sargramostim injection,,,75.05,101.32,5
APC,0736,Amphotericin b liposome inj,,,29.04,40.02,5
APC,0738,Rasburicase,,,462.33,703.34,5
APC,0742,Anacaulase-bcdb 8.8% gel 1 g,,,72.64,108.63,5
APC,0752,Dactinomycin injection,,,351.31,611.72,5
APC,0759,"Naltrexone, depot form",,,5.13,7.89,5
APC,0800,Leuprolide acetate,,,2014.27,3223.72,5
APC,0807,Aldesleukin injection,,,6601.07,9876.63,5
APC,0810,Goserelin acetate implant,,,840.22,1366.87,5
APC,0812,Carmustine injection,,,394.42,556.2,5
APC,0820,Daunorubicin injection,,,30.43,41.08,5
APC,0825,Nelarabine injection,,,90.31,148.79,5
APC,0827,Floxuridine injection,,,4803.97,7690.79,5
APC,0840,Inj melpha hydroch nos 50 mg,,,158.63,258.09,5
APC,0843,Pegaspargase injection,,,33707.9,52956.03,5
APC,0844,Pentostatin injection,,,3164.99,4859.19,5
APC,0856,Porfimer sodium injection,,,29722.81,45139.25,5
APC,0858,Inj cladribine,,,17.65,23.95,5
APC,0864,Mitoxantrone hydrochl,,,39.5,91.87,5
APC,0874,Synvisc or synvisc-one,,,11.4,15.39,5
APC,0875,Euflexxa inj per dose,,,151.06,209.51,5
APC,0877,Orthovisc inj per dose,,,153.05,213.39,5
APC,0887,Azathioprine parenteral,,,293.46,473.34,5
APC,0890,Lymphocyte immune globulin,,,4941.46,9567.03,5
APC,0901,Alpha 1 proteinase inhibitor,,,6.15,10.17,5
APC,0902,"Injection,onabotulinumtoxinA",,,7.98,12.11,5
APC,0903,Cytomegalovirus imm IV /vial,,,2259.94,3369.63,5
APC,0925,Factor viii,,,1.46,2.03,5
APC,0927,Factor viii recombinant,,,1.93,3.01,5
APC,0928,Factor ix complex,,,2.06,3.16,5
APC,0929,Anti-inhibitor,,,2.92,4.5,5
APC,0931,Factor IX non-recombinant,,,1.75,2.61,5
APC,0932,Factor ix recombinant nos,,,2.31,3.44,5
APC,0943,Octagam injection,,,61.01,88.55,5
APC,0944,Gammagard liquid injection,,,61.88,84.43,5
APC,0946,Hepagam b im injection,,,85.49,124.15,5
APC,0947,Flebogamma injection,,,69.87,103.88,5
APC,0948,Gamunex-C/Gammaked,,,60.77,91.22,5
APC,0963,"Albumin (human), 5%, 250 ml",,,66.09,98.88,5
APC,0964,"Albumin (human), 25%, 20 ml",,,26.44,39.56,5
APC,1015,Injection glatiramer acetate,,,215.27,311.71,5
APC,1064,"I131 iodide cap, rx",,,28.8,43.09,5
APC,1138,"Hepagam b intravenous, inj",,,85.49,124.15,5
APC,1139,Protein c concentrate,,,18.74,28.03,5
APC,1142,Supprelin LA implant,,,56469.54,83876.64,5
APC,1150,"I131 iodide sol, rx",,,26.0,38.91,5
APC,1168,"Inj, temsirolimus",,,40.11,54.15,5
APC,1178,Busulfan injection,,,1.46,2.13,5
APC,1203,Verteporfin injection,,,14.36,21.5,5
APC,1207,"Octreotide injection, depot",,,267.57,379.29,5
APC,1213,Antihemophilic viii/vwf comp,,,1.53,2.33,5
APC,1214,Inj IVIG privigen 500 mg,,,60.49,94.53,5
APC,1232,Mitomycin injection,,,33.66,71.45,5
APC,1235,Valrubicin injection,,,1789.43,2465.49,5
APC,1237,Inj iron dextran,,,22.0,33.74,5
APC,1263,Antithrombin iii injection,,,4.8,7.64,5
APC,1268,Xyntha inj,,,1.85,3.12,5
APC,1274,Edetate calcium disodium inj,,,7578.61,11939.26,5
APC,1281,Bevacizumab injection,,,2.26,3.41,5
APC,1289,AbobotulinumtoxinA,,,10.75,16.3,5
APC,1295,Sm 153 lexidronam,,,5372.87,8038.98,5
APC,1296,Degarelix injection,,,5.2,8.29,5
APC,1297,"Ferumoxytol, non-esrd",,,0.42,0.6,5
APC,1311,Canakinumab injection,,,159.15,263.81,5
APC,1312,Hizentra injection,,,16.48,26.71,5
APC,1327,Imiglucerase injection,,,54.31,80.47,5
APC,1331,Olanzapine long-acting inj,,,3.63,5.43,5
APC,1340,"Collagenase, clost hist inj",,,88.61,141.41,5
APC,1352,Wilate injection,,,1.59,2.39,5
APC,1353,Belimumab injection,,,67.43,104.46,5
APC,1413,Lumizyme injection,,,251.48,384.89,5
APC,1415,Glassia injection,,,6.94,10.5,5
APC,1416,Factor xiii anti-hem factor,,,12.65,20.04,5
APC,1417,Gel-one,,,665.53,986.05,5
APC,1420,Aflibercept injection,,,1023.52,1437.47,5
APC,1421,Imported lipodox inj,,,658.53,985.3,5
APC,1426,Eribulin mesylate injection,,,147.78,228.26,5
APC,1431,Centruroides immune f(ab),,,5982.18,9076.76,5
APC,1433,Calcitonin salmon injection,,,802.17,1971.92,5
APC,1440,Inj desmopressin acetate,,,5.83,9.11,5
APC,1442,Non-HEU TC-99M add-on/dose,,,12.45,18.62,5
APC,1443,Icatibant injection,,,188.82,254.91,5
APC,1446,Visualization adjunct,,,10.63,16.25,5
APC,1458,Phentolaine mesylate inj,,,457.13,804.88,5
APC,1468,Inj Aripiprazole Ext Rel 1mg,,,8.81,13.56,5
APC,1469,Inj filgrastim excl biosimil,,,1.24,1.86,5
APC,1471,"Injection, Pertuzumab, 1 mg",,,20.07,31.7,5
