code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APR-DRG,001-1,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,23380.28,28056.34,6
APR-DRG,001-2,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,26613.03,31935.64,6
APR-DRG,001-3,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,34436.53,41323.84,6
APR-DRG,001-4,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,66329.56,79595.47,6
APR-DRG,002-1,HEART AND/OR LUNG TRANSPLANT,,,43443.38,52132.06,6
APR-DRG,002-2,HEART AND/OR LUNG TRANSPLANT,,,49153.15,58983.78,6
APR-DRG,002-3,HEART AND/OR LUNG TRANSPLANT,,,64911.19,77893.43,6
APR-DRG,002-4,HEART AND/OR LUNG TRANSPLANT,,,119164.66,142997.59,6
APR-DRG,004-1,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,20425.32,24510.38,6
APR-DRG,004-2,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,29522.72,35427.26,6
APR-DRG,004-3,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,46198.9,55438.68,6
APR-DRG,004-4,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,66996.16,80395.39,6
APR-DRG,005-1,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,11861.19,14233.43,6
APR-DRG,005-2,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,22585.03,27102.04,6
APR-DRG,005-3,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,33871.27,40645.52,6
APR-DRG,005-4,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,46671.81,56006.17,6
APR-DRG,006-1,PANCREAS TRANSPLANT,,,19994.09,23992.91,6
APR-DRG,006-2,PANCREAS TRANSPLANT,,,28786.05,34543.26,6
APR-DRG,006-3,PANCREAS TRANSPLANT,,,33389.73,40067.68,6
APR-DRG,006-4,PANCREAS TRANSPLANT,,,43326.23,51991.48,6
APR-DRG,007-1,ALLOGENEIC BONE MARROW TRANSPLANT,,,27738.53,33286.24,6
APR-DRG,007-2,ALLOGENEIC BONE MARROW TRANSPLANT,,,31423.35,37708.02,6
APR-DRG,007-3,ALLOGENEIC BONE MARROW TRANSPLANT,,,44622.06,53546.47,6
APR-DRG,007-4,ALLOGENEIC BONE MARROW TRANSPLANT,,,70159.55,84191.46,6
APR-DRG,008-1,AUTOLOGOUS BONE MARROW TRANSPLANT,,,14560.66,17472.79,6
APR-DRG,008-2,AUTOLOGOUS BONE MARROW TRANSPLANT,,,17238.93,20686.72,6
APR-DRG,008-3,AUTOLOGOUS BONE MARROW TRANSPLANT,,,21963.35,26356.02,6
APR-DRG,008-4,AUTOLOGOUS BONE MARROW TRANSPLANT,,,31204.86,37445.83,6
APR-DRG,009-1,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,21532.85,25839.42,6
APR-DRG,009-2,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,29405.21,35286.25,6
APR-DRG,009-3,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,58587.99,70305.59,6
APR-DRG,009-4,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,87176.4,104611.68,6
APR-DRG,011-1,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,34745.57,41694.68,6
APR-DRG,011-2,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,70549.09,84658.91,6
APR-DRG,011-3,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,88742.47,106490.96,6
APR-DRG,011-4,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,119243.35,143092.02,6
APR-DRG,020-1,OPEN CRANIOTOMY FOR TRAUMA,,,7571.94,9086.33,6
APR-DRG,020-2,OPEN CRANIOTOMY FOR TRAUMA,,,9790.59,11748.71,6
APR-DRG,020-3,OPEN CRANIOTOMY FOR TRAUMA,,,13991.44,16789.73,6
APR-DRG,020-4,OPEN CRANIOTOMY FOR TRAUMA,,,20264.33,24317.2,6
APR-DRG,021-1,OPEN CRANIOTOMY EXCEPT TRAUMA,,,8934.61,10721.53,6
APR-DRG,021-2,OPEN CRANIOTOMY EXCEPT TRAUMA,,,11817.35,14180.82,6
APR-DRG,021-3,OPEN CRANIOTOMY EXCEPT TRAUMA,,,16324.01,19588.81,6
APR-DRG,021-4,OPEN CRANIOTOMY EXCEPT TRAUMA,,,23195.94,27835.13,6
APR-DRG,022-1,VENTRICULAR SHUNT PROCEDURES,,,5419.05,6502.86,6
APR-DRG,022-2,VENTRICULAR SHUNT PROCEDURES,,,6824.13,8188.96,6
APR-DRG,022-3,VENTRICULAR SHUNT PROCEDURES,,,10017.35,12020.82,6
