code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APR-DRG,001-1,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,24421.32,26081.02,8
APR-DRG,001-2,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,24421.32,26081.02,8
APR-DRG,001-3,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,33925.78,36231.42,8
APR-DRG,001-4,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,80287.29,85743.71,8
APR-DRG,002-1,HEART AND/OR LUNG TRANSPLANT,,,100894.04,107750.92,8
APR-DRG,002-2,HEART AND/OR LUNG TRANSPLANT,,,100894.04,107750.92,8
APR-DRG,002-3,HEART AND/OR LUNG TRANSPLANT,,,100894.04,107750.92,8
APR-DRG,002-4,HEART AND/OR LUNG TRANSPLANT,,,227622.25,243091.73,8
APR-DRG,004-1,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,36192.63,38652.33,8
APR-DRG,004-2,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,36192.63,38652.33,8
APR-DRG,004-3,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,69316.04,74026.84,8
APR-DRG,004-4,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,91477.45,97694.37,8
APR-DRG,005-1,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,28118.74,30029.73,8
APR-DRG,005-2,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,28118.74,30029.73,8
APR-DRG,005-3,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,46737.65,49914.0,8
APR-DRG,005-4,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,64579.62,68968.53,8
APR-DRG,006-1,PANCREAS TRANSPLANT,,,23970.42,25599.48,8
APR-DRG,006-2,PANCREAS TRANSPLANT,,,23970.42,25599.48,8
APR-DRG,006-3,PANCREAS TRANSPLANT,,,23970.42,25599.48,8
APR-DRG,006-4,PANCREAS TRANSPLANT,,,23970.42,25599.48,8
APR-DRG,007-1,ALLOGENEIC BONE MARROW TRANSPLANT,,,76018.73,81185.05,8
APR-DRG,007-2,ALLOGENEIC BONE MARROW TRANSPLANT,,,76018.73,81185.05,8
