code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDT,D0150,comprehensive oral evaluation - new or established patient,,,46.62,46.62,1
CDT,D0160,"detailed and extensive oral evaluation - problem focused, by report",,,86.53,86.53,1
CDT,D0171,re-evaluation – post-operative office visit,,,22.94,22.94,1
CDT,D0191,assessment of a patient,,,15.74,15.74,1
CDT,D0372,intraoral tomosynthesis – comprehensive series of radiographic images,,,112.33,112.33,1
CDT,D0373,intraoral tomosynthesis – bitewing radiographic image,,,44.84,44.84,1
CDT,D0374,intraoral tomosynthesis – periapical radiographic image,,,44.84,44.84,1
CDT,D0387,intraoral tomosynthesis – comprehensive series of radiographic images – image capture only,,,90.31,90.31,1
CDT,D0388,intraoral tomosynthesis – bitewing radiographic image – image capture only,,,22.66,22.66,1
CDT,D0389,intraoral tomosynthesis – periapical radiographic image – image capture only,,,22.66,22.66,1
CDT,D0411,HbA1c in-office point of service testing,,,16.95,16.95,1
CDT,D0412,blood glucose level test – in-office using a glucose meter,,,16.95,16.95,1
CDT,D0414,"laboratory processing of microbial specimen to include culture and sensitivity studies, preparation and transmission of written report",,,51.48,51.48,1
CDT,D0415,collection of microorganisms for culture and sensitivity,,,89.79,89.79,1
CDT,D0416,viral culture,,,92.0,92.0,1
CDT,D0417,collection and preparation of saliva sample for laboratory analysis,,,26.37,26.37,1
CDT,D0418,analysis of saliva sample - laboratory,,,92.3,92.3,1
CDT,D0419,assessment of salivary flow by measurement,,,96.07,96.07,1
CDT,D0422,collection and preparation of genetic sample material for laboratory analysis and report,,,16.95,16.95,1
CDT,D0425,caries susceptibility tests,,,50.86,50.86,1
CDT,D0431,"adjunctive pre-diagnostic test that aids in detection of mucosal abnormalities including premalignant and malignant lesions, not to include cytology or biopsy procedures",,,50.36,50.36,1
CDT,D0460,pulp vitality tests,,,37.04,37.04,1
CDT,D0472,"accession of tissue, gross examination, preparation and transmission of written report",,,64.67,64.67,1
CDT,D0473,"accession of tissue, gross and microscopic examination, preparation and transmission of written report",,,96.07,96.07,1
CDT,D0474,"accession of tissue, gross and microscopic examination, including assessment of surgical margins for presence of disease, preparation and transmission of written report",,,120.86,120.86,1
CDT,D0476,special stains for microorganisms,,,190.01,190.01,1
CDT,D0477,"special stains, not for microorganisms",,,196.73,196.73,1
CDT,D0479,"tissue in-situ hybridization, including interpretation",,,153.75,153.75,1
CDT,D0482,direct immunofluorescence,,,69.15,69.15,1
CDT,D0483,indirect immunofluorescence,,,83.93,83.93,1
