code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,10051548,MULTI PURPOSE RM 1ST 1/2HR,715.0,536.25,,,0
CDM,10062362,VISCOAT VISCOELASTIC AGENT,533.0,399.75,,,0
CDM,1050129,"3BN, SEMI-PRIVATE",2975.0,2231.25,,,0
CDM,1050137,"3BS, SEMI-PRIVATE",2975.0,2231.25,,,0
CDM,1050145,2WS NURSERY,2250.0,1687.5,,,0
CDM,1050160,2WS PRIVATE ROOM PT TYPE T,3355.0,2516.25,,,0
CDM,1050178,2WN NURSERY,2250.0,1687.5,,,0
CDM,1050186,2WN PT TYPE U PRIVATE,3355.0,2516.25,,,0
CDM,1050335,"3WN, NURSERY",2250.0,1687.5,,,0
CDM,1050343,"3WN, PRIVATE",3355.0,2516.25,,,0
CDM,1050350,"3BN, PRIVATE",3355.0,2516.25,,,0
CDM,1050368,"3BS, PRIVATE",3355.0,2516.25,,,0
CDM,1050384,"3WS, SEMI/PRIVATE (LD) CC 4000",2975.0,2231.25,,,0
CDM,1050392,"3WS, NURSERY (LDRP) CC 1404",2250.0,1687.5,,,0
CDM,1050525,2WN PRIVATE ROOM PT TYPE T,3355.0,2516.25,,,0
CDM,1050624,NICU LEVEL 2 PT O,6572.0,4929.0,,,0
CDM,1050632,NICU LEVEL 3 PT W,8610.0,6457.5,,,0
CDM,1050723,CARDIOLOGY INVASIVE PT TYPE N,9013.0,6759.75,,,0
CDM,1050731,CARDIOLOGY INVASIVE PT TYPE V,3154.0,2365.5,,,0
CDM,1050830,OUTPATIENT SURGERY PT TYPE V,2975.0,2231.25,,,0
CDM,1050889,9WS PRIVATE ROOM PT S,5265.0,3948.75,,,0
CDM,1050897,IMCU ICU ROOM TYPE Q,9013.0,6759.75,,,0
CDM,1050947,NURSERY LEVEL 1 PT B,2250.0,1687.5,,,0
CDM,1050970,2WN PT TYPE V SEMI-PRIVATE,2975.0,2231.25,,,0
CDM,1050996,2WN NURSERY B,2250.0,1687.5,,,0
CDM,1051002,8WS PT TYPE N,9013.0,6759.75,,,0
CDM,1051010,3BS PT TYPE N,9013.0,6759.75,,,0
CDM,1051077,3BN PT TYPE N,9013.0,6759.75,,,0
CDM,1051085,MSCU PT TYPE S,5265.0,3948.75,,,0
CDM,1051093,3BS PT TYPE S,5265.0,3948.75,,,0
CDM,1051101,10WS PT TYPE S,5265.0,3948.75,,,0
CDM,1051119,EMD PT TYPE S,5265.0,3948.75,,,0
CDM,1051127,6B PT TYPE S,5265.0,3948.75,,,0
CDM,1051135,5WS PT TYPE S,5265.0,3948.75,,,0
CDM,1051143,4WS PT TYPE S,5265.0,3948.75,,,0
CDM,1051150,2BNS PT TYPE S,5265.0,3948.75,,,0
CDM,1051168,OBRR PT TYPE P,2640.0,1980.0,,,0
CDM,1051176,OBRR PT TYPE T,2640.0,1980.0,,,0
CDM,1051184,OBRR PT TYPE N,7546.0,5659.5,,,0
CDM,1051192,MSCU PT TYPE P,2640.0,1980.0,,,0
CDM,1311059,5WS SEMI-PRIVATE,2975.0,2231.25,,,0
CDM,1321058,5WS PRIVATE,3355.0,2516.25,,,0
CDM,1332006,IMCU ICU ROOM TYPE N,9013.0,6759.75,,,0
CDM,1332014,IMCU INTERMEDIATE ROOM TYPE S,5265.0,3948.75,,,0
CDM,1401009,"8WS, PRIVATE",3355.0,2516.25,,,0
CDM,1401058,"8WS, SEMI-PRIVATE",2975.0,2231.25,,,0
CDM,14200984,COR THROMBLYS INFSN,1381.0,1035.75,,,0
CDM,14211791,PL ST CERV CAROTD WO/PRD,11073.0,8304.75,,,0
CDM,14211817,PL ST CERV CAROTD WO/PRD,6724.0,5043.0,,,0
CDM,14211882,PHLEBCTMY < 10,13488.0,10116.0,,,0
CDM,1431105,9WS SEMI-PRIVATE,2975.0,2231.25,,,0
