code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CPT,0001U,Level 4 Analysis RBC Antigens,1507.0,406.89,242.48,1890.47,49
CPT,0021A,Admin Sarscv2 Monovlnt Astraznca 5x10^10vp/0.5 Ml 1st Dose,126.0,34.02,22.53,107.1,33
CPT,0022A,Admin Sarscv2 Astraznca Monovlnt 5x10^10vp/0.5 Ml 2nd Dose,126.0,34.02,22.53,107.1,33
CPT,0037U,Foundation One,6407.0,1729.89,597.95,9188.08,62
CPT,0042T,"Cerbral Perfusion Study, CT W/ Contrast",2665.0,719.55,476.5,2265.25,30
CPT,0075T,Plc Vert/Carotid Stent Init S&I,9847.0,2658.69,1584.38,9847.0,50
CPT,0076T,Plc Vert/Carotid Stent Add S&I,5056.0,1365.12,813.51,5056.0,50
CPT,0200T,Augment Sacral Inj Perc Uni,3632.0,980.64,584.39,7131.65,57
CPT,0201T,Perq Sac Aug Uni W/WO Bal/Mech Dev 2/> Ndl W/Imag & Bx,4984.0,1345.68,801.93,7131.65,59
CPT,0234T,Tlpa Renal Arty S&I,16235.0,4383.45,2612.21,16235.0,60
CPT,0235T,Tlpa Visceral Arty Ea Vssl S&I,16235.0,4383.45,2612.21,13799.75,50
CPT,0237T,Tlpa Brcp Ea Vssl S&I,16235.0,4383.45,2612.21,16235.0,60
CPT,0238T,Tlpa Iliac Arty Ea Vssl S&I,16235.0,4383.45,2612.21,17926.36,59
CPT,0241U,Nfct Ds Vir Resp Rna 4 Trgt,460.0,124.2,26.78,460.0,56
CPT,0250U,Oncology (Solid Organ Neoplasm) Targeted Genomic Sequence Dna Analysis,6276.0,1694.52,1009.81,6423.12,48
CPT,0600T,Abltj Ire 1+Tum Orgn Oth/Thn Lvr/Prst8 Img Perq,26140.0,7057.8,4205.93,26140.0,59
CPT,0866T,Quan MRI Alys Brn W/Dx MRI,3228.0,871.56,227.42,2743.8,60
CPT,0913T,Prq Tcat Ther Rx Ntrac Balo1,25503.0,6885.81,4103.43,21677.55,60
CPT,0914T,Prq Tcat Thr Rx Ntrc Bal Sep,16817.0,4540.59,2705.86,14294.45,45
CPT,10004,Fna Bx W/O Img Gdn Ea Addl,635.0,171.45,39.76,539.75,51
CPT,10005,Fna Bx W/US Gdn 1st Les,1476.0,398.52,237.49,4850.76,61
CPT,10006,Fna Bx W/US Gdn Ea Addl,1056.0,285.12,169.91,897.6,46
CPT,10007,Fna Bx W/Fluor Gdn 1st Les,1814.0,489.78,291.87,1814.0,61
CPT,10008,Fna Bx W/Fluor Gdn Ea Addl,1224.0,330.48,196.94,1040.4,46
CPT,10009,Fna Bx W/CT Gdn 1st Les,3584.0,967.68,576.67,3584.0,61
CPT,10010,Fna Bx W/CT Gdn Ea Addl,2110.0,569.7,339.5,2110.0,46
CPT,10011,Fna Bx W/MR Gdn 1st Les,4258.0,1149.66,661.97,3619.3,62
CPT,10012,Fna Bx W/MR Gdn Ea Addl,2448.0,660.96,393.88,2080.8,47
CPT,10021,Fine Needle Aspiration Bx W/O Img Gdn 1st Lesion,444.0,222.0,25.78,354.2,55
CPT,10021,"Fna WO Img, First Lesion",635.0,171.45,102.17,635.0,61
CPT,10030,Drain Abs/Hema/Lymph/Cyst W/Guide,1503.0,405.81,241.83,1503.0,61
CPT,10035,Perq Sft Tiss Loc Device Plmt 1st Les W/Gdnce,4910.0,1325.7,661.97,4910.0,61
CPT,10036,Perq Sft Tiss Loc Device Plmt Add Les W/Gdnce,2388.0,644.76,384.23,2388.0,46
CPT,10060,I&D Absc Smpl/Sngl,351.0,94.77,56.48,351.0,61
CPT,10060,Incision & Drainage Abscess Simple/Single,360.0,180.0,33.7,334.95,57
CPT,10061,I&D Absc Cmplx/Mult,644.0,173.88,103.62,644.0,61
CPT,10061,Incision & Drainage Abscess Complicated/Multiple,639.0,319.5,60.07,440.03,55
CPT,10080,I&D Pilonidal Cyst Smpl,1119.0,302.13,180.05,951.15,61
CPT,10080,Incision & Drainage Pilonidal Cyst Simple,549.0,274.5,34.44,497.0,54
CPT,10081,I&D Pilonidal Cyst Cmplx,1119.0,302.13,180.05,951.15,62
CPT,10081,Incision & Drainage Pilonidal Cyst Complicated,834.0,417.0,60.36,559.08,55
CPT,10120,Incision & Removal Foreign Body Subq Tiss Simple,468.0,234.0,33.04,401.94,57
CPT,10120,Incisn/Rmvl FB Subq Smpl,644.0,173.88,103.62,644.0,61
CPT,10121,Incision & Removal Foreign Body Subq Tiss Comp,849.0,424.5,67.65,709.92,57
CPT,10121,Incisn/Rmvl FB Sq Cmplx,1381.0,372.87,222.2,1617.5,59
CPT,10140,I&D Hema/Seroma/Fluid Coll,2588.0,698.76,416.41,2588.0,61
CPT,10140,I&D Hematoma Seroma/Fluid Collection,503.0,251.5,43.17,314.66,56
CPT,10160,Ndl Asp Absc/Hema/Bulla/Cyst,644.0,173.88,103.62,644.0,61
CPT,10160,Puncture Aspiration Abscess Hematoma Bulla/Cyst,402.0,201.0,34.76,346.26,57
CPT,10180,I&D Wnd Post-OP Cmplx,6331.0,1709.37,1018.66,6331.0,59
CPT,10180,Incision & Drainage Complex Po Wound Infection,760.0,380.0,63.7,698.61,57
CPT,11000,Dbrd Ext Infected Skin <=10%,633.0,170.91,101.85,633.0,58
CPT,11000,Dbrdmt Extensv Eczmt/Infct Skin Up 10% Bdy Surf,170.0,85.0,12.26,105.47,53
CPT,11005,Dbrdmt Skn Subq T/M/F Necro Infctj Abdl Wall,3043.0,1521.5,573.02,2081.91,57
CPT,11011,Dbrdmt W/Rmvl Fm Fx&/Dislc Skn Subq T/M/F Musc,1572.0,786.0,112.72,138.73,5
CPT,11011,Debride Assoc Open Fx/Disloc Skin/Muscle,1572.0,786.0,225.43,925.04,52
CPT,11012,Dbrdmt Fx&/Dislc Subq T/M/F Bone,2204.0,1102.0,163.13,193.75,5
CPT,11012,Debride Assoc Open Fx/Dislo Skin/Mus/Bone,2204.0,1102.0,270.65,1250.6,52
CPT,11042,Dbrd Skin & Sq Tiss<=20scm,607.0,163.89,97.67,719.38,61
CPT,11042,Debridement Subcutaneous Tissue 1st 20 Sq Cm/<,555.0,277.5,28.58,341.91,53
CPT,11043,Dbrd Mus/Fascia<=20scm,607.0,163.89,97.67,1512.9,61
CPT,11043,Debridement Muscle &/Fascia 1st 20 Sq Cm/<,817.0,408.5,61.35,617.7,66
CPT,11044,Dbrd Bn<=20scm,2961.0,799.47,476.42,2961.0,61
CPT,11044,Debridement Bone 1st 20 Sq Cm/<,962.0,481.0,105.75,826.5,57
CPT,11045,Dbrd Skin & Subq Tiss Add 20scm,689.0,186.03,110.86,689.0,46
CPT,11045,Debridement Subcutaneous Tissue Ea Addl 20 Sq Cm,119.0,59.5,14.21,107.88,57
CPT,11046,Dbrd Mus/Fascia Add 20scm,689.0,186.03,49.47,689.0,50
CPT,11046,Debridement Muscle &/Fascia Ea Addl 20 Sq Cm,222.0,111.0,30.26,193.14,57
CPT,11047,Dbrd Bn Add 20scm,2056.0,555.12,330.81,1747.6,47
CPT,11047,Debridement Bone Each Additional 20 Sq Cm,373.0,186.5,52.57,324.51,56
CPT,11055,Paring/Cutting Benign Hyperkeratotic Lesion 1,147.0,73.5,6.07,150.84,57
CPT,11055,Rmvl Benign Skin Lesn Sngl,291.0,78.57,46.82,291.0,59
CPT,11056,Paring/Cutting Benign Hyperkeratotic Lesion 2-4,180.0,90.0,12.42,169.63,55
CPT,11056,Rmvl Benign Skin Lesn 2-4,291.0,78.57,46.82,291.0,61
CPT,11057,Paring/Cutting Benign Hyperkeratotic Lesion >4,158.0,79.0,16.12,139.36,53
CPT,11057,Rmvl Benign Skin Lesn >4,291.0,78.57,46.82,291.0,61
CPT,11102,Tangential Biopsy Skin Single Lesion,380.0,190.0,16.83,228.0,51
CPT,11102,Tangntl Bx Skin Single Lesion,297.0,80.19,47.79,297.0,61
CPT,11103,Tangential Biopsy Skin Ea Sep/Additional Lesion,205.0,102.5,16.95,118.23,51
CPT,11103,Tangntl Bx Skin Lesion Ea Sep/Addl,213.0,57.51,20.04,213.0,50
CPT,11104,Punch Biopsy Skin Single Lesion,477.0,238.5,21.12,334.08,55
CPT,11104,Punch Bx Skin Single Lesion,644.0,173.88,103.62,644.0,61
CPT,11105,Punch Biopsy Skin Ea Sep/Additional Lesion,235.0,117.5,20.24,157.47,55
CPT,11105,Punch Bx Skin Ea Sep/Addl,213.0,57.51,23.33,213.0,50
CPT,11106,Incal Bx Skn Single Les,1002.0,270.54,161.22,851.7,61
CPT,11106,Incisional Biopsy Skin Single Lesion,577.0,288.5,25.67,414.12,55
CPT,11107,Incal Bx Skn Ea Sep/Addl,213.0,57.51,28.04,213.0,50
CPT,11107,Incisional Biopsy Skin Ea Sep/Additional Lesion,277.0,138.5,23.97,166.2,51
CPT,11200,Rmvl Skin Tags <=15,195.0,52.65,31.38,198.36,61
CPT,11200,Rmvl Skin Tags Mlt Fibrq Tags Any Up to&Inc 15,271.0,135.5,24.5,260.12,57
CPT,11201,Rmvl Skin Tags Addl 10,195.0,52.65,14.82,195.0,50
CPT,11400,Exc B9 Lesion Mrgn Xcp Sk Tg T/a/L 0.5 Cm/<,375.0,187.5,26.75,39.89,5
CPT,11400,Excisn Lesn Tr/Limb <=0.5cm,1929.0,520.83,310.38,1929.0,61
CPT,11400,PR Excisn Lesn Tr/Limb <=0.5cm,392.0,196.0,41.58,341.04,52
CPT,11401,Excisn Lesn Tr/Ext 0.6-1.0cm,1929.0,520.83,310.38,4439.35,62
CPT,11402,Exc B9 Lesion Mrgn Xcp Sk Tg T/a/L 1.1-2.0 Cm,506.0,253.0,39.51,54.75,5
CPT,11402,Excisn Lesn Tr/Ext 1.1-2.0cm,1929.0,520.83,310.38,1929.0,62
CPT,11402,PR Excisn Skin Lesn Tr/Ext1.1-2cm,526.0,263.0,52.89,457.62,52
CPT,11403,Exc B9 Lesion Mrgn Xcp Sk Tg T/a/L 2.1-3.0 Cm,586.0,293.0,50.26,70.76,5
CPT,11403,Excisn Lesn Tr/Ext 2.1-3.0cm,1929.0,520.83,310.38,1929.0,62
CPT,11403,PR Excisn Lesn Tr/Ext 2.1-3.0cm,606.0,303.0,50.26,527.22,52
CPT,11404,Excisn Lesn Tr/Ext 3.1-4.0cm,4443.0,1199.61,714.88,4443.0,62
CPT,11406,Excisn Lesn Tr/Ext >4cm,4443.0,1199.61,714.88,5129.83,60
CPT,11420,Exc B9 Lesion Mrgn Xcp Sk Tg S/N/H/F/G 0.5 Cm/<,375.0,187.5,29.0,39.06,5
CPT,11420,Excisn Lesn Sclp/Nk/Hd/Ft<=0.5cm,4040.0,1090.8,650.04,4040.0,60
CPT,11420,PR Excisn Lesn Sclp/Nk/Hd/Ft<=0.5,391.0,195.5,28.92,340.17,52
CPT,11421,Exc B9 Lesion Mrgn Xcp Sk Tg S/N/H/F/G 0.6-1.0cm,483.0,241.5,39.25,51.78,5
CPT,11421,Excisn Lesn Sclp/Nk/Hd/Ft 0.6-1.0cm,1929.0,520.83,310.38,9997.87,60
CPT,11421,PR Excisn Lesn Sclp/Nk/Hd/Ft0.6-1,491.0,245.5,78.49,427.17,52
CPT,11422,Exc B9 Lesion Mrgn Xcp Sk Tg S/N/H/F/G 1.1-2.0cm,539.0,269.5,47.33,64.35,5
CPT,11422,Excisn Lesn Sclp/Nk/Hd/Ft 1.1-2cm,4040.0,1090.8,650.04,4040.0,62
CPT,11422,PR Excisn Lesn Sclp/Nk/Hd/Ft1.1-2,550.0,275.0,54.7,478.5,52
CPT,11423,Exc B9 Lesion Mrgn Xcp Sk Tg S/N/H/F/G 2.1-3.0cm,621.0,310.5,55.28,74.42,5
CPT,11423,Excisn Lesn Sclp/Nk/Hd/Ft 2.1-3cm,4443.0,1199.61,714.88,4443.0,62
CPT,11423,PR Excisn Lesn Sclp/Nk/Hd/Ft2.1-3,628.0,314.0,55.28,546.36,52
CPT,11424,Excisn Lesn Sclp/Nk/Hd/Ft 3.1-4cm,4040.0,1090.8,650.04,4040.0,61
CPT,11426,Exc B9 Lesion Mrgn Xcp Sk Tg S/N/H/F/G > 4.0cm,1030.0,515.0,97.62,126.52,5
CPT,11426,Excisn Lesn Sclp/Nk/Hd/Ft >4.0cm,7079.0,1911.33,1139.01,7079.0,60
CPT,11426,PR Excisn Lesn Sclp/Nk/Hd/Ft>4.0,1030.0,515.0,97.62,882.18,52
CPT,11440,Exc B9 Lesion Mrgn Xcp Sk Tg F/E/E/N/L/M 0.5cm/<,415.0,207.5,34.66,190.97,20
CPT,11440,Excisn Lesn Feeynolm <=0.5cm,1753.0,473.31,282.06,1753.0,60
CPT,11441,Excisn Lesn Feeynolm 0.6-1.0cm,1929.0,520.83,310.38,1929.0,62
CPT,11442,Exc B9 Les Mrgn Xcp Sk Tg F/E/E/N/L/M 1.1-2.0cm,578.0,289.0,50.93,257.96,20
CPT,11442,Excisn Lesn Feeynolm 1.1-2.0cm,1929.0,520.83,310.38,1929.0,62
CPT,11443,Excisn Lesn Feeynolm 2.1-3.0cm,4443.0,1199.61,714.88,4443.0,62
CPT,11444,Excisn Lesn Feeynolm 3.1-4.0cm,4040.0,1090.8,205.97,4040.0,59
CPT,11446,Excisn Lesn Feeynolm >4cm,7079.0,1911.33,1139.01,7079.0,50
CPT,11600,Excisn Lesn Mlg Tr/Lmb <=0.5cm,1753.0,473.31,282.06,1753.0,62
CPT,11601,Excisn Lesn Mlg Tr/Lmb 0.6-1.0cm,1753.0,473.31,282.06,1753.0,62
CPT,11602,Excsn Lesn Mlg Tr/Lmb 1.1-2cm,1093.0,295.11,175.86,929.05,62
CPT,11603,Excisn Lesn Mlg Tr/Lmb 2.1-3cm,1753.0,473.31,282.06,1753.0,62
CPT,11604,Excisn Lesn Mlg Tr/Lmb 3.1-4cm,1753.0,473.31,282.06,1753.0,62
CPT,11606,Excisn Lesn Mlg Tr/Lmb >4cm,4040.0,1090.8,650.04,4040.0,62
CPT,11620,Excisn Lesn Mlg S/N/H/F/G <=.5cm,4040.0,1090.8,650.04,3434.0,63
CPT,11621,Excisn Lesn Mlg S/N/H/F/G 0.6-1.0cm,1753.0,473.31,282.06,1753.0,62
CPT,11622,Excision Malignant Lesion S/N/H/F/G 1.1-2.0 Cm,785.0,392.5,60.95,79.85,5
CPT,11622,Excn Mal Les S/N/H/F/G 1.1-2cm,1753.0,473.31,282.06,1753.0,60
CPT,11622,PR Excsn Lesn Mlg Nck/Ext 1.1-2,785.0,392.5,121.9,501.48,48
CPT,11623,Excisn Lesn Mlg S/N/H/F/G 2.1-3.0cm,3921.0,1058.67,630.89,3416.19,63
CPT,11624,Excn Mal Lesn S/N/H/F/G 3.1-4cm,4040.0,1090.8,650.04,3434.0,63
CPT,11626,Exc Skin Malig >4 Cm Remaindr Body,1246.0,623.0,214.24,800.72,48
CPT,11626,Excision Malignant Lesion S/N/H/F/G >4.0 Cm,1246.0,623.0,107.12,190.52,5
CPT,11626,Excisn Lesn Mlg S/N/H/F/G >4cm,7079.0,1911.33,1139.01,7079.0,50
CPT,11640,Excisn Lesn Mlg Feeynolm <=0.5cm,1753.0,473.31,282.06,1753.0,62
CPT,11641,Excisn Lesn Mlg Feeynolm 0.6-1.0cm,1753.0,473.31,282.06,1490.05,63
CPT,11642,Excisn Lesn Mlg Feeynolm 1.1-2.0cm,1753.0,473.31,282.06,1753.0,62
CPT,11643,Excisn Lesn Mlg Feeynolm 2.1-3.0cm,4040.0,1090.8,650.04,3434.0,63
CPT,11646,"Exc Skin Malig >4 Cm Face,Facial",6755.0,1823.85,1086.88,6755.0,62
CPT,11719,PR Trim Nondystrophic Nails,54.0,27.0,3.02,42.07,49
CPT,11719,Trim Nondystrophic Nails,84.0,22.68,13.52,84.0,62
CPT,11719,Trimming Nondystrophic Nails Any Number,54.0,27.0,3.46,6.8,5
CPT,11720,Dbrd Nail(S) 1-5,178.0,48.06,28.64,178.0,62
CPT,11720,Debridement Nail Any Method 1-5,100.0,50.0,12.96,31.04,5
CPT,11720,PR Dbrd Nail(S) 1-5,100.0,50.0,11.45,61.2,49
CPT,11721,Dbrd Nails >5,150.0,40.5,24.14,150.0,62
CPT,11721,Debridement Nail Any Method 6/>,130.0,65.0,22.15,42.29,5
CPT,11721,Debridement of Nails  6 or More,130.0,65.0,20.29,98.09,26
CPT,11721,"Debridement of Nails, 6 or More",130.0,65.0,20.64,113.1,26
CPT,11730,Avul Nail Plate Smpl Sngl,312.0,84.24,50.2,312.0,62
CPT,11730,Avulsion Nail Plate Partial/Complete Simple 1,308.0,154.0,22.45,172.66,31
CPT,11730,PR Avul Nail Plate Smpl,308.0,154.0,44.9,230.59,25
CPT,11732,Avul Nail Plate Smpl Add,272.0,73.44,15.63,272.0,52
CPT,11732,Avulsion Nail Plate Partial/Comp Simple Ea Addl,130.0,65.0,23.34,31.19,5
CPT,11732,PR Avul Nail Plate Smpl Add,130.0,65.0,14.56,88.63,48
CPT,11740,Evac Subungual Hema,129.0,34.83,20.76,129.0,61
CPT,11740,Evacuation Subungual Hematoma,153.0,76.5,11.57,15.28,5
CPT,11740,PR Evac Subungual Hema,153.0,76.5,23.14,90.66,50
CPT,11750,Excision Nail&Nail Matrix Prtl/Compl Perm Rmvl,669.0,334.5,48.54,63.86,5
CPT,11750,Excisn Nail Bed Partial/Complt,1093.0,295.11,175.86,929.05,61
CPT,11750,PR Excsn Nail Bed Partl/Cmplt,669.0,334.5,63.86,582.03,52
CPT,11760,PR Rpr Nail Bed,678.0,339.0,75.66,459.4,50
CPT,11760,Repair Nail Bed,678.0,339.0,47.47,51.89,5
CPT,11760,Rpr Nail Bed,1722.0,464.94,277.07,1722.0,59
CPT,11765,Excisn Ingrown Toenail,1093.0,295.11,175.86,929.05,59
CPT,11765,PR Excsn Skin of Nail Fold,505.0,252.5,36.91,403.15,50
CPT,11765,Wedge Excision Skin Nail Fold,505.0,252.5,24.37,44.22,5
CPT,11900,Inj Intralesns <=7 Lesns,215.0,58.05,34.59,215.0,61
CPT,11900,Injection Intralesional Up to & Includ 7 Lesions,170.0,85.0,11.56,14.1,5
CPT,11900,PR Inj Intralesns <=7 Lesns,175.0,87.5,23.09,127.08,52
CPT,11901,Inj Intralesnas >7 Lesions,322.0,86.94,51.81,322.0,61
CPT,11901,Injection Intralesional >7 Lesions,222.0,111.0,17.98,33.16,5
CPT,11901,PR Inj Intralesns >7 Lesns,222.0,111.0,35.03,187.05,52
CPT,11920,Tattoo Incl Micropig<= 6.0 Scm,445.0,120.15,71.6,611.09,61
