code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CPT,0001U,Level 4 Analysis RBC Antigens,1507.0,406.89,340.73,1890.47,55
CPT,0021A,Admin Sarscv2 Monovlnt Astraznca 5x10^10vp/0.5 Ml 1st Dose,126.0,34.02,28.98,108.86,32
CPT,0022A,Admin Sarscv2 Astraznca Monovlnt 5x10^10vp/0.5 Ml 2nd Dose,126.0,34.02,28.98,108.86,32
CPT,0026U,Onc Thyr Dna&Mrna 112 Genes Fna Ndul Alg Alys,18753.0,5063.31,3276.0,15940.05,66
CPT,0037U,Foundation One,6407.0,1729.89,840.08,9188.08,66
CPT,0042T,"Cerbral Perfusion Study, CT W/ Contrast",2665.0,719.55,612.95,2265.25,29
CPT,0071T,Ablate US Leiomyomata Tiss <200cc,16335.0,4410.45,2954.96,14113.44,65
CPT,0072T,Ablate US Leiomyomata Tiss >200cc,20512.0,5538.24,2954.96,17722.37,65
CPT,0075T,Plc Vert/Carotid Stent Init S&I,9847.0,2658.69,2226.41,9847.0,55
CPT,0076T,Plc Vert/Carotid Stent Add S&I,5056.0,1365.12,1143.16,5056.0,55
CPT,0200T,Augment Sacral Inj Perc Uni,6337.0,1710.99,1432.8,7096.86,62
CPT,0201T,Perq Sac Aug Uni W/WO Bal/Mech Dev 2/> Ndl W/Imag & Bx,4984.0,1345.68,1126.88,7096.86,64
CPT,0232T,Prp Injection Spine,3451.25,931.84,383.91,4141.5,64
CPT,0232T,Prp Injection Spine|BILATERAL PROCEDURE,4141.5,1118.21,383.91,4141.5,64
CPT,0234T,Tlpa Renal Arty S&I,16235.0,4383.45,3670.73,16235.0,65
CPT,0235T,Tlpa Visceral Arty Ea Vssl S&I,16235.0,4383.45,3670.73,13799.75,55
CPT,0236T,Tlpa Abd Aorta S&I,16235.0,4383.45,3670.73,16235.0,65
CPT,0237T,Tlpa Brcp Ea Vssl S&I,16235.0,4383.45,3670.73,16235.0,65
CPT,0238T,Tlpa Iliac Arty Ea Vssl S&I,16235.0,4383.45,3670.73,17838.91,64
CPT,0241U,Nfct Ds Vir Resp Rna 4 Trgt,460.0,124.2,37.62,460.0,60
CPT,0250U,Oncology (Solid Organ Neoplasm) Targeted Genomic Sequence Dna Analysis,6276.0,1694.52,1419.0,6423.12,54
CPT,0338T,Transcatheter Renal Sympath Denervation Unilat,12560.0,3391.2,2839.82,10851.84,20
CPT,0441T,Abltj Perc Cryoabltj Img Gdn Lxtr/Perph Nerve,14325.0,3867.75,1814.84,12376.8,64
CPT,0442T,Abltj Perc Cryoabltj Img Gdn Nrv Plex/Trncl Nrv,11773.0,3178.71,2661.88,10171.87,64
CPT,0569T,Ttvr Percutaneous Approach Initial Prosthesis,19282.0,5206.14,4359.66,16659.65,55
CPT,0570T,Ttvr Percutaneous Approach Each Addl Prosthesis,10479.0,2829.33,2369.3,9053.86,55
CPT,0600T,Abltj Ire 1+Tum Orgn Oth/Thn Lvr/Prst8 Img Perq,26140.0,7057.8,4870.27,26140.0,64
CPT,0644T,Tcat Rmvl/Debulk Icar Mass Suction Device Perq,10961.0,2959.47,2478.28,9470.3,65
CPT,0654T,Egd Flexible Transnasal W/Insj Intral Tube/Cath,4962.0,1339.74,1121.91,4962.0,64
CPT,0662T,Scalp Cool 1st Meas&Calbrj,7407.0,1999.89,1684.12,6399.65,39
CPT,0695T,Bdy Srf Mpg Pm/Cvdfb Tm Impl,417.0,112.59,95.91,360.29,38
CPT,0696T,Bdy Surf Activation Mapg Pm/Cvdfb Leads Tm F/Up,391.0,105.57,34.66,337.82,65
CPT,0708T,ID Ca Immntx Prep & 1st Njx,72.0,19.44,16.28,62.21,55
CPT,0709T,ID Ca Immntx Each Addl Njx,72.0,19.44,16.28,62.21,55
CPT,0796T,Tcat Insj Perm 2chmbr Ldls Pm R Atr Pm Compnt,23558.0,6360.66,5326.46,23558.0,65
CPT,0823T,Tcat Insj Perm 1chmbr Ldls Pacemaker R Atrial,22757.0,6144.39,5145.36,19662.05,20
CPT,0866T,Quan MRI Alys Brn W/Dx MRI,3228.0,871.56,224.65,2743.8,65
CPT,0911T,Elec Aly Nstm Sys Vgs Nrv WO,346.0,93.42,78.23,298.94,55
CPT,0912T,Elec Alys Nstim Sys Vgs Smpl,509.0,137.43,115.08,439.78,55
CPT,0913T,Prq Tcat Ther Rx Ntrac Balo1,25503.0,6885.81,5298.82,22034.59,65
CPT,0914T,Prq Tcat Thr Rx Ntrc Bal Sep,16817.0,4540.59,3867.91,14529.89,38
CPT,0981T,Fire1,9660.0,2608.2,2184.13,17707.7,20
CPT,10004,Fna Bx W/O Img Gdn Ea Addl,635.0,171.45,39.76,548.64,43
CPT,10005,Fna Bx W/US Gdn 1st Les,1476.0,398.52,333.72,1275.26,65
CPT,10006,Fna Bx W/US Gdn Ea Addl,1056.0,285.12,54.57,912.38,42
CPT,10007,Fna Bx W/Fluor Gdn 1st Les,1814.0,489.78,410.15,1814.0,65
CPT,10008,Fna Bx W/Fluor Gdn Ea Addl,1224.0,330.48,281.52,1057.54,39
CPT,10009,Fna Bx W/CT Gdn 1st Les,3584.0,967.68,653.89,3584.0,65
CPT,10010,Fna Bx W/CT Gdn Ea Addl,2110.0,569.7,485.3,2110.0,38
CPT,10011,Fna Bx W/MR Gdn 1st Les,4258.0,1149.66,653.89,3678.91,66
CPT,10012,Fna Bx W/MR Gdn Ea Addl,2448.0,660.96,563.04,2115.07,39
CPT,10021,Fine Needle Aspiration Bx W/O Img Gdn 1st Lesion,460.0,230.0,43.87,386.28,57
CPT,10021,"Fna WO Img, First Lesion",635.0,171.45,143.57,635.0,65
CPT,10030,Drain Abs/Hema/Lymph/Cyst W/Guide,1503.0,405.81,339.83,1298.59,65
CPT,10035,Perq Sft Tiss Loc Device Plmt 1st Les W/Gdnce,4910.0,1325.7,653.89,4910.0,65
CPT,10036,Perq Sft Tiss Loc Device Plmt Add Les W/Gdnce,2388.0,644.76,549.24,2388.0,38
CPT,10040,Extraction,175.0,47.25,39.57,197.4,66
CPT,10060,I&D Absc Smpl/Sngl,351.0,94.77,79.36,421.89,65
CPT,10060,Incision & Drainage Abscess Simple/Single,445.5,222.75,38.87,334.95,66
CPT,10061,I&D Absc Cmplx/Mult,644.0,173.88,145.61,3719.83,65
CPT,10061,Incision & Drainage Abscess Complicated/Multiple,763.5,381.75,66.93,568.11,57
CPT,10080,I&D Pilonidal Cyst Smpl,1119.0,302.13,253.01,966.82,65
CPT,10080,Incision & Drainage Pilonidal Cyst Simple,767.0,383.5,49.65,667.29,57
CPT,10081,I&D Pilonidal Cyst Cmplx,1119.0,302.13,253.01,966.82,66
CPT,10081,Incision & Drainage Pilonidal Cyst Complicated,1051.0,525.5,80.41,914.37,57
CPT,10120,Incision & Removal Foreign Body Subq Tiss Simple,484.5,242.25,47.45,401.94,57
CPT,10120,Incisn/Rmvl FB Subq Smpl,644.0,173.88,145.61,644.0,65
CPT,10121,Incision & Removal Foreign Body Subq Tiss Comp,858.5,429.25,86.71,764.1,57
CPT,10121,Incisn/Rmvl FB Sq Cmplx,3392.0,915.84,766.93,3392.0,63
CPT,10140,I&D Hema/Seroma/Fluid Coll,2588.0,698.76,585.15,6384.94,65
CPT,10140,I&D Hematoma Seroma/Fluid Collection,539.5,269.75,54.15,450.66,57
CPT,10160,Ndl Asp Absc/Hema/Bulla/Cyst,805.0,217.35,218.41,966.0,65
CPT,10160,Ndl Asp Absc/Hema/Bulla/Cyst|BILATERAL PROCEDURE,966.0,260.82,218.41,966.0,65
CPT,10160,Puncture Aspiration Abscess Hematoma Bulla/Cyst,429.5,214.75,44.41,346.26,57
CPT,10180,I&D Wnd Post-OP Cmplx,6331.0,1709.37,1431.44,6331.0,65
CPT,10180,Incision & Drainage Complex Po Wound Infection,820.0,410.0,82.03,698.61,57
CPT,11000,Dbrd Ext Infected Skin <=10%,633.0,170.91,143.12,633.0,62
CPT,11000,Dbrdmt Extensv Eczmt/Infct Skin Up 10% Bdy Surf,178.0,89.0,19.26,154.86,57
CPT,11001,Dbrd Inf Skin Each Add 10%,374.0,100.98,86.02,323.14,39
CPT,11005,Dbrdmt Skn Subq T/M/F Necro Infctj Abdl Wall,3303.5,1651.75,573.02,2081.91,57
CPT,11010,Dbrd Opn Fx Skin/Sq Tiss,1930.0,521.1,239.78,1930.0,63
CPT,11011,Dbrd Opn Fx Skin/Subq Tiss/Mus,1668.0,450.36,257.79,1668.0,63
CPT,11011,Dbrdmt W/Rmvl Fm Fx&/Dislc Skn Subq T/M/F Musc,1572.0,786.0,184.61,233.21,5
CPT,11011,Debride Assoc Open Fx/Disloc Skin/Muscle,1572.0,786.0,225.43,1366.77,51
CPT,11012,Dbrd Opn Fx Subq Tiss/Mus/Bn,1707.0,460.89,385.95,2843.27,63
CPT,11012,Dbrdmt Fx&/Dislc Subq T/M/F Bone,2204.0,1102.0,252.24,303.8,5
CPT,11012,Debride Assoc Open Fx/Dislo Skin/Mus/Bone,2204.0,1102.0,270.65,1838.31,52
CPT,11042,Dbrd Skin & Sq Tiss<=20scm,862.0,232.74,194.9,957.98,65
CPT,11042,Debridement Subcutaneous Tissue 1st 20 Sq Cm/<,555.0,277.5,26.63,341.91,57
CPT,11043,Dbrd Mus/Fascia<=20scm,758.0,204.66,171.38,758.0,65
CPT,11043,Debridement Muscle &/Fascia 1st 20 Sq Cm/<,817.0,408.5,69.72,639.06,57
CPT,11044,Dbrd Bn<=20scm,2961.0,799.47,669.48,2961.0,62
CPT,11044,Debridement Bone 1st 20 Sq Cm/<,1010.0,505.0,132.72,952.2,57
CPT,11045,Dbrd Skin & Subq Tiss Add 20scm,758.0,204.66,174.34,758.0,38
CPT,11045,Debridement Subcutaneous Tissue Ea Addl 20 Sq Cm,124.0,62.0,14.21,98.58,57
CPT,11046,Dbrd Mus/Fascia Add 20scm,758.0,204.66,49.47,758.0,42
CPT,11046,Debridement Muscle &/Fascia Ea Addl 20 Sq Cm,239.0,119.5,30.26,407.99,57
CPT,11047,Dbrd Bn Add 20scm,2262.0,610.74,520.26,1954.37,39
CPT,11047,Debridement Bone Each Additional 20 Sq Cm,412.0,206.0,52.57,901.7,57
CPT,11055,Paring/Cutting Benign Hyperkeratotic Lesion 1,218.0,109.0,7.39,97.62,57
CPT,11055,Rmvl Benign Skin Lesn Sngl,320.0,86.4,72.35,320.0,63
CPT,11056,Paring/Cutting Benign Hyperkeratotic Lesion 2-4,251.0,125.5,19.09,218.37,57
CPT,11056,Rmvl Benign Skin Lesn 2-4,320.0,86.4,72.35,320.0,65
CPT,11057,Paring/Cutting Benign Hyperkeratotic Lesion >4,275.0,137.5,24.6,239.25,57
CPT,11057,Rmvl Benign Skin Lesn >4,320.0,86.4,72.35,320.0,65
CPT,11102,Tangential Biopsy Skin Single Lesion,380.0,190.0,28.89,269.7,60
CPT,11102,Tangntl Bx Skin Single Lesion,297.0,80.19,67.15,297.0,65
CPT,11103,Tangential Biopsy Skin Ea Sep/Additional Lesion,205.0,102.5,16.95,137.46,55
CPT,11103,Tangntl Bx Skin Lesion Ea Sep/Addl,213.0,57.51,20.04,317.57,43
CPT,11104,Punch Biopsy Skin Single Lesion,477.0,238.5,36.45,346.13,64
CPT,11104,Punch Bx Skin Single Lesion,644.0,173.88,145.61,780.21,65
CPT,11105,Punch Biopsy Skin Ea Sep/Additional Lesion,235.0,117.5,20.24,309.14,64
CPT,11105,Punch Bx Skin Ea Sep/Addl,213.0,57.51,23.33,213.0,43
CPT,11106,Incal Bx Skn Single Les,1002.0,270.54,226.55,868.74,65
CPT,11106,Incisional Biopsy Skin Single Lesion,577.0,288.5,44.33,418.73,60
CPT,11107,Incal Bx Skn Ea Sep/Addl,213.0,57.51,28.04,213.0,42
CPT,11107,Incisional Biopsy Skin Ea Sep/Additional Lesion,277.0,138.5,23.97,190.53,55
CPT,11200,Rmvl Skin Tags <=15,405.0,109.35,70.0,486.0,65
CPT,11200,Rmvl Skin Tags <=15|BILATERAL PROCEDURE,486.0,131.22,70.0,486.0,65
CPT,11200,Rmvl Skin Tags Mlt Fibrq Tags Any Up to&Inc 15,321.5,160.75,28.84,243.6,62
CPT,11201,Rmvl Skin Tags Addl 10,241.0,65.07,14.82,241.0,42
CPT,11300,Shave Ext Lesn Trnk/Extr <=0.5cm,321.0,86.67,72.58,396.91,65
CPT,11301,Shave Ext Lesn Trnk/Extr 0.6-1.0cm,321.0,86.67,72.58,321.0,65
CPT,11302,Shave Ext Lesn Trnk/Extr 1.1-2.0cm,321.0,86.67,72.58,321.0,65
CPT,11303,Shave Ext Lesn Trnk/Extr >2.0cm,526.0,142.02,118.93,526.0,66
CPT,11305,Shave S/N/H/F/G Lesn <=0.5cm,277.0,74.79,62.63,277.0,65
CPT,11306,Shave S/N/H/F/G Lesn 0.6-1.0cm,316.0,85.32,71.45,316.0,65
CPT,11307,Shave S/N/H/F/G Lesn 1.1-2.0cm,356.0,96.12,80.49,356.0,65
CPT,11308,Shave S/N/H/F/G Lesn > 2.0cm,526.0,142.02,118.93,526.0,65
CPT,11310,Shave Feeynolm Lesn <=0.5cm,314.0,84.78,71.0,314.0,65
CPT,11311,Shave Feeynolm Lesn 0.6-1.0cm,321.0,86.67,72.58,321.0,65
CPT,11312,Shave Feeynolm Lesn 1.1-2.0cm,565.0,152.55,127.75,565.0,65
