code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-11000001,Private Room,3013.0,696.0,,,0
CDM,PX-11000002,Private Room W/Telemetry,3245.0,749.6,,,0
CDM,PX-11000004,Private OB Room,2665.0,615.62,,,0
CDM,PX-11000005,Private Pediatric Room,4403.0,1017.09,,,0
CDM,PX-11000006,Private Hospice Room,2664.0,615.38,,,0
CDM,PX-11000008,Private Cancer Room,3013.0,696.0,,,0
CDM,PX-11000009,Private Cancer Room W/ Telemetry,3360.0,776.16,,,0
CDM,PX-11000010,Private Rehab Room,3593.0,829.98,,,0
CDM,PX-11000011,Private Rehab Room W/ Telemetry,3822.0,882.88,,,0
CDM,PX-11000012,OB-No Charge OP,0.01,,,,0
CDM,PX-11000013,OB-Min Charge IP,1.0,0.23,,,0
CDM,PX-11000014,Antepartum L&D,3360.0,776.16,,,0
CDM,PX-11000015,Mv Post Partum Private,2664.0,615.38,,,0
CDM,PX-11000016,Mv Ante Partum Private,3359.0,775.93,,,0
CDM,PX-11000017,Mv Private,2780.0,642.18,,,0
CDM,PX-11000018,No Charge IP,0.01,,,,0
CDM,PX-12000001,Semi-Private Room,2665.0,615.62,,,0
CDM,PX-12000002,Semi-Private Room W/Telemetry,2897.0,669.21,,,0
CDM,PX-12000003,Semi-Private Pediatric Room,4403.0,1017.09,,,0
CDM,PX-12000004,Semi-Private Hospice Room,2664.0,615.38,,,0
CDM,PX-12000005,Semi-Private Rehab Room,2780.0,642.18,,,0
CDM,PX-12000006,Semi-Private Psychiatric,2433.0,562.02,,,0
CDM,PX-12000007,Med/Surg/Gyn Semi-Private,2318.0,535.46,,,0
CDM,PX-12000008,Psychiatric Semi-Private,3012.0,695.77,,,0
CDM,PX-12000014,OB Semi-Private,1853.0,428.04,,,0
CDM,PX-17000001,Newborn Care,2318.0,535.46,,,0
CDM,PX-17000002,Nursery Newborn Level 1 Room,3360.0,776.16,,,0
CDM,PX-17000003,Nursery Newborn Level 2 Room,6719.0,1552.09,,,0
CDM,PX-17000004,Nursery Newborn Level 3 Room,8110.0,1873.41,,,0
CDM,PX-17000005,Nursery Newborn Level 4 Room,9501.0,2194.73,,,0
CDM,PX-20000001,Icu Room,4982.0,1150.84,,,0
CDM,PX-20000002,Icu Intermediate Room,3593.0,829.98,,,0
CDM,PX-20000005,Ste Icu Level Four,4169.0,963.04,,,0
CDM,PX-20000007,Icu Trauma Room,5793.0,1338.18,,,0
CDM,PX-20000008,Imcu Trauma Room,5445.0,1257.8,,,0
CDM,PX-20000009,Coronary Care Trauma Room,5793.0,1338.18,,,0
CDM,PX-20000010,Cardiac Progress Care Trauma Room,5444.0,1257.56,,,0
CDM,PX-20000011,Cardiac Surgical Trauma Room - In,5792.0,1337.95,,,0
CDM,PX-20000012,Progressive Cardiac Surgi Trauma Room,5444.0,1257.56,,,0
CDM,PX-21000001,Coronary Care Room,4287.0,990.3,,,0
CDM,PX-21000002,Coronary Care Mci Room,6719.0,1552.09,,,0
CDM,PX-21000003,Coronary Care Intermediate Room,2897.0,669.21,,,0
CDM,PX-21000004,Coronary Care Intermediate Room W/Telemetry,3013.0,696.0,,,0
CDM,PX-21000005,Ste Ccu Level Four,5096.0,1177.18,,,0
CDM,PX-21000006,Ste Ccu Level Three,5792.0,1337.95,,,0
CDM,PX-21000007,Ste Ccu Level One,8108.0,1872.95,,,0
CDM,PX-21000008,Ste Ccu Level Two,6371.0,1471.7,,,0
CDM,PX-24000001,"Pace Adult Day Care, per Half Day",88.0,20.33,35.2,88.0,134
CDM,PX-25000015,Phys Therapy Med Charge,49.0,11.32,19.6,49.0,134
CDM,PX-25000016,IV Sol Lactated Ringers 1000 Ml,132.0,30.49,52.8,132.0,54
CDM,PX-25000017,IV Sol Lactated Ringers 500 Ml,132.0,30.49,52.8,132.0,54
CDM,PX-25000018,IV Sol Sodium Chloride 0.9% 1000cc,132.0,30.49,52.8,132.0,54
CDM,PX-25000019,IV Sol Sodium Chloride 0.9% 500 Ml,132.0,30.49,52.8,132.0,54
CDM,PX-25000020,IV Sol Sodium Chloride 0.9% Visiv 500 Ml,132.0,30.49,52.8,132.0,54
CDM,PX-25000043,Atropine 1mg 10ml Luer Jets X,34.0,7.85,13.6,34.0,54
CDM,PX-25000045,Sodium Bicarbonate 4.2g Luer,30.0,6.93,12.0,30.0,54
CDM,PX-25000069,Dobutamine 250mg 20ml Vial,36.0,8.32,14.4,36.0,54
