code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedure,,,,,0
APR-DRG,0011,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,51493.23,54067.89,14
APR-DRG,0012,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,59222.75,62183.89,14
APR-DRG,0013,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,73721.62,77407.7,14
APR-DRG,0014,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,157591.25,165470.81,14
APR-DRG,0021,HEART AND/OR LUNG TRANSPLANT,,,97800.81,102690.85,14
APR-DRG,0022,HEART AND/OR LUNG TRANSPLANT,,,106346.23,111663.54,14
APR-DRG,0023,HEART AND/OR LUNG TRANSPLANT,,,146130.09,153436.59,14
APR-DRG,0024,HEART AND/OR LUNG TRANSPLANT,,,260252.21,273264.82,14
APR-DRG,0041,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,53742.52,56429.65,14
APR-DRG,0042,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,60560.82,63588.86,14
APR-DRG,0043,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,98142.63,103049.76,14
APR-DRG,0044,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,156510.84,164336.38,14
APR-DRG,0051,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,36152.7,37960.34,14
APR-DRG,0052,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,46562.65,48890.78,14
APR-DRG,0053,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,70519.02,74044.97,14
APR-DRG,0054,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,102088.12,107192.53,14
APR-DRG,0061,PANCREAS TRANSPLANT,,,48226.22,50637.53,14
APR-DRG,0062,PANCREAS TRANSPLANT,,,64485.7,67709.99,14
APR-DRG,0063,PANCREAS TRANSPLANT,,,80537.35,84564.22,14
APR-DRG,0064,PANCREAS TRANSPLANT,,,113366.35,119034.67,14
APR-DRG,0071,ALLOGENEIC BONE MARROW TRANSPLANT,,,65975.78,69274.57,14
APR-DRG,0072,ALLOGENEIC BONE MARROW TRANSPLANT,,,69448.06,72920.46,14
APR-DRG,0073,ALLOGENEIC BONE MARROW TRANSPLANT,,,86605.88,90936.17,14
APR-DRG,0074,ALLOGENEIC BONE MARROW TRANSPLANT,,,177203.63,186063.81,14
APR-DRG,0081,AUTOLOGOUS BONE MARROW TRANSPLANT,,,26483.07,27807.22,14
APR-DRG,0082,AUTOLOGOUS BONE MARROW TRANSPLANT,,,37753.57,39641.25,14
APR-DRG,0083,AUTOLOGOUS BONE MARROW TRANSPLANT,,,44813.2,47053.86,14
APR-DRG,0084,AUTOLOGOUS BONE MARROW TRANSPLANT,,,87829.72,92221.21,14
APR-DRG,0091,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,43550.71,45728.25,14
APR-DRG,0092,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,45842.09,48134.19,14
APR-DRG,0093,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,75986.37,79785.69,14
APR-DRG,0094,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,176315.6,185131.38,14
APR-DRG,0111,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,52254.16,54866.87,14
APR-DRG,0112,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,114592.77,120322.41,14
APR-DRG,0113,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,133459.68,140132.66,14
APR-DRG,0114,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,228840.29,240282.3,14
APR-DRG,0201,OPEN CRANIOTOMY FOR TRAUMA,,,19692.25,20676.86,14
APR-DRG,0202,OPEN CRANIOTOMY FOR TRAUMA,,,22748.85,23886.29,14
APR-DRG,0203,OPEN CRANIOTOMY FOR TRAUMA,,,32542.15,34169.26,14
APR-DRG,0204,OPEN CRANIOTOMY FOR TRAUMA,,,52241.28,54853.34,14
APR-DRG,0211,OPEN CRANIOTOMY EXCEPT TRAUMA,,,18495.89,19420.68,14
APR-DRG,0212,OPEN CRANIOTOMY EXCEPT TRAUMA,,,23861.9,25055.0,14
APR-DRG,0213,OPEN CRANIOTOMY EXCEPT TRAUMA,,,36032.46,37834.08,14
APR-DRG,0214,OPEN CRANIOTOMY EXCEPT TRAUMA,,,58310.67,61226.2,14
APR-DRG,0221,VENTRICULAR SHUNT PROCEDURES,,,12180.01,12789.01,14
APR-DRG,0222,VENTRICULAR SHUNT PROCEDURES,,,14907.68,15653.06,14
APR-DRG,0223,VENTRICULAR SHUNT PROCEDURES,,,23002.2,24152.31,14
APR-DRG,0224,VENTRICULAR SHUNT PROCEDURES,,,45185.94,47445.24,14
APR-DRG,0231,SPINAL PROCEDURES,,,15894.48,16689.2,14
APR-DRG,0232,SPINAL PROCEDURES,,,20442.87,21465.01,14
APR-DRG,0233,SPINAL PROCEDURES,,,33909.42,35604.89,14
APR-DRG,0234,SPINAL PROCEDURES,,,53535.54,56212.32,14
APR-DRG,0241,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,8616.7,9047.54,14
APR-DRG,0242,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,11589.99,12169.49,14
APR-DRG,0243,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,20878.3,21922.22,14
APR-DRG,0244,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,38018.09,39918.99,14
APR-DRG,0261,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES,,,12441.1,13063.16,14
APR-DRG,0262,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES,,,15925.4,16721.67,14
APR-DRG,0263,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES,,,23751.11,24938.67,14
APR-DRG,0264,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES,,,44354.59,46572.32,14
APR-DRG,0271,OTHER OPEN CRANIOTOMY,,,16684.61,17518.84,14
APR-DRG,0272,OTHER OPEN CRANIOTOMY,,,18871.2,19814.76,14
