code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APR-DRG,001 - 1,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,57925.76,69510.91,7
APR-DRG,001 - 2,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,541196.94,270598.47,65935.15,460017.4,17
APR-DRG,001 - 3,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,789465.06,394732.53,85319.29,671045.3,17
APR-DRG,001 - 4,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,2539056.5,1269528.25,164335.26,2158198.02,17
APR-DRG,002 - 1,HEART AND/OR LUNG TRANSPLANT,,,107633.87,129160.64,7
APR-DRG,002 - 2,HEART AND/OR LUNG TRANSPLANT,,,121779.32,146135.19,7
APR-DRG,002 - 3,HEART AND/OR LUNG TRANSPLANT,,,160821.06,192985.27,7
APR-DRG,002 - 4,HEART AND/OR LUNG TRANSPLANT,,,295237.12,354284.54,7
APR-DRG,004 - 1,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,50605.48,60726.58,7
APR-DRG,004 - 2,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,73144.2,87773.04,7
APR-DRG,004 - 3,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,588102.75,294051.38,114459.88,499887.34,17
APR-DRG,004 - 4,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,1875912.5,937956.25,165986.14,1594525.63,17
APR-DRG,005 - 1,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,29387.31,35264.77,7
APR-DRG,005 - 2,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,543095.5,271547.75,55955.4,461631.17,17
APR-DRG,005 - 3,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,83917.62,100701.14,7
APR-DRG,005 - 4,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,1548040.63,774020.31,115632.39,1315834.53,17
APR-DRG,006 - 1,PANCREAS TRANSPLANT,,,49536.67,59444.0,7
APR-DRG,006 - 2,PANCREAS TRANSPLANT,,,71318.52,85582.23,7
APR-DRG,006 - 3,PANCREAS TRANSPLANT,,,82725.03,99270.04,7
APR-DRG,006 - 4,PANCREAS TRANSPLANT,,,107343.67,128812.41,7
APR-DRG,007 - 1,ALLOGENEIC BONE MARROW TRANSPLANT,,,68724.27,82469.12,7
APR-DRG,007 - 2,ALLOGENEIC BONE MARROW TRANSPLANT,,,77852.66,93423.19,7
