code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Assistant Surgeon,,,,,0
,,Assistant Surgeon (when a qualifed resident surgeon is not available),,,,,0
,,Bilateral Procedure,,,,,0
,,Computed tomography services furnished using equipment that does not meet each of the attributes of the National Electrical Manufacturers,,,,,0
,,Minimum Assistant Surgeon,,,,,0
,,"Nonexcepted service provided at an off-campus, outpatient, provider-based department of a hospital",,,,,0
,,Return to the operation room for a related procedure during the postoperative period,,,,,0
,,"Services, procedures, and/or surgeries furnished at off-campus provider-based outpatient departments",,,,,0
,,Surgical Team,,,,,0
,,Two Surgeons,,,,,0
,,Unknown,,,,,0
,,X ray taken using film,,,,,0
APR-DRG,11,LIVER TRANSPLANT &/OR INTESTINAL TRANSPLANT,,,57318.48,57318.48,3
APR-DRG,1101,"EAR, NOSE, MOUTH, THROAT, CRANIAL/FACIAL MALIGNANCIES",,,7098.26,7098.26,3
APR-DRG,1102,"EAR, NOSE, MOUTH, THROAT, CRANIAL/FACIAL MALIGNANCIES",,,7719.36,7719.36,3
APR-DRG,1103,"EAR, NOSE, MOUTH, THROAT, CRANIAL/FACIAL MALIGNANCIES",,,10381.21,10381.21,3
APR-DRG,1104,"EAR, NOSE, MOUTH, THROAT, CRANIAL/FACIAL MALIGNANCIES",,,17923.12,17923.12,3
APR-DRG,111,Room & Board - Private (One Bed) - Medical/Surgical/Gyn,,,24932.65,24932.65,3
APR-DRG,1111,VERTIGO & OTHER LABYRINTH DISORDERS,,,6033.52,6033.52,3
APR-DRG,1112,VERTIGO & OTHER LABYRINTH DISORDERS,,,6033.52,6033.52,3
APR-DRG,1113,VERTIGO & OTHER LABYRINTH DISORDERS,,,7541.91,7541.91,3
APR-DRG,1114,VERTIGO & OTHER LABYRINTH DISORDERS,,,12067.05,12067.05,3
APR-DRG,112,Room & Board - Private (One Bed) - Obstetrics (OB),,,37088.43,37088.43,3
APR-DRG,113,Room & Board - Private (One Bed) - Pediatric,,,69917.9,69917.9,3
APR-DRG,1131,INFECTIONS OF UPPER RESPIRATORY TRACT,,,3016.76,3016.76,3
APR-DRG,1132,INFECTIONS OF UPPER RESPIRATORY TRACT,,,4613.87,4613.87,3
APR-DRG,1133,INFECTIONS OF UPPER RESPIRATORY TRACT,,,8784.1,8784.1,3
APR-DRG,1134,INFECTIONS OF UPPER RESPIRATORY TRACT,,,9937.57,9937.57,3
APR-DRG,114,Room & Board - Private (One Bed) - Psychiatric,,,142054.01,142054.01,3
APR-DRG,1141,DENTAL DISEASES AND DISORDERS,,,3904.05,3904.05,3
APR-DRG,1142,DENTAL DISEASES AND DISORDERS,,,5678.61,5678.61,3
APR-DRG,1143,DENTAL DISEASES AND DISORDERS,,,5678.61,5678.61,3
APR-DRG,1144,DENTAL DISEASES AND DISORDERS,,,13664.16,13664.16,3
APR-DRG,1151,"OTHER EAR, NOSE, MOUTH,THROAT & CRANIAL/FACIAL DIAGNOSES",,,5234.97,5234.97,3
APR-DRG,1152,"OTHER EAR, NOSE, MOUTH,THROAT & CRANIAL/FACIAL DIAGNOSES",,,8517.92,8517.92,3
APR-DRG,1153,"OTHER EAR, NOSE, MOUTH,THROAT & CRANIAL/FACIAL DIAGNOSES",,,14196.53,14196.53,3
APR-DRG,1154,"OTHER EAR, NOSE, MOUTH,THROAT & CRANIAL/FACIAL DIAGNOSES",,,16237.28,16237.28,3
