code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APC,00701,Sr89 strontium ,,,4021.94,4021.94,1
APC,00702,"Inj, human-lans, per i.u ",,,1.65,1.65,1
APC,00703,Inj daxibotulinumtoxina-l ,,,3.02,3.02,1
APC,00704,"Inj, aflibercept hd, 1 mg ",,,297.78,297.78,1
APC,00705,Inj avacincaptad pegol 0. ,,,99.83,99.83,1
APC,00706,Inj talquetamab-tgvs 0.25 ,,,72.67,72.67,1
APC,00707,"Cantharidin top, applicat ",,,636.8,636.8,1
APC,00708,"Inj, elranatamab-bcmm, 1 ",,,182.86,182.86,1
APC,00709,Flortaucipir inj 1 millic ,,,359.87,359.87,1
APC,00710,Inj velmanase alfa-tycv 1 ,,,451.28,451.28,1
APC,00711,"Inj, artesunate, 1mg ",,,50.27,50.27,1
APC,00713,Inj roctavian ml 2x10^13v ,,,12177.1,12177.1,1
APC,00714,Inj delandistrogene mox r ,,,3228024.2,3228024.2,1
APC,00715,Pegunigalsidase alfa-iwxj ,,,219.17,219.17,1
APC,00716,"Vyjuvek 5x10^9pfu/ml, 0.1 ",,,984.34,984.34,1
APC,00717,"Instill adstiladrin, tx d ",,,62346.55,62346.55,1
APC,00719,Inj cyclophos frindovyx 5 ,,,8.72,8.72,1
APC,00720,"Inj glofitamab gxbm, 2.5 ",,,2758.28,2758.28,1
APC,00721,Inj rozanolixizum-noli 1 ,,,22.67,22.67,1
APC,00723,Inj efgart-alfa 2mg hya-q ,,,33.09,33.09,1
APC,00725,Inj secukinumab intrav 1m ,,,17.53,17.53,1
APC,00726,Dexrazoxane HCl injection ,,,56.27,56.27,1
APC,00727,"Inj, adzynma, 10 iu ",,,34.41,34.41,1
APC,00728,"Inj, mirikizumab-mrkz, 1 ",,,40.66,40.66,1
APC,00729,"Inj, motixafortide, 0.25 ",,,25.68,25.68,1
APC,00730,Inj melphalan (hepzato) 1 ,,,771.15,771.15,1
APC,00731,Sargramostim injection ,,,59.89,59.89,1
APC,00732,"Inj, brixadi, 7 days or l ",,,407.45,407.45,1
APC,00733,"Inj brixadi, more than 7 ",,,1629.8,1629.8,1
APC,00734,"Inj, levothyroxine, fresk ",,,6.73,6.73,1
APC,00736,Amphotericin b liposome i ,,,20.1,20.1,1
APC,00737,"Inj, cipaglucosidase, 5 m ",,,88.47,88.47,1
APC,00738,Rasburicase ,,,371.87,371.87,1
APC,00739,"Inj, rykindo, 0.5 mg ",,,12.64,12.64,1
APC,00741,Inj cyclophosphamd (ingen ,,,0.68,0.68,1
APC,00743,"Inj, cyclophosphamide, no ",,,0.57,0.57,1
APC,00744,Inst tauro 1.35mg/hep 100 ,,,5.79,5.79,1
APC,00745,"Inj, toripalimab-tpzi, 1 ",,,39.0,39.0,1
APC,00746,"Inj, betibeglogene autote ",,,2851769.93,2851769.93,1
APC,00747,"Inj, zolbetuximab-clzb, 2 ",,,32.66,32.66,1
APC,00748,"Inj, lovotibeglogene auto ",,,3154932.76,3154932.76,1
APC,00749,Inj travoprost intra impl ,,,190.34,190.34,1
APC,00750,"Inj, nithiodote, 3mg / 12 ",,,2.1,2.1,1
APC,00752,Dactinomycin injection ,,,298.75,298.75,1
APC,00755,Oral methotrexate (jylamv ,,,18.08,18.08,1
APC,00756,Oral methotrexate (xatmep ,,,21.76,21.76,1
APC,00759,"Naltrexone, depot form ",,,4.12,4.12,1
APC,00760,Tc-99m graphite crucible ,,,318.74,318.74,1
APC,00761,"Inj, focinvez, 1mg ",,,2.55,2.55,1
APC,00763,"Inj, bupivacaine liposome ",,,1.39,1.39,1
APC,00764,Ketorolac tromethamine in ,,,0.32,0.32,1
APC,00765,"Inj, donanemab-azbt, 2 mg ",,,4.04,4.04,1
APC,00767,"Inj, nogapendekin pmln 1 ",,,91.89,91.89,1
APC,00768,"Inj, tarlatamab-dlle, 1 m ",,,1519.59,1519.59,1
APC,00770,In111 oxyquinoline ,,,806.52,806.52,1
APC,00771,In111 pentetate ,,,723.25,723.25,1
APC,00772,"Inj, pegulicianine, 1 mg ",,,36.38,36.38,1
APC,00774,Tc99m bicisate ,,,752.25,752.25,1
APC,00776,Technetium tc-99m auto wb ,,,906.11,906.11,1
APC,00777,Indium in-111 auto wbc ,,,1070.09,1070.09,1
APC,00778,"Inj, vasopressin (baxter) ",,,2.16,2.16,1
APC,00779,Indium in-111 pentetreoti ,,,1940.91,1940.91,1
APC,00780,Iodine i-123 iobenguane ,,,2247.97,2247.97,1
APC,00781,Iodine i-123 ioflupane ,,,1346.11,1346.11,1
APC,00782,"Inj, pemrydi rtu, 10 mg ",,,71.12,71.12,1
APC,00784,"Inj, tyenne, 1 mg ",,,4.07,4.07,1
APC,00785,"Inj, cyclophosphamd, sand ",,,3.73,3.73,1
APC,00786,"Inj, tofidence, 1 mg ",,,5.42,5.42,1
APC,00798,"Inj, sezaby, 1 mg ",,,1.14,1.14,1
APC,00800,Leuprolide acetate ,,,1710.95,1710.95,1
APC,00802,Etoposide oral 50 mg ,,,84.19,84.19,1
APC,00804,"Capecitabine, oral, 50 mg ",,,0.04,0.04,1
APC,00807,Aldesleukin injection ,,,3238.7,3238.7,1
APC,00811,"Inj, nyposi 1 mcg ",,,0.97,0.97,1
APC,00812,Carmustine injection ,,,225.64,225.64,1
APC,00813,"Injection, imetelstat, 1 ",,,56.55,56.55,1
APC,00814,"Inj, magtrace per study d ",,,1216.38,1216.38,1
APC,00815,"Inj, palonosetron (posfre ",,,56.82,56.82,1
APC,00816,"Inj, tislelizumab-jsgr ",,,56.62,56.62,1
APC,00818,"Inj, crovalimab-akkz, 10 ",,,534.97,534.97,1
