code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APC,00701,Sr89 strontium ,,,4146.34,4146.34,2
APC,00702,"Inj, human-lans, per i.u ",,,1.71,1.71,2
APC,00703,Inj daxibotulinumtoxina-l ,,,3.11,3.11,2
APC,00704,"Inj, aflibercept hd, 1 mg ",,,306.99,306.99,2
APC,00705,Inj avacincaptad pegol 0. ,,,102.92,102.92,2
APC,00706,Inj talquetamab-tgvs 0.25 ,,,74.92,74.92,2
APC,00707,"Cantharidin top, applicat ",,,656.5,656.5,2
APC,00708,"Inj, elranatamab-bcmm, 1 ",,,188.52,188.52,2
APC,00709,Flortaucipir inj 1 millic ,,,371.0,371.0,2
APC,00710,Inj velmanase alfa-tycv 1 ,,,465.23,465.23,2
APC,00711,"Inj, artesunate, 1mg ",,,51.83,51.83,2
APC,00713,Inj roctavian ml 2x10^13v ,,,12553.71,12553.71,2
APC,00714,Inj delandistrogene mox r ,,,3327860.0,3327860.0,2
APC,00715,Pegunigalsidase alfa-iwxj ,,,225.95,225.95,2
APC,00716,"Vyjuvek 5x10^9pfu/ml, 0.1 ",,,1014.79,1014.79,2
APC,00717,"Instill adstiladrin, tx d ",,,64274.79,64274.79,2
APC,00719,Inj cyclophos frindovyx 5 ,,,8.99,8.99,2
APC,00720,"Inj glofitamab gxbm, 2.5 ",,,2843.59,2843.59,2
APC,00721,Inj rozanolixizum-noli 1 ,,,23.38,23.38,2
APC,00723,Inj efgart-alfa 2mg hya-q ,,,34.12,34.12,2
APC,00725,Inj secukinumab intrav 1m ,,,18.07,18.07,2
APC,00726,Dexrazoxane HCl injection ,,,58.01,58.01,2
APC,00727,"Inj, adzynma, 10 iu ",,,35.48,35.48,2
APC,00728,"Inj, mirikizumab-mrkz, 1 ",,,41.92,41.92,2
APC,00729,"Inj, motixafortide, 0.25 ",,,26.48,26.48,2
APC,00730,Inj melphalan (hepzato) 1 ,,,795.0,795.0,2
APC,00731,Sargramostim injection ,,,61.74,61.74,2
APC,00732,"Inj, brixadi, 7 days or l ",,,420.05,420.05,2
APC,00733,"Inj brixadi, more than 7 ",,,1680.21,1680.21,2
APC,00734,"Inj, levothyroxine, fresk ",,,6.94,6.94,2
APC,00736,Amphotericin b liposome i ,,,20.72,20.72,2
APC,00737,"Inj, cipaglucosidase, 5 m ",,,91.2,91.2,2
APC,00738,Rasburicase ,,,383.37,383.37,2
APC,00739,"Inj, rykindo, 0.5 mg ",,,13.03,13.03,2
APC,00741,Inj cyclophosphamd (ingen ,,,0.7,0.7,2
APC,00743,"Inj, cyclophosphamide, no ",,,0.58,0.58,2
APC,00744,Inst tauro 1.35mg/hep 100 ,,,5.97,5.97,2
APC,00745,"Inj, toripalimab-tpzi, 1 ",,,40.21,40.21,2
APC,00746,"Inj, betibeglogene autote ",,,2939969.0,2939969.0,2
APC,00747,"Inj, zolbetuximab-clzb, 2 ",,,33.67,33.67,2
APC,00748,"Inj, lovotibeglogene auto ",,,3252508.0,3252508.0,2
APC,00749,Inj travoprost intra impl ,,,196.23,196.23,2
APC,00750,"Inj, nithiodote, 3mg / 12 ",,,2.17,2.17,2
APC,00752,Dactinomycin injection ,,,307.99,307.99,2
APC,00755,Oral methotrexate (jylamv ,,,18.64,18.64,2
APC,00756,Oral methotrexate (xatmep ,,,22.43,22.43,2
APC,00759,"Naltrexone, depot form ",,,4.24,4.24,2
APC,00760,Tc-99m graphite crucible ,,,328.6,328.6,2
APC,00761,"Inj, focinvez, 1mg ",,,2.63,2.63,2
APC,00763,"Inj, bupivacaine liposome ",,,1.44,1.44,2
APC,00764,Ketorolac tromethamine in ,,,0.33,0.33,2
APC,00765,"Inj, donanemab-azbt, 2 mg ",,,4.17,4.17,2
APC,00767,"Inj, nogapendekin pmln 1 ",,,94.73,94.73,2
APC,00768,"Inj, tarlatamab-dlle, 1 m ",,,1566.59,1566.59,2
APC,00770,In111 oxyquinoline ,,,831.46,831.46,2
APC,00771,In111 pentetate ,,,745.62,745.62,2
APC,00772,"Inj, pegulicianine, 1 mg ",,,37.51,37.51,2
APC,00774,Tc99m bicisate ,,,775.52,775.52,2
APC,00776,Technetium tc-99m auto wb ,,,934.13,934.13,2
APC,00777,Indium in-111 auto wbc ,,,1103.19,1103.19,2
APC,00778,"Inj, vasopressin (baxter) ",,,2.22,2.22,2
APC,00779,Indium in-111 pentetreoti ,,,2000.94,2000.94,2
APC,00780,Iodine i-123 iobenguane ,,,2317.5,2317.5,2
APC,00781,Iodine i-123 ioflupane ,,,1387.74,1387.74,2
APC,00782,"Inj, pemrydi rtu, 10 mg ",,,73.32,73.32,2
APC,00784,"Inj, tyenne, 1 mg ",,,4.19,4.19,2
APC,00785,"Inj, cyclophosphamd, sand ",,,3.84,3.84,2
APC,00786,"Inj, tofidence, 1 mg ",,,5.58,5.58,2
APC,00798,"Inj, sezaby, 1 mg ",,,1.18,1.18,2
APC,00800,Leuprolide acetate ,,,1763.87,1763.87,2
APC,00802,Etoposide oral 50 mg ,,,86.79,86.79,2
APC,00804,"Capecitabine, oral, 50 mg ",,,0.04,0.04,2
APC,00807,Aldesleukin injection ,,,3338.87,3338.87,2
APC,00811,"Inj, nyposi 1 mcg ",,,1.0,1.0,2
APC,00812,Carmustine injection ,,,232.62,232.62,2
APC,00813,"Injection, imetelstat, 1 ",,,58.3,58.3,2
APC,00814,"Inj, magtrace per study d ",,,1254.0,1254.0,2
APC,00815,"Inj, palonosetron (posfre ",,,58.58,58.58,2
APC,00816,"Inj, tislelizumab-jsgr ",,,58.37,58.37,2
APC,00818,"Inj, crovalimab-akkz, 10 ",,,551.51,551.51,2
APC,00819,"Inj, alyglo, 500 mg ",,,123.84,123.84,2
APC,00821,Indigotindisulfonate sod ,,,9.3,9.3,2
APC,00822,"Inj, romiplostim 1 microg ",,,11.05,11.05,2
APC,00824,"Inj, exagamglogene autote ",,,2332000.0,2332000.0,2
APC,00825,Nelarabine injection ,,,65.16,65.16,2
APC,00827,Floxuridine injection ,,,4254.92,4254.92,2
APC,00831,Obecbtge autol up to 400 ,,,278250.0,278250.0,2
APC,00835,"Datopotamab deruxtecan, 1 ",,,51.55,51.55,2
APC,00837,"Inj, treosulfan, 50 mg ",,,31.21,31.21,2
APC,00839,Inj axatilimab-csfr 0.1 m ,,,55.65,55.65,2
APC,00840,Inj melpha hydroch nos 50 ,,,86.94,86.94,2
APC,00841,"Inj, docetaxel (beizray) ",,,47.44,47.44,2
APC,00842,"Inj, melphalan (apotex) 1 ",,,64.78,64.78,2
APC,00843,Pegaspargase injection ,,,28424.06,28424.06,2
APC,00844,Pentostatin injection ,,,2537.1,2537.1,2
APC,00845,"Inj, atidarsagene autotem ",,,4505000.0,4505000.0,2
APC,00846,"Inj, eculizumab-aeeb, 2 m ",,,42.35,42.35,2
APC,00847,Inj thiotepa nos 1 mg ,,,8.86,8.86,2
APC,00848,Inj nivolumab 2 mg hyalur ,,,27.8,27.8,2
APC,00852,"Inj, eculizumab-aagh, 2 m ",,,31.67,31.67,2
APC,00853,Inj zenocutuzumab-zbco 1 ,,,33.57,33.57,2
