hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|MD,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
Johns Hopkins Bayview Medical Center,4/1/2026,3.0.0,Johns Hopkins Bayview Medical Center,"4940 Eastern Avenue, Baltimore, MD 21224",1790700904,30005,TRUE,Ed Beranek,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,billing_class,setting,drug_unit_of_measurement,drug_type_of_measurement,modifiers,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,median_amount,10th_percentile,90th_percentile,count,standard_charge|methodology,standard_charge|min,standard_charge|max,additional_generic_notes
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Other Commercial Plan,,100,,4441.84,4441.84,4441.84,1 through 10,percent of total billed charges,,,
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Bcbs,All Commercial Plans,,100,,2865.52,2865.52,2865.52,1 through 10,percent of total billed charges,,,
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicaid Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Bcbs,Carefirst Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,,,,0,percent of total billed charges,,,No services performed during 15-month lookback period.
"Endo, single, pulmonary",2042,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,2091.82,2091.82,2091.82,1 through 10,percent of total billed charges,,,
