code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Assistant Surgeon,,,,,0
,,Assistant Surgeon (when a qualifed resident surgeon is not available),,,,,0
,,Bilateral Procedure,,,,,0
,,Minimum Assistant Surgeon,,,,,0
,,PBD Adjustment,,,,,0
,,Return to the operation room for a related procedure during the postoperative period,,,,,0
,,Surgical Team,,,,,0
,,Two Surgeons,,,,,0
,,Unknown,,,,,0
APR-DRG,8800,945/946 - REHAB - SPINAL/PARA,,,52167.81,52167.81,4
APR-DRG,8801,945/946 - REHAB - SPINAL/QUAD,,,94424.09,94424.09,4
APR-DRG,8802,945/946 - REHAB - HEAD,,,29732.25,29732.25,4
CDM,10000,ETOPOSIDE 20 MG/ML INTRAVENOUS SOLUTION,264.35,198.26,3.17,237.92,119
CDM,100008,IPRATROPIUM BROMIDE 17 MCG/ACTUATION HFA AEROSOL INHALER,1380.78,1035.58,16.57,1242.7,119
CDM,100009,"DIPHTH,PERTUSSIS(ACEL),TETANUS 2.5 LF UNIT-8 MCG-5 LF/0.5ML IM SYRINGE",192.96,144.72,2.32,173.66,238
CDM,100035,FENOFIBRATE 160 MG TABLET,2.33,1.75,0.03,2.1,119
CDM,100074,OXALIPLATIN 50 MG/10 ML (5 MG/ML) INTRAVENOUS SOLUTION,85.0,63.75,1.02,76.5,119
CDM,100075,OXALIPLATIN 100 MG/20 ML INTRAVENOUS SOLUTION,127.5,95.625,1.02,153.0,238
CDM,10009,FAMOTIDINE 10 MG/ML INTRAVENOUS SOLUTION,54.0,40.5,0.65,48.6,119
CDM,10011,FAMOTIDINE 20 MG TABLET,0.45,0.34,0.01,0.4,119
CDM,100115,"DEXMETHYLPHENIDATE ER 10 MG CAPSULE,EXTENDED RELEASE BIPHASIC50-50",6.35,4.76,0.08,5.72,119
CDM,100128,BUPRENORPHINE HCL 0.3 MG/ML INJECTION SOLUTION,61.29,45.97,0.74,55.16,238
CDM,100133,SILDENAFIL (PULMONARY HYPERTENSION) 20 MG TABLET,4.45,3.33,0.05,4.0,119
CDM,100144,TIGECYCLINE 50 MG INTRAVENOUS SOLUTION,249.0,186.75,2.99,224.1,238
CDM,100266,LOPERAMIDE 1 MG/7.5 ML ORAL LIQUID,2.16,1.62,0.03,1.94,119
CDM,100345,PREGABALIN 25 MG CAPSULE,4.65,3.49,0.06,4.19,119
CDM,100346,PREGABALIN 50 MG CAPSULE,4.52,3.39,0.05,4.07,119
CDM,100347,PREGABALIN 75 MG CAPSULE,8.08,6.06,0.1,7.27,238
CDM,100348,PREGABALIN 100 MG CAPSULE,8.08,6.06,0.1,7.27,238
CDM,100349,PREGABALIN 150 MG CAPSULE,5.7,4.28,0.07,5.13,119
CDM,100366,RAMELTEON 8 MG TABLET,6.79,5.09,0.08,6.11,119
CDM,10037,FINASTERIDE 5 MG TABLET,0.8,0.6,0.01,0.72,119
CDM,100394,INSULIN DETEMIR (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,600.0,450.0,7.2,540.0,119
CDM,100399,GLYCERIN-WITCH HAZEL 12.5 %-50 % TOPICAL PADS,15.36,11.52,0.18,13.82,119
CDM,10041,FLECAINIDE 100 MG TABLET,4.37,3.2749999999999995,0.04,4.82,238
CDM,100417,BRIMONIDINE 0.1 % EYE DROPS,558.58,418.94,6.57,718.18,357
CDM,10043,FLECAINIDE 50 MG TABLET,2.06,1.55,0.02,1.85,119
