code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,0010001,HOSPITAL OUTPATIENT CLINIC VISIT FOR ASSESSMENT AND MANAGEMENT OF A PATIENT,372.0,126.0,60.0,613.8,46
CDM,0010002,HOSPITAL OUTPATIENT CLINIC VISIT FOR ASSESSMENT AND MANAGEMENT OF A PATIENT,387.0,126.0,60.0,638.55,46
CDM,0010003,HOSPITAL OUTPATIENT CLINIC VISIT FOR ASSESSMENT AND MANAGEMENT OF A PATIENT,409.0,126.0,60.0,674.85,46
CDM,0010004,HOSPITAL OUTPATIENT CLINIC VISIT FOR ASSESSMENT AND MANAGEMENT OF A PATIENT,430.0,126.0,60.0,709.5,46
CDM,0010005,HOSPITAL OUTPATIENT CLINIC VISIT FOR ASSESSMENT AND MANAGEMENT OF A PATIENT,452.0,126.0,60.0,745.8,46
CDM,0010006,HOSPITAL OUTPATIENT CLINIC VISIT FOR ASSESSMENT AND MANAGEMENT OF A PATIENT,340.0,126.0,60.0,561.0,46
CDM,0010007,HOSPITAL OUTPATIENT CLINIC VISIT FOR ASSESSMENT AND MANAGEMENT OF A PATIENT,356.0,126.0,60.0,587.4,46
CDM,0010008,HOSPITAL OUTPATIENT CLINIC VISIT FOR ASSESSMENT AND MANAGEMENT OF A PATIENT,372.0,126.0,60.0,613.8,46
CDM,0010009,HOSPITAL OUTPATIENT CLINIC VISIT FOR ASSESSMENT AND MANAGEMENT OF A PATIENT,387.0,126.0,60.0,638.55,46
CDM,0010010,HOSPITAL OUTPATIENT CLINIC VISIT FOR ASSESSMENT AND MANAGEMENT OF A PATIENT,409.0,126.0,60.0,674.85,46
CDM,0010011,Established patient periodic preventive medicine examination (18-39 years),73.0,,37.52,120.45,22
CDM,0010012,Established patient periodic preventive medicine examination (40-64 years),73.0,,37.52,120.45,22
CDM,0010013,Established patient periodic preventive medicine examination (65 year old or older),73.0,,37.52,120.45,22
CDM,0010030,Initial new patient preventive medicine evaluation (younger than 1 year),73.0,,37.52,120.45,22
CDM,0010031,Initial new patient preventive medicine evaluation (1-4 years),73.0,,37.52,120.45,22
CDM,0010032,Initial new patient preventive medicine evaluation (5-11 years),73.0,,37.52,120.45,22
CDM,0010033,Initial new patient preventive medicine evaluation (12-17 years),73.0,,37.52,120.45,22
CDM,0010090,Emergency department visit for problem that may not require health care professional,597.0,77.0,70.45,1748.0,57
CDM,0010091,Emergency department visit with straightforward medical decision making,978.0,140.0,128.27,1748.0,57
CDM,0010092,Emergency department visit with low level of medical decision making,1320.0,246.0,228.05,2072.4,57
CDM,0010093,Emergency department visit with moderate level of medical decision making,2317.0,387.0,348.59,4481.0,57
CDM,0010094,Emergency department visit with high level of medical decision making,2982.0,555.0,432.0,4681.74,57
CDM,0010095,"Critical care, first 30-74 minutes",4083.0,792.0,432.0,6736.95,57
CDM,0010104,Initial new patient preventive medicine evaluation (18-39 years),73.0,,37.52,120.45,22
CDM,0010105,Initial new patient preventive medicine evaluation (40-64 years),73.0,,37.52,120.45,22
CDM,0010106,Initial new patient preventive medicine evaluation (65 years or older),73.0,,37.52,120.45,22
CDM,0010107,Established patient periodic preventive medicine examination (younger than 1 year),73.0,,37.52,120.45,22
CDM,0010108,Established patient periodic preventive medicine examination (1-4 years),73.0,,37.52,120.45,22
CDM,0010109,Established patient periodic preventive medicine examination (5-11 years),73.0,,37.52,120.45,22
CDM,0010110,Established patient periodic preventive medicine examination (12-17 years),73.0,,37.52,120.45,22
CDM,0010411,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",430.0,170.0,72.0,709.5,46
CDM,0010412,"New patient office or other outpatient visit with low level of medical decision making, if using time, 30 minutes or more",409.0,100.0,64.14,674.85,46
CDM,0010413,"New patient office or other outpatient visit with straightforward medical decision making, if using time, 15 minutes or more",387.0,65.0,35.98,638.55,46
CDM,0010414,"New patient office or other outpatient visit with straightforward medical decision making, if using time, 15 minutes or more",372.0,65.0,35.98,613.8,46
CDM,0010415,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",409.0,140.0,72.0,674.85,46
CDM,0010416,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",387.0,100.0,72.0,638.55,46
CDM,0010417,"Established patient office or other outpatient visit with low level of decision making, if using time, 20 minutes or more",372.0,65.0,50.0,613.8,46
CDM,0010418,"Established patient office or other outpatient visit with straightforward medical decision making, if using time, 10 minutes or more",356.0,35.0,27.49,587.4,46
CDM,0010419,Office or other outpatient visit for the evaluation and management of established patient that may not require presence of healthcare professional,340.0,12.0,6.6,561.0,46
CDM,0010421,"New patient office or other outpatient visit with a high level of medical decision making, if using time, 60 minutes or more",452.0,225.0,72.0,745.8,46
CDM,0014433,"Critical care, each additional 30 minutes",1447.0,,90.13,2387.55,49
CDM,0050001,"New patient office or other outpatient visit with straightforward medical decision making, if using time, 15 minutes or more",372.0,65.0,35.98,613.8,46
CDM,0050002,"New patient office or other outpatient visit with straightforward medical decision making, if using time, 15 minutes or more",387.0,65.0,35.98,638.55,46
CDM,0050003,"New patient office or other outpatient visit with low level of medical decision making, if using time, 30 minutes or more",409.0,100.0,64.14,674.85,46
CDM,0050004,"New patient office or other outpatient visit with moderate level of medical decision making, if using time, 45 minutes or more",430.0,170.0,72.0,709.5,46
CDM,0050005,"New patient office or other outpatient visit with a high level of medical decision making, if using time, 60 minutes or more",452.0,225.0,72.0,745.8,46
CDM,0050006,Office or other outpatient visit for the evaluation and management of established patient that may not require presence of healthcare professional,340.0,12.0,6.6,561.0,46
CDM,0050007,"Established patient office or other outpatient visit with straightforward medical decision making, if using time, 10 minutes or more",356.0,35.0,27.49,587.4,46
CDM,0050008,"Established patient office or other outpatient visit with low level of decision making, if using time, 20 minutes or more",372.0,65.0,50.0,613.8,46
CDM,0050009,"Established patient office or other outpatient visit with moderate level of decision making, if using time, 30 minutes or more",387.0,100.0,72.0,638.55,46
CDM,0050010,"Established patient office or other outpatient visit with high level of medical decision making, if using time, 40 minutes or more",409.0,140.0,72.0,674.85,46
