code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral procedure,,,,,0
APC,2616,Brachytx non-strYttrium-90,,,9605.32,72820.9,34
APC,2632,Iodine I-125 sodium iodide,,,214.214,1624.01,34
APC,2634,Brachytx non-str HA I-125,,,94.083,713.247,34
APC,2635,Brachytx non-str HA P-103,,,57.695,437.411,34
APC,2636,Brachy linear non-strP-103,,,48.323,366.343,34
APC,2638,Brachytx stranded I-125,,,19.0575,144.5,34
APC,2639,Brachytx non-strandedI-125,,,19.8055,150.123,34
APC,2640,Brachytx stranded P-103,,,47.707,361.656,34
APC,2641,Brachytx non-strandedP-103,,,34.8535,264.223,34
APC,2642,Brachytx stranded C-131,,,64.383,488.104,34
APC,2643,Brachytx non-strandedC-131,,,53.9385,408.926,34
APC,2645,Brachytx non-str Gold-198,,,277.585,2104.49,34
APC,2646,Brachytx non-str HDR Ir-192,,,193.226,1464.88,34
APC,2647,Brachytx NS Non-HDRIr-192,,,491.156,3723.61,34
APC,2648,Brachytx planar p-103,,,2.5355,19.234,34
APC,2698,Brachytx stranded NOS,,,19.0575,144.5,34
APC,2699,Brachytx non-stranded NOS,,,19.8055,150.123,34
APC,4017,Radiation tx delivery lvl 1,,,42.966,325.755,34
APC,4018,Radiation tx delivery lvl 2,,,171.688,1301.6,34
APC,4019,Radiation tx delivery lvl 3,,,211.585,1604.08,34
APC,5012,Clinic Visits and Related Services,,,73.5185,557.379,34
APC,5021,Level 1 Type A ED Visits,,,46.563,353.017,34
APC,5022,Level 2 Type A ED Visits,,,84.788,642.791,34
APC,5023,Level 3 Type A ED Visits,,,150.739,1142.83,34
APC,5024,Level 4 Type A ED Visits,,,230.423,1746.87,34
APC,5025,Level 5 Type A ED Visits,,,328.861,2493.21,34
APC,5031,Level 1 Type B ED Visits,,,41.0465,311.167,34
APC,5032,Level 2 Type B ED Visits,,,51.293,388.877,34
APC,5033,Level 3 Type B ED Visits,,,94.919,719.604,34
APC,5034,Level 4 Type B ED Visits,,,145.954,1106.53,34
APC,5035,Level 5 Type B ED Visits,,,226.809,1719.49,34
APC,5041,Critical Care,,,456.148,3458.17,34
APC,5045,Trauma Response with Critical Care,,,736.049,5580.22,34
APC,5051,Level 1 Skin Procedures,,,110.792,839.939,34
APC,5052,Level 2 Skin Procedures,,,224.483,1701.84,34
