"hospital_name","last_updated_on","version","location_name","hospital_address","type_2_npi","license_number|MD","To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.","attester_name"
"The Johns Hopkins Hospital","2026-04-01","3.0.0","The Johns Hopkins Hospital","600 North  Wolfe Street, Baltimore, MD 21287","1578597993","30034","true","Ed Beranek"
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","billing_class","setting","drug_unit_of_measurement","drug_type_of_measurement","modifiers","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|methodology","standard_charge|min","standard_charge|max","additional_generic_notes"
"New Technology - Level 21 ($1901-$2000)","1521","APC","","","","","facility","outpatient","","","","","","Aetna","All Commercial Plans","","100","","13449.74","13427.16","21557.39","1 through 10","percent of total billed charges","","",""
"New Technology - Level 21 ($1901-$2000)","1521","APC","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","","92.3","","12767.33","12767.33","12767.33","1 through 10","percent of total billed charges","","",""
"New Technology - Level 21 ($1901-$2000)","1521","APC","","","","","facility","outpatient","","","","","","Alterwood","Advantage  Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 21 ($1901-$2000)","1521","APC","","","","","facility","outpatient","","","","","","Amerigroup","Medicaid Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 21 ($1901-$2000)","1521","APC","","","","","facility","outpatient","","","","","","Bcbs","All Commercial Plans","","100","","13427.14","11538.33","13544.36","19","percent of total billed charges","","",""
"New Technology - Level 21 ($1901-$2000)","1521","APC","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","","92.3","","12395.02","12395.02","12395.02","1 through 10","percent of total billed charges","","",""
"New Technology - Level 21 ($1901-$2000)","1521","APC","","","","","facility","outpatient","","","","","","Bcbs","Carefirst Other Commercial Plan","","100","","2836.51","1936.63","12596.06","26","percent of total billed charges","","",""
"New Technology - Level 21 ($1901-$2000)","1521","APC","","","","","facility","outpatient","","","","","","Bcbs","Carefirst Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
"New Technology - Level 21 ($1901-$2000)","1521","APC","","","","","facility","outpatient","","","","","","Cigna","All Commercial Plans","","100","","13427.14","12255.17","13533.05","13","percent of total billed charges","","",""
"New Technology - Level 21 ($1901-$2000)","1521","APC","","","","","facility","outpatient","","","","","","Cigna","Medicare Managed Care Plan","","92.3","","","","","0","percent of total billed charges","","","No services performed during 15-month lookback period."
