code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APR-DRG,1101,"Ear, nose, mouth, throat, cranial/facial malignancies",,62640.0,7446.49,23653.18,24
APR-DRG,1102,"Ear, nose, mouth, throat, cranial/facial malignancies",,73399.0,9015.73,28337.75,24
APR-DRG,1103,"Ear, nose, mouth, throat, cranial/facial malignancies",,237930.0,16391.94,50357.56,24
APR-DRG,1104,"Ear, nose, mouth, throat, cranial/facial malignancies",,172651.0,32094.52,97233.7,24
APR-DRG,1111,Vertigo & other labyrinth disorders,,59152.0,5080.35,16589.65,24
APR-DRG,1112,Vertigo & other labyrinth disorders,,58382.0,5960.24,19216.36,24
APR-DRG,1113,Vertigo & other labyrinth disorders,,99898.0,7830.97,24800.94,24
APR-DRG,1114,Vertigo & other labyrinth disorders,,52091.0,7948.68,25152.35,24
APR-DRG,1131,Infections of upper respiratory tract,,36435.0,4659.46,15333.18,24
APR-DRG,1132,Infections of upper respiratory tract,,43922.0,5585.08,18096.4,24
APR-DRG,1133,Infections of upper respiratory tract,,67827.0,7966.47,25205.44,24
APR-DRG,1134,Infections of upper respiratory tract,,78091.0,19041.78,58268.01,24
APR-DRG,1141,Dental & oral diseases & injuries,,47144.0,5426.72,17623.64,24
APR-DRG,1142,Dental & oral diseases & injuries,,48261.0,6499.7,20826.76,24
APR-DRG,1143,Dental & oral diseases & injuries,,119473.0,11533.47,35853.81,24
APR-DRG,1144,Dental & oral diseases & injuries,,86482.0,22270.03,67905.15,24
APR-DRG,1151,"Other ear, nose, mouth,throat & cranial/facial diagnoses",,44484.0,5112.53,16685.71,24
APR-DRG,1152,"Other ear, nose, mouth,throat & cranial/facial diagnoses",,46496.0,6465.82,20725.63,24
APR-DRG,1153,"Other ear, nose, mouth,throat & cranial/facial diagnoses",,88404.0,9782.15,30625.7,24
APR-DRG,1154,"Other ear, nose, mouth,throat & cranial/facial diagnoses",,96424.0,23575.9,71803.48,24
APR-DRG,12,Liver transplant &/or intestinal transplant,,498564.0,53567.65,250959.79,24
APR-DRG,1201,Major respiratory & chest procedures,,97717.0,16046.41,49326.09,24
APR-DRG,1202,Major respiratory & chest procedures,,120789.0,19250.95,58892.45,24
APR-DRG,1203,Major respiratory & chest procedures,,195590.0,29863.88,90574.67,24
APR-DRG,1204,Major respiratory & chest procedures,,296904.0,52953.67,159503.49,24
APR-DRG,1211,Other respiratory & chest procedures,,79734.0,11608.84,36078.82,24
APR-DRG,1212,Other respiratory & chest procedures,,100835.0,15154.66,46664.0,24
APR-DRG,1213,Other respiratory & chest procedures,,151471.0,25454.25,77410.83,24
APR-DRG,1214,Other respiratory & chest procedures,,343369.0,52668.28,158651.52,24
APR-DRG,13,Liver transplant &/or intestinal transplant,,637883.0,72225.8,256704.97,24
APR-DRG,1302,Respiratory system diagnosis w ventilator support 96+ hours,,299697.0,30421.96,92240.69,24
APR-DRG,1303,Respiratory system diagnosis w ventilator support 96+ hours,,285504.0,37613.55,113709.37,24
