code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDT,D0120,periodic oral evaluation - established patient,,,29.0,44.92,5
CDT,D0140,limited oral evaluation - problem focused,,,48.57,75.29,5
CDT,D0145,oral evaluation for a patient under three years of age and counseling with primary caregiver,,,44.67,70.0,5
CDT,D0150,comprehensive oral evaluation - new or established patient,,,49.48,79.25,5
CDT,D0160,"detailed and extensive oral evaluation - problem focused, by report",,,90.14,158.51,5
CDT,D0170,"re-evaluation - limited, problem focused (established patient; not post-operative visit)",,,34.08,52.86,5
CDT,D0171,re-evaluation – post-operative office visit,,,22.52,34.57,2
CDT,D0180,comprehensive periodontal evaluation - new or established patient,,,49.48,85.86,5
CDT,D0190,screening of a patient,,,22.52,34.57,2
CDT,D0191,assessment of a patient,,,15.67,25.09,2
CDT,D0210,intraoral – comprehensive series of radiographic images,,,35.92,132.07,6
CDT,D0220,intraoral - periapical first radiographic image,,,8.82,26.41,6
CDT,D0230,intraoral - periapical each additional radiographic image,,,4.07,23.78,6
CDT,D0240,intraoral - occlusal radiographic image,,,10.85,40.95,6
CDT,D0250,"extra-oral – 2D projection radiographic image created using a stationary radiation source, and detector",,,17.61,50.16,6
CDT,D0251,extra-oral posterior dental radiographic image,,,17.61,50.16,6
CDT,D0270,bitewing - single radiographic image,,,8.82,26.41,6
CDT,D0272,bitewings - two radiographic images,,,10.85,42.26,6
CDT,D0273,bitewings - three radiographic images,,,14.23,51.52,6
CDT,D0274,bitewings - four radiographic images,,,17.61,59.45,6
CDT,D0277,vertical bitewings - 7 to 8 radiographic images,,,21.69,89.81,6
CDT,D0310,sialography,,,44.06,396.25,6
CDT,D0320,"temporomandibular joint arthrogram, including injection",,,458.36,700.05,5
CDT,D0321,"other temporomandibular joint radiographic images, by report",,,50.84,154.55,3
CDT,D0322,tomographic survey,,,67.09,567.96,6
CDT,D0330,panoramic radiographic image,,,25.09,122.84,6
CDT,D0340,"2D cephalometric radiographic image – acquisition, measurement and analysis",,,37.95,138.7,6
CDT,D0350,2D oral/facial photographic image obtained intra-orally or extra-orally,,,43.45,66.05,5
CDT,D0364,cone beam CT capture and interpretation with limited field of view – less than one whole jaw,,,100.32,416.85,3
CDT,D0365,cone beam CT capture and interpretation with field of view of one full dental arch – mandible,,,100.32,416.85,3
CDT,D0366,"cone beam CT capture and interpretation with field of view of one full dental arch – maxilla, with or without cranium",,,100.32,416.85,3
CDT,D0367,cone beam CT capture and interpretation with field of view of both jaws; with or without cranium,,,100.32,416.85,3
CDT,D0368,cone beam CT capture and interpretation for TMJ series including two or more exposures,,,146.4,610.03,3
CDT,D0369,maxillofacial MRI capture and interpretation,,,153.18,1091.93,3
CDT,D0370,maxillofacial ultrasound capture and interpretation,,,124.72,367.37,3
CDT,D0371,sialoendoscopy capture and interpretation,,,87.43,416.85,3
CDT,D0372,intraoral tomosynthesis – comprehensive series of radiographic images,,,107.38,124.05,2
CDT,D0373,intraoral tomosynthesis – bitewing radiographic image,,,42.88,49.48,2
CDT,D0374,intraoral tomosynthesis – periapical radiographic image,,,42.88,49.48,2
CDT,D0380,cone beam CT image capture with limited field of view – less than one whole jaw,,,79.98,332.8,3
CDT,D0381,cone beam CT image capture with field of view of one full dental arch – mandible,,,79.98,332.8,3
