hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Martha's Vineyard Hospital,2026-03-27,3.0.0,Martha's Vineyard Hospital,1 Hospital Rd Oak Bluffs MA 02557-1477,2042,1194866210,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","outpatient","","","200.00","150.00","MEDICARE [2001]","HB MVH MEDICARE","100.00","50","","67.90","67.90","69.84","12","39.7","140.96","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0730","RC","","","","inpatient","","","125.00","93.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","84.99","67.99","","88.56","9.28","88.56","12","56.13","84.99","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0730","RC","","","","inpatient","","","125.00","93.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS INDEMNITY","84.99","67.99","","9.28","9.28","9.28","1 through 10","56.13","84.99","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0730","RC","","","","inpatient","","","125.00","93.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","84.99","67.99","","9.28","9.28","88.56","30","56.13","84.99","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","125.00","93.75","AETNA [1001]","HB MVH AETNA","108.00","86.4","","8.01","8.01","8.01","20","73.75","116.5","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","125.00","93.75","CIGNA [1006]","HB MVH CIGNA HMO / PPO","116.50","93.2","","107.45","107.45","107.45","11","73.75","116.5","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","125.00","93.75","HARVARD PILGRIM [120001]","HB MVH HPHC HMO / POS / PPO","98.38","78.7","","97.60","35.85","292.80","78","73.75","116.5","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","125.00","93.75","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL GIC","73.75","59","","86.03","86.03","86.03","1 through 10","73.75","116.5","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","125.00","93.75","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL HMO","86.75","69.4","","86.03","83.49","258.09","54","73.75","116.5","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","125.00","93.75","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL PPO","91.13","72.9","","90.39","90.39","90.39","55","73.75","116.5","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","125.00","93.75","UNITED HEALTHCARE [1016]","HB MVH UNITED HMO / PPO / INDEMNITY","115.70","92.56","","6.98","6.98","36.48","17","73.75","116.5","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","outpatient","","","125.00","93.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","88.10","70.48","","9.28","9.28","88.56","80","8.34","88.1","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","outpatient","","","125.00","93.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS INDEMNITY","88.10","70.48","","9.28","9.28","9.28","1 through 10","8.34","88.1","percent of total billed charges",""
