code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-26000001,IV Infus Hydration Initial 31 Min-1 Hour - 96360,466.0,349.5,267.94,431.33,8
CDM,PX-26000002,IV Infus Hydration Ea Additional Hour - 96361,152.0,114.0,58.68,141.66,14
CDM,PX-26000003,IV Infus Non-Chemo Initial Up to 1 Hr - 96365,648.0,486.0,324.0,603.94,16
CDM,PX-26000004,IV Infus Non-Chemo Same Drug Ea Hr - 96366,275.0,206.25,137.5,256.3,10
CDM,PX-26000005,IV Infus Non-Chemo Ea Add�L Seq Diff Drug Up to 1 Hr - 96367,346.0,259.5,90.51,298.94,6
CDM,PX-26000006,IV Non-Chemo Concurrent Infus - 96368,241.0,180.75,120.5,120.5,1
CDM,PX-26000010,Therapeutic Prophylactic/Diagnostic Inj Sc/Im - 96372,205.0,153.75,90.51,189.75,14
CDM,PX-26000012,Ivp/ IV < 16 Min Initial Drug - 96374,511.0,383.25,229.44,476.25,11
CDM,PX-26000013,Ivp/ IV <16min Ea Addl Seg Diff Drug - 96375,218.0,163.5,58.68,203.18,13
CDM,PX-26000014,Ivp/ IV <16 Min Ea Add�L Seq Same Drug - 96376,205.0,153.75,144.48,191.06,7
CDM,PX-26000023,Vfc Therapeutic Prophylactic/Diagnostic Inj Sc/Im,23.0,17.25,15.96,90.51,14
CDM,PX-27000005,Pessary Non-Rubber T1,96.0,72.0,75.55,75.55,1
CDM,PX-27000007,Implant Anchor T1,1143.14,857.35,805.69,1065.41,6
CDM,PX-27000009,Implant Anchor T3,4311.67,3233.75,3038.87,4018.48,6
CDM,PX-27000010,Implant Bone Void Filler T1,1004.74,753.55,708.14,936.42,6
CDM,PX-27000020,Implant Pin/Wire/Peg T1,317.09,237.82,223.49,295.53,6
CDM,PX-27000101,Implant Hip T1,1643.16,1232.37,1158.1,1531.43,4
CDM,PX-27000104,Implant Knee T1,1908.92,1431.69,1345.41,1779.11,4
CDM,PX-27000105,Implant Knee T2,3668.93,2751.7,2585.86,3419.44,4
CDM,PX-27000106,Implant Knee T3,6114.62,4585.96,4309.58,5698.83,4
CDM,PX-27000485,HC Ewo Rigit Without Joints Custom Tier1,585.22,438.91,292.61,292.61,1
CDM,PX-27000489,HC Whfo With Nontorsion Joints Custome Tier1,365.35,274.01,182.68,315.66,3
CDM,PX-27000491,"Whfo, Rigid W/O Joints",47.97,35.98,23.99,33.81,3
CDM,PX-27000494,HC Who With Nontorsion Joints Custom Tier1,797.64,598.23,398.82,562.18,2
CDM,PX-27000495,HC Who Gauntlet Molded Custom Tier1,388.65,291.49,194.33,194.33,1
CDM,PX-27000496,HC Who Cock-Up Control Extension Prefab Tier1,14.94,11.2,7.47,10.53,2
CDM,PX-27000498,Hfo W/O Joints Cf,217.84,163.38,108.92,171.44,4
CDM,PX-27000499,Ho W/O Joints Custom T1,217.84,163.38,108.92,153.53,2
CDM,PX-27000500,HC Hfo With Nontorsion Joints Custom Tier1,258.36,193.77,129.18,223.22,3
CDM,PX-27000503,HC Fing Ortho P/D Intrphl W/O Jnt/Spr Prefab Tier1,56.57,42.43,28.29,39.87,3
CDM,PX-27000506,Fo W/O Joint Custom T1,171.61,128.71,85.81,125.1,3
CDM,PX-27000507,Fo Nontorsion Joint Custom T1,177.68,133.26,88.84,88.84,1
CDM,PX-27000834,Slings T1,10.0,7.5,7.05,7.05,1
CDM,PX-27002137,Kyleena Iud 19.5 Mg Levonorgestrel,2744.0,2058.0,2000.38,2370.82,3
CDM,PX-30000003,Venipuncture,19.0,14.25,9.5,17.71,7
CDM,PX-30000008,Electrolyte Panel,163.0,122.25,81.5,128.28,4
CDM,PX-30000010,Hepatic Function Panel,187.0,140.25,93.5,174.28,17
CDM,PX-30000021,Cyclosporine (Sandimmune),150.0,112.5,75.0,75.0,1
CDM,PX-30000024,Ethosuximide,216.0,162.0,152.24,152.24,1
CDM,PX-30000032,Primidone,216.0,162.0,108.0,108.0,1
CDM,PX-30000035,Assay of Sirolimus,161.0,120.75,80.5,80.5,1
CDM,PX-30000036,Tacrolimus (Fk-506),174.0,130.5,87.0,162.17,7
CDM,PX-30000037,Topiramate,122.0,91.5,61.0,61.0,2
CDM,PX-30000038,Therapeutic Drug Assay Other,266.0,199.5,133.0,133.0,3
CDM,PX-30000067,RBC Antibody Screen,193.0,144.75,67.95,179.88,14
CDM,PX-30000069,RBC Antibody Identification Panel,335.0,251.25,167.5,167.5,1
CDM,PX-30000070,Coombs Direct,137.0,102.75,68.5,118.37,6
CDM,PX-30000075,Blood Typing Serologic Abo,98.0,73.5,68.01,163.93,15
CDM,PX-30000076,HC Blood Typing Serologic Rh (D),153.0,114.75,49.92,142.6,15
CDM,PX-30000079,Blood Typing RBC Antigens Oth/Thn Abo/Rh D Each,604.0,453.0,302.0,302.0,1
CDM,PX-30000084,Crossmatch Immediate Spin,276.0,207.0,217.21,217.93,2
CDM,PX-30000086,Crossmatch Antiglobulin (Ahg),227.0,170.25,113.5,113.5,1
CDM,PX-30000087,Compatibility Test Ea Unit Electron,83.0,62.25,65.32,217.93,4
CDM,PX-30000111,Cell Count Body Fluid,106.0,79.5,53.0,98.11,7
CDM,PX-30000113,Crystal ID Light Microscopy,122.0,91.5,61.0,112.92,6
