hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Massachusetts Eye and Ear,2026-03-27,3.0.0,Massachusetts Eye and Ear,243 Charles St Boston MA 02114,2167,1639101751,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"(Tarso)Levator Resec/Advanc,External App","PX-76002150","CDM","67904","CPT","0761","RC","","","","both","","","2848.00","2136.00","AETNA [1001]","HB MEE AETNA","1458.18","51.2","","4224.42","2110.24","4224.42","1 through 10","1458.18","2770.25","percent of total billed charges",""
"(Tarso)Levator Resec/Advanc,External App","PX-76002150","CDM","67904","CPT","0761","RC","","","","both","","","2848.00","2136.00","UNITED HEALTHCARE [1016]","HB MEE MEDICARE","2770.25","","APC Price ($2,770.25). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.382). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","2722.62","2722.62","2723.02","1 through 10","1458.18","2770.25","other","OPPS APC"
"(Tarso)Levator Resec/Advanc,External App","PX-76002150","CDM","67904","CPT","0761","RC","","","","both","","","2848.00","2136.00","UNITED HEALTHCARE [1016]","HB MEE UNITED","2161.06","75.88","","3615.14","3615.14","3615.14","1 through 10","1458.18","2770.25","percent of total billed charges",""
"(Tarso)Levator Resec/Advanc,External App|BILATERAL PROCEDURE","PX-76002150","CDM","67904","CPT","0761","RC","","","50","outpatient","","","2848.00","2136.00","BLUE CROSS BLUE SHIELD [110001]","HB MEE BLUE CROSS","3109.35","","Case rate ($3,109.35). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 132.5%, 66.25 procedures at 0%.","4119.89","3948.87","4119.89","16","3109.35","7406.87","other","ASC "
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","324.00","243.00","WELLPOINT [1015]","HB MEE WELLPOINT","226.93","70.04","","1242.69","1114.69","1242.69","19","85.41","245.85","percent of total billed charges",""
"5% Dextrose/Water, 500 Ml = 1 Unit","PX-63601348","CDM","J7060","CPT","0636","RC","","","","both","","","7.95","5.96","AETNA [1001]","HB MEE AETNA","4.07","51.2","","0.19","0.19","0.19","1 through 10","4","6.03","percent of total billed charges",""
"5% Dextrose/Water, 500 Ml = 1 Unit","PX-63601348","CDM","J7060","CPT","0636","RC","","","","both","","","7.95","5.96","INTERNATIONAL COMMERCIAL [140001]","HB MEE AETNA","4.07","51.2","","3.86","3.86","3.86","1 through 10","4","6.03","percent of total billed charges",""
"5% Dextrose/Water, 500 Ml = 1 Unit","PX-63601348","CDM","J7060","CPT","0636","RC","","","","both","","","7.95","5.96","UNITED HEALTHCARE [1016]","HB MEE UNITED","6.03","75.88","","0.39","0.37","3.91","1 through 10","4","6.03","percent of total billed charges",""
"5% Dextrose/Water, 500 Ml = 1 Unit","PX-63601348","CDM","J7060","CPT","0636","RC","","","","outpatient","","","7.95","5.96","CIGNA [1006]","HB MEE CIGNA","6.16","77.5","","0.12","0.12","0.12","1 through 10","6.16","941.1","percent of total billed charges",""
"9vhpv Vacc 2/3 Dose Sched Im Use","PX-63601160","CDM","90651","CPT","0636","RC","","","","both","","","537.72","403.29","UNITED HEALTHCARE [1016]","HB MEE UNITED","408.02","75.88","","569.72","569.72","569.72","1 through 10","232.36","408.02","percent of total billed charges",""
"Ablate Inf Turbinate Superf","PX-76002376","CDM","30801","CPT","0761","RC","","","","outpatient","","","1073.00","804.75","BLUE CROSS BLUE SHIELD [110001]","HB MEE BLUE CROSS","1462.72","","Case rate ($1,462.72). The procedures on the claim are sorted highest to lowest by case rate and reimbursed, rounded down to the nearest cent, based on the following tiered percentages: 1 procedures at 132.5%, 66.25 procedures at 0%.","1857.65","969.05","1857.65","1 through 10","818.35","1462.72","other","ASC "
"Abltj 1/+Thyroid Nodule 1 Lobe/Isthmus Perq Rf","PX-76010309","CDM","60660","CPT","0761","RC","","","","both","","","5166.00","3874.50","AETNA [1001]","HB MEE AETNA","2644.99","51.2","","2433.73","2433.73","2433.73","1 through 10","1923.94","3919.96","percent of total billed charges",""
