code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-26000002,IV Infus Hydration Ea Additional Hour - 96361,81.0,60.75,56.73,56.73,1
CDM,PX-26000003,IV Infus Non-Chemo Initial Up to 1 Hr - 96365,469.0,351.75,240.13,363.48,9
CDM,PX-26000004,IV Infus Non-Chemo Same Drug Ea Hr - 96366,82.0,61.5,54.79,63.55,4
CDM,PX-26000010,Therapeutic Prophylactic/Diagnostic Inj Sc/Im - 96372,125.0,93.75,84.51,84.51,1
CDM,PX-26000012,Ivp/ IV < 16 Min Initial Drug - 96374,295.0,221.25,223.85,250.18,5
CDM,PX-26000013,Ivp/ IV <16min Ea Addl Seg Diff Drug - 96375,137.0,102.75,54.79,106.18,5
CDM,PX-27000114,Lead Neurostimulator T1,3900.0,2925.0,1996.8,3022.5,4
CDM,PX-27000559,Dilator Tracheoesophageal Puncture Ea T1,126.0,94.5,64.51,64.51,1
CDM,PX-27000663,Lens Iol Posterior Chamber T1,1443.0,1082.25,738.82,1118.33,5
CDM,PX-27000665,Allograft Cartilage T3,1266.0,949.5,648.19,981.15,4
CDM,PX-27000772,HC Auditory Osseointgrated Device Tier3,6678.0,5008.5,3419.14,5067.27,3
CDM,PX-27001196,"Ear Impression, Each",50.0,37.5,35.11,35.11,1
CDM,PX-27001197,Repair/Modification of a Hearing Aid,255.0,191.25,168.05,168.05,1
CDM,PX-27001199,Body Aid Bone Conduction,2162.0,1621.5,1106.94,1106.94,1
CDM,PX-27001200,"Dispensing Fee, Binaural",660.0,495.0,264.0,500.81,8
CDM,PX-27001201,"Dispensing Fee, Cros",330.0,247.5,231.13,231.69,2
CDM,PX-27001202,"Dispensing Fee, Bicros",330.0,247.5,168.96,231.69,5
CDM,PX-27001203,"Dispensing Fee, Monaural",330.0,247.5,217.47,250.4,4
CDM,PX-27001209,"Personal Fm/Dm System, Binaural",1470.0,1102.5,1029.59,1032.09,2
CDM,PX-27001217,"Transmitter Microphone, Any Type",216.0,162.0,151.65,151.65,1
CDM,PX-27001219,"Cl, Soft, Extended Wear",257.0,192.75,131.58,199.18,6
CDM,PX-27001220,Dura Plug;Temp Punc Plug 90 Day; Prolong,40.0,30.0,20.48,31.0,5
CDM,PX-27001343,Mee Prothesis (L8509),483.0,362.25,247.3,374.33,6
CDM,PX-27001347,"Mee Iol, Monofocal",318.0,238.5,162.82,246.45,4
