code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,22 - UNUSUAL PROCEDURAL SERVICES,,,,,0
,,50 - BILATERAL PROCEDURE,,,,,0
,,51 - MULTIPLE PROCEDURES,,,,,0
,,62 - TWO SURGEONS,,,,,0
,,80 - ASSISTANT SURGEON,,,,,0
,,82 - ASSISTANT SURGEON,,,,,0
,,AS - ASSISTANT AT SURGERY SERVICE,,,,,0
APR-DRG,001-3,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,507127.8,507127.8,2
APR-DRG,001-4,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,544404.2,544404.2,2
APR-DRG,002-3,HEART AND/OR LUNG TRANSPLANT,,,425457.6,425457.6,2
APR-DRG,002-4,HEART AND/OR LUNG TRANSPLANT,,,438498.4,438498.4,2
APR-DRG,004-4,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,1376111.6,1376111.6,2
APR-DRG,005-4,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,1120784.2,1120784.2,2
APR-DRG,006-3,PANCREAS TRANSPLANT,,,388355.2,388355.2,2
APR-DRG,007-3,ALLOGENEIC BONE MARROW TRANSPLANT,,,99552.4,99552.4,2
APR-DRG,007-4,ALLOGENEIC BONE MARROW TRANSPLANT,,,114437.8,114437.8,2
APR-DRG,008-3,AUTOLOGOUS BONE MARROW TRANSPLANT,,,50550.4,50550.4,2
APR-DRG,021-2,OPEN CRANIOTOMY EXCEPT TRAUMA,,,159267.8,159267.8,2
APR-DRG,021-3,OPEN CRANIOTOMY EXCEPT TRAUMA,,,255501.4,255501.4,2
APR-DRG,021-4,OPEN CRANIOTOMY EXCEPT TRAUMA,,,318106.8,318106.8,2
APR-DRG,023-3,SPINAL PROCEDURES,,,166781.4,166781.4,2
APR-DRG,024-4,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,394397.4,394397.4,2
APR-DRG,029-3,OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,,,139815.8,139815.8,2
APR-DRG,030-3,PERCUTANEOUS INTRACRANIAL AND EXTRACRANIAL VASCULAR PROCEDURES,,,144581.0,144581.0,2
APR-DRG,041-2,NERVOUS SYSTEM MALIGNANCY,,,21824.2,21824.2,2
APR-DRG,041-3,NERVOUS SYSTEM MALIGNANCY,,,46871.6,46871.6,2
APR-DRG,042-1,DEGENERATIVE NERVOUS SYSTEM DISORDERS EXCEPT MULTIPLE SCLEROSIS,,,84110.0,84110.0,2
APR-DRG,042-2,DEGENERATIVE NERVOUS SYSTEM DISORDERS EXCEPT MULTIPLE SCLEROSIS,,,41236.0,41236.0,2
APR-DRG,042-3,DEGENERATIVE NERVOUS SYSTEM DISORDERS EXCEPT MULTIPLE SCLEROSIS,,,19095.2,19095.2,2
APR-DRG,043-1,"MULTIPLE SCLEROSIS, OTHER DEMYELINATING DISEASE AND INFLAMMATORY NEUROPATHIES",,,46992.0,46992.0,2
APR-DRG,043-2,"MULTIPLE SCLEROSIS, OTHER DEMYELINATING DISEASE AND INFLAMMATORY NEUROPATHIES",,,125128.0,125128.0,2
APR-DRG,043-3,"MULTIPLE SCLEROSIS, OTHER DEMYELINATING DISEASE AND INFLAMMATORY NEUROPATHIES",,,141783.6,141783.6,2
APR-DRG,045-1,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION,,,62611.4,62611.4,2
APR-DRG,045-2,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION,,,45798.6,45798.6,2
APR-DRG,045-3,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION,,,45616.4,45616.4,2
APR-DRG,045-4,CVA AND PRECEREBRAL OCCLUSION WITH INFARCTION,,,194458.0,194458.0,2
APR-DRG,048-2,"PERIPHERAL, CRANIAL AND AUTONOMIC NERVE DISORDERS",,,75116.6,75116.6,2
APR-DRG,048-3,"PERIPHERAL, CRANIAL AND AUTONOMIC NERVE DISORDERS",,,61757.8,61757.8,2
APR-DRG,049-2,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM,,,110930.2,110930.2,2
APR-DRG,050-2,NON-BACTERIAL INFECTIONS OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS,,,53978.8,53978.8,2
APR-DRG,050-3,NON-BACTERIAL INFECTIONS OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS,,,42577.8,42577.8,2
APR-DRG,050-4,NON-BACTERIAL INFECTIONS OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS,,,279791.0,279791.0,2
APR-DRG,051-3,VIRAL MENINGITIS,,,97447.4,97447.4,2
APR-DRG,052-3,ALTERATION IN CONSCIOUSNESS,,,70661.4,70661.4,2
APR-DRG,053-2,SEIZURE,,,23514.8,23514.8,2
APR-DRG,053-3,SEIZURE,,,47654.8,47654.8,2
APR-DRG,053-4,SEIZURE,,,115186.4,115186.4,2
