code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,22 - UNUSUAL PROCEDURAL SERVICES,,,,,0
,,50 - BILATERAL PROCEDURE,,,,,0
,,51 - MULTIPLE PROCEDURES,,,,,0
,,62 - TWO SURGEONS,,,,,0
,,80 - ASSISTANT SURGEON,,,,,0
,,82 - ASSISTANT SURGEON,,,,,0
,,AS - ASSISTANT AT SURGERY SERVICE,,,,,0
CDM,PX-111000000,INTERMED MED/SURG/GYN PRIVATE - FACILITY,4092.0,2659.8,2271.0,4092.0,793
CDM,PX-111000001,MED/SURG/GYN PRIVATE - FACILITY,3277.0,2130.05,1818.8,3277.0,793
CDM,PX-111000003,TELEMETRY MED/SURG/GYN PRIV - FACILITY,3767.0,2448.55,2090.6,3767.0,793
CDM,PX-111000006,TELEMETRY DUMMY CHARGE - FACILITY,1.0,0.65,0.6,1.0,768
CDM,PX-111000007,INPATIENT ONLY ROOM AND BOARD FACILITY,1.0,0.65,0.6,1.0,768
CDM,PX-161000000,ADVANCED CARE AT HOME R&B FACILITY,5700.0,3705.0,3163.6,5700.0,793
CDM,PX-200000000,INTENSIVE CARE - FACILITY,7221.0,4693.65,4007.6,7221.0,793
CDM,PX-206000000,INTERMEDIATE INTENSIVE CARE - FACILITY,4606.0,2993.9,2556.4,4606.0,793
CDM,PX-230000002,HC MARS DAILY TREATMENT,5163.0,3355.95,837.4,5008.11,884
CDM,PX-250000006,HEPZATO,684886.36,187500.0,187500.0,187500.0,3
CDM,PX-260000000,HC INJ THER IV PUSH SNGL INITIAL,641.0,416.65,196.38,621.77,884
CDM,PX-260000001,HC INJ THER SUBQ/IM,111.0,72.15,40.52,107.67,885
CDM,PX-260000002,HC IV INF HYDRAT EA ADD HR,122.0,79.3,43.23,118.34,885
CDM,PX-260000003,HC IV INF HYDRAT INIT 31MIN-1HR,379.0,246.35,138.34,367.63,884
CDM,PX-260000004,HC IV INF THER ADD SEQ NEW 1ST HR,249.0,161.85,66.48,241.53,884
CDM,PX-260000005,HC IV INF THER CONCURR (MAX 1),153.0,99.45,55.85,148.41,880
CDM,PX-260000006,HC IV INF THER EA ADD HR,171.0,111.15,43.23,165.87,884
CDM,PX-260000007,HC IV INF THER INIT 1ST HR,473.0,307.45,172.65,458.81,885
CDM,PX-260000008,HC IV PUSH EA ADD SEQ DRUG,213.0,138.45,77.75,206.61,880
CDM,PX-260000009,HC IV PUSH EA ADD SEQ NEW DRUG,236.0,153.4,43.23,228.92,885
CDM,PX-260000011,HC SQ INF THER 1 DRUG 1ST HR,586.0,380.9,196.38,568.42,884
CDM,PX-260000014,HC APPLICATION OF ON BODY INJECTOR,115.0,74.75,41.98,111.55,884
CDM,PX-260000015,HC INJ THER INTRA ARTERIAL,855.0,555.75,196.38,855.0,884
CDM,PX-260000025,"HC IV INJ BEBTELOVIMAB, INCL INJ AND POST ADMIN MONITORING",536.0,348.4,195.64,525.28,883
CDM,PX-260000026,HC UNLISTED THER/PROP/DIAG INJ/INF,179.0,116.35,43.23,173.63,884
CDM,PX-270000203,HC OXYGEN HOURLY,28.0,18.2,13.92,28.0,880
CDM,PX-272001036,HC TR CATH PWP SOLO 1LUM TPS 4F,504.0,327.6,250.49,488.88,880
CDM,PX-272001052,HC EMST75LITE TRAINER,288.0,187.2,143.14,279.36,880
CDM,PX-272001057,HC RMST 75 TRAINER KIT,522.0,339.3,259.43,506.34,880
CDM,PX-272001069,HC TRDCR COM PVP,240.0,156.0,119.28,240.0,880
CDM,PX-274000092,HC ORTHO WHF RIG WO JT CPF FIT&ADJUST,413.0,268.45,229.22,498.04,884
CDM,PX-274000096,HC ORTHO WRST COCK-UP OTS,160.0,104.0,88.8,156.8,884
CDM,PX-274000128,HC SLING ARM,52.0,33.8,13.73,50.96,880
CDM,PX-274000146,HC TRACH SPEAKING VALVE,153.0,99.45,84.92,184.85,880
CDM,PX-274000279,HC WHFO W/O JOINTS PRE OTS,396.0,257.4,219.78,388.08,884
CDM,PX-278000253,HC SHORT RF COOLED PROBE KIT SINERGY 14GAX75,1518.0,986.7,842.49,1472.46,880
CDM,PX-278000254,HC LONG RF COOLED KT SNR 17X150,1530.0,994.5,849.15,1484.1,880
CDM,PX-278000255,HC SCS TRIAL LEAD 50X5,1020.0,663.0,566.1,989.4,880
CDM,PX-278000256,HC SCS TRIAL OR IMPLANT INSERTION NEEDLE KIT,160.0,104.0,88.8,160.0,880
CDM,PX-278000257,HC SCS TRIAL RX2 COUDE EPIDURAL NEEDLE,160.0,104.0,88.8,160.0,880
CDM,PX-278000272,HC IMPL URINARY TRACT SYNTH 1 KIT,3000.0,1950.0,316.1,2850.0,880
CDM,PX-279000000,HC WOUND VAC TX 1ST DEVICE USED,170.0,110.5,84.49,170.0,880
CDM,PX-279000001,HC WND VAC TX 2ND DEV-SME DAY USE,170.0,110.5,84.49,170.0,880
CDM,PX-300000004,HC ABL1 KD VARIANTS,554.0,360.1,275.34,537.38,884
