code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,22 - UNUSUAL PROCEDURAL SERVICES,,,,,0
,,50 - BILATERAL PROCEDURE,,,,,0
,,51 - MULTIPLE PROCEDURES,,,,,0
,,62 - TWO SURGEONS,,,,,0
,,80 - ASSISTANT SURGEON,,,,,0
,,82 - ASSISTANT SURGEON,,,,,0
,,AS - ASSISTANT AT SURGERY SERVICE,,,,,0
APR-DRG,001-3,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,75484.91,403316.37,42
APR-DRG,001-4,LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT,,,75484.91,505166.25,42
APR-DRG,002-3,HEART AND/OR LUNG TRANSPLANT,,,142284.58,576591.43,42
APR-DRG,002-4,HEART AND/OR LUNG TRANSPLANT,,,142284.58,1084529.46,42
APR-DRG,004-2,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,64713.61,211176.4,42
APR-DRG,004-3,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,83736.53,203973.6,42
APR-DRG,004-4,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,146855.46,849562.4,42
APR-DRG,005-4,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,102305.23,468886.2,42
APR-DRG,007-2,ALLOGENEIC BONE MARROW TRANSPLANT,,,68880.12,279186.68,42
APR-DRG,007-3,ALLOGENEIC BONE MARROW TRANSPLANT,,,75759.53,194255.2,42
APR-DRG,007-4,ALLOGENEIC BONE MARROW TRANSPLANT,,,153790.0,729467.4,42
APR-DRG,008-2,AUTOLOGOUS BONE MARROW TRANSPLANT,,,26324.57,67498.9,42
APR-DRG,008-3,AUTOLOGOUS BONE MARROW TRANSPLANT,,,48143.87,166043.9,42
APR-DRG,008-4,AUTOLOGOUS BONE MARROW TRANSPLANT,,,68401.12,524630.2,42
APR-DRG,009-3,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,26571.6,447197.2,42
APR-DRG,009-4,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,128425.11,527231.2,42
APR-DRG,011-3,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,194523.55,2427705.4,16
APR-DRG,020-1,OPEN CRANIOTOMY FOR TRAUMA,,,16597.82,102509.0,42
APR-DRG,020-3,OPEN CRANIOTOMY FOR TRAUMA,,,21461.55,196009.8,42
APR-DRG,020-4,OPEN CRANIOTOMY FOR TRAUMA,,,44419.45,123802.8,42
APR-DRG,021-1,OPEN CRANIOTOMY EXCEPT TRAUMA,,,19584.9,83632.8,42
APR-DRG,021-2,OPEN CRANIOTOMY EXCEPT TRAUMA,,,25904.06,100347.2,42
APR-DRG,021-3,OPEN CRANIOTOMY EXCEPT TRAUMA,,,35781.56,158353.6,42
APR-DRG,021-4,OPEN CRANIOTOMY EXCEPT TRAUMA,,,50845.32,179047.4,42
APR-DRG,022-1,VENTRICULAR SHUNT PROCEDURES,,,11879.31,51682.4,42
APR-DRG,022-2,VENTRICULAR SHUNT PROCEDURES,,,11879.31,42971.2,42
APR-DRG,022-3,VENTRICULAR SHUNT PROCEDURES,,,21958.19,54412.4,42
APR-DRG,023-1,SPINAL PROCEDURES,,,14320.81,66847.8,42
APR-DRG,023-2,SPINAL PROCEDURES,,,20259.66,78870.6,42
APR-DRG,023-3,SPINAL PROCEDURES,,,31931.97,138143.4,42
APR-DRG,023-4,SPINAL PROCEDURES,,,46360.29,210999.4,42
APR-DRG,024-1,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,8347.45,102427.4,42
APR-DRG,024-2,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,11065.75,61695.0,42
APR-DRG,026-1,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES,,,11630.59,43238.0,42
APR-DRG,026-2,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES,,,17315.91,68748.8,42
APR-DRG,026-3,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES,,,17315.91,94671.8,42
APR-DRG,026-4,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES,,,16740.64,77925.4,42
APR-DRG,027-1,OTHER OPEN CRANIOTOMY,,,15053.33,120980.0,42
APR-DRG,027-2,OTHER OPEN CRANIOTOMY,,,11065.75,147234.8,42
APR-DRG,029-1,OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,,,15088.64,137992.2,42
APR-DRG,029-2,OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,,,18925.38,237749.4,42
APR-DRG,029-3,OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,,,15088.64,175329.4,42
APR-DRG,029-4,OTHER PERCUTANEOUS INTRACRANIAL PROCEDURES,,,36286.22,222996.8,42
