code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APC,0701,Sr89 strontium,,,2168.533205,7048.77,33
APC,0702,"Inj, human-lans, per i.u",,,0.808558,2.63,33
APC,0703,Inj daxibotulinumtoxina-lanm,,,1.646404,5.35,33
APC,0704,"Inj, aflibercept hd, 1 mg",,,162.852263,529.35,33
APC,0705,Inj avacincaptad pegol 0.1mg,,,54.979852,178.71,33
APC,0706,Inj talquetamab-tgvs 0.25 mg,,,37.979214,123.45,33
APC,0707,"Cantharidin top, applicator",,,342.437911,1113.09,33
APC,0708,"Inj, elranatamab-bcmm, 1 mg",,,96.269656,312.92,33
APC,0709,Flortaucipir inj 1 millicuri,,,1940.33,6307.0,33
APC,0710,Inj velmanase alfa-tycv 1 mg,,,243.317382,790.9,33
APC,0711,"Inj, artesunate, 1mg",,,27.106567,88.11,33
APC,0713,Inj roctavian ml 2x10^13vc g,,,6565.591899,21341.31,33
APC,0714,Inj delandistrogene mox rokl,,,1734509.934,5637986.4,33
APC,0715,Pegunigalsidase alfa-iwxj,,,119.325065,387.86,33
APC,0716,"Vyjuvek 5x10^9pfu/ml, 0.1 ml",,,536.303028,1743.24,33
APC,0717,"Instill adstiladrin, tx dose",,,33128.01349,107681.88,33
APC,0718,"Inj, carmustine (accord)",,,135.8231,441.49,33
APC,0719,Inj cyclophos frindovyx 5 mg,,,4.761915,15.48,33
APC,0720,"Inj glofitamab gxbm, 2.5 mg",,,1447.602286,4705.4,33
APC,0721,Inj rozanolixizum-noli 1 mg,,,12.115295,39.38,33
APC,0722,"Dexmedetomidine film, 1 mcg",,,0.369761,1.2,33
APC,0723,Inj efgart-alfa 2mg hya-qvfc,,,17.723424,57.61,33
APC,0725,Inj secukinumab intrav 1mg,,,9.331889,30.33,33
APC,0726,Dexrazoxane HCl injection,,,32.98038,107.2,33
APC,0727,"Inj, adzynma, 10 iu",,,18.612001,60.5,33
APC,0728,"Inj, mirikizumab-mrkz, 1 mg",,,22.514104,73.18,33
APC,0729,"Inj, motixafortide, 0.25 mg",,,13.189014,42.87,33
APC,0730,Inj melphalan (hepzato) 1 mg,,,415.785,1351.5,33
APC,0731,Sargramostim injection,,,26.340895,85.62,33
APC,0732,"Inj, brixadi, 7 days or less",,,219.992628,715.08,33
APC,0733,"Inj brixadi, more than 7 day",,,879.971035,2860.33,33
APC,0734,"Inj, levothyroxine, freskabi",,,3.571567,11.61,33
APC,0735,"Inj, levothyroxine, hikma",,,2.686128,8.73,33
APC,0736,Amphotericin b liposome inj,,,11.235609,36.52,33
APC,0737,"Inj, cipaglucosidase, 5 mg",,,47.704399,155.06,33
APC,0738,Rasburicase,,,197.443483,641.79,33
APC,0739,"Inj, rykindo, 0.5 mg",,,6.81469,22.15,33
APC,0740,Inj hydroxocobalamin iv 25mg,,,2.711755,8.81,33
APC,0741,Inj cyclophos dr reddys 5 mg,,,0.410032,1.33,33
APC,0742,Anacaulase-bcdb 8.8% gel 1 g,,,30.495084,99.12,33
APC,0743,"Inj, cyclophosphamide, nos",,,0.251563,0.82,33
APC,0744,Inst tauro 1.35mg/hep 100u,,,3.351384,10.89,33
APC,0745,"Inj, toripalimab-tpzi, 1 mg",,,20.610907,67.0,33
APC,0746,"Inj, betibeglogene autotemce",,,1540622.02,5007758.0,33
APC,0747,"Inj, zolbetuximab-clzb, 2 mg",,,17.629807,57.31,33
APC,0748,"Inj, lovotibeglogene autotem",,,1698937.109,5522357.72,33
APC,0749,Inj travoprost intra impl,,,102.362083,332.73,33
APC,0750,"Inj, nithiodote, 3mg / 125mg",,,1.167859,3.8,33
APC,0752,Dactinomycin injection,,,171.720774,558.17,33
APC,0753,Inj cefazolin (wg crit care),,,0.495804,1.61,33
APC,0754,Daptomycin (xellia) unrefrig,,,0.019874,0.06,33
APC,0755,Oral methotrexate (jylamvo),,,9.657718,31.39,33
APC,0756,Oral methotrexate (xatmep),,,11.86164,38.56,33
APC,0757,"Docetaxel (docivyx), 1 mg",,,26.556894,86.32,33
APC,0759,"Naltrexone, depot form",,,2.21752,7.21,33
APC,0760,Tc-99m graphite crucible,,,171.8578,558.62,33
APC,0761,"Inj, focinvez, 1mg",,,1.484797,4.83,33
APC,0762,"Bupivacaine implant, 1 mg",,,0.46024,1.5,33
APC,0763,"Inj, bupivacaine liposome",,,0.76881,2.5,33
APC,0764,Ketorolac tromethamine inj,,,0.158469,0.52,33
APC,0765,"Inj, donanemab-azbt, 2 mg",,,2.161559,7.03,33
APC,0766,Tc99m exametazime,,,419.62382,1363.98,33
APC,0767,"Inj, nogapendekin pmln 1 mcg",,,49.508226,160.93,33
APC,0768,"Inj, tarlatamab-dlle, 1 mg",,,818.304628,2659.88,33
APC,0769,"In111 ibritumomab, dx",,,417.36446,1356.63,33
APC,0770,In111 oxyquinoline,,,404.09072,1313.49,33
APC,0771,In111 pentetate,,,374.09667,1215.99,33
APC,0772,"Inj, pegulicianine, 1 mg",,,19.616684,63.76,33
APC,0774,Tc99m bicisate,,,357.6274,1162.46,33
APC,0775,Technetium tc99m arcitumomab,,,423.37373,1376.17,33
APC,0776,Technetium tc-99m auto wbc,,,544.08736,1768.54,33
APC,0777,Indium in-111 auto wbc,,,539.41697,1753.36,33
APC,0778,"Inj, vasopressin (baxter)",,,1.050184,3.41,33
APC,0779,Indium in-111 pentetreotide,,,1001.34103,3254.84,33
APC,0780,Iodine i-123 iobenguane,,,1085.12563,3527.18,33
APC,0781,Iodine i-123 ioflupane,,,725.93446,2359.63,33
APC,0782,"Inj, pemrydi rtu, 10 mg",,,39.647584,128.87,33
APC,0784,"Inj, tyenne, 1 mg",,,2.309045,7.51,33
APC,0785,"Inj, cyclophosphamd, sandoz",,,2.058528,6.69,33
APC,0786,"Inj, tofidence, 1 mg",,,2.895328,9.41,33
APC,0788,"Inj cefazolin sodium, hikma",,,0.484298,1.57,33
APC,0789,Inj daptomycin (xellia),,,0.018305,0.06,33
APC,0790,"Inj, methylpred acetate 1 mg",,,0.062237,0.2,33
APC,0792,"Inj, glycopyrrolate, 0.1 mg",,,0.239011,0.78,33
APC,0793,Inj glycopyrrolate fres kabi,,,0.701866,2.28,33
APC,0794,"Inj, bumetanide, 0.5 mg",,,0.191941,0.62,33
APC,0795,"Inj, lidocaine in d5w, 1 mg",,,0.001569,0.01,12
APC,0796,Inj meropenem (wg crit care),,,0.84726,2.75,33
APC,0797,"Inj, immphentiv, 20 mcg",,,0.073743,0.24,33
APC,0798,"Inj, sezaby, 1 mg",,,0.624462,2.03,33
APC,0799,Inj fluphenazine hcl 1.25 mg,,,3.836728,12.47,33
APC,0800,Leuprolide acetate,,,904.959452,2941.55,33
APC,0801,"Inj, methylpred sod succ 5mg",,,0.10983,0.36,33
APC,0803,Hydroxocobalamin im 10mcg,,,0.004184,0.01,33
APC,0804,"Capecitabine, oral, 50 mg",,,0.019351,0.06,33
APC,0805,"Hiv prep, inj, cabotegravir",,,3.67146,11.93,33
APC,0806,"Hiv prep, ftc/tdf 200/300mg",,,0.906882,2.95,33
APC,0807,Aldesleukin injection,,,2772.55898,9012.14,33
APC,0808,"Hiv prep, ftc/taf 200/25mg",,,37.302452,121.25,33
APC,0810,Goserelin acetate implant,,,383.706795,1247.23,33
APC,0811,"Inj, nypozi, 1 mcg",,,0.28765,0.94,33
APC,0812,Carmustine injection,,,124.712488,405.38,33
APC,0813,"Injection, imetelstat, 1 mg",,,29.825121,96.95,33
APC,0814,"Inj, magtrace per study dose",,,655.842,2131.8,33
APC,0815,"Inj, palonosetron (posfrea)",,,30.457428,99.0,33
APC,0816,"Inj, tislelizumab-jsgr",,,30.043735,97.66,33
APC,0817,"Inj, adalimumab, 1 mg",,,47.972175,155.93,33
