code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APR-DRG,004-1,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,67826.84,70396.04,3
APR-DRG,004-2,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,95733.5,99359.77,3
APR-DRG,004-3,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,132671.13,137696.55,3
APR-DRG,004-4,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE,,,216434.83,224633.12,3
APR-DRG,005-1,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,39210.44,40695.69,3
APR-DRG,005-2,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,77828.74,80776.8,3
APR-DRG,005-3,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,96333.97,99982.98,3
APR-DRG,005-4,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE,,,147632.87,153225.02,3
APR-DRG,009-1,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,76139.73,79023.81,3
APR-DRG,009-2,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,94105.9,97670.52,3
APR-DRG,009-3,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,163985.99,170197.58,3
APR-DRG,009-4,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),,,287845.75,298749.0,3
APR-DRG,011-1,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,152255.25,158022.5,3
APR-DRG,011-2,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,428530.87,444763.1,3
APR-DRG,011-3,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,546442.37,567140.94,3
APR-DRG,011-4,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,,,546442.37,567140.94,3
APR-DRG,020-1,OPEN CRANIOTOMY FOR TRAUMA,,,22829.22,23693.96,3
APR-DRG,020-2,OPEN CRANIOTOMY FOR TRAUMA,,,28445.72,29523.21,3
APR-DRG,020-3,OPEN CRANIOTOMY FOR TRAUMA,,,40905.69,42455.15,3
APR-DRG,020-4,OPEN CRANIOTOMY FOR TRAUMA,,,62152.05,64506.3,3
APR-DRG,021-1,OPEN CRANIOTOMY EXCEPT TRAUMA,,,20573.04,21352.33,3
APR-DRG,021-2,OPEN CRANIOTOMY EXCEPT TRAUMA,,,31412.69,32602.56,3
APR-DRG,021-3,OPEN CRANIOTOMY EXCEPT TRAUMA,,,49182.16,51045.12,3
APR-DRG,021-4,OPEN CRANIOTOMY EXCEPT TRAUMA,,,123249.92,127918.48,3
APR-DRG,022-1,VENTRICULAR SHUNT PROCEDURES,,,17888.11,18565.69,3
APR-DRG,022-2,VENTRICULAR SHUNT PROCEDURES,,,22317.21,23162.56,3
APR-DRG,022-3,VENTRICULAR SHUNT PROCEDURES,,,30573.91,31732.01,3
APR-DRG,022-4,VENTRICULAR SHUNT PROCEDURES,,,55748.8,57860.5,3
APR-DRG,023-1,SPINAL PROCEDURES,,,21922.8,22753.21,3
APR-DRG,023-2,SPINAL PROCEDURES,,,24838.76,25779.62,3
APR-DRG,023-3,SPINAL PROCEDURES,,,48782.54,50630.36,3
APR-DRG,023-4,SPINAL PROCEDURES,,,72687.82,75441.15,3
APR-DRG,024-1,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,13173.86,13672.87,3
APR-DRG,024-2,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,16066.93,16675.53,3
APR-DRG,024-3,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,28891.13,29985.49,3
APR-DRG,024-4,OPEN EXTRACRANIAL VASCULAR PROCEDURES,,,40281.29,41807.1,3
APR-DRG,026-1,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES,,,18805.97,19518.32,3
APR-DRG,026-2,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES,,,24875.18,25817.42,3
