hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Nantucket Cottage Hospital,2026-03-27,3.0.0,Nantucket Cottage Hospital,57 Prospect St Nantucket MA 02554-2799,2044,1447214622,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","41.00","30.75","AETNA [1001]","HB NCH AETNA","35.83","87.4","","8.01","8.01","8.01","1 through 10","8.34","39.03","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","41.00","30.75","CIGNA [1006]","HB NCH CIGNA HMO / PPO","39.03","95.2","","35.40","35.40","35.40","1 through 10","8.34","39.03","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","41.00","30.75","HARVARD PILGRIM [120001]","HB NCH HPHC HMO / POS / PPO","38.07","92.85","","9.90","9.83","9.90","36","8.34","39.03","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","41.00","30.75","MGB HEALTH PLAN [150001]","HB NCH MGBHP COMMERCIAL HMO","31.82","77.6","","31.80","30.88","31.80","40","8.34","39.03","percent of total billed charges",""
"12 Lead Ecg Interpretation and Report Only","PX-98500002","CDM","93010","CPT","0985","RC","","","","both","","","41.00","30.75","UNITED HEALTHCARE [1016]","HB NCH UNITED HMO / PPO / INDEMNITY","38.75","94.51","","31.83","31.83","36.48","15","8.34","39.03","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","both","","","882.00","661.50","AETNA [1001]","HB NCH AETNA","770.87","87.4","","195.28","195.28","195.28","1 through 10","179.88","839.66","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","both","","","882.00","661.50","CIGNA [1006]","HB NCH CIGNA HMO / PPO","839.66","95.2","","598.73","598.73","598.73","1 through 10","179.88","839.66","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","both","","","882.00","661.50","HARVARD PILGRIM [120001]","HB NCH HPHC HMO / POS / PPO","818.94","92.85","","212.08","212.08","212.08","1 through 10","179.88","839.66","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","both","","","882.00","661.50","MGB HEALTH PLAN [150001]","HB NCH MGBHP COMMERCIAL HMO","684.43","77.6","","677.34","657.74","677.34","1 through 10","179.88","839.66","percent of total billed charges",""
"1st Hospital IP/Obs Care High Mdm 75 Minutes","PX-98300813","CDM","99223","CPT","0983","RC","","","","both","","","882.00","661.50","UNITED HEALTHCARE [1016]","HB NCH UNITED HMO / PPO / INDEMNITY","833.58","94.51","","556.52","556.52","556.52","1 through 10","179.88","839.66","percent of total billed charges",""
