code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-26000001,IV Infus Hydration Initial 31 Min-1 Hour - 96360,532.0,399.0,267.94,502.79,5
CDM,PX-26000002,IV Infus Hydration Ea Additional Hour - 96361,242.0,181.5,58.68,230.38,6
CDM,PX-26000003,IV Infus Non-Chemo Initial Up to 1 Hr - 96365,651.0,488.25,267.94,619.75,8
CDM,PX-26000004,IV Infus Non-Chemo Same Drug Ea Hr - 96366,242.0,181.5,58.68,230.38,5
CDM,PX-26000005,IV Infus Non-Chemo Ea Add�L Seq Diff Drug Up to 1 Hr - 96367,319.0,239.25,90.51,301.49,3
CDM,PX-26000006,IV Non-Chemo Concurrent Infus - 96368,214.0,160.5,166.06,166.06,1
CDM,PX-26000010,Therapeutic Prophylactic/Diagnostic Inj Sc/Im - 96372,193.0,144.75,90.51,182.4,9
CDM,PX-26000012,Ivp/ IV < 16 Min Initial Drug - 96374,518.0,388.5,267.94,493.14,9
CDM,PX-26000013,Ivp/ IV <16min Ea Addl Seg Diff Drug - 96375,218.0,163.5,58.68,207.54,7
CDM,PX-26000014,Ivp/ IV <16 Min Ea Add�L Seq Same Drug - 96376,654.0,490.5,507.5,622.61,3
CDM,PX-27000020,Implant Pin/Wire/Peg T1,25.0,18.75,23.21,23.21,1
CDM,PX-27000120,Mesh T2,4063.19,3047.39,3772.67,3772.67,1
CDM,PX-30000003,Venipuncture,16.0,12.0,12.42,15.23,6
CDM,PX-30000004,Collect Finger/Heel/Ear Stick,16.0,12.0,15.12,15.12,1
CDM,PX-30000007,General Health Panel,220.0,165.0,170.72,209.44,5
CDM,PX-30000009,Obstetric Panel,465.0,348.75,425.99,438.4,2
CDM,PX-30000010,Hepatic Function Panel,145.0,108.75,112.52,138.04,6
CDM,PX-30000036,Tacrolimus (Fk-506),157.0,117.75,148.38,148.38,1
CDM,PX-30000038,Therapeutic Drug Assay Other,214.0,160.5,166.06,202.25,2
CDM,PX-30000040,Acth Stimulation Panel Adrenal,377.0,282.75,355.44,355.44,1
CDM,PX-30000067,RBC Antibody Screen,123.0,92.25,95.45,117.1,6
CDM,PX-30000070,Coombs Direct,62.0,46.5,75.54,75.54,1
CDM,PX-30000075,Blood Typing Serologic Abo,55.0,41.25,42.68,163.93,9
CDM,PX-30000076,HC Blood Typing Serologic Rh (D),49.0,36.75,38.02,46.65,6
CDM,PX-30000084,Crossmatch Immediate Spin,248.0,186.0,217.93,230.27,2
CDM,PX-30000113,Crystal ID Light Microscopy,70.0,52.5,54.32,54.32,1
CDM,PX-30000159,Phlebotomy Therapeutic,354.0,265.5,163.93,334.57,4
CDM,PX-30000164,Prostate Cancer Screen Psa,227.0,170.25,198.4,198.4,1
CDM,PX-30000171,Basic Metabolic Panel,143.0,107.25,110.97,136.14,7
CDM,PX-30000172,Comprehensive Metabolic Panel,253.0,189.75,196.33,240.86,7
CDM,PX-30000173,Lipid Panel,140.0,105.0,108.64,133.28,8
CDM,PX-30000175,Renal Function Panel,226.0,169.5,175.38,213.59,2
CDM,PX-30000176,Acute Hepatitis Panel,626.0,469.5,485.78,581.24,3
CDM,PX-30000185,Lithium,71.0,53.25,55.1,67.59,2
CDM,PX-30000192,Vancomycin,135.0,101.25,104.76,104.76,1
CDM,PX-30000227,Analysis Gene Hfe Common Variants,292.0,219.0,255.21,255.21,1
CDM,PX-30000238,Analysis Gene Jak2 V617f Variant,648.0,486.0,610.93,610.93,1
CDM,PX-30000279,Adrenocorticotropic (Acth),282.0,211.5,246.47,246.47,1
CDM,PX-30000281,Albumin Serum/Plasma/Blood,37.0,27.75,28.71,34.35,2
CDM,PX-30000283,Microalbumin Qn Urine,92.0,69.0,71.39,86.95,5
CDM,PX-30000288,Aldolase,85.0,63.75,65.96,80.33,3
CDM,PX-30000289,Aldosterone,290.0,217.5,225.04,225.04,1
CDM,PX-30000291,Alpha-1 Antitrypsin Total,109.0,81.75,95.27,95.27,1
CDM,PX-30000293,Alpha Fetoprotein Serum,138.0,103.5,107.09,107.09,1
CDM,PX-30000296,Aluminum,308.0,231.0,293.22,293.22,1
CDM,PX-30000303,Amino Acids 6 or More Acids Qn,603.0,452.25,574.06,574.06,1
CDM,PX-30000305,Ammonia,104.0,78.0,98.29,98.29,1
CDM,PX-30000309,Amylase,67.0,50.25,51.99,51.99,1
CDM,PX-30000312,Androstenedione,223.0,167.25,173.05,173.05,1
CDM,PX-30000315,Angiotensin I Enzyme (Ace),127.0,95.25,98.55,98.55,1
CDM,PX-30000316,Apolipoprotein,114.0,85.5,99.64,107.74,4
CDM,PX-30000324,Bilirubin Total,43.0,32.25,33.37,40.64,3
CDM,PX-30000325,Bilirubin Direct,42.0,31.5,32.59,39.0,2
CDM,PX-30000328,Occult Blood Feces Cancer Screen,31.0,23.25,27.09,27.09,1
CDM,PX-30000330,Occult Blood Feces Ql Other Single,36.0,27.0,27.94,33.43,2
CDM,PX-30000334,Vitamin D 25 Hydroxy Inc Fraction,227.0,170.25,176.15,216.1,6
CDM,PX-30000336,Calcium Total,38.0,28.5,35.28,36.18,2
CDM,PX-30000337,Calcium Ionized,115.0,86.25,89.24,106.78,2
CDM,PX-30000339,Calcium Qn Timed Urine,69.0,51.75,53.54,64.07,2
CDM,PX-30000348,Carcinoembryonic Antigen (Cea),140.0,105.0,108.64,122.36,2
CDM,PX-30000353,Catecholamines Fraction,178.0,133.5,169.46,169.46,1
CDM,PX-30000355,Ceruloplasmin,109.0,81.75,95.27,95.27,1
CDM,PX-30000365,Cholinesterase Serum,91.0,68.25,86.63,86.63,1
CDM,PX-30000379,Collagen Cross Links,92.0,69.0,86.95,87.58,2
CDM,PX-30000380,Copper,94.0,70.5,82.16,89.49,2
CDM,PX-30000382,Cortisol Free,135.0,101.25,104.76,127.59,3
CDM,PX-30000383,Cortisol Total,151.0,113.25,117.18,143.75,5
CDM,PX-30000389,Creatine Kinase (Cpk) Total,58.0,43.5,45.01,55.22,5
CDM,PX-30000393,Creatinine Blood,38.0,28.5,29.49,29.49,1
CDM,PX-30000394,Creatinine Other Source,55.0,41.25,42.68,52.36,6
CDM,PX-30000398,Cryoglobulin Ql or Sqn,78.0,58.5,73.72,73.72,1
CDM,PX-30000400,Vitamin B-12 (Cyancobalamin),123.0,92.25,95.45,117.1,5
CDM,PX-30000405,Dhea-S,226.0,169.5,175.38,215.15,5
CDM,PX-30000408,Dibucaine Number,151.0,113.25,143.75,143.75,1
CDM,PX-30000422,Assay of Total Estradiol,248.0,186.0,192.45,236.1,6
CDM,PX-30000423,Estrogen Fractionated,401.0,300.75,350.47,378.99,2
CDM,PX-30000424,Estrogen Total,195.0,146.25,181.06,184.29,2
CDM,PX-30000426,Estrone,176.0,132.0,153.82,166.34,2
CDM,PX-30000433,Fatty Acids Nonesterified,93.0,69.75,86.35,86.35,1
CDM,PX-30000435,Ferritin,128.0,96.0,99.33,121.86,7
CDM,PX-30000438,Fluoride,230.0,172.5,218.96,218.96,1
CDM,PX-30000440,Folic Acid Serum,130.0,97.5,100.88,123.76,5
CDM,PX-30000447,Gammaglobulin Igm Iga Igd or Igg,86.0,64.5,66.74,81.87,5
CDM,PX-30000449,Gammaglobulin Ige,158.0,118.5,122.61,149.33,2
CDM,PX-30000454,Blood Gas W/O2 Sat,351.0,263.25,272.38,334.15,5
CDM,PX-30000463,Glucose Blood,123.0,92.25,114.21,117.1,3
CDM,PX-30000465,Glucose Post Dose,248.0,186.0,192.45,234.38,3
CDM,PX-30000470,G6pd Enzyme Qn,176.0,132.0,136.58,136.58,1
CDM,PX-30000472,Glucose by Device,31.0,23.25,24.06,29.3,4
CDM,PX-30000476,Ggt/Ggtp,70.0,52.5,54.32,66.64,4
CDM,PX-30000480,Glycated Protein (Fructosamine),179.0,134.25,166.2,166.2,1
CDM,PX-30000481,Follicle Stimulating Hormone (Fsh),95.0,71.25,73.72,90.44,5
CDM,PX-30000482,Luteinizing Hormone (Lh),128.0,96.0,99.33,121.86,5
CDM,PX-30000486,Haptoglobin Qn,130.0,97.5,120.71,120.71,1
CDM,PX-30000492,Hemoglobin Electrophoresis,158.0,118.5,138.09,138.09,1
CDM,PX-30000493,Hemoglobin Fract Qn,158.0,118.5,138.09,138.09,1
CDM,PX-30000497,Hemoglobin Glycosylated (A1c),86.0,64.5,66.74,81.87,7
CDM,PX-30000511,Histamine,134.0,100.5,103.98,103.98,1
CDM,PX-30000513,Homocystine,142.0,106.5,110.19,135.18,4
CDM,PX-30000516,Hydroxyindolacetic 5-(Hiaa),117.0,87.75,90.79,90.79,1
CDM,PX-30000517,Hydroxyprogesterone 17-D,205.0,153.75,159.08,179.17,2
CDM,PX-30000524,Immuno Qn Ria,184.0,138.0,175.17,175.17,1
CDM,PX-30000526,Immuno Qn Other,201.0,150.75,155.98,186.63,3
CDM,PX-30000528,Insulin Total,105.0,78.75,81.48,99.96,5
CDM,PX-30000531,IRON,67.0,50.25,51.99,63.78,6
CDM,PX-30000532,Iron Binding Capacity,76.0,57.0,58.98,72.35,6
CDM,PX-30000537,Lactate/Lactic Acid,106.0,79.5,82.26,100.91,5
CDM,PX-30000538,Lactate Dehydrogenase (Ldh),46.0,34.5,35.7,43.79,5
CDM,PX-30000541,Lactoferrin Fecal Qn,216.0,162.0,204.14,204.14,1
CDM,PX-30000545,LEAD,97.0,72.75,75.27,92.34,4
CDM,PX-30000551,Lipase,69.0,51.75,53.54,65.69,5
CDM,PX-30000553,Assay of Lipoprotein A,140.0,105.0,108.64,132.31,4
CDM,PX-30000554,Assay Lipoprotein Pla2,237.0,177.75,220.05,220.05,1
CDM,PX-30000555,Lipoprotein Electrophoresis Bld Qn,78.0,58.5,73.72,73.72,1
CDM,PX-30000558,Lipoprotein Blood by Nmr,223.0,167.25,207.06,207.06,1
CDM,PX-30000563,Magnesium,51.0,38.25,39.58,48.55,5
CDM,PX-30000571,Mercury,138.0,103.5,131.38,131.38,1
CDM,PX-30000572,Metanephrines,145.0,108.75,112.52,138.04,2
CDM,PX-30000583,Natriuretic Peptide,243.0,182.25,225.63,231.34,3
CDM,PX-30000592,Organic Acid Single Qn,223.0,167.25,173.05,210.76,3
CDM,PX-30000594,Osmolality Blood,50.0,37.5,38.8,38.8,1
CDM,PX-30000595,Osmolality Urine,59.0,44.25,45.78,45.78,1
CDM,PX-30000596,Osteocalcin,207.0,155.25,197.06,197.06,1
CDM,PX-30000600,Parathormone (Pth),293.0,219.75,227.37,278.94,4
CDM,PX-30000613,Phosphatase Alkaline,46.0,34.5,43.47,43.47,1
CDM,PX-30000615,Phosphatase Alkaline Isoenzyme,131.0,98.25,114.49,124.71,2
CDM,PX-30000619,Phosphorus,38.0,28.5,29.49,36.18,5
CDM,PX-30000620,Phosphorus Urine,62.0,46.5,59.02,59.02,1
