code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,0042T_1,"Computed tomography (CT) of brain blood flow, volume, and timing of flow analysis with contrast",1920.0,1248.0,78.57,1977.6,15
CDM,0055T_1,Musculoskeletal surgical navigational orthopedic operation using imaging guidance,1390.6,903.89,78.57,1432.32,15
CDM,0075T_1,"Insertion of stents into vertebral artery via catheter, open or accessed through the skin including radiologic supervision and interpretation, initial vessel",3150.0,2047.5,78.57,3244.5,15
CDM,0095T_1,Removal of upper spine artificial disc,5735.0,3727.75,78.57,5907.05,15
CDM,0184T_1,Removal of rectal tumor using an endoscope,2650.0,1722.5,78.57,2729.5,15
CDM,01953_1,"Anesthesia for treatment of second and third degree burn, each additional 9% of total body surface area or less",184.8,120.12,14.96,92.4,15
CDM,0198T_1,Measurement of eye blood flow by repeated eyeball pressure assessment,100.0,65.0,45.0,937.2,15
CDM,01996_1,Daily hospital management of continuous spinal drug administration,277.2,180.18,44.58,292.02,15
CDM,0200T_1,"Injections of one side of sacrum for enlargement, 1 or more needles, accessed through the skin",1662.3,1080.5,78.57,4551.79,15
CDM,0201T_1,"Injections of both sides of sacrum for enlargement, 2 or more needles, accessed through the skin",2555.0,1660.75,78.57,4551.79,15
CDM,0207T_1,Drainage of one eyelid glands using heat and pressure,923.07,600.0,44.89,950.76,15
CDM,0213T_1,"Injections of upper or middle spine joint or nerves using ultrasound guidance, single level",787.5,511.88,78.57,811.13,15
CDM,0214T_1,"Injections of upper or middle spine joint or nerves using ultrasound guidance, second level",404.3,262.8,78.57,416.43,15
CDM,0215T_1,Injections of upper or middle spine joint or nerves using imaging guidance,404.3,262.8,78.57,416.43,15
CDM,0216T_1,"Injections of lower or sacral spine joint or nerves using ultrasound guidance, single level",714.0,464.1,78.57,735.42,15
CDM,0217T_1,"Injections of lower or sacral spine joint or nerves using ultrasound guidance, second level",357.0,232.05,78.57,367.71,15
CDM,0218T_1,Injections of lower or sacral spine joint or nerves using imaging guidance,357.0,232.05,78.57,367.71,15
CDM,0219T_1,Insertion of upper spine facet joint implants,4585.0,2980.25,78.57,4722.55,15
CDM,0220T_1,Insertion of middle spine facet joint implants,4585.0,2980.25,78.57,4722.55,15
CDM,0222T_1,Insertion of spinal facet joint implants,1588.0,1032.2,78.57,1635.64,15
CDM,0223U_1,"Test for detection of respiratory disease-causing organisms from back of nose and throat (nasopharynx) specimen, 22 target organisms including severe acute respiratory syndrome coronavirus 2",1042.0,677.3,78.57,4342.85,19
CDM,0232T_1,Harvest and injections of platelet rich plasma using imaging guidance,1000.0,650.0,78.57,1030.0,15
CDM,0234T_1,"Catheter removal of plaque from kidney artery, accessed through the skin or open procedure including radiological supervision and interpretation",3400.0,2210.0,78.57,4993.01,15
CDM,0253T_1,"Insertion of eye fluid drainage device, internal approach",2528.4,1643.46,78.57,2604.25,15
CDM,0271T_1,Revision or removal of carotid sinus baroreflex activation device pulse generator,496.0,322.4,78.57,516.7,15
CDM,0274T_1,"Removal of bone from upper or middle spine for decompression of nerve tissue using imaging guidance, accessed through the skin",4300.0,2795.0,78.57,4429.0,15
CDM,0275T_1,"Removal of bone from lower spine for decompression of nerve tissue using imaging guidance, accessed through the skin",5302.65,3446.72,73.6,5461.73,15
CDM,0330T_1,Tear film imaging of one or both eyes,75.0,48.75,33.64,78.57,15
CDM,0338T_1,Destruction of nerves of arteries of both kidneys accessed through the skin with fluoroscopy and radiological supervision and interpretation,950.0,617.5,78.57,2362.13,15
CDM,0339T_1,Destruction of nerves of arteries of one kidney accessed through the skin with fluoroscopy and radiological supervision and interpretation,455.0,295.75,78.57,2848.14,15
CDM,0394T_1,"High dose rate electronic brachytherapy, external",523.0,339.95,78.57,538.69,15
CDM,0395T_1,"High dose rate electronic brachytherapy, internal",1397.0,908.05,78.57,1438.91,15
CDM,0402T_1,Collagen cross-linking treatment of disease of cornea,4674.0,3038.1,73.6,4814.22,15
CDM,0408T_1,Insertion or replacement of pulse generator and electrodes of heart contractility modulator system,2105.0,1368.25,78.57,2168.15,15
CDM,0412T_1,Removal of pulse generator for heart contractility modulator system,550.0,357.5,78.57,566.5,15
CDM,0413T_1,Removal of electrode for heart contractility modulator system,1480.0,962.0,78.57,1524.4,15
CDM,0421T_1,"TRANSURETHRAL ROBOTIC-ASSISTED WATERJET RESECTION OF PROSTATE, INCLUDING INTRAOPERATIVE PLANNING, ULTRASOUND GUIDANCE, CONTROL OF POSTOPERATIVE BLEEDING, COMPLETE, INCLUDING VASECTOMY, MEATOTOMY, CYST",3170.0,2060.5,73.6,3265.1,16
CDM,0437T_1,Reinforcement of fascia of abdominal wall with synthetic implant,695.5,452.08,78.57,716.37,15
CDM,0441T_1,"Freezing destruction of nerve in leg, accessed through the skin, using imaging guidance",280.0,182.0,78.57,440.55,15
CDM,0446T_1,"Creation of skin pocket and insertion of glucose sensor, with patient training",250.0,162.5,46.23,7533.58,19
CDM,0447T_1,Removal of glucose sensor from skin pocket,200.0,130.0,54.01,240.66,19
CDM,0448T_1,Removal of glucose sensor from skin pocket with creation of new skin pocket and insertion of new glucose sensor,300.0,195.0,77.53,7499.61,19
