hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Newton Wellesley Hospital,2026-03-27,3.0.0,Newton Wellesley Hospital,2014 Washington St Newton MA 02462-1607,2075,1992737761,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","both","","","325.00","243.75","AETNA [1001]","HB CH AETNA HMO / PPO","189.48","58.3","","179.17","179.17","179.17","1 through 10","37.73","308.75","percent of total billed charges",""
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","both","","","325.00","243.75","PHCS MULTIPLAN [1022]","HB CH CLARITEV (PRIMARY PPO)","237.25","73","","316.00","316.00","316.00","1 through 10","37.73","308.75","percent of total billed charges",""
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","outpatient","","","325.00","243.75","UNITED HEALTHCARE [1016]","HB CH UNITED HMO / PPO / INDEMNITY","254.96","78.45","","242.94","143.97","242.94","1 through 10","39.7","254.96","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","407.00","305.25","PHCS MULTIPLAN [1022]","HB CH CLARITEV (PRIMARY PPO)","297.11","73","","2044.40","2044.40","2044.40","1 through 10","83.7","1207","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","407.00","305.25","WELLPOINT [1015]","HB CH WELLPOINT","317.09","77.91","","103.18","103.18","103.18","437","83.7","1207","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","inpatient","","","407.00","305.25","CIGNA [1006]","HB CH CIGNA HMO / PPO","227.92","56","","1738.34","1738.34","1738.34","1 through 10","227.92","287.34","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","199.71","49.07","","353.80","216.44","865.75","1302","163.69","5129.31","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS PPO","203.91","50.1","","353.24","218.18","741.80","1897","163.69","5129.31","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","CIGNA [1006]","HB CH CIGNA HMO / PPO","241.35","59.3","","1151.49","245.58","3144.00","203","163.69","5129.31","percent of total billed charges",""
"9vhpv Vacc 2/3 Dose Sched Im Use","PX-63601160","CDM","90651","CPT","0636","RC","","","","outpatient","","","502.64","376.98","CIGNA [1006]","HB CH CIGNA HMO / PPO","262.38","52.2","","258.86","258.86","258.86","1 through 10","223.42","766.62","percent of total billed charges",""
