code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-25000082,Gadoteridol Vl 279.3mg/Ml 1ml,50.25,37.69,29.3,39.42,2
CDM,PX-25500006,Iodixanol Vl 320mg/Ml 1ml,167.0,125.25,87.17,121.91,5
CDM,PX-25500007,Iodixanol Inj 320mg,460.0,345.0,240.12,335.8,5
CDM,PX-25500008,Iopamidol Vl 61% 300mg/Ml 50ml,40.0,30.0,20.88,29.2,5
CDM,PX-25500009,Iopamidol Inj,87.0,65.25,45.41,63.51,5
CDM,PX-25500010,Iopamidol Inj,43.0,32.25,22.45,31.39,5
CDM,PX-25500012,Iopamidol Inj,79.0,59.25,41.24,57.67,5
CDM,PX-25500013,Iohexol Vl 300mg/Ml Iodine 1ml,53.0,39.75,27.67,38.69,5
CDM,PX-25500014,Contrast Low Osmolar 300-399mg 20ml,17.2,12.9,8.98,12.56,5
CDM,PX-25500015,Contrast Lowosmolar 300-399mg 10ml,8.6,6.45,4.49,6.28,5
CDM,PX-25500050,Omnipaque 350 per 1 Ml,12.07,9.05,6.3,8.81,5
CDM,PX-26000001,IV Infus Hydration Initial 31 Min-1 Hour - 96360,581.0,435.75,245.18,455.79,8
CDM,PX-26000002,IV Infus Hydration Ea Additional Hour - 96361,213.0,159.75,53.69,167.1,15
CDM,PX-26000003,IV Infus Non-Chemo Initial Up to 1 Hr - 96365,721.0,540.75,245.18,565.62,12
CDM,PX-26000004,IV Infus Non-Chemo Same Drug Ea Hr - 96366,281.0,210.75,53.69,220.44,12
CDM,PX-26000005,IV Infus Non-Chemo Ea Add�L Seq Diff Drug Up to 1 Hr - 96367,368.0,276.0,82.82,286.71,8
CDM,PX-26000006,IV Non-Chemo Concurrent Infus - 96368,215.0,161.25,125.35,134.38,2
CDM,PX-26000010,Therapeutic Prophylactic/Diagnostic Inj Sc/Im - 96372,227.0,170.25,82.82,178.08,11
CDM,PX-26000012,Ivp/ IV < 16 Min Initial Drug - 96374,778.0,583.5,245.18,610.34,12
CDM,PX-26000013,Ivp/ IV <16min Ea Addl Seg Diff Drug - 96375,318.0,238.5,53.69,249.47,16
CDM,PX-26000014,Ivp/ IV <16 Min Ea Add�L Seq Same Drug - 96376,247.0,185.25,143.26,193.77,8
CDM,PX-26000023,Vfc Therapeutic Prophylactic/Diagnostic Inj Sc/Im,23.0,17.25,10.22,87.05,11
CDM,PX-27000007,Implant Anchor T1,1143.14,857.35,508.13,896.79,13
CDM,PX-27000008,Implant Anchor T2,3999.73,2999.8,1777.88,3137.79,13
CDM,PX-27000009,Implant Anchor T3,4311.67,3233.75,1916.54,3382.51,13
CDM,PX-27000010,Implant Bone Void Filler T1,1004.74,753.55,446.61,788.22,13
CDM,PX-27000011,Implant Bone Void Filler T2,4261.89,3196.42,1894.41,3343.45,13
CDM,PX-27000012,Implant Bone Void Filler T3,6722.5,5041.87,2988.15,5273.8,13
CDM,PX-27000013,Implant Cable T1,817.9,613.42,363.56,641.64,13
CDM,PX-27000014,Implant Cable T2,3325.4,2494.05,1478.14,2608.78,13
CDM,PX-27000015,Implant Cable T3,4380.48,3285.36,1947.12,3436.49,13
CDM,PX-27000016,Implant Endobutton T1,626.73,470.05,278.58,491.67,13
CDM,PX-27000017,Implant Nail / Screw T1,355.26,266.44,157.91,278.7,13
CDM,PX-27000018,Implant Nail / Screw T2,3837.59,2878.19,1705.81,3010.59,13
CDM,PX-27000019,Implant Nail / Screw T3,4541.33,3406.0,2018.62,3562.67,13
CDM,PX-27000020,Implant Pin/Wire/Peg T1,317.09,237.82,140.95,248.76,13
CDM,PX-27000021,Implant Pin/Wire/Peg T2,3484.75,2613.56,1548.97,2733.79,13
CDM,PX-27000022,Implant Pin/Wire/Peg T3,4872.0,3654.0,2165.6,3822.08,13
CDM,PX-27000023,Implant Plate T1,920.21,690.16,409.03,721.9,13
CDM,PX-27000024,Implant Plate T2,3534.72,2651.04,1571.18,2772.99,13
CDM,PX-27000025,Implant Plate T3,5840.51,4380.38,2596.11,4581.88,13
CDM,PX-27000026,Implant Staple Bone T1,237.0,177.75,105.35,185.93,13
CDM,PX-27000027,Implant Washer / Nut T1,88.55,66.41,39.36,69.47,13
CDM,PX-27000036,HC Catheter Translumin Angioplasty Non-Laser Tier1,548.04,411.03,429.94,429.94,1
CDM,PX-27000037,HC Catheter Translumin Angioplasty Non-Laser Tier2,4000.0,3000.0,3138.0,3138.0,1
CDM,PX-27000038,Catheter Balloon Dilatation Non-Vascular T1,625.16,468.87,487.06,490.44,2
CDM,PX-27000039,Catheter Balloon Dilatation Non-Vascular T3,5322.31,3991.73,4146.61,4175.35,2
CDM,PX-27000044,Catheter Drainage T1,314.14,235.6,183.14,246.44,3
CDM,PX-27000054,HC Catheter Hemodialysis Peritoneal Longterm Tier1,876.16,657.12,687.35,687.35,1
CDM,PX-27000055,HC Catheter Hemodialysis Peritoneal Longterm Tier2,3656.25,2742.19,2868.33,2868.33,1
