code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-25010018,HB Donor Milk per Ml,1.0,0.7,0.14,1.0,44
CDM,PX-25115043,"HB Rh Immune Globulin, Mini Dose",247.0,172.9,35.32,247.0,27
CDM,PX-25500001,HB Non-Ionic Contrast 50cc,392.0,274.4,56.06,392.0,44
CDM,PX-25513723,HB Apheresis for Red Blood Cells,7591.0,5313.7,523.78,7591.0,45
CDM,PX-25800001,HB Water Ster Irr 1000cc,36.0,25.2,5.15,36.0,44
CDM,PX-26000000,HB Hydration IV Infusion Initial; 31 Minutes to 1 Hour,691.0,483.7,47.68,691.0,45
CDM,PX-26000001,HB Hydrate IV Infusion Each Additional Hour; Add-On,414.0,289.8,28.57,414.0,45
CDM,PX-26000002,"HB IV Infusion, Medicine (Tx/Px/D); Intial Up to 1 Hour",647.0,452.9,44.64,647.0,45
CDM,PX-26000003,"HB IV Infusion, Medicine (Tx/Px/D); Each Additional Hour (Add-On)",413.0,289.1,28.5,413.0,45
CDM,PX-26000004,"HB IV Infusion, Medicine (Tx/Px/D), Addl Sequential New Med; Up to 1 Hour",475.0,332.5,32.78,475.0,45
CDM,PX-26000005,HB Ther/Diag Concurrent Inf,372.0,260.4,25.67,372.0,45
CDM,PX-26000006,HB Subcutaneous Infusion Initial 1 Hr W/Pump Set-Up,716.0,501.2,49.4,716.0,45
CDM,PX-26000007,HB Sc Ther Infusion Addl Hr,94.0,65.8,13.44,94.0,36
CDM,PX-26000008,HB Sc Ther Infusion Reset Pump,133.0,93.1,19.02,133.0,36
CDM,PX-26000010,HB Ther/Proph/Diag Inj IV Push,393.0,275.1,43.62,393.0,42
CDM,PX-26000011,HB Tx/Pro/Dx Inj New Drug Addon,393.0,275.1,27.12,393.0,45
CDM,PX-26000012,HB Tx/Pro/Dx Inj Same Drug Adon,393.0,275.1,27.12,393.0,47
CDM,PX-26000013,HB Irrig Drug Delivery Device,289.0,202.3,19.94,289.0,45
CDM,PX-27000018,HB Autologous Blood; Intra-Operative Salvage; Utilization (Cell Saver),1035.0,724.5,148.01,1035.0,44
CDM,PX-27000074,HB High Flow Oxygen Equipmt Chnge,355.0,248.5,50.77,355.0,44
CDM,PX-27000075,HB High Humidity Oxygen Each,189.0,132.3,27.03,189.0,44
CDM,PX-27000076,HB High Humidity Oxygen Each-Dly,613.0,429.1,87.66,613.0,44
CDM,PX-27000113,HB Oxygen Equip S/U or Chnge,85.0,59.5,12.16,85.0,44
CDM,PX-27000116,HB Oxygen Nasal Canula Therapy,197.0,137.9,28.17,197.0,44
CDM,PX-27001038,HB Oxygen,294.0,205.8,42.04,294.0,44
CDM,PX-27001046,HB Oxygen Therapy per Day,877.0,613.9,125.41,877.0,44
CDM,PX-27001973,HB Supplies Hysterectomy,3527.0,2468.9,504.36,3527.0,44
CDM,PX-27002038,HB Nitrous Oxide,420.0,294.0,60.06,420.0,44
CDM,PX-27009806,HH Cotton-Tip Applicator wood sterile 10/pk,1.7,1.19,0.24,1.7,44
CDM,PX-27009807,"HH Curad Paper Tape 1""x10 YD",2.08,1.46,0.3,2.08,44
CDM,PX-27009808,"HH Curad Paper Tape 2""x10 YD",2.66,1.86,0.38,2.66,44
CDM,PX-27009809,HH Bandage scissors,5.74,4.02,0.82,5.74,44
CDM,PX-27009810,HH Retractable Measuring Tape-Plastic Case (Palos Only),3.14,2.2,0.45,3.14,44
CDM,PX-27009811,"HH Tongue depressor, sterile, 1 ea",2.2,1.54,0.31,2.2,44
CDM,PX-27009812,"HH Gait belt, 2x60"" with metal buckle",9.9,6.93,1.42,9.9,44
CDM,PX-27009813,HH Ace Connector,5.76,4.03,0.82,5.76,44
CDM,PX-27009814,"HH 1 QT, sharps container-red",2.52,1.76,0.36,2.52,44
CDM,PX-27009815,"HH 5QT, sharps container-red wall mount",5.82,4.07,0.83,5.82,44
