code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APR-DRG,1101,"Ear, nose, mouth, throat, cranial/facial malignancies",,76212.0,7379.1,22819.18,24
APR-DRG,1102,"Ear, nose, mouth, throat, cranial/facial malignancies",,163879.0,8939.64,27358.76,24
APR-DRG,1103,"Ear, nose, mouth, throat, cranial/facial malignancies",,68779.0,16274.9,48697.06,24
APR-DRG,1104,"Ear, nose, mouth, throat, cranial/facial malignancies",,97048.0,31890.35,94122.37,24
APR-DRG,1111,Vertigo & other labyrinth disorders,,55658.0,5026.09,15974.26,24
APR-DRG,1112,Vertigo & other labyrinth disorders,,57477.0,5901.1,18519.67,24
APR-DRG,1113,Vertigo & other labyrinth disorders,,71378.0,7761.45,23931.41,24
APR-DRG,1114,Vertigo & other labyrinth disorders,,64087.0,7878.51,24271.94,24
APR-DRG,1131,Infections of upper respiratory tract,,48582.0,4607.54,14756.68,24
APR-DRG,1132,Infections of upper respiratory tract,,62599.0,5528.02,17434.38,24
APR-DRG,1133,Infections of upper respiratory tract,,89316.0,7896.19,24323.4,24
APR-DRG,1134,Infections of upper respiratory tract,,136332.0,18910.04,56362.67,24
APR-DRG,1141,Dental & oral diseases & injuries,,46663.0,5370.54,16976.26,24
APR-DRG,1142,Dental & oral diseases & injuries,,47828.0,6437.56,20080.24,24
APR-DRG,1143,Dental & oral diseases & injuries,,82982.0,11443.4,34642.2,24
APR-DRG,1144,Dental & oral diseases & injuries,,121115.0,22120.38,65701.54,24
APR-DRG,1151,"Other ear, nose, mouth,throat & cranial/facial diagnoses",,45596.0,5058.09,16067.36,24
APR-DRG,1152,"Other ear, nose, mouth,throat & cranial/facial diagnoses",,79488.0,6403.88,19982.24,24
APR-DRG,1153,"Other ear, nose, mouth,throat & cranial/facial diagnoses",,94395.0,9701.8,29575.9,24
APR-DRG,1154,"Other ear, nose, mouth,throat & cranial/facial diagnoses",,99747.0,23419.0,69479.22,24
APR-DRG,12,Liver transplant &/or intestinal transplant,,498564.0,53244.31,270719.66,24
APR-DRG,1201,Major respiratory & chest procedures,,89254.0,15931.3,47697.51,24
APR-DRG,1202,Major respiratory & chest procedures,,176555.0,19118.06,56967.79,24
APR-DRG,1203,Major respiratory & chest procedures,,291180.0,29672.08,87669.44,24
APR-DRG,1204,Major respiratory & chest procedures,,1289040.0,52633.74,154464.9,24
APR-DRG,1211,Other respiratory & chest procedures,,76125.0,11518.35,34860.25,24
APR-DRG,1212,Other respiratory & chest procedures,,113162.0,15044.5,45117.81,24
APR-DRG,1213,Other respiratory & chest procedures,,178715.0,25286.92,74913.01,24
APR-DRG,1214,Other respiratory & chest procedures,,531763.0,52349.93,153639.29,24
APR-DRG,13,Liver transplant &/or intestinal transplant,,637883.0,71798.91,276070.61,24
APR-DRG,1302,Respiratory system diagnosis w ventilator support 96+ hours,,299697.0,30227.07,89283.9,24
APR-DRG,1303,Respiratory system diagnosis w ventilator support 96+ hours,,278409.0,37378.74,110088.12,24
APR-DRG,1304,Respiratory system diagnosis w ventilator support 96+ hours,,725521.0,52482.15,154023.92,24
APR-DRG,1312,Cystic fibrosis - pulmonary disease,,83674.0,15906.88,47626.46,24
APR-DRG,1313,Cystic fibrosis - pulmonary disease,,94202.0,22842.96,67803.52,24
APR-DRG,1314,Cystic fibrosis - pulmonary disease,,180123.0,24359.7,72215.72,24
APR-DRG,1321,BPD & oth chronic respiratory diseases arising in perinatal period,,42965.0,6309.55,19707.85,24
APR-DRG,1322,BPD & oth chronic respiratory diseases arising in perinatal period,,261092.0,7944.2,24463.03,24
APR-DRG,1323,BPD & oth chronic respiratory diseases arising in perinatal period,,121509.0,12436.31,37530.59,24
APR-DRG,1324,BPD & oth chronic respiratory diseases arising in perinatal period,,382332.0,21557.81,64065.04,24
APR-DRG,1332,Respiratory Failure,,95617.0,9115.65,27870.79,24
APR-DRG,1333,Respiratory Failure,,180174.0,12849.81,38733.48,24
APR-DRG,1334,Respiratory Failure,,186265.0,18326.42,54664.92,24
APR-DRG,1341,Pulmonary embolism,,63077.0,7273.83,22512.94,24
APR-DRG,1342,Pulmonary embolism,,78730.0,9214.18,28157.42,24
APR-DRG,1343,Pulmonary embolism,,117452.0,14050.74,42226.98,24
APR-DRG,1344,Pulmonary embolism,,205674.0,22868.22,67877.01,24
APR-DRG,1351,Major chest & respiratory trauma,,53418.0,5698.14,17929.25,24
APR-DRG,1352,Major chest & respiratory trauma,,73626.0,7410.26,22909.82,24
APR-DRG,1353,Major chest & respiratory trauma,,83590.0,11669.94,35301.22,24
APR-DRG,1354,Major chest & respiratory trauma,,223289.0,16630.3,49730.89,24
APR-DRG,1361,Respiratory malignancy,,68430.0,6131.01,19188.49,24
APR-DRG,1362,Respiratory malignancy,,82474.0,8951.43,27393.07,24
APR-DRG,1363,Respiratory malignancy,,120173.0,14474.35,43459.25,24
APR-DRG,1364,Respiratory malignancy,,192161.0,20655.01,61438.78,24
APR-DRG,1371,Major respiratory infections & inflammations,,60315.0,7198.88,22294.9,24
APR-DRG,1372,Major respiratory infections & inflammations,,69617.0,10020.14,30501.94,24
APR-DRG,1373,Major respiratory infections & inflammations,,106816.0,15460.53,46328.04,24
APR-DRG,1374,Major respiratory infections & inflammations,,170792.0,23337.31,69241.59,24
APR-DRG,1381,Bronchiolitis & RSV pneumonia,,20289.0,5446.33,17196.74,24
APR-DRG,1382,Bronchiolitis & RSV pneumonia,,44308.0,6647.26,20690.25,24
APR-DRG,1383,Bronchiolitis & RSV pneumonia,,91692.0,12832.97,38684.48,24
APR-DRG,1384,Bronchiolitis & RSV pneumonia,,228854.0,26803.66,79325.22,24
APR-DRG,1391,Other pneumonia,,67366.0,5665.3,17833.71,24
APR-DRG,1392,Other pneumonia,,65723.0,7051.5,21866.18,24
APR-DRG,1393,Other pneumonia,,93878.0,10923.78,33130.64,24
APR-DRG,1394,Other pneumonia,,165187.0,19612.41,58405.86,24
APR-DRG,14,Liver transplant &/or intestinal transplant,,1020198.0,148763.61,545805.38,24
APR-DRG,1401,Chronic obstructive pulmonary disease,,35989.0,6182.39,19337.93,24
APR-DRG,1402,Chronic obstructive pulmonary disease,,78457.0,7419.53,22936.77,24
APR-DRG,1403,Chronic obstructive pulmonary disease,,113961.0,9864.34,30048.72,24
APR-DRG,1404,Chronic obstructive pulmonary disease,,170578.0,17933.13,53520.83,24
APR-DRG,1411,Asthma,,53957.0,5327.59,16851.32,24
APR-DRG,1412,Asthma,,74394.0,6537.78,20371.76,24
APR-DRG,1413,Asthma,,104982.0,9236.08,28221.12,24
APR-DRG,1414,Asthma,,164884.0,15250.83,45718.02,24
APR-DRG,1421,Interstitial & alveolar lung diseases,,56617.0,6957.18,21591.8,24
APR-DRG,1422,Interstitial & alveolar lung diseases,,74386.0,8574.14,26295.52,24
APR-DRG,1423,Interstitial & alveolar lung diseases,,128068.0,12546.63,37851.53,24
APR-DRG,1424,Interstitial & alveolar lung diseases,,262483.0,24764.78,73394.11,24
APR-DRG,1431,"Other respiratory diagnoses except signs, symptoms & minor diagnoses",,42918.0,5811.83,18259.98,24
APR-DRG,1432,"Other respiratory diagnoses except signs, symptoms & minor diagnoses",,60222.0,7731.13,23843.21,24
APR-DRG,1433,"Other respiratory diagnoses except signs, symptoms & minor diagnoses",,93414.0,12142.4,36675.59,24
APR-DRG,1434,"Other respiratory diagnoses except signs, symptoms & minor diagnoses",,189501.0,18668.34,55659.56,24
APR-DRG,1441,"Respiratory signs, symptoms & minor diagnoses",,54755.0,5151.58,16339.3,24
APR-DRG,1442,"Respiratory signs, symptoms & minor diagnoses",,61169.0,6130.17,19186.03,24
APR-DRG,1443,"Respiratory signs, symptoms & minor diagnoses",,90396.0,8617.09,26420.47,24
APR-DRG,1444,"Respiratory signs, symptoms & minor diagnoses",,155120.0,15646.65,46869.46,24
APR-DRG,1601,Major cardiothoracic repair of heart anomaly,,63926.0,27835.32,82326.3,24
APR-DRG,1602,Major cardiothoracic repair of heart anomaly,,135818.0,29954.21,88490.14,24
APR-DRG,1603,Major cardiothoracic repair of heart anomaly,,280333.0,41595.47,122354.57,24
APR-DRG,1604,Major cardiothoracic repair of heart anomaly,,647375.0,85083.23,248860.48,24
APR-DRG,1611,Cardiac defibrillator & heart assist implant,,140638.0,35146.16,103593.54,24
APR-DRG,1612,Cardiac defibrillator & heart assist implant,,245671.0,52943.65,155366.45,24
APR-DRG,1613,Cardiac defibrillator & heart assist implant,,568817.0,84204.85,246305.28,24
APR-DRG,1614,Cardiac defibrillator & heart assist implant,,1093516.0,195717.73,570696.25,24
APR-DRG,1621,Cardiac valve procedures w AMI or complex PDX,,146652.0,30495.72,90065.41,24
APR-DRG,1622,Cardiac valve procedures w AMI or complex PDX,,148749.0,39085.81,115053.99,24
APR-DRG,1623,Cardiac valve procedures w AMI or complex PDX,,370679.0,49651.63,145789.94,24
APR-DRG,1624,Cardiac valve procedures w AMI or complex PDX,,745588.0,80373.84,235160.86,24
APR-DRG,1631,Cardiac valve procedures w/o AMI or complex PDX,,149716.0,26812.08,79349.71,24
APR-DRG,1632,Cardiac valve procedures w/o AMI or complex PDX,,226502.0,32500.07,95896.07,24
APR-DRG,1633,Cardiac valve procedures w/o AMI or complex PDX,,324512.0,39620.59,116609.65,24
APR-DRG,1634,Cardiac valve procedures w/o AMI or complex PDX,,631831.0,60686.53,183312.45,24
APR-DRG,1651,Coronary bypass w AMI or complex PDX,,202701.0,34465.69,101614.05,24
APR-DRG,1652,Coronary bypass w AMI or complex PDX,,276519.0,34579.38,101944.78,24
APR-DRG,1653,Coronary bypass w AMI or complex PDX,,370406.0,42280.15,124346.31,24
APR-DRG,1654,Coronary bypass w AMI or complex PDX,,682451.0,60935.81,178615.63,24
APR-DRG,1661,Coronary bypass w/o AMI or complex PDX,,219240.0,26635.23,78835.24,24
APR-DRG,1662,Coronary bypass w/o AMI or complex PDX,,241847.0,28807.18,85153.44,24
APR-DRG,1663,Coronary bypass w/o AMI or complex PDX,,314853.0,35158.79,103630.29,24
APR-DRG,1664,Coronary bypass w/o AMI or complex PDX,,599687.0,53816.14,160888.18,24
APR-DRG,1671,Other cardiothoracic & thoracic vascular procedures,,86700.0,21767.51,64675.05,24
APR-DRG,1672,Other cardiothoracic & thoracic vascular procedures,,104175.0,25254.08,74817.47,24
APR-DRG,1673,Other cardiothoracic & thoracic vascular procedures,,232362.0,32340.9,95433.05,24
APR-DRG,1674,Other cardiothoracic & thoracic vascular procedures,,502465.0,57184.8,167703.95,24
APR-DRG,1691,Major abdominal vascular procedures,,81169.0,16357.44,48937.14,24
APR-DRG,1692,Major abdominal vascular procedures,,169027.0,20611.22,61311.39,24
APR-DRG,1693,Major abdominal vascular procedures,,271977.0,32628.92,96270.9,24
APR-DRG,1694,Major abdominal vascular procedures,,466714.0,61831.03,181219.82,24
APR-DRG,1702,"Permanent cardiac pacemaker implant w AMI, heart failure or shock",,147028.0,24375.7,72262.27,24
APR-DRG,1703,"Permanent cardiac pacemaker implant w AMI, heart failure or shock",,209397.0,31682.33,93517.27,24
APR-DRG,1704,"Permanent cardiac pacemaker implant w AMI, heart failure or shock",,156857.0,41868.33,123148.33,24
APR-DRG,1711,"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",,83681.0,15991.09,47871.45,24
APR-DRG,1712,"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",,93217.0,19395.13,57773.79,24
APR-DRG,1713,"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",,128573.0,26502.17,78448.17,24
APR-DRG,1714,"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",,241452.0,51564.18,151353.57,24
APR-DRG,1741,Percutaneous coronary intervention w AMI,,103379.0,16203.32,48488.82,24
APR-DRG,1742,Percutaneous coronary intervention w AMI,,123363.0,17696.48,52832.42,24
APR-DRG,1743,Percutaneous coronary intervention w AMI,,148667.0,22447.14,66652.08,24
APR-DRG,1744,Percutaneous coronary intervention w AMI,,322306.0,33583.94,99049.04,24
APR-DRG,1751,Percutaneous coronary intervention w/o AMI,,109055.0,13764.41,41394.02,24
APR-DRG,1752,Percutaneous coronary intervention w/o AMI,,121787.0,15437.79,46261.9,24
APR-DRG,1753,Percutaneous coronary intervention w/o AMI,,144735.0,21706.03,64496.21,24
APR-DRG,1754,Percutaneous coronary intervention w/o AMI,,159360.0,42695.33,125554.09,24
APR-DRG,1761,Cardiac pacemaker & defibrillator device replacement,,73141.0,13406.49,40352.84,24
APR-DRG,1762,Cardiac pacemaker & defibrillator device replacement,,94726.0,23575.64,69934.9,24
APR-DRG,1763,Cardiac pacemaker & defibrillator device replacement,,174487.0,29674.61,87676.8,24
APR-DRG,1764,Cardiac pacemaker & defibrillator device replacement,,361023.0,31245.25,92245.78,24
