code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PMC - 3001 - 110000110,IP PRIVATE,1889.0,944.5,,,0
CDM,PMC - 3001 - 110000112,IP L&D,1754.0,877.0,,,0
CDM,PMC - 3001 - 110000114,BEH MED PRIVATE,2859.0,1429.5,,,0
CDM,PMC - 3001 - 110000117,IP ONCOLOGY,2919.0,1459.5,,,0
CDM,PMC - 3001 - 110000119,IP TRANSPLANT AND SURGICAL ADMISSION,3506.0,1753.0,,,0
CDM,PMC - 3001 - 110000120,IP SEMIPRIVATE,1889.0,944.5,,,0
CDM,PMC - 3001 - 110000124,BEH MED SEMIPRIVATE,2859.0,1429.5,,,0
CDM,PMC - 3001 - 110000130,IP 3-4 BEDS IN ROOM,1738.0,869.0,,,0
CDM,PMC - 3001 - 110000150,IP WARD,1738.0,869.0,,,0
CDM,PMC - 3001 - 110000169,IP L&D,4205.0,2102.5,,,0
CDM,PMC - 3001 - 110000171,NEWBORN CARE LEVEL 1,1260.0,630.0,,,0
CDM,PMC - 3001 - 110000172,NEWBORN CARE LEVEL 2,2839.0,1419.5,,,0
CDM,PMC - 3001 - 110000173,NEWBORN CARE LEVEL 3,3165.0,1582.5,,,0
CDM,PMC - 3001 - 110000174,NEWBORN CARE LEVEL 4,4703.0,2351.5,,,0
CDM,PMC - 3001 - 110000190,IP SNF - SEMI PRIVATE,1500.0,750.0,,,0
CDM,PMC - 3001 - 110000200,IP INTENSIVE,4818.0,2409.0,,,0
CDM,PMC - 3001 - 110000206,IP STEPDOWN,3823.0,1911.5,,,0
CDM,PMC - 3001 - 110000208,IP TRAUMA ICU,6172.0,3086.0,,,0
CDM,PMC - 3001 - 110000209,IP INTENSIVE ICU RC 209,3749.0,1874.5,,,0
CDM,PMC - 3001 - 110000210,IP INTENSIVE CCU,4818.0,2409.0,,,0
CDM,PMC - 3001 - 110000214,IP STEPDOWN,3823.0,1911.5,,,0
CDM,PMC - 3001 - 110001120,BEH MED LOA,1889.0,944.5,,,0
CDM,PMC - 3001 - 110001169,IP HIGH RISK L&D,4205.0,2102.5,,,0
CDM,PMC - 3001 - 110001190,IP SNF - PRIVATE,225.0,112.5,,,0
CDM,PMC - 3001 - 110001210,IP INTENSIVE CVRU,4818.0,2409.0,,,0
CDM,PMC - 3001 - 110002110,HOSPICE PRIVATE,2359.0,1179.5,,,0
CDM,PMC - 3001 - 220000014,INPT LACTATION CONSULT 15 MIN,57.0,28.5,,,0
