code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CPT,0001A,HC PFIZER COVID VACCINE ADMIN 1ST DOSE,,141.0,40.0,132.54,16
CPT,0001U,HC LAB RBC ANTIGEN GENOTYPING,,308.0,198.73,967.08,29
CPT,0002A,HC PFIZER COVID VACCINE ADMIN 2ND DOSE,,141.0,40.0,132.54,16
CPT,0003A,HC PFIZER COVID VACCINE ADMIN 3RD DOSE,,141.0,40.0,132.54,16
CPT,0004A,HC PFIZER COVID VACCINE ADMIN BOOSTER DOSE,,141.0,40.0,132.54,16
CPT,0011A,HC MODERNA COVID VACCINE ADMIN 1ST DOSE,,141.0,40.0,132.54,16
CPT,0012A,HC MODERNA COVID VACCINE ADMIN 2ND DOSE,,141.0,40.0,132.54,16
CPT,0013A,HC MODERNA COVID VACCINE ADMIN 3RD DOSE,,141.0,40.0,132.54,16
CPT,0031A,HC JANSSEN (J & J) COVID VACCINE ADMIN,,141.0,40.0,132.54,16
CPT,0034A,HC JANSSEN (J & J) COVID VACCINE ADMIN BOOSTER DOSE,,141.0,40.0,132.54,16
CPT,0035U,"HC LAB DECTECTION OF PRION PROTEIN IN CSF, QUAL",,2169.0,378.69,2038.86,29
CPT,0041A,HC NOVAVAX COVID VACCINE ADMIN 1ST DOSE,,141.0,40.0,191.78,17
CPT,0042A,HC NOVAVAX COVID VACCINE ADMIN 2ND DOSE,,141.0,40.0,191.78,17
CPT,0042T,HC CT CEREBRAL PERFUSION ANALYSIS W/BLOOD FLOW VOLUME,,3749.0,102.91,3524.06,36
CPT,0051A,HC PFIZER TRI-SUC COVID VACCINE ADMIN 1ST DOSE,,141.0,40.0,132.54,16
CPT,0052A,HC PFIZER TRI-SUC COVID VACCINE ADMIN 2ND DOSE,,141.0,40.0,132.54,16
CPT,0053A,HC PFIZER TRI-SUC COVID VACCINE ADMIN 3RD DOSE,,141.0,40.0,132.54,16
CPT,0054A,HC PFIZER TRI-SUC COVID VACCINE ADMIN BOOSTER DOSE,,141.0,40.0,132.54,16
CPT,0064A,HC MODERNA LOW DOSE COVID VACCINE ADMIN - BOOSTER,,141.0,40.0,132.54,16
CPT,0071A,HC PFIZER COVID VACCINE ADMIN PEDS 1ST DOSE,,141.0,40.0,132.54,16
CPT,0072A,HC PFIZER COVID VACCINE ADMIN PEDS 2ND DOSE,,141.0,40.0,132.54,16
CPT,0073A,HC PFIZER COVID VACCINE ADMIN PEDS 3RD DOSE,,141.0,40.0,132.54,16
CPT,0074A,HC PFIZER COVID VACCINE ADMIN PEDS BOOSTER DOSE,,141.0,40.0,132.54,16
CPT,0081A,HC PFIZER COVID VACCINE ADMIN PEDS <5YRS 1ST DOSE,,141.0,40.0,132.54,16
CPT,0082A,HC PFIZER COVID VACCINE ADMIN PEDS <5YRS 2ND DOSE,,141.0,40.0,132.54,16
CPT,0083A,HC PFIZER COVID VACCINE ADMIN PEDS <5YRS 3RD DOSE,,141.0,40.0,132.54,16
CPT,0091A,HC MODERNA PEDS >5YRS COVID VACCINE ADMIN 1ST DOSE,,141.0,40.0,132.54,16
CPT,0092A,HC MODERNA PEDS >5YRS COVID VACCINE ADMIN 2ND DOSE,,141.0,40.0,132.54,16
CPT,0093A,HC MODERNA PEDS >5YRS COVID VACCINE ADMIN 3RD DOSE,,141.0,40.0,132.54,16
CPT,0094A,HC MODERNA LOW DOSE COVID VACCINE ADMIN - 2ND BOOSTER,,141.0,40.0,132.54,16
CPT,0111A,HC MODERNA PEDS COVID VACCINE ADMIN 1ST DOSE,,141.0,40.0,132.54,16
CPT,0112A,HC MODERNA PEDS COVID VACCINE ADMIN 2ND DOSE,,141.0,40.0,132.54,16
CPT,0113A,HC MODERNA PEDS COVID VACCINE ADMIN 3RD DOSE,,141.0,70.5,132.54,16
CPT,0124A,HC PFIZER BIVALENT TRI-SUC COVID VACCINE ADMIN 30MCG BOOSTER DOSE,,141.0,40.0,191.78,17
CPT,0134A,HC MODERNA BIVALENT COVID VACCINE ADMIN - BOOSTER,,141.0,40.0,191.78,17
CPT,0144A,HC MODERNA BIVALENT LO DOSE COVID VACCINE ADMIN - BOOSTER,,141.0,40.0,191.78,17
CPT,0154A,HC PFIZER BIVALENT TRI-SUC COVID VACCINE ADMIN 10MCG BOOSTER DOSE,,141.0,40.0,191.78,17
CPT,0164A,HC MODERNA BIVALENT COVID VACCINE ADMIN 10MCG - BOOSTER,,141.0,40.0,191.78,17
CPT,0173A,HC PFIZER BIVALENT TRI-SUC COVID VACCINE ADMIN 3MCG BOOSTER DOSE,,141.0,40.0,191.78,17
CPT,0202U,HC LAB RT-PCR 22 TRGT INCL COV2 QUAL,,720.0,291.75,676.8,28
CPT,0279U,HC HEM VW DS VW FACTOR & COLLAGEN III BINDING ELISA,,269.0,5.92,366.93,48
CPT,0368T,HC ADAPTIVE BEHAVIOR TREATMENT MODIFIED 1ST 30 MIN,,323.0,161.5,303.62,16
CPT,0369T,HC ADAPTIVE BEHAVIOR TREATMENT MODIFIED EACH ADDL 30 MIN,,216.0,108.0,203.04,16
CPT,0398T,HC MR GUIDED ULTRASOUND INTRACRANIAL ABLATION,,55685.0,1754.0,68498.87,36
CPT,0502T,HC CORONARY FFR DATA PREPARATION & TRANSMISSION,,244.0,122.0,785.64,17
CPT,0503T,HC CORONARY FFR DATA SCAN & ANALYSIS,,7038.0,32.34,6615.72,37
CPT,0537T,HC CAR-T CELL COLLECTION,,10791.0,5395.5,10143.54,15
CPT,0540T,"HC CHIMERIC ANTIGEN RECEPTOR T-CELL (CAR-T) THERAPY, CAR-T CELL ADMINISTRATION, AUTOLOGOUS",,1080.0,203.85,1462085.63,16
CPT,0559T,HC 3D PRINTED ANATOMIC MODEL FROM IMAGING DATA 1ST COMPONENT,,250.0,21.03,235.0,29
CPT,0560T,HC 3D PRINTED ANATOMIC MODEL FROM IMAGING DATA EA ADDL COMP,,125.0,10.51,208.65,16
CPT,0561T,HC 3D PRINTED ANATOMIC GUIDE FROM IMAGING DATA 1ST GUIDE,,250.0,66.78,235.0,29
CPT,0562T,HC 3D PRINTED ANATOMIC GUIDE FROM IMAGING DATA EA ADDL GUIDE,,125.0,42.1,208.65,16
CPT,0633T,HC CT OF BREAST W/3D W/O CONTRAST UNILAT,,900.0,119.54,3351.38,49
CPT,0634T,HC CT OF BREAST W/3D W/CONTRAST UNILAT,,1748.0,200.12,3351.38,49
CPT,0635T,HC CT OF BREAST W/3D W/O AND W/CONTRAST UNILAT,,1748.0,200.12,3351.38,49
CPT,0636T,HC CT OF BREAST W/3D W/O CONTRAST BILATERAL,,900.0,271.73,3351.38,49
CPT,0637T,HC CT OF BREAST W/3D W/CONTRAST BILATERAL,,1748.0,401.46,3351.38,49
CPT,0638T,HC CT OF BREAST W/3D W/O AND W/CONTRAST BILATERAL,,1748.0,401.46,3351.38,49
CPT,0689T,HC QUANTITATIVE US TISSUE CHARAC W/I&R BUT NO DX EXAM,,308.0,98.98,3425.69,49
CPT,0690T,HC QUANTITATIVE US TISSUE CHARAC W/I&R AND W/DX EXAM,,308.0,147.57,1200.72,36
CPT,10005,HC ASPIRATION FINE NEEDLE W/US GUIDANCE 1ST LESION,,,755.28,12700.68,40
CPT,10009,FINE NEEDLE ASPIRATION BX W-CT GDN 1ST LESION,,,755.28,12700.68,40
CPT,10021,HC FINE NEEDLE ASP WO IMAG GUIDANCE,,739.0,423.0,12700.68,49
CPT,10022,HC ASPIRATION FINE NEEDLE W/IMAGING GUIDANCE,,986.0,72.0,12700.68,15
CPT,10030,HC IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE,,,703.56,12700.68,40
CPT,10035,PLMT SFT TISS LOCLZJ DEV PERQ 1ST LESION,,,790.93,12700.68,40
CPT,10040,HC ACNE SURGERY,,579.0,223.36,12700.68,49
CPT,10060,HC I&D SKIN ABSCESS SIMPLE/SINGLE,,,223.36,12700.68,40
CPT,10061,HC I&D OF ABSCESS COMPLICATED OR MULTIPLE,,,423.0,12700.68,40
CPT,10080,HC I&D PILONIDAL CYST SIMPLE,,517.0,316.4,12700.68,49
CPT,10081,HC I&D PILONIDAL CYST COMPLICATED,,,703.56,12779.38,40
CPT,10120,HC I&R FOREIGN BODY SUBCUTANEOUS SIMPLE,,,423.0,12700.68,40
CPT,10121,HC I&R FOREIGN BODY SUBCUTANEOUS COMPLICATED,,,1677.29,13583.76,40
CPT,10140,HC I&D HEMATOMA/SEROMA/FLUID COLLECTION,,,703.56,14897.7,40
CPT,10160,HC PUNCTURE ASPIRATION ABSCESS HEMATOMA/CYST,,,423.0,12700.68,40
CPT,10180,HC I&D POST-OPERATIVE WOUND INFECTION COMPLEX,,3218.0,1869.45,14739.08,49
CPT,11000,HC DEBRIDE INFECTED SKIN UP TO 10% OF BODY SURFACE,,833.0,423.0,12700.68,49
CPT,11010,HC DEBRIDE SKIN W/FB REMOVAL OPEN FX/DISLOC,,4092.0,790.93,12700.68,49
CPT,11012,HC DEB SKIN BONE AT FX SITE,,9057.0,1869.45,14739.08,49
CPT,11042,HC DEBRIDE SKIN & SUBCUTANEOUS TISSUE UP TO 20 SQ CM,,,449.12,12700.68,40
CPT,11043,HC DEBRIDE SKIN SUBCUTANEOUS TISSUE & MUSCLE UP TO 20 SQ CM,,,688.11,12700.68,40
CPT,11044,"HC DEBRIDEMENT SKIN, SUBCUTANEOUS TISSUE, MUSCLE AND BONE",,,1821.37,13583.76,40
CPT,11045,HC DEBRIBE SKIN & SUBCUTANEOUS TISSUE EA ADDL 20SQ CM,,690.0,422.28,13583.76,36
CPT,11055,HC PARING/CUTTING BENIGN HYPERKERATOTIC LESION 1,,245.0,149.94,12700.68,49
CPT,11100,HC BIOPSY OF SKIN SINGLE LESION,,705.0,51.0,12700.68,15
CPT,11101,HC BIOPSY OF SKIN EACH ADDL LESION,,557.0,26.0,12700.68,15
CPT,11102,HC TANGENTIAL BIOPSY OF SINGLE SKIN LESION,,675.0,223.36,12700.68,49
CPT,11103,HC TANGENTIAL BIOPSY OF EA ADDL SKIN LESION,,334.0,204.41,12700.68,36
CPT,11104,HC PUNCH BIOPSY OF SKIN SINGLE LESION,,857.0,423.0,12700.68,49
CPT,11105,HC PUNCH BIOPSY OF SKIN EACH ADDL LESION,,203.0,124.24,12700.68,36
CPT,11106,HC INCISIONAL BIOPSY OF SKIN SINGLE LESION,,2002.0,423.0,12700.68,49
CPT,11200,HC REMOVAL OF SKIN TAGS UPTO 15,,,223.36,12700.68,40
CPT,11201,HC REMOVAL OF SKIN TAGS EA ADDL 10,,401.0,245.41,12700.68,36
CPT,11300,HC SHAVE LESION SKIN TRUNK/ARM/LEG UP TO 0.5CM,,582.0,356.18,12700.68,49
CPT,11301,HC SHAVE LESION SKIN TRUNK/ARM/LEG 0.6-1.0CM,,689.0,223.36,12700.68,49
CPT,11302,HC SHAVE LESION SKIN TRUNK/ARM/LEG 1.1-2.0CM,,834.0,223.36,12700.68,49
