code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedure,,,,,0
,,Reduced Service,,,,,0
CPT,0001U,HC RBC DNA HEA 35 AG 11 BLD GRP,756.0,864.0,7.56,1836.0,319
CPT,0020M,HC ONC CNS ALYS 30000 DNA LOCI,508.71,,5.0871,508.71,214
CPT,0034U,HC TPMT NUDT15 GENES,2926.35,559.4,29.2635,2926.35,331
CPT,0035U,HC NEURO CSF PRION PRTN QUAL,2926.97,649.19,29.2697,2926.97,331
CPT,0037U,HC TRGT GEN SEQ DNA 324 GENES,17640.0,4200.0,176.4,17640.0,331
CPT,0042T,HC CT PERFUSION W/CONTRAST CBF,1102.41,209.4579,11.0241,1119.84,322
CPT,0054T,BONE SRGRY CMPTR FLUOR IMAGE,,,2434.0,25798.0,128
CPT,0054T,HC COMPUTER ASSISTED NAVIGATION FLUOROSCOPIC,29342.6,5575.094,293.426,29342.6,237
CPT,0055T,BONE SRGRY CMPTR CT/MRI IMAG,,,2434.0,25798.0,128
CPT,0055T,HC COMPUTER ASSISTED NAVIGATION CT/MRI,29342.6,5575.094,293.426,29342.6,237
CPT,0075T,HC PERQ STENT/CHEST VERT ART,6188.55,1175.8245,61.8855,50347.74,317
CPT,0076T,HC S&I STENT/CHEST VERT ART,6188.55,1175.8245,61.8855,50347.74,317
CPT,0087U,HC CRD HRT TRNSPL MRNA 1283 GEN,3159.42,3791.3,1579.71,8056.52,325
CPT,0088U,HC TRNSPLJ MED KDN ALGRFT REJ 1494 GENES ALG,3159.42,3791.3,396.03,8056.52,325
CPT,0108U,GI BARRETT ESOPH 9 PRTN BMRK,,,2513.25,25798.0,197
CPT,0152U,HC INFECTIOUS DISEASE DNA UNTARGETED NEXT-GEN SEQUENCING,6378.6,2551.44,24.03,6378.6,325
CPT,0184T,EXC RECTAL TUMOR ENDOSCOPIC,,,829.94,25798.0,346
CPT,0200T,HC PERQ SACRAL AUGMT UNILAT INJ,6042.8,1148.132,60.428,43390.0,406
CPT,0201T,HC PERQ SACRAL AUGMT BILAT INJ,6042.8,1148.132,60.428,43390.0,406
CPT,0202U,HC NFCT DS 22 TRGT SARS-COV-2,1050.29,500.14,10.5029,1062.79,331
CPT,0213T,HC NJX DX/THER PARAVER FCT JT W/US CER/THOR 1 LVL,3098.97,588.8043,30.9897,25798.0,406
CPT,0214T,HC NJX DX/THER PARAVER FCT JT W/US CER/THOR 2ND LVL,309.9,58.881,3.099,25798.0,323
CPT,0215T,HC NJX PARAVERTBRL FACET JT W/US CER/THOR 3RD&> LVL,619.79,117.7601,6.1979,25798.0,317
CPT,0216T,HC NJX PARAVERT W/US LUMB/SAC 1 LVL,3138.69,596.3511,31.3869,25798.0,331
CPT,0217T,HC NJX PARAVERT W/US LUMB/SAC 2 LVL,313.87,59.6353,3.1387,25798.0,248
CPT,0218T,HC NJX PARAVERT W/US LUMB/SAC 3 LVL,627.73,119.2687,6.2773,25798.0,248
CPT,0221U,HC ABO GNOTYP NEXT GNRJ SEQ ABO,824.49,329.8,185.2,824.49,319
CPT,0223U,HC NFCT DS 22 TRGT SARS-COV-2,2100.57,500.14,21.0057,2100.57,330
CPT,0224U,HC ANTIBODY SARSCOV-2 TITER(S),218.07,50.56,2.1807,218.07,331
CPT,0225U,HC NFCT DS DNA&RNA 21 SARSCOV2,2100.57,,21.0057,2100.57,331
