code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APR-DRG,001-1,Liver Transplant And/Or Intestinal Transplant,,,63932.0,67128.0,2
APR-DRG,001-2,Liver Transplant And/Or Intestinal Transplant,278667.4367,61306.83607,72006.0,75607.0,2
APR-DRG,001-3,Liver Transplant And/Or Intestinal Transplant,386681.5267,85069.93587,85914.0,90210.0,2
APR-DRG,001-4,"MS DRG- ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES;APR DRG- LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT;SOI - Extreme",2478008.82,545161.9404,119718.0,2230207.938,39
APR-DRG,001-4,MS DRG- LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT;APR DRG- LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT;SOI - Extreme,872494.94,191948.8868,67551.0,785245.446,45
APR-DRG,001-4,MS DRG- LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT;APR DRG- LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT;SOI - Major,472535.12,103957.7264,67551.0,425281.608,45
APR-DRG,001-4,MS DRG- LIVER TRANSPLANT WITHOUT MCC;APR DRG- LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT;SOI - Major,340166.06,74836.5332,32597.0,400000.0,45
APR-DRG,001-4,MS DRG- LIVER TRANSPLANT WITHOUT MCC;APR DRG- LIVER TRANSPLANT AND/OR INTESTINAL TRANSPLANT;SOI - Moderate,296800.04,65296.0088,32597.0,400000.0,45
APR-DRG,002-1,Heart And/Or Lung Transplant,668050.84,146971.1848,91454.0,96027.0,2
APR-DRG,002-2,Heart And/Or Lung Transplant,532037.9,117048.338,106681.0,112015.0,2
APR-DRG,002-3,Heart And/Or Lung Transplant,934740.13,205642.8286,143754.0,150941.0,2
APR-DRG,002-4,"MS DRG- ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES;APR DRG- HEART AND/OR LUNG TRANSPLANT;SOI - Extreme",2444387.34,537765.2148,119718.0,2199948.606,39
APR-DRG,002-4,MS DRG- HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC;APR DRG- HEART AND/OR LUNG TRANSPLANT;SOI - Extreme,1751053.85,385231.847,41747.76939,1575948.465,52
APR-DRG,002-4,MS DRG- HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC;APR DRG- HEART AND/OR LUNG TRANSPLANT;SOI - Major,1300738.7,286162.514,41747.76939,1170664.83,52
