code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,1.00064E+14,BENZTROPINE MESYLATE 2 MG PO TABS,1.57,0.16,448.0,448.0,2
CDM,1.00071E+14,BENZTROPINE MESYLATE 2 MG PO TABS,0.86,0.09,448.0,448.0,4
CDM,1.00612E+14,BETA CAROTENE 25000 UNITS PO CAPS,0.14,0.01,448.0,448.0,3
CDM,1.00632E+14,BETA CAROTENE 25000 UNITS PO CAPS,0.15,0.02,448.0,448.0,1
CDM,1.00648E+14,BETA CAROTENE 25000 UNITS PO CAPS,0.26,0.03,448.0,448.0,1
CDM,1.0064E+14,BETA CAROTENE 25000 UNITS PO CAPS,0.26,0.03,448.0,448.0,2
CDM,1.00675E+14,BETA CAROTENE 25000 UNITS PO CAPS,0.22,0.02,448.0,448.0,1
CDM,1.00679E+14,BETA CAROTENE 25000 UNITS PO CAPS,0.22,0.02,448.0,448.0,1
CDM,1.00695E+14,BETA CAROTENE 25000 UNITS PO CAPS,0.18,0.02,448.0,448.0,1
CDM,1.00715E+14,BETA CAROTENE 30 MG PO CAPS,2.03,0.2,448.0,448.0,1
CDM,1.01004E+13,ACETAMINOPHEN 325 MG PO TABS,0.13,0.01,448.0,448.0,8
CDM,1.01101E+13,ACETAMINOPHEN 325 MG PO TABS,0.08,0.01,448.0,448.0,1
CDM,1.01103E+13,ACETAMINOPHEN 325 MG PO TABS,0.03,,448.0,448.0,1
CDM,1.01118E+13,ACETAMINOPHEN 325 MG PO TABS,0.19,0.02,448.0,448.0,1
CDM,1.01119E+13,ACETAMINOPHEN 325 MG PO TABS,0.2,0.02,448.0,448.0,1
CDM,1.01151E+13,ACETAMINOPHEN 325 MG PO TABS,0.19,0.02,448.0,448.0,2
CDM,1.01368E+13,ACETAMINOPHEN 325 MG PO TABS,0.05,0.01,448.0,448.0,1
CDM,1.01379E+13,ACETAMINOPHEN 325 MG PO TABS,0.08,0.01,448.0,448.0,3
CDM,1.01412E+13,ACETAMINOPHEN 325 MG PO TABS,0.19,0.02,448.0,448.0,1
CDM,1.01413E+13,ACETAMINOPHEN 325 MG PO TABS,0.08,0.01,448.0,448.0,1
CDM,1.01434E+13,ACETAMINOPHEN 325 MG PO TABS,0.22,0.02,448.0,448.0,1
CDM,1.01477E+13,ACETAMINOPHEN 325 MG PO TABS,0.1,0.01,448.0,448.0,1
CDM,1.01498E+13,ACETAMINOPHEN 325 MG PO TABS,0.25,0.03,448.0,448.0,1
CDM,1.0149E+13,ACETAMINOPHEN 325 MG PO TABS,0.1,0.01,448.0,448.0,2
CDM,1.01506E+13,ACETAMINOPHEN 325 MG PO TABS,0.19,0.02,448.0,448.0,2
CDM,1.01508E+13,ACETAMINOPHEN 325 MG PO TABS,0.06,0.01,448.0,448.0,1
CDM,1.01511E+13,ACETAMINOPHEN 325 MG PO TABS,0.02,,448.0,448.0,5
CDM,1.01533E+13,ACETAMINOPHEN 325 MG PO TABS,0.07,0.01,448.0,448.0,2
CDM,1.0153E+13,ACETAMINOPHEN 325 MG PO TABS,0.02,,448.0,448.0,1
CDM,1.01543E+13,ACETAMINOPHEN 325 MG PO TABS,0.36,0.04,448.0,448.0,3
CDM,1.01596E+13,ACETAMINOPHEN 325 MG PO TABS,0.08,0.01,448.0,448.0,1
CDM,1.01598E+13,ACETAMINOPHEN 325 MG PO TABS,0.21,0.02,448.0,448.0,1
CDM,1.01632E+13,ACETAMINOPHEN 325 MG PO TABS,0.85,0.09,448.0,448.0,1
CDM,1.01636E+13,ACETAMINOPHEN 325 MG PO TABS,2.63,0.26,448.0,448.0,1
CDM,1.01639E+13,ACETAMINOPHEN 325 MG PO TABS,0.05,0.01,448.0,448.0,1
CDM,1.01655E+13,ACETAMINOPHEN 325 MG PO TABS,0.19,0.02,448.0,448.0,2
CDM,1.01675E+13,ACETAMINOPHEN 325 MG PO TABS,0.07,0.01,448.0,448.0,4
CDM,1.01686E+13,ACETAMINOPHEN 325 MG PO TABS,0.28,0.03,448.0,448.0,1
CDM,1.01705E+13,ACETAMINOPHEN 325 MG PO TABS,0.06,0.01,448.0,448.0,2
CDM,1.01713E+13,ACETAMINOPHEN 325 MG PO TABS,1.58,0.16,448.0,448.0,3
CDM,1.01714E+13,ACETAMINOPHEN 325 MG PO TABS,0.04,0.03,448.0,448.0,5
CDM,1.01716E+13,ACETAMINOPHEN 325 MG PO TABS,0.02,,448.0,448.0,1
CDM,1.01755E+13,ACETAMINOPHEN 325 MG PO TABS,0.05,0.01,448.0,448.0,1
CDM,1.01799E+13,ACETAMINOPHEN 325 MG PO TABS,0.12,0.01,448.0,448.0,3
CDM,1.017E+13,ACETAMINOPHEN 325 MG PO TABS,0.25,0.03,448.0,448.0,4
CDM,1.01826E+13,ACETAMINOPHEN 325 MG PO TABS,0.08,0.01,448.0,448.0,3
CDM,1.01E+13,ACETAMINOPHEN 325 MG PO TABS,0.3,0.03,448.0,448.0,1
CDM,1.02001E+13,ACETAMINOPHEN 500 MG PO TABS,0.09,0.01,448.0,448.0,1
CDM,1.02004E+13,ACETAMINOPHEN 500 MG PO TABS,0.42,0.04,448.0,448.0,14
CDM,1.02103E+13,ACETAMINOPHEN 500 MG PO TABS,0.03,,448.0,448.0,4
CDM,1.02117E+13,ACETAMINOPHEN 500 MG PO TABS,0.23,0.02,448.0,448.0,17
CDM,1.02118E+13,ACETAMINOPHEN 500 MG PO TABS,0.19,0.02,448.0,448.0,15
CDM,1.02119E+13,ACETAMINOPHEN 500 MG PO TABS,0.58,0.06,448.0,448.0,13
CDM,1.02151E+13,ACETAMINOPHEN 500 MG PO TABS,0.18,0.02,448.0,448.0,19
CDM,1.02372E+13,ACETAMINOPHEN 500 MG PO TABS,0.21,0.02,448.0,448.0,6
CDM,1.02412E+13,ACETAMINOPHEN 500 MG PO TABS,0.25,0.03,448.0,448.0,7
CDM,1.02413E+13,ACETAMINOPHEN 500 MG PO TABS,0.13,0.01,448.0,448.0,3
CDM,1.02414E+13,ACETAMINOPHEN 500 MG PO TABS,0.09,0.01,448.0,448.0,7
CDM,1.02434E+13,ACETAMINOPHEN 500 MG PO TABS,0.09,0.01,448.0,448.0,1
CDM,1.02461E+13,ACETAMINOPHEN 500 MG PO TABS,0.08,0.01,448.0,448.0,1
CDM,1.02493E+13,ACETAMINOPHEN 500 MG PO TABS,0.3,0.03,448.0,448.0,6
