code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APR-DRG,004,TRACHEOSTOMY WITH MV >96 HOURS WITH EXTENSIVE PROCEDURE EXTREME,1837546.29,735018.52,145992.27,640807.35,18
APR-DRG,005,TRACHEOSTOMY WITH MV >96 HOURS WITHOUT EXTENSIVE PROCEDURE EXTREME,1167432.3,466972.92,93897.2,412145.24,18
APR-DRG,009,EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO) EXTREME,1046707.18,418682.87,254149.06,1094299.44,18
APR-DRG,020,OPEN CRANIOTOMY FOR TRAUMA EXTREME,603112.87,241245.15,50804.53,222997.54,18
APR-DRG,020,OPEN CRANIOTOMY FOR TRAUMA MODERATE,82398.7,32959.48,17919.84,78656.0,18
APR-DRG,021,OPEN CRANIOTOMY EXCEPT TRAUMA EXTREME,793764.55,317505.82,60480.12,265466.82,18
APR-DRG,021,OPEN CRANIOTOMY EXCEPT TRAUMA MAJOR,171354.32,68541.73,34614.14,151932.66,18
APR-DRG,021,OPEN CRANIOTOMY EXCEPT TRAUMA MINOR,127220.99,50888.4,16192.35,71070.27,18
APR-DRG,021,OPEN CRANIOTOMY EXCEPT TRAUMA MODERATE,89132.57,35653.03,21998.94,96560.46,18
APR-DRG,022,VENTRICULAR SHUNT PROCEDURES MAJOR,143698.9,57479.56,16579.15,72771.25,18
APR-DRG,022,VENTRICULAR SHUNT PROCEDURES MODERATE,50366.71,20146.68,11126.3,48836.93,18
APR-DRG,023,SPINAL PROCEDURES MINOR,170383.23,68153.29,11446.08,50240.56,18
APR-DRG,023,SPINAL PROCEDURES MODERATE,249809.14,99923.66,16642.99,73051.48,18
APR-DRG,024,OPEN EXTRACRANIAL VASCULAR PROCEDURES MINOR,77691.92,31076.77,6541.6,28713.18,18
APR-DRG,024,OPEN EXTRACRANIAL VASCULAR PROCEDURES MODERATE,75239.52,30095.81,9962.31,43727.8,18
APR-DRG,026,OTHER NERVOUS SYSTEM AND RELATED PROCEDURES MODERATE,77087.58,30835.03,16120.28,70757.13,18
