code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedure,,,,,0
,,Computed Tomography,,,,,0
,,Item or service expected to be denied as not reasonable and necessary,,,,,0
,,"Item or service statutorily excluded, does not meet the definition of any Medicare benefit",,,,,0
,,"Non-excepted service provided at an off-campus, outpatient, provider-based department of a hospital",,,,,0
,,Off-campus provider-based department,,,,,0
,,Payment Reduction for X-Rays Taken Using Computed Radiography,,,,,0
,,Therapy Modifiers for a PTA or an OTA,,,,,0
,,"Waiver of Liability Statement Issued, as Required by Payer Policy",,,,,0
,,X-Rays Taken with film,,,,,0
APC,1064,HC RN I 131SOD IODINE CAP PER MCI,193.0,193.0,21.18,154.4,35
APC,1138,HEPATITIS B IMMUNE GLOBULIN 312 UNIT ML INJECTION,3204.0,3204.0,61.23,2563.2,175
APC,1139,PROTEIN C CONCENTRATE HUMAN 500 UNITS IV SOLR,6.0,6.0,0.67,47.62,35
APC,1150,HC THER RAD I 131 SOL PER MCI,261.0,261.0,18.28,208.8,35
APC,1168,TEMSIROLIMUS 25 MG ML IV SOLN,6371.0,6371.0,17.88,9288.0,140
APC,1178,BUSULFAN 6 MG ML IV SOLN,1423.0,1423.0,0.78,5962.4,350
APC,1207,HC MAPS INJ OCTREOTD DEPOT FORM IM,200.0,200.0,22.4,631.67,35
APC,1207,OCTREOTIDE ACETATE 10 MG IM KIT,8484.0,8484.0,175.27,10148.0,140
APC,1207,OCTREOTIDE ACETATE 20 MG IM KIT,12602.0,12602.0,175.27,13295.2,105
APC,1207,OCTREOTIDE ACETATE 30 MG IM KIT,24886.0,24886.0,175.27,19908.8,70
APC,1213,ANTIHEMOPHILIC FACTOR VWF 1000 UNITS IV SOLR ALPH,4560.0,4560.0,0.62,6.2,111
APC,1213,ANTIHEMOPHILIC FACTOR VWF 1500 UNITS IV SOLR ALPH,6840.0,6840.0,0.62,6.2,111
APC,1213,ANTIHEMOPHILIC FACTOR VWF 2000 UNITS IV SOLR ALPH,9120.0,9120.0,0.62,6.2,111
APC,1213,ANTIHEMOPHILIC FACTOR VWF 250 UNITS IV SOLR ALPHA,1140.0,1140.0,0.62,6.2,111
APC,1213,ANTIHEMOPHILIC FACTOR VWF 500 UNITS IV SOLR ALPHA,2280.0,2280.0,0.62,6.2,111
APC,1214,IMMUNE GLOBULIN HUMAN 5 GM 50ML IV SOLN,3454.0,3454.0,44.25,2763.2,35
APC,1214,PRIVIGEN 1 G 10 ML IV SOLN WRAPPER,6907.0,6907.0,44.25,22102.4,70
APC,1214,PRIVIGEN 10 GM 100ML IV SOLN,6907.0,6907.0,44.25,5525.6,35
APC,1214,PRIVIGEN 20 GM 200ML IV SOLN,13814.0,13814.0,44.25,11051.2,70
APC,1232,HC MAPS INJECTION MITOMYCIN 5 MG,175.0,175.0,19.6,140.0,35
APC,1232,MITOMYCIN 20 MG IV SOLR,1836.0,1836.0,22.97,1820.8,280
