code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedure,,,,,0
,,Computed Tomography,,,,,0
,,Item or service expected to be denied as not reasonable and necessary,,,,,0
,,"Item or service statutorily excluded, does not meet the definition of any Medicare benefit",,,,,0
,,"Non-excepted service provided at an off-campus, outpatient, provider-based department of a hospital",,,,,0
,,Off-campus provider-based department,,,,,0
,,Payment Reduction for X-Rays Taken Using Computed Radiography,,,,,0
,,Therapy Modifiers for a PTA or an OTA,,,,,0
,,"Waiver of Liability Statement Issued, as Required by Payer Policy",,,,,0
,,X-Rays Taken with film,,,,,0
APC,1064,HC RN I-131SOD.IODINE CAP PER MCI,138.0,138.0,18.63,72.41,29
APC,1139,PROTEIN C CONCENTRATE (HUMAN) 500 UNITS IV SOLR,2700.0,2700.0,15.01,364.5,29
APC,1150,HC THER RAD I-131 SOL PER MCI,138.0,138.0,18.63,62.48,29
APC,1168,TEMSIROLIMUS 25 MG/ML IV SOLN,4248.0,4248.0,20.32,1567.35,116
APC,1178,BUSULFAN 6 MG/ML IV SOLN,1423.0,1423.0,0.89,1006.16,232
APC,1207,OCTREOTIDE ACETATE 10 MG IM KIT,12685.0,12685.0,199.17,1712.48,58
APC,1207,OCTREOTIDE ACETATE 20 MG IM KIT,16619.0,16619.0,199.17,2243.57,58
APC,1207,OCTREOTIDE ACETATE 30 MG IM KIT,24886.0,24886.0,199.17,3359.61,58
APC,1213,ANTIHEMOPHILIC FACTORVWF 1000 UNITS IV SOLR (ALPHA,4560.0,4560.0,1.24,6.2,31
APC,1213,ANTIHEMOPHILIC FACTORVWF 1500 UNITS IV SOLR (ALPHA,6840.0,6840.0,1.24,6.2,31
APC,1213,ANTIHEMOPHILIC FACTORVWF 2000 UNITS IV SOLR (ALPHA,10674.0,10674.0,1.24,6.2,31
APC,1213,ANTIHEMOPHILIC FACTORVWF 250 UNITS IV SOLR (ALPHAN,1140.0,1140.0,1.24,6.2,31
APC,1213,ANTIHEMOPHILIC FACTORVWF 500 UNITS IV SOLR (ALPHAN,2280.0,2280.0,1.24,6.2,31
APC,1214,IMMUNE GLOBULIN (HUMAN) 5 GM/50ML IV SOLN,3259.0,3259.0,50.28,439.97,29
APC,1214,PRIVIGEN 1 G/10 ML IV SOLN (WRAPPER),13035.0,13035.0,50.28,3519.45,116
APC,1214,PRIVIGEN 10 GM/100ML IV SOLN,6518.0,6518.0,50.28,879.93,29
APC,1232,HC MAPS INJECTIONMITOMYCIN5 MG,175.0,175.0,23.63,78.53,29
APC,1232,MITOMYCIN 20 MG IV SOLR,1620.0,1620.0,26.1,307.26,145
APC,1232,MITOMYCIN 40 MG IV SOLR,4551.0,4551.0,26.1,614.38,58
APC,1232,MITOMYCIN 5 MG IV SOLR,818.0,818.0,26.1,171.72,203
APC,1235,VALRUBICIN 40 MG/ML INTRAVESICAL SOLN,8224.0,8224.0,1110.24,3920.97,29
