code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APR-DRG,1103,Ear; Nose; Mouth; Throat; Cranial/Facial Malignancies,,,4754.0,11230.27,9
APR-DRG,1104,Ear; Nose; Mouth; Throat; Cranial/Facial Malignancies,,,4754.0,19510.5,9
APR-DRG,1132,Infections Of Upper Respiratory Tract,,,4754.0,5269.0,9
APR-DRG,1133,Infections Of Upper Respiratory Tract,,,4754.0,7228.6,9
APR-DRG,1134,Infections Of Upper Respiratory Tract,,,4754.0,13333.54,9
APR-DRG,1141,Dental Diseases & Disorders,,,4176.74,5269.0,9
APR-DRG,1142,Dental Diseases & Disorders,,,4754.0,5870.28,9
APR-DRG,1151,Other Ear; Nose; Mouth;Throat & Cranial/Facial Diagnoses,,,4647.31,5269.0,9
APR-DRG,1152,Other Ear; Nose; Mouth;Throat & Cranial/Facial Diagnoses,,,4754.0,6301.12,9
APR-DRG,1153,Other Ear; Nose; Mouth;Throat & Cranial/Facial Diagnoses,,,4754.0,9603.78,9
APR-DRG,1201,Major Respiratory & Chest Procedures,,,4754.0,18866.11,9
APR-DRG,1202,Major Respiratory & Chest Procedures,,,4754.0,23167.01,9
APR-DRG,1212,Other Respiratory & Chest Procedures,,,4754.0,17022.34,9
APR-DRG,1213,Other Respiratory & Chest Procedures,,,4754.0,25142.4,9
APR-DRG,1214,Other Respiratory & Chest Procedures,,,4754.0,43028.89,9
APR-DRG,13,Liver Transplant &/Or Intestinal Transplant,,,4754.0,95019.65,9
APR-DRG,1304,Respiratory System Diagnosis W Ventilator Support 96+ Hours,,,4754.0,51201.1,9
APR-DRG,1331,Respiratory Failure,,,4232.61,5269.0,9
APR-DRG,1332,Respiratory Failure,,,4754.0,7745.1,9
APR-DRG,1333,Respiratory Failure,,,4754.0,11265.04,9
APR-DRG,1334,Respiratory Failure,,,4754.0,17449.45,9
APR-DRG,1342,Pulmonary Embolism,,,4754.0,8139.93,9
APR-DRG,1343,Pulmonary Embolism,,,4754.0,11293.59,9
APR-DRG,1344,Pulmonary Embolism,,,4754.0,16078.72,9
APR-DRG,1352,Major Chest & Respiratory Trauma,,,4754.0,7917.68,9
APR-DRG,1353,Major Chest & Respiratory Trauma,,,4754.0,11410.3,9
APR-DRG,1354,Major Chest & Respiratory Trauma,,,4754.0,19340.4,9
APR-DRG,1363,Respiratory Malignancy,,,4754.0,11916.88,9
APR-DRG,1364,Respiratory Malignancy,,,4754.0,16898.18,9
APR-DRG,1372,Major Respiratory Infections & Inflammations,,,4754.0,8139.93,9
APR-DRG,1373,Major Respiratory Infections & Inflammations,,,4754.0,11139.64,9
APR-DRG,1374,Major Respiratory Infections & Inflammations,,,4754.0,15705.0,9
APR-DRG,1391,Other Pneumonia,,,4723.05,5269.0,9
APR-DRG,1392,Other Pneumonia,,,4754.0,6442.66,9
APR-DRG,1393,Other Pneumonia,,,4754.0,9102.17,9
APR-DRG,1394,Other Pneumonia,,,4754.0,13636.49,9
APR-DRG,1402,Chronic Obstructive Pulmonary Disease,,,4754.0,6704.64,9
APR-DRG,1403,Chronic Obstructive Pulmonary Disease,,,4754.0,8328.65,9
APR-DRG,1404,Chronic Obstructive Pulmonary Disease,,,4754.0,12305.5,9
APR-DRG,1411,Asthma,,,4021.54,5269.0,9
APR-DRG,1412,Asthma,,,4754.0,5660.45,9
APR-DRG,1413,Asthma,,,4754.0,7911.48,9
APR-DRG,1414,Asthma,,,4754.0,13465.15,9
APR-DRG,1431,Other Respiratory Diagnoses Except Signs; Symptoms & Minor Diagnoses,,,4754.0,5269.0,9
APR-DRG,1432,Other Respiratory Diagnoses Except Signs; Symptoms & Minor Diagnoses,,,4754.0,6904.54,9
APR-DRG,1433,Other Respiratory Diagnoses Except Signs; Symptoms & Minor Diagnoses,,,4754.0,9788.77,9
APR-DRG,1434,Other Respiratory Diagnoses Except Signs; Symptoms & Minor Diagnoses,,,4754.0,14380.21,9
APR-DRG,1633,Cardiac Valve Procedures W/O Ami Or Complex Pdx,,,4754.0,53622.22,9
APR-DRG,1634,Cardiac Valve Procedures W/O Ami Or Complex Pdx,,,4754.0,79860.95,9
APR-DRG,1653,Coronary Bypass W Ami Or Complex Pdx,,,4754.0,53940.07,9
APR-DRG,1654,Coronary Bypass W Ami Or Complex Pdx,,,4754.0,73043.33,9
APR-DRG,1662,Coronary Bypass W/O Ami Or Complex Pdx,,,4754.0,37063.0,9
APR-DRG,1663,Coronary Bypass W/O Ami Or Complex Pdx,,,4754.0,44074.32,9
APR-DRG,1673,Other Cardiothoracic & Thoracic Vascular Procedures,,,4754.0,40293.64,9
APR-DRG,1674,Other Cardiothoracic & Thoracic Vascular Procedures,,,4754.0,71707.37,9
APR-DRG,1692,Major Abdominal Vascular Procedures,,,4754.0,24948.71,9
APR-DRG,1693,Major Abdominal Vascular Procedures,,,4754.0,38036.42,9
APR-DRG,1694,Major Abdominal Vascular Procedures,,,4754.0,62417.72,9
APR-DRG,1713,Perm Cardiac Pacemaker Implant W/O Ami; Heart Failure Or Shock,,,4754.0,23149.63,9
APR-DRG,1741,Percutaneous Cardiac Intervention W Ami,,,4754.0,20512.47,9
APR-DRG,1742,Percutaneous Cardiac Intervention W Ami,,,4754.0,21989.98,9
APR-DRG,1743,Percutaneous Cardiac Intervention W Ami,,,4754.0,26939.0,9
APR-DRG,1744,Percutaneous Cardiac Intervention W Ami,,,4754.0,37012.1,9
APR-DRG,1752,Percutaneous Cardiac Intervention W/O Ami,,,4754.0,22634.37,9
APR-DRG,1753,Percutaneous Cardiac Intervention W/O Ami,,,4754.0,27626.84,9
APR-DRG,1773,Cardiac Pacemaker & Defibrillator Revision Except Device Replacement,,,4754.0,20959.45,9
APR-DRG,1783,External Heart Assist Systems,,,4754.0,60189.04,9
APR-DRG,1784,External Heart Assist Systems,,,4754.0,78392.14,9
APR-DRG,1792,Defibrillator Implants,,,4754.0,41391.22,9
APR-DRG,1794,Defibrillator Implants,,,4754.0,68024.78,9
APR-DRG,1803,Other Circulatory System Procedures,,,4754.0,20193.38,9
APR-DRG,1812,Lower Extremity Arterial Procedures,,,4754.0,20789.35,9
APR-DRG,1813,Lower Extremity Arterial Procedures,,,4754.0,31824.69,9
APR-DRG,1814,Lower Extremity Arterial Procedures,,,4754.0,50110.98,9
APR-DRG,1821,Other Peripheral Vascular Procedures,,,4754.0,18975.37,9
APR-DRG,1822,Other Peripheral Vascular Procedures,,,4754.0,22353.77,9
APR-DRG,1823,Other Peripheral Vascular Procedures,,,4754.0,24463.24,9
APR-DRG,1824,Other Peripheral Vascular Procedures,,,4754.0,44578.41,9
APR-DRG,1832,Percutaneous Structural Cardiac Procedures,,,4754.0,45497.19,9
APR-DRG,1901,Acute Myocardial Infarction,,,4754.0,6695.95,9
APR-DRG,1902,Acute Myocardial Infarction,,,4754.0,7956.17,9
APR-DRG,1903,Acute Myocardial Infarction,,,4754.0,10498.97,9
APR-DRG,1911,Cardiac Catheterization For Coronary Artery Disease,,,4754.0,9257.37,9
APR-DRG,1912,Cardiac Catheterization For Coronary Artery Disease,,,4754.0,10636.79,9
APR-DRG,1921,Cardiac Catheterization For Other Non-Coronary Conditions,,,4754.0,10020.95,9
APR-DRG,1922,Cardiac Catheterization For Other Non-Coronary Conditions,,,4754.0,12196.24,9
APR-DRG,1923,Cardiac Catheterization For Other Non-Coronary Conditions,,,4754.0,17193.68,9
APR-DRG,1924,Cardiac Catheterization For Other Non-Coronary Conditions,,,4754.0,26700.61,9
APR-DRG,1932,Acute & Subacute Endocarditis,,,4754.0,10166.22,9
APR-DRG,1941,Heart Failure,,,4754.0,5269.0,9
APR-DRG,1942,Heart Failure,,,4754.0,6724.51,9
APR-DRG,1943,Heart Failure,,,4754.0,9406.36,9
APR-DRG,1944,Heart Failure,,,4754.0,14076.02,9
APR-DRG,1972,Peripheral & Other Vascular Disorders,,,4754.0,6436.45,9
APR-DRG,1973,Peripheral & Other Vascular Disorders,,,4754.0,8898.55,9
APR-DRG,1974,Peripheral & Other Vascular Disorders,,,4754.0,15723.62,9
APR-DRG,1982,Angina Pectoris & Coronary Atherosclerosis,,,4754.0,5640.59,9
APR-DRG,1983,Angina Pectoris & Coronary Atherosclerosis,,,4754.0,7351.51,9
APR-DRG,1991,Hypertension,,,4754.0,5269.0,9
APR-DRG,1992,Hypertension,,,4754.0,6003.14,9
APR-DRG,1993,Hypertension,,,4754.0,8266.57,9
APR-DRG,1994,Hypertension,,,4754.0,13513.57,9
APR-DRG,2003,Cardiac Structural & Valvular Disorders,,,4754.0,8907.24,9
APR-DRG,2004,Cardiac Structural & Valvular Disorders,,,4754.0,14891.75,9
APR-DRG,2012,Cardiac Arrhythmia & Conduction Disorders,,,4754.0,5887.67,9
APR-DRG,2013,Cardiac Arrhythmia & Conduction Disorders,,,4754.0,8599.32,9
APR-DRG,2014,Cardiac Arrhythmia & Conduction Disorders,,,4754.0,14417.46,9
APR-DRG,202,Open Craniotomy For Trauma,,,4754.0,24459.52,9
APR-DRG,2042,Syncope & Collapse,,,4754.0,6420.31,9
APR-DRG,2043,Syncope & Collapse,,,4754.0,8157.31,9
APR-DRG,2054,Cardiomyopathy,,,4754.0,20144.96,9
APR-DRG,2062,Malfunction;Reaction;Complication Of Cardiac/Vasc Device Or Procedure,,,4754.0,6427.76,9
APR-DRG,2063,Malfunction;Reaction;Complication Of Cardiac/Vasc Device Or Procedure,,,4754.0,9773.88,9
APR-DRG,2064,Malfunction;Reaction;Complication Of Cardiac/Vasc Device Or Procedure,,,4754.0,18687.32,9
APR-DRG,2072,Other Circulatory System Diagnoses,,,4754.0,6731.96,9
APR-DRG,2073,Other Circulatory System Diagnoses,,,4754.0,9256.13,9
APR-DRG,2074,Other Circulatory System Diagnoses,,,4754.0,16392.84,9
APR-DRG,211,Open Craniotomy Except Trauma,,,4754.0,19634.66,9
APR-DRG,212,Open Craniotomy Except Trauma,,,4754.0,26438.63,9
APR-DRG,214,Open Craniotomy Except Trauma,,,4754.0,56250.69,9
APR-DRG,2201,Major Stomach; Esophageal & Duodenal Procedures,,,4754.0,14053.67,9
APR-DRG,2203,Major Stomach; Esophageal & Duodenal Procedures,,,4754.0,31801.1,9
APR-DRG,2204,Major Stomach; Esophageal & Duodenal Procedures,,,4754.0,55325.7,9
APR-DRG,2241,Peritoneal Adhesiolysis,,,4754.0,13453.98,9
APR-DRG,2242,Peritoneal Adhesiolysis,,,4754.0,16796.36,9
APR-DRG,2243,Peritoneal Adhesiolysis,,,4754.0,24280.73,9
APR-DRG,2261,Anal Procedures,,,4754.0,8621.67,9
APR-DRG,2262,Anal Procedures,,,4754.0,11421.48,9
APR-DRG,2271,Hernia Procedures Except Inguinal; Femoral & Umbilical,,,4754.0,11924.33,9
APR-DRG,2272,Hernia Procedures Except Inguinal; Femoral & Umbilical,,,4754.0,14977.42,9
APR-DRG,2282,Inguinal; Femoral & Umbilical Hernia Procedures,,,4754.0,11257.59,9
APR-DRG,2284,Inguinal; Femoral & Umbilical Hernia Procedures,,,4754.0,29658.1,9
APR-DRG,2293,Other Digestive System & Abdominal Procedures,,,4754.0,20055.56,9
APR-DRG,2301,Major Small Bowel Procedures,,,4754.0,14208.87,9
APR-DRG,2302,Major Small Bowel Procedures,,,4754.0,19404.97,9
APR-DRG,2303,Major Small Bowel Procedures,,,4754.0,28752.97,9
APR-DRG,2304,Major Small Bowel Procedures,,,4754.0,50688.32,9
APR-DRG,2311,Major Large Bowel Procedures,,,4754.0,14971.21,9
APR-DRG,2312,Major Large Bowel Procedures,,,4754.0,18769.27,9
APR-DRG,2313,Major Large Bowel Procedures,,,4754.0,27769.63,9
APR-DRG,233,Spinal Procedures,,,4754.0,32657.8,9
APR-DRG,2331,Appendectomy With Complex Principal Diagnosis,,,4754.0,11037.82,9
APR-DRG,2332,Appendectomy With Complex Principal Diagnosis,,,4754.0,14226.25,9
APR-DRG,234,Spinal Procedures,,,4754.0,57204.24,9
APR-DRG,2341,Appendectomy Without Complex Principal Diagnosis,,,4754.0,8021.98,9
APR-DRG,2401,Digestive Malignancy,,,4754.0,7466.98,9
APR-DRG,2402,Digestive Malignancy,,,4754.0,8277.75,9
APR-DRG,2403,Digestive Malignancy,,,4754.0,11368.09,9
APR-DRG,2404,Digestive Malignancy,,,4754.0,18425.34,9
APR-DRG,2411,Peptic Ulcer & Gastritis,,,4754.0,6358.23,9
APR-DRG,2412,Peptic Ulcer & Gastritis,,,4754.0,7853.12,9
APR-DRG,2413,Peptic Ulcer & Gastritis,,,4754.0,11488.52,9
APR-DRG,2414,Peptic Ulcer & Gastritis,,,4754.0,22135.24,9
APR-DRG,2423,Major Esophageal Disorders,,,4754.0,10537.46,9
APR-DRG,2433,Other Esophageal Disorders,,,4754.0,9802.43,9
APR-DRG,2434,Other Esophageal Disorders,,,4754.0,19103.26,9
APR-DRG,244,Open Extracranial Vascular Procedures,,,4754.0,38473.46,9
APR-DRG,2441,Diverticulitis & Diverticulosis,,,4754.0,5368.68,9
APR-DRG,2442,Diverticulitis & Diverticulosis,,,4754.0,6846.18,9
APR-DRG,2443,Diverticulitis & Diverticulosis,,,4754.0,10357.43,9
APR-DRG,2444,Diverticulitis & Diverticulosis,,,4754.0,18945.57,9
APR-DRG,2453,Inflammatory Bowel Disease,,,4754.0,11504.67,9
APR-DRG,2463,Gastrointestinal Vascular Insufficiency,,,4754.0,10903.73,9
APR-DRG,2471,Intestinal Obstruction,,,4754.0,5269.0,9
APR-DRG,2472,Intestinal Obstruction,,,4754.0,6391.76,9
APR-DRG,2473,Intestinal Obstruction,,,4754.0,9675.79,9
APR-DRG,2474,Intestinal Obstruction,,,4754.0,17058.34,9
APR-DRG,2482,Major Gastrointestinal & Peritoneal Infections,,,4754.0,7254.67,9
APR-DRG,2483,Major Gastrointestinal & Peritoneal Infections,,,4754.0,10235.75,9
APR-DRG,2484,Major Gastrointestinal & Peritoneal Infections,,,4754.0,18744.44,9
APR-DRG,2492,Other Gastroenteritis; Nausea & Vomiting,,,4754.0,5577.27,9
APR-DRG,2493,Other Gastroenteritis; Nausea & Vomiting,,,4754.0,8020.74,9
APR-DRG,2494,Other Gastroenteritis; Nausea & Vomiting,,,4754.0,15235.67,9
APR-DRG,2512,Abdominal Pain,,,4754.0,6208.0,9
APR-DRG,2513,Abdominal Pain,,,4754.0,8086.54,9
APR-DRG,2522,Malfunction; Reaction & Complication Of Gi Device Or Procedure,,,4754.0,6848.67,9
APR-DRG,2523,Malfunction; Reaction & Complication Of Gi Device Or Procedure,,,4754.0,9859.55,9
APR-DRG,2524,Malfunction; Reaction & Complication Of Gi Device Or Procedure,,,4754.0,19047.39,9
APR-DRG,2532,Other & Unspecified Gastrointestinal Hemorrhage,,,4754.0,7247.22,9
APR-DRG,2533,Other & Unspecified Gastrointestinal Hemorrhage,,,4754.0,10429.44,9
APR-DRG,2541,Other Digestive System Diagnoses,,,4754.0,5269.0,9
APR-DRG,2542,Other Digestive System Diagnoses,,,4754.0,6802.73,9
APR-DRG,2543,Other Digestive System Diagnoses,,,4754.0,9843.4,9
APR-DRG,2544,Other Digestive System Diagnoses,,,4754.0,17577.33,9
APR-DRG,2603,Major Pancreas; Liver & Shunt Procedures,,,4754.0,33444.98,9
APR-DRG,262,Other Nervous System & Related Procedures,,,4754.0,16832.37,9
APR-DRG,2631,Cholecystectomy,,,4754.0,11251.38,9
APR-DRG,2632,Cholecystectomy,,,4754.0,14253.57,9
APR-DRG,2633,Cholecystectomy,,,4754.0,18439.0,9
APR-DRG,2634,Cholecystectomy,,,4754.0,32654.08,9
APR-DRG,2642,Other Hepatobiliary; Pancreas & Abdominal Procedures,,,4754.0,14616.12,9
APR-DRG,2644,Other Hepatobiliary; Pancreas & Abdominal Procedures,,,4754.0,47895.96,9
APR-DRG,273,Other Open Craniotomy,,,4754.0,25897.29,9
APR-DRG,2793,Hepatic Coma & Other Major Acute Liver Disorders,,,4754.0,9248.68,9
APR-DRG,2794,Hepatic Coma & Other Major Acute Liver Disorders,,,4754.0,19265.91,9
APR-DRG,2801,Alcoholic Liver Disease,,,4754.0,5315.29,9
APR-DRG,2802,Alcoholic Liver Disease,,,4754.0,6609.04,9
APR-DRG,2803,Alcoholic Liver Disease,,,4754.0,9752.77,9
APR-DRG,2804,Alcoholic Liver Disease,,,4754.0,19808.49,9
APR-DRG,2812,Malignancy Of Hepatobiliary System & Pancreas,,,4754.0,8347.28,9
APR-DRG,2813,Malignancy Of Hepatobiliary System & Pancreas,,,4754.0,10832.96,9
APR-DRG,2821,Disorders Of Pancreas Except Malignancy,,,4754.0,5383.58,9
APR-DRG,2822,Disorders Of Pancreas Except Malignancy,,,4754.0,6918.2,9
APR-DRG,2823,Disorders Of Pancreas Except Malignancy,,,4754.0,10568.5,9
APR-DRG,2831,Other Disorders Of The Liver,,,4754.0,5296.67,9
APR-DRG,2833,Other Disorders Of The Liver,,,4754.0,9330.62,9
APR-DRG,2841,Disorders Of Gallbladder & Biliary Tract,,,4754.0,6692.22,9
APR-DRG,2842,Disorders Of Gallbladder & Biliary Tract,,,4754.0,8367.14,9
APR-DRG,2843,Disorders Of Gallbladder & Biliary Tract,,,4754.0,11466.18,9
APR-DRG,2844,Disorders Of Gallbladder & Biliary Tract,,,4754.0,20060.53,9
APR-DRG,301,Percutaneous Intra & Extracranial Vascular Procedures,,,4754.0,18088.87,9
APR-DRG,302,Percutaneous Intra & Extracranial Vascular Procedures,,,4754.0,23920.67,9
APR-DRG,303,Percutaneous Intra & Extracranial Vascular Procedures,,,4754.0,35406.71,9
APR-DRG,304,Percutaneous Intra & Extracranial Vascular Procedures,,,4754.0,47437.81,9
APR-DRG,3041,Dorsal & Lumbar Fusion Proc Except For Curvature Of Back,,,4754.0,28210.39,9
APR-DRG,3043,Dorsal & Lumbar Fusion Proc Except For Curvature Of Back,,,4754.0,47389.39,9
APR-DRG,3052,Amputation Of Lower Limb Except Toes,,,4754.0,13589.31,9
APR-DRG,3053,Amputation Of Lower Limb Except Toes,,,4754.0,21170.52,9
APR-DRG,3054,Amputation Of Lower Limb Except Toes,,,4754.0,41142.9,9
APR-DRG,3081,Hip & Femur Fracture Repair,,,4754.0,13523.51,9
APR-DRG,3082,Hip & Femur Fracture Repair,,,4754.0,16098.59,9
APR-DRG,3083,Hip & Femur Fracture Repair,,,4754.0,20722.3,9
APR-DRG,3084,Hip & Femur Fracture Repair,,,4754.0,30123.7,9
APR-DRG,3092,Other Significant Hip & Femur Surgery,,,4754.0,18389.34,9
APR-DRG,3093,Other Significant Hip & Femur Surgery,,,4754.0,24360.19,9
APR-DRG,3094,Other Significant Hip & Femur Surgery,,,4754.0,40714.55,9
APR-DRG,3101,Intervertebral Disc Excision & Decompression,,,4754.0,10801.92,9
APR-DRG,3122,Skin Graft; Except Hand; For Musculoskeletal & Connective Tissue Diagnoses,,,4754.0,14714.2,9
APR-DRG,3123,Skin Graft; Except Hand; For Musculoskeletal & Connective Tissue Diagnoses,,,4754.0,24203.75,9
APR-DRG,3131,Knee & Lower Leg Procedures Except Foot,,,4754.0,12543.88,9
APR-DRG,3132,Knee & Lower Leg Procedures Except Foot,,,4754.0,16246.34,9
APR-DRG,3133,Knee & Lower Leg Procedures Except Foot,,,4754.0,22552.42,9
APR-DRG,3134,Knee & Lower Leg Procedures Except Foot,,,4754.0,36730.25,9
APR-DRG,3141,Foot & Toe Procedures,,,4754.0,11082.52,9
APR-DRG,3142,Foot & Toe Procedures,,,4754.0,11618.89,9
APR-DRG,3143,Foot & Toe Procedures,,,4754.0,15775.77,9
APR-DRG,3144,Foot & Toe Procedures,,,4754.0,29553.8,9
APR-DRG,3151,Shoulder; Upper Arm & Forearm Procedures Except Joint Replacement,,,4754.0,8529.79,9
APR-DRG,3152,Shoulder; Upper Arm & Forearm Procedures Except Joint Replacement,,,4754.0,14005.25,9
APR-DRG,3153,Shoulder; Upper Arm & Forearm Procedures Except Joint Replacement,,,4754.0,20414.39,9
APR-DRG,3161,Hand & Wrist Procedures,,,4754.0,8420.53,9
APR-DRG,3162,Hand & Wrist Procedures,,,4754.0,11093.7,9
APR-DRG,3171,Tendon; Muscle & Other Soft Tissue Procedures,,,4754.0,9817.33,9
APR-DRG,3172,Tendon; Muscle & Other Soft Tissue Procedures,,,4754.0,12677.98,9
APR-DRG,3173,Tendon; Muscle & Other Soft Tissue Procedures,,,4754.0,18938.12,9
APR-DRG,3202,Other Musculoskeletal System & Connective Tissue Procedures,,,4754.0,14374.0,9
APR-DRG,3203,Other Musculoskeletal System & Connective Tissue Procedures,,,4754.0,20697.47,9
APR-DRG,3212,Cervical Spinal Fusion & Other Back/Neck Proc Exc Disc Excis/Decomp,,,4754.0,20506.27,9
APR-DRG,3213,Cervical Spinal Fusion & Other Back/Neck Proc Exc Disc Excis/Decomp,,,4754.0,29078.27,9
APR-DRG,3214,Cervical Spinal Fusion & Other Back/Neck Proc Exc Disc Excis/Decomp,,,4754.0,47487.48,9
APR-DRG,3422,Fractures & Dislocations Except Femur; Pelvis & Back,,,4754.0,6412.86,9
