code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedures,,,,,0
,,Bilateral Services,,,,,0
,,CT services furnished with equipment that don't meet NEMA standard,,,,,0
,,Computed radiography x-ray,,,,,0
,,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (NEMA) XR-29-2013 standard,,,,,0
,,Discontinued OP Hospital/ASC Procedure Prior to Administration of Anesthesia,,,,,0
,,Discontinued Procedure,,,,,0
,,Excepted off-campus service,,,,,0
,,Non-excepted off-campus service,,,,,0
,,Reduced Services,,,,,0
,,X-ray taken using film,,,,,0
,,X-ray was performed using film,,,,,0
,,X-ray was taken using computed radiography technology/cassette-based imaging,,,,,0
CDM,11100002,HC REX PRIVATE ROOM,1328.0,796.8,849.92,5693.0,4
CDM,11100016,HC LTC SHORT TERM PRIVATE ROOM LEVEL 1,600.0,360.0,384.0,5693.0,4
CDM,11100017,HC LTC LONG TERM PRIVATE ROOM LEVEL 1,400.0,240.0,256.0,5693.0,4
CDM,11100018,HC LTC LOA SHORT TERM PRIVATE ROOM,600.0,360.0,384.0,486.0,2
CDM,11100019,HC LTC LOA LONG TERM CARE PRIVATE ROOM,400.0,240.0,256.0,324.0,2
CDM,11100020,HC LTC BED HOLD  SHORT TERM PRIVATE ROOM,600.0,360.0,384.0,5693.0,4
CDM,11100021,HC LTC BED HOLD LONG TERM CARE PRIVATE ROOM,400.0,240.0,256.0,5693.0,4
CDM,11100022,HC LTC SHORT TERM PRIVATE ROOM LEVEL 2,600.0,360.0,384.0,5693.0,4
CDM,11100023,HC LTC LONG TERM PRIVATE ROOM LEVEL 2,400.0,240.0,256.0,5693.0,4
CDM,11100024,HC LTC SHORT TERM PRIVATE ROOM LEVEL 3,600.0,360.0,384.0,5693.0,4
CDM,11100025,HC LTC LONG TERM PRIVATE ROOM LEVEL 3,400.0,240.0,256.0,5693.0,4
CDM,11100026,HC LTC SHORT TERM PRIVATE ROOM LEVEL 4,600.0,360.0,384.0,5693.0,4
CDM,11100027,HC LTC LONG TERM PRIVATE ROOM LEVEL 4,400.0,240.0,256.0,5693.0,4
