code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,1501010,HB PHARMACY GENERAL,48.71,24.355,0.64,62.88,16
CDM,1501012,HB PHARMACY IV,57.83,28.915,15.0,39.6,16
CDM,1501014,HB PHARMACY HCPCS CODED,97.94,48.97,5.4,205.33,16
CDM,1501015,HB PHARMACY SELF ADMINISTERED,36.5,18.25,7.67,7740.54,16
CDM,1501016,HB PHARMACY C CODED,15060.18,7530.09,3765.05,9939.72,16
CDM,1702068,"INJECTION, INFLIXIMAB, EXCLUDES BIOSIMILAR, 10 MG",351.0,175.5,53.49,1286.64,31
CDM,1702099,"INJECTION, ALTEPLASE RECOMBINANT, 1 MG",263.0,131.5,78.9,357.68,31
CDM,1702100,"INJECTION, COSYNTROPIN, 0.25 MG",330.0,165.0,34.07,448.8,28
CDM,1702106,"INJECTION, DEXAMETHASONE SODIUM PHOSPHATE, 1 MG",3.0,1.5,0.18,4.08,28
CDM,1702108,"Pneumococcal vaccine, 23-valent",261.0,130.5,26.68,354.96,32
CDM,1702124,"INJECTION, CEFTRIAXONE SODIUM, PER 250 MG",54.0,27.0,0.76,73.44,28
CDM,1702126,"LEUPROLIDE ACETATE (FOR DEPOT SUSPENSION), 7.5 MG",1595.0,797.5,281.79,2169.2,31
CDM,1702149,"Hepatitis B vaccine, adult dosage (3 dose schedule)",226.0,113.0,26.68,307.36,32
CDM,1702172,"INJECTION, CEFEPIME HYDROCHLORIDE, 500 MG",49.0,24.5,1.44,66.64,28
CDM,1702210,Hepatitis A and hepatitis B vaccine,404.0,202.0,121.2,549.44,32
CDM,1702211,Typhoid vaccine for injection into muscle,332.0,166.0,26.68,451.52,32
CDM,1702256,"Diphtheria, tetanus, and acellular pertussis vaccine (7 years or older)",148.0,74.0,26.68,201.28,32
CDM,1702263,"Pneumococcal vaccine, 13-valent",565.0,282.5,141.24,768.4,32
CDM,1702282,"INJECTION, PENICILLIN G BENZATHINE, 100,000 UNITS",71.0,35.5,21.3,128.98,31
CDM,1702308,"INJECTION, DAPTOMYCIN, 1 MG",4.0,2.0,0.05,5.44,28
CDM,1702319,"Hepatitis B vaccine (HepB), CpG-adjuvanted, adult dosage, 2 dose or 4 dose schedule, for intramuscular use",404.0,202.0,26.68,549.44,32
CDM,1702321,"Pneumococcal conjugate vaccine, 20 valent (PCV20), for intramuscular use",661.0,330.5,141.24,898.96,32
CDM,1702322,"INJECTION, TILDRAKIZUMAB, 1 MG",449.0,224.5,134.7,9401.8,31
CDM,1720000,ROOM & BOARD - PRIVATE (ONE BED) - MEDICAL/SURGICAL/GYN,3350.0,1675.0,971.5,1859.25,11
CDM,1720001,ROOM & BOARD - PRIVATE (ONE BED) - OBSTETRICS (OB),3350.0,1675.0,971.5,1859.25,11
CDM,1720002,ROOM & BOARD - PRIVATE (ONE BED) - PEDIATRIC,3350.0,1675.0,971.5,1859.25,11
CDM,1720004,ROOM & BOARD - SEMI-PRIVATE (TWO BEDS) - MEDICAL/SURGICAL/GYN,2565.0,1282.5,743.85,1423.58,11
CDM,1720005,ROOM & BOARD - SEMI-PRIVATE (TWO BEDS) - OBSTETRICS (OB),2565.0,1282.5,743.85,1423.58,11
CDM,1720008,ROOM & BOARD - SEMI-PRIVATE (TWO BEDS) - PSYCHIATRIC,2565.0,1282.5,623.7,1395.36,17
CDM,1720009,NURSERY - NEWBORN - LEVEL II,4900.0,2450.0,1421.0,2719.5,11
CDM,1720010,NURSERY - NEWBORN - LEVEL I,3350.0,1675.0,971.5,1859.25,11
CDM,1720011,NURSERY - NEWBORN - LEVEL III,6980.0,3490.0,2024.2,3873.9,11
CDM,1720012,NURSERY - NEWBORN - LEVEL IV,10450.0,5225.0,3030.5,5799.75,11
CDM,1720013,INTENSIVE CARE UNIT - SURGICAL,6500.0,3250.0,1885.0,3607.5,11
CDM,1720014,INTENSIVE CARE UNIT - MEDICAL,6500.0,3250.0,1885.0,3607.5,11
CDM,1720015,INTENSIVE CARE UNIT - PEDIATRIC,6500.0,3250.0,1885.0,3607.5,11
CDM,1720016,INTENSIVE CARE UNIT - INTERMEDIATE ICU,4235.0,2117.5,1228.15,2350.43,11
CDM,1720017,CORONARY CARE UNIT - GENERAL CLASSIFICATION,5500.0,2750.0,1595.0,3052.5,11
CDM,1720020,"HOSPITAL OBSERVATION SERVICE, PER HOUR",140.0,70.0,42.0,931.04,32
