hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Salem Hospital,2026-03-27,3.0.0,Salem Hospital,81 Highland Ave Salem MA 01970,2014,1730121633,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","both","","","325.00","243.75","AETNA [1001]","HB CH AETNA HMO / PPO","189.48","58.3","","179.17","179.17","179.17","11","37.73","308.75","percent of total billed charges",""
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","outpatient","","","325.00","243.75","CIGNA [1006]","HB CH CIGNA HMO / PPO","192.73","59.3","","185.18","185.18","243.67","1 through 10","39.7","254.96","percent of total billed charges",""
"1 25 Dihydroxy Inc Fraction","PX-30000412","CDM","82652","CPT","0301","RC","","","","outpatient","","","325.00","243.75","UNITED HEALTHCARE [1016]","HB CH UNITED HMO / PPO / INDEMNITY","254.96","78.45","","242.94","242.94","242.94","1 through 10","39.7","254.96","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","both","","","407.00","305.25","WELLPOINT [1015]","HB CH WELLPOINT","317.09","77.91","","103.18","103.18","103.18","373","83.7","1207","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","inpatient","","","407.00","305.25","CIGNA [1006]","HB CH CIGNA HMO / PPO","227.92","56","","449.58","449.58","449.58","1 through 10","227.92","287.34","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS HMO","199.71","49.07","","353.80","131.00","884.50","443","199.71","5129.31","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","BLUE CROSS BLUE SHIELD [110001]","HB CH BLUE CROSS PPO","203.91","50.1","","403.67","201.83","927.25","601","199.71","5129.31","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","CIGNA [1006]","HB CH CIGNA HMO / PPO","241.35","59.3","","1043.62","230.30","5395.11","72","199.71","5129.31","percent of total billed charges",""
"1st Hospital IP/Obs Care Sf/Low Mdm 40 Minutes","PX-98300811","CDM","99221","CPT","0983","RC","","","","outpatient","","","407.00","305.25","INTERNATIONAL COMMERCIAL [140001]","HB CH UNITED HMO / PPO / INDEMNITY","319.29","78.45","","1208.55","402.85","1208.55","1 through 10","199.71","5129.31","percent of total billed charges",""
"1st Psychiatric Collab Care Mgmt 1st 70 Mins","PX-51000644","CDM","99492","CPT","0510","RC","","","","both","","","318.00","238.50","AETNA [1001]","HB CH AETNA HMO / PPO","185.39","58.3","","175.20","175.20","175.20","1 through 10","104.36","255.91","percent of total billed charges",""
"1st Psychiatric Collab Care Mgmt 1st 70 Mins","PX-51000644","CDM","99492","CPT","0510","RC","","","","both","","","318.00","238.50","AETNA [1001]","HB SLM AETNA MEDICARE REPLACEMENT","113.13","","APC Price ($109.84). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.248). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 103%.","113.43","113.03","113.43","1 through 10","104.36","255.91","other","OPPS APC"
"1st Psychiatric Collab Care Mgmt 1st 70 Mins","PX-51000644","CDM","99492","CPT","0510","RC","","","","both","","","318.00","238.50","BLUE CROSS BLUE SHIELD [110001]","HB SLM MEDICARE","109.84","","APC Price ($109.84). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.248). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement.","108.09","108.09","108.09","1 through 10","104.36","255.91","other","OPPS APC"
"1st Psychiatric Collab Care Mgmt 1st 70 Mins","PX-51000644","CDM","99492","CPT","0510","RC","","","","both","","","318.00","238.50","TUFTS HEALTH PLAN [170001]","HB SLM TUFTS + COMM CARE ALLIANCE MCARE","107.64","","APC Price ($109.84). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.248). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.","107.65","107.65","107.65","1 through 10","104.36","255.91","other","OPPS APC"
"1st Psychiatric Collab Care Mgmt 1st 70 Mins","PX-51000644","CDM","99492","CPT","0510","RC","","","","both","","","318.00","238.50","UNITED HEALTHCARE [1016]","HB SLM UNITED MEDICARE REPLACEMENT","107.64","","APC Price ($109.84). If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.248). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($7,175) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. Final payment is multiplied by 98%.","107.66","95.35","108.09","1 through 10","104.36","255.91","other","OPPS APC"
"1st Psychiatric Collab Care Mgmt 1st 70 Mins","PX-51000644","CDM","99492","CPT","0510","RC","","","","outpatient","","","318.00","238.50","UNITED HEALTHCARE [1016]","HB CH UNITED HMO / PPO / INDEMNITY","249.47","78.45","","237.56","237.56","237.56","1 through 10","141.35","363","percent of total billed charges",""
"1st/Sbsq Psych Collab Care Mgmt Ea Addl 30 Mins","PX-51000642","CDM","99494","CPT","0510","RC","","","","both","","","143.00","107.25","AETNA [1001]","HB CH AETNA HMO / PPO","83.37","58.3","","78.82","78.82","157.63","1 through 10","71.21","111.41","percent of total billed charges",""
"1st/Sbsq Psych Collab Care Mgmt Ea Addl 30 Mins","PX-51000642","CDM","99494","CPT","0510","RC","","","","both","","","143.00","107.25","MGB HEALTH PLAN [150001]","HB SLM MGBHP COMMERCIAL GIC","71.21","49.8","","76.17","76.17","76.17","14","71.21","111.41","percent of total billed charges",""
"1st/Sbsq Psych Collab Care Mgmt Ea Addl 30 Mins","PX-51000642","CDM","99494","CPT","0510","RC","","","","both","","","143.00","107.25","MGB HEALTH PLAN [150001]","HB SLM MGBHP COMMERCIAL HMO","83.80","58.6","","83.40","70.47","83.40","22","71.21","111.41","percent of total billed charges",""
"1st/Sbsq Psych Collab Care Mgmt Ea Addl 30 Mins","PX-51000642","CDM","99494","CPT","0510","RC","","","","both","","","143.00","107.25","MGB HEALTH PLAN [150001]","HB SLM MGBHP COMMERCIAL PPO","87.95","61.5","","85.07","85.07","87.57","1 through 10","71.21","111.41","percent of total billed charges",""
"1st/Sbsq Psych Collab Care Mgmt Ea Addl 30 Mins","PX-51000642","CDM","99494","CPT","0510","RC","","","","both","","","143.00","107.25","MGB HEALTH PLAN [150001]","HB SLM MGBHP EMPLOYEE PPO","89.95","62.9","","89.66","87.02","89.66","14","71.21","111.41","percent of total billed charges",""
