code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-25500005,Iopamidol Inj,99.0,74.25,57.72,57.72,1
CDM,PX-25500006,Iodixanol Vl 320mg/Ml 1ml,167.0,125.25,87.17,121.91,4
CDM,PX-25500007,Iodixanol Inj 320mg,460.0,345.0,240.12,335.8,4
CDM,PX-25500008,Iopamidol Vl 61% 300mg/Ml 50ml,40.0,30.0,20.88,29.2,4
CDM,PX-25500009,Iopamidol Inj,87.0,65.25,45.41,63.51,4
CDM,PX-25500010,Iopamidol Inj,43.0,32.25,22.45,31.39,4
CDM,PX-25500012,Iopamidol Inj,79.0,59.25,41.24,57.67,4
CDM,PX-25500013,Iohexol Vl 300mg/Ml Iodine 1ml,53.0,39.75,27.67,38.69,4
CDM,PX-25500014,Contrast Low Osmolar 300-399mg 20ml,17.2,12.9,8.98,12.56,4
CDM,PX-25500015,Contrast Lowosmolar 300-399mg 10ml,8.6,6.45,4.49,6.28,4
CDM,PX-25500050,Omnipaque 350 per 1 Ml,12.07,9.05,6.3,8.81,4
CDM,PX-26000001,IV Infus Hydration Initial 31 Min-1 Hour - 96360,581.0,435.75,245.18,455.79,10
CDM,PX-26000002,IV Infus Hydration Ea Additional Hour - 96361,213.0,159.75,53.69,167.1,13
CDM,PX-26000003,IV Infus Non-Chemo Initial Up to 1 Hr - 96365,721.0,540.75,237.7,565.62,15
CDM,PX-26000004,IV Infus Non-Chemo Same Drug Ea Hr - 96366,281.0,210.75,52.05,220.44,13
CDM,PX-26000005,IV Infus Non-Chemo Ea Add�L Seq Diff Drug Up to 1 Hr - 96367,368.0,276.0,80.29,288.7,5
CDM,PX-26000006,IV Non-Chemo Concurrent Infus - 96368,215.0,161.25,125.99,125.99,1
CDM,PX-26000010,Therapeutic Prophylactic/Diagnostic Inj Sc/Im - 96372,227.0,170.25,82.82,178.08,11
CDM,PX-26000012,Ivp/ IV < 16 Min Initial Drug - 96374,778.0,583.5,237.7,610.34,14
CDM,PX-26000013,Ivp/ IV <16min Ea Addl Seg Diff Drug - 96375,318.0,238.5,52.05,249.47,12
CDM,PX-26000014,Ivp/ IV <16 Min Ea Add�L Seq Same Drug - 96376,247.0,185.25,123.01,193.77,8
CDM,PX-26000023,Vfc Therapeutic Prophylactic/Diagnostic Inj Sc/Im,23.0,17.25,13.41,87.05,11
CDM,PX-27000007,Implant Anchor T1,1143.14,857.35,666.45,896.79,6
CDM,PX-27000008,Implant Anchor T2,3999.73,2999.8,2331.84,3137.79,6
CDM,PX-27000009,Implant Anchor T3,4311.67,3233.75,2513.7,3382.51,6
CDM,PX-27000010,Implant Bone Void Filler T1,1004.74,753.55,585.76,788.22,6
CDM,PX-27000011,Implant Bone Void Filler T2,4261.89,3196.42,2484.68,3343.45,6
CDM,PX-27000012,Implant Bone Void Filler T3,6722.5,5041.87,3919.22,5273.8,6
CDM,PX-27000013,Implant Cable T1,817.9,613.42,476.84,641.64,6
CDM,PX-27000014,Implant Cable T2,3325.4,2494.05,1938.71,2608.78,6
CDM,PX-27000015,Implant Cable T3,4380.48,3285.36,2553.82,3436.49,6
CDM,PX-27000016,Implant Endobutton T1,626.73,470.05,365.38,491.67,6
CDM,PX-27000017,Implant Nail / Screw T1,355.26,266.44,207.12,278.7,6
CDM,PX-27000018,Implant Nail / Screw T2,3837.59,2878.19,2237.31,3010.59,6
CDM,PX-27000019,Implant Nail / Screw T3,4541.33,3406.0,2647.6,3562.67,6
CDM,PX-27000020,Implant Pin/Wire/Peg T1,317.09,237.82,184.86,248.76,6
CDM,PX-27000021,Implant Pin/Wire/Peg T2,3484.75,2613.56,2031.61,2733.79,6
CDM,PX-27000022,Implant Pin/Wire/Peg T3,4872.0,3654.0,2840.38,3822.08,6
CDM,PX-27000023,Implant Plate T1,920.21,690.16,536.48,721.9,6
CDM,PX-27000024,Implant Plate T2,3534.72,2651.04,2060.74,2772.99,6
CDM,PX-27000025,Implant Plate T3,5840.51,4380.38,3405.02,4581.88,6
CDM,PX-27000026,Implant Staple Bone T1,237.0,177.75,138.17,185.93,6
CDM,PX-27000027,Implant Washer / Nut T1,88.55,66.41,51.62,69.47,6
CDM,PX-27000032,Cardioverter-Defibrillator Dual Chamber T3,26173.37,19630.03,20533.01,20533.01,1
CDM,PX-27000033,Cardioverter-Defibrillator Single Chamber T3,22154.39,16615.79,13935.11,17260.49,2
CDM,PX-27000034,"HC Catheter Transluminal Atherec, Rotation Tier1",3528.75,2646.56,2749.25,2749.25,1
CDM,PX-27000035,"HC Catheter Transluminal Atherec, Rotation Tier3",6870.0,5152.5,5352.42,5352.42,1
CDM,PX-27000036,HC Catheter Translumin Angioplasty Non-Laser Tier1,548.04,411.03,321.15,426.98,3
CDM,PX-27000037,HC Catheter Translumin Angioplasty Non-Laser Tier2,4000.0,3000.0,2344.0,3116.4,3
CDM,PX-27000038,Catheter Balloon Dilatation Non-Vascular T1,625.16,468.87,277.88,490.44,3
CDM,PX-27000039,Catheter Balloon Dilatation Non-Vascular T3,5322.31,3991.73,2365.77,4175.35,3
CDM,PX-27000044,Catheter Drainage T1,314.14,235.6,244.75,246.44,2
CDM,PX-27000045,"HC Catheter Ep Diag, 19 or < Electrodes Tier1",959.14,719.35,477.65,752.45,4
CDM,PX-27000046,"HC Catheter Ep Diag, 20 or > Electrodes Tier1",3007.37,2255.53,1497.67,1497.67,1
CDM,PX-27000047,"HC Catheter Ep Diag, 20 or > Electrodes Tier2",4044.84,3033.63,2014.33,2014.33,1
CDM,PX-27000048,HC Catheter Ep Ablation 3d or Vector Mapping Tier1,1485.0,1113.75,934.07,1164.98,3
CDM,PX-27000049,HC Catheter Ep Ablation 3d or Vector Mapping Tier2,4010.0,3007.5,2522.29,3145.85,3
CDM,PX-27000050,HC Catheter Ep Ablation 3d or Vector Mapping Tier3,4741.37,3556.03,2982.32,3719.6,3
CDM,PX-27000051,HC Catheter Ep Abl Othr Than 3d/Vec/Cool-Tip Tier1,2152.33,1614.25,1688.5,1688.5,1
CDM,PX-27000052,HC Catheter Ep Abl Othr Than 3d/Vec/Cool-Tip Tier2,3437.5,2578.12,2696.72,2696.72,1
CDM,PX-27000053,HC Catheter Ep Abl Othr Than 3d/Vec/Cool-Tip Tier3,8480.0,6360.0,6652.56,6652.56,1
CDM,PX-27000054,HC Catheter Hemodialysis Peritoneal Longterm Tier1,876.16,657.12,687.35,687.35,1
CDM,PX-27000055,HC Catheter Hemodialysis Peritoneal Longterm Tier2,3656.25,2742.19,2868.33,2868.33,1
CDM,PX-27000056,HC Catheter Hemodialysis Peritoneal Longterm Tier3,3807.6,2855.7,2987.06,2987.06,1
CDM,PX-27000061,Catheter Intravascular Ultrasound T1,2191.61,1643.71,1707.48,1707.48,1
CDM,PX-27000062,Catheter Intravascular Ultrasound T3,4800.0,3600.0,3739.68,3739.68,1
CDM,PX-27000068,Catheter Ureteral T1,278.68,209.01,162.47,218.62,3
CDM,PX-27000069,Catheter Intracardiac Echo T1,2508.0,1881.0,1248.98,1577.53,2
CDM,PX-27000070,Catheter Intracardiac Echo T3,5000.0,3750.0,2490.0,3145.0,2
CDM,PX-27000071,Closure Device Vascular T1,672.37,504.28,334.84,527.47,5
CDM,PX-27000072,Closure Device Vascular T3,4600.0,3450.0,2290.8,3608.7,5
CDM,PX-27000081,HC Intro/Sheath Intrcard Ep Strble Non Peel Tier1,2716.78,2037.58,1352.96,2131.31,4
CDM,PX-27000084,Guide/Glide Wire T1,420.54,315.4,209.43,329.91,6
CDM,PX-27000085,Guide/Glide Wire T2,3999.98,2999.98,1991.99,3137.98,6
CDM,PX-27000087,Device Urinary Repair W/Sling Graft T1,2832.2,2124.15,1651.17,1679.49,2
CDM,PX-27000088,Device Urinary Repair W/Sling Graft T2,3945.36,2959.02,2300.14,2339.6,2
CDM,PX-27000089,Device Urinary Repair W/Sling Graft T3,5652.7,4239.52,3295.52,3352.05,2
CDM,PX-27000092,Retrieval Device Fractured Med Device T1,1239.79,929.84,965.92,972.62,2
CDM,PX-27000093,Retrieval Device Fractured Med Device T2,3593.75,2695.31,2799.89,2819.3,2
CDM,PX-27000094,Retrieval Device Fractured Med Device T3,6203.64,4652.73,4833.26,4866.76,2
CDM,PX-27000095,Implant Ankle / Foot T1,1683.0,1262.25,748.09,1320.31,7
CDM,PX-27000096,Implant Ankle / Foot T2,3787.25,2840.44,1683.43,2971.1,7
CDM,PX-27000097,Implant Ankle / Foot T3,6909.27,5181.95,3071.17,5420.32,7
CDM,PX-27000098,Implant Elbow T1,3027.34,2270.5,1345.65,2374.95,7
CDM,PX-27000099,Implant Elbow T2,3778.0,2833.5,1679.32,2963.84,7
CDM,PX-27000100,Implant Elbow T3,6169.02,4626.76,2742.13,4839.6,7
CDM,PX-27000101,Implant Hip T1,1643.16,1232.37,730.38,1289.06,7
CDM,PX-27000102,Implant Hip T2,3989.13,2991.85,1773.17,3129.47,7
CDM,PX-27000103,Implant Hip T3,4365.09,3273.82,1940.28,3424.41,7
CDM,PX-27000104,Implant Knee T1,1908.92,1431.69,848.51,1497.55,7
CDM,PX-27000105,Implant Knee T2,3668.93,2751.7,1630.84,2878.28,7
CDM,PX-27000106,Implant Knee T3,6114.62,4585.96,2717.95,4796.92,7
CDM,PX-27000107,Implant Shoulder T1,2366.4,1774.8,1051.86,1856.44,7
CDM,PX-27000108,Implant Shoulder T2,4005.72,3004.29,1780.54,3142.49,7
CDM,PX-27000109,Implant Shoulder T3,5086.02,3814.51,2260.74,3989.98,7
CDM,PX-27000110,Implant Wrist / Finger T1,2507.56,1880.67,1114.61,1967.18,7
CDM,PX-27000111,Implant Wrist / Finger T2,3690.0,2767.5,1640.21,2894.81,7
CDM,PX-27000112,Implant Wrist / Finger T3,5001.4,3751.05,2223.12,3923.6,7
CDM,PX-27000119,Mesh T1,1117.0,837.75,651.21,876.29,4
CDM,PX-27000120,Mesh T2,3380.22,2535.16,1970.67,2651.78,4
CDM,PX-27000121,Mesh T3,4228.9,3171.67,2465.45,3317.57,4
CDM,PX-27000122,Morcellator T1,1181.25,885.94,700.48,700.48,1
CDM,PX-27000123,Pacemaker Dual Chamber Rate Responsive T3,7129.93,5347.45,4178.14,5554.93,2
CDM,PX-27000126,Port Indwelling T1,1383.51,1037.63,806.59,1085.36,4
CDM,PX-27000127,Implant Breast Prosthesis T1,2070.7,1553.02,1207.22,1207.22,1
