code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APC,0701,Sr89 strontium,,,5158.68,6920.09,4
APC,0702,"Inj, human-lans, per i.u",,,1.57,2.11,4
APC,0703,Inj daxibotulinumtoxina-lanm,,,3.87,5.19,4
APC,0704,"Inj, aflibercept hd, 1 mg",,,397.8,533.63,4
APC,0705,Inj avacincaptad pegol 0.1mg,,,131.75,176.74,4
APC,0706,Inj talquetamab-tgvs 0.25 mg,,,90.07,120.83,4
APC,0707,"Cantharidin top, applicator",,,833.08,1117.53,4
APC,0708,"Inj, elranatamab-bcmm, 1 mg",,,230.55,309.28,4
APC,0709,Flortaucipir inj 1 millicuri,,,4615.81,6191.86,4
APC,0710,Inj velmanase alfa-tycv 1 mg,,,578.59,776.15,4
APC,0711,"Inj, artesunate, 1mg",,,64.48,86.5,4
APC,0713,Inj roctavian ml 2x10^13vc g,,,15387.97,20642.12,4
APC,0714,Inj delandistrogene mox rokl,,,4136280.62,5548596.37,4
APC,0715,Pegunigalsidase alfa-iwxj,,,286.5,384.33,4
APC,0716,"Vyjuvek 5x10^9pfu/ml, 0.1 ml",,,1290.34,1730.92,4
APC,0717,"Instill adstiladrin, tx dose",,,78918.02,105864.25,4
APC,0718,"Inj, carmustine (accord)",,,323.11,433.43,4
APC,0719,Inj cyclophos frindovyx 5 mg,,,11.2,15.03,4
APC,0720,"Inj glofitamab gxbm, 2.5 mg",,,3447.02,4623.98,4
APC,0721,Inj rozanolixizum-noli 1 mg,,,28.82,38.66,4
APC,0722,"Dexmedetomidine film, 1 mcg",,,0.8,1.07,4
APC,0723,Inj efgart-alfa 2mg hya-qvfc,,,41.97,56.3,4
APC,0725,Inj secukinumab intrav 1mg,,,22.2,29.78,4
APC,0726,Dexrazoxane HCl injection,,,39.92,53.55,4
APC,0727,"Inj, adzynma, 10 iu",,,44.27,59.39,4
APC,0728,"Inj, mirikizumab-mrkz, 1 mg",,,60.06,80.57,4
APC,0729,"Inj, motixafortide, 0.25 mg",,,31.37,42.09,4
APC,0730,Inj melphalan (hepzato) 1 mg,,,980.13,1314.79,4
APC,0731,Sargramostim injection,,,69.79,93.61,4
APC,0732,"Inj, brixadi, 7 days or less",,,526.06,705.68,4
APC,0733,"Inj brixadi, more than 7 day",,,2104.25,2822.73,4
APC,0734,"Inj, levothyroxine, freskabi",,,8.83,11.84,4
APC,0735,"Inj, levothyroxine, hikma",,,6.39,8.57,4
APC,0736,Amphotericin b liposome inj,,,28.14,37.75,4
APC,0737,"Inj, cipaglucosidase, 5 mg",,,111.72,149.87,4
APC,0738,Rasburicase,,,468.4,628.33,4
APC,0739,"Inj, rykindo, 0.5 mg",,,16.21,21.75,4
APC,0740,Inj hydroxocobalamin iv 25mg,,,6.45,8.65,4
APC,0741,Inj cyclophosphamd (ingenus),,,1.44,1.93,4
APC,0742,Outpatient Services,,,72.56,97.34,4
APC,0743,"Inj, cyclophosphamide, nos",,,0.78,1.04,4
APC,0744,Inst tauro 1.35mg/hep 100u,,,9.56,12.82,4
APC,0745,"Inj, toripalimab-tpzi, 1 mg",,,49.14,65.92,4
APC,0746,"Inj, betibeglogene autotemce",,,3671109.68,4924594.76,4
APC,0747,"Inj, zolbetuximab-clzb, 2 mg",,,41.75,56.01,4
APC,0748,"Inj, lovotibeglogene autotem",,,4057629.04,5443089.54,4
APC,0749,Inj travoprost intra impl,,,242.92,325.87,4
APC,0750,"Inj, nithiodote, 3mg / 125mg",,,2.69,3.61,4
APC,0752,Dactinomycin injection,,,376.88,505.57,4
APC,0753,Inj cefazolin (wg crit care),,,1.25,1.67,4
APC,0754,Daptomycin (xellia) unrefrig,,,0.06,0.09,4
APC,0755,Oral methotrexate (jylamvo),,,23.05,30.92,4
APC,0756,Oral methotrexate (xatmep),,,28.19,37.82,4
APC,0757,"Docetaxel (docivyx), 1 mg",,,61.06,81.91,4
APC,0759,"Naltrexone, depot form",,,5.27,7.07,4
APC,0760,Tc-99m graphite crucible,,,408.83,548.42,4
APC,0761,"Inj, focinvez, 1mg",,,3.57,4.79,4
APC,0762,"Bupivacaine implant, 1 mg",,,3.28,4.41,4
APC,0763,"Inj, bupivacaine liposome",,,1.86,2.49,4
APC,0764,Ketorolac tromethamine inj,,,0.43,0.58,4
APC,0765,"Inj, donanemab-azbt, 2 mg",,,5.15,6.91,4
APC,0766,Outpatient Services,,,998.23,1339.08,4
APC,0767,"Inj, nogapendekin pmln 1 mcg",,,117.09,157.08,4
APC,0768,"Inj, tarlatamab-dlle, 1 mg",,,1950.2,2616.09,4
APC,0769,"In111 ibritumomab, dx",,,992.86,1331.87,4
APC,0770,In111 oxyquinoline,,,961.28,1289.51,4
APC,0771,In111 pentetate,,,889.93,1193.79,4
APC,0772,"Inj, pegulicianine, 1 mg",,,45.34,60.83,4
APC,0773,"Inj, beqvez, per tx dose",,,4615812.67,6191862.64,4
APC,0774,Tc99m bicisate,,,850.75,1141.24,4
APC,0775,Technetium tc99m arcitumomab,,,1007.16,1351.04,4
APC,0776,Technetium tc-99m auto wbc,,,1294.32,1736.26,4
APC,0777,Indium in-111 auto wbc,,,1283.21,1721.35,4
APC,0778,"Inj, vasopressin (baxter)",,,3.65,4.9,4
APC,0779,Indium in-111 pentetreotide,,,2382.07,3195.42,4
APC,0780,Iodine i-123 iobenguane,,,2581.38,3462.79,4
APC,0781,Iodine i-123 ioflupane,,,1726.91,2316.56,4
APC,0782,"Inj, pemrydi rtu, 10 mg",,,99.66,133.68,4
APC,0784,"Inj, tyenne, 1 mg",,,5.83,7.83,4
APC,0785,"Inj, cyclophosphamd, sandoz",,,5.24,7.03,4
APC,0786,"Inj, tofidence, 1 mg",,,7.21,9.67,4
APC,0788,"Inj cefazolin sodium, hikma",,,1.14,1.53,4
APC,0789,Inj daptomycin (xellia),,,0.05,0.07,4
APC,0790,"Inj, methylpred acetate 1 mg",,,0.15,0.2,4
APC,0792,"Inj, glycopyrrolate, 0.1 mg",,,0.54,0.72,4
APC,0793,Inj glycopyrrolate fres kabi,,,2.3,3.09,4
APC,0794,"Inj, bumetanide, 0.5 mg",,,0.76,1.01,4
APC,0796,Inj meropenem (wg crit care),,,2.02,2.71,4
APC,0797,"Inj, immphentiv, 20 mcg",,,0.16,0.22,4
APC,0798,"Inj, sezaby, 1 mg",,,1.42,1.91,4
APC,0799,Inj fluphenazine hcl 1.25 mg,,,9.24,12.4,4
APC,0800,Leuprolide acetate,,,2161.22,2899.15,4
APC,0801,"Inj, methylpred sod succ 5mg",,,0.32,0.43,4
APC,0803,Hydroxocobalamin im 10mcg,,,0.01,0.01,4
APC,0804,"Capecitabine, oral, 50 mg",,,0.07,0.09,4
APC,0805,"Hiv prep, inj, cabotegravir",,,8.75,11.74,4
APC,0806,"Hiv prep, ftc/tdf 200/300mg",,,2.16,2.9,4
APC,0807,Aldesleukin injection,,,6595.59,8847.62,4
APC,0808,"Hiv prep, ftc/taf 200/25mg",,,88.68,118.95,4
APC,0810,Outpatient Services,,,913.4,1225.27,4
APC,0811,"Inj, nyposi 1 mcg",,,0.68,0.92,4
APC,0812,Carmustine injection,,,216.04,289.8,4
APC,0813,"Injection, imetelstat, 1 mg",,,70.95,95.17,4
APC,0814,"Inj, magtrace per study dose",,,14158.36,18992.68,4
APC,0815,"Inj, palonosetron (posfrea)",,,73.2,98.19,4
APC,0816,"Inj, tislelizumab-jsgr",,,71.43,95.83,4
APC,0817,"Inj, adalimumab, 1 mg",,,114.12,153.09,4
APC,0818,"Inj, crovalimab-akkz, 10 mg",,,686.17,920.45,4
APC,0819,"Inj, alyglo, 500 mg",,,163.14,218.84,4
APC,0820,Daunorubicin injection,,,24.59,32.98,4
APC,0821,Indigotindisulfonate sod 1mg,,,12.39,16.62,4
APC,0822,"Inj, romiplostim 1 microgram",,,13.68,18.35,4
APC,0824,"Inj, exagamglogene autotem",,,2901367.96,3892027.95,4
APC,0825,Nelarabine injection,,,78.85,105.78,4
APC,0826,"Inj adalimumab-fkjp, 1 mg",,,108.41,145.43,4
APC,0827,Floxuridine injection,,,5132.82,6885.4,4
APC,0828,"Inj adalimumab-aaty, 1 mg",,,54.21,72.71,4
APC,0829,"Inj adalimumab-ryvk, 1 mg",,,13.23,17.75,4
APC,0830,"Inj adalimumab-adbm, 1 mg",,,12.98,17.41,4
APC,0831,Obecbtge autol up to 400 mil,,,336388.23,451246.59,4
APC,0833,"Inj, idacio, 1 mg",,,11.09,14.88,4
APC,0834,"Inj, abrilada, 1 mg",,,33.13,44.44,4
APC,0835,"Datopotamab deruxtecan, 1 mg",,,62.68,84.08,4
APC,0837,"Inj, treosulfan, 50 mg",,,39.09,52.43,4
APC,0839,Inj axatilimab-csfr 0.1 mg,,,67.28,90.25,4
APC,0840,Inj melpha hydroch nos 50 mg,,,134.41,180.3,4
APC,0841,"Inj, docetaxel (beizray) 1mg",,,65.28,87.57,4
APC,0842,"Inj, melphalan (apotex) 1 mg",,,80.59,108.11,4
APC,0843,Pegaspargase injection,,,35363.92,47438.78,4
APC,0844,Pentostatin injection,,,3165.0,4245.67,4
APC,0845,"Inj, atidarsagene autotemcel",,,5446285.7,7305897.23,4
APC,0846,"Inj, eculizumab-aeeb, 2 mg",,,51.61,69.24,4
APC,0847,Inj thiotepa nos 1 mg,,,15.22,20.42,4
APC,0848,Inj nivolumab 2 mg hyaluron,,,33.26,44.62,4
APC,0852,"Inj, eculizumab-aagh, 2 mg",,,39.01,52.33,4
APC,0853,Inj zenocutuzumab-zbco 1 mg,,,40.58,54.44,4
APC,0855,"Inj ustekinumab-stba, 1 mg",,,2.99,4.02,4
APC,0856,Outpatient Services,,,30143.89,40436.4,4
APC,0857,"Inj ustekinumab-kfce, 1 mg",,,3.94,5.29,4
APC,0858,Inj cladribine per 1 mg,,,12.1,16.23,4
APC,0859,"Inj ustekinumab-aekn, 1 mg",,,59.47,79.77,4
APC,0864,Mitoxantrone hydrochl,,,36.83,49.4,4
APC,0872,"Inj. denosumab-bbdz, 1 mg",,,34.26,45.96,4
APC,0874,Synvisc or synvisc-one,,,11.31,15.17,4
APC,0875,Euflexxa inj per dose,,,142.43,191.07,4
APC,0877,Orthovisc inj per dose,,,121.55,163.05,4
APC,0887,Azathioprine parenteral,,,279.9,375.47,4
APC,0890,Lymphocyte immune globulin,,,6237.08,8366.71,4
APC,0901,Alpha 1 proteinase inhibitor,,,6.45,8.65,4
APC,0902,"Injection,onabotulinumtoxinA",,,8.09,10.85,4
APC,0903,Cytomegalovirus imm IV /vial,,,2251.23,3019.9,4
APC,0925,Factor viii,,,1.41,1.89,4
APC,0927,Factor viii recombinant,,,1.91,2.56,4
APC,0928,Factor ix complex,,,2.12,2.84,4
APC,0929,Anti-inhibitor,,,3.05,4.09,4
APC,0931,Factor IX non-recombinant,,,1.66,2.23,4
APC,0932,Factor ix recombinant nos,,,2.33,3.13,4
APC,0943,Octagam injection,,,60.19,80.74,4
APC,0944,Gammagard liquid injection,,,59.47,79.77,4
APC,0946,Hepagam b im injection,,,89.16,119.6,4
APC,0947,Flebogamma injection,,,69.37,93.06,4
APC,0948,Gamunex-C/Gammaked,,,59.76,80.16,4
APC,0963,"Albumin (human), 5%, 250 ml",,,66.04,88.58,4
APC,0964,"Albumin (human), 25%, 20 ml",,,26.41,35.43,4
APC,1015,Injection glatiramer acetate,,,199.55,267.69,4
APC,1064,"I131 iodide cap, rx",,,28.78,38.6,4
APC,1138,"Hepagam b intravenous, inj",,,89.16,119.6,4
APC,1139,Protein c concentrate,,,1.87,2.51,4
APC,1142,Supprelin LA implant,,,56684.16,76038.73,4
