code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APC,0701,Sr89 strontium,,,5021.97,6736.88,4
APC,0702,"Inj, human-lans, per i.u",,,1.53,2.05,4
APC,0703,Inj daxibotulinumtoxina-lanm,,,3.77,5.05,4
APC,0704,"Inj, aflibercept hd, 1 mg",,,387.26,519.5,4
APC,0705,Inj avacincaptad pegol 0.1mg,,,128.26,172.06,4
APC,0706,Inj talquetamab-tgvs 0.25 mg,,,87.69,117.63,4
APC,0707,"Cantharidin top, applicator",,,811.0,1087.94,4
APC,0708,"Inj, elranatamab-bcmm, 1 mg",,,224.44,301.09,4
APC,0709,Flortaucipir inj 1 millicuri,,,4493.49,6027.93,4
APC,0710,Inj velmanase alfa-tycv 1 mg,,,563.26,755.6,4
APC,0711,"Inj, artesunate, 1mg",,,62.77,84.21,4
APC,0713,Inj roctavian ml 2x10^13vc g,,,14980.17,20095.62,4
APC,0714,Inj delandistrogene mox rokl,,,4026665.83,5401697.64,4
APC,0715,Pegunigalsidase alfa-iwxj,,,278.91,374.15,4
APC,0716,"Vyjuvek 5x10^9pfu/ml, 0.1 ml",,,1256.14,1685.09,4
APC,0717,"Instill adstiladrin, tx dose",,,76826.63,103061.5,4
APC,0718,"Inj, carmustine (accord)",,,314.54,421.96,4
APC,0719,Inj cyclophos frindovyx 5 mg,,,10.9,14.63,4
APC,0720,"Inj glofitamab gxbm, 2.5 mg",,,3355.67,4501.57,4
APC,0721,Inj rozanolixizum-noli 1 mg,,,28.05,37.63,4
APC,0722,"Dexmedetomidine film, 1 mcg",,,0.78,1.04,4
APC,0723,Inj efgart-alfa 2mg hya-qvfc,,,40.86,54.81,4
APC,0725,Inj secukinumab intrav 1mg,,,21.61,28.99,4
APC,0726,Dexrazoxane HCl injection,,,38.86,52.13,4
APC,0727,"Inj, adzynma, 10 iu",,,43.1,57.82,4
APC,0728,"Inj, mirikizumab-mrkz, 1 mg",,,58.47,78.43,4
APC,0729,"Inj, motixafortide, 0.25 mg",,,30.54,40.97,4
APC,0730,Inj melphalan (hepzato) 1 mg,,,954.16,1279.98,4
APC,0731,Sargramostim injection,,,67.94,91.14,4
APC,0732,"Inj, brixadi, 7 days or less",,,512.12,687.0,4
APC,0733,"Inj brixadi, more than 7 day",,,2048.48,2748.0,4
APC,0734,"Inj, levothyroxine, freskabi",,,8.59,11.53,4
APC,0735,"Inj, levothyroxine, hikma",,,6.22,8.35,4
APC,0736,Amphotericin b liposome inj,,,27.39,36.75,4
APC,0737,"Inj, cipaglucosidase, 5 mg",,,108.76,145.9,4
APC,0738,Rasburicase,,,455.99,611.7,4
APC,0739,"Inj, rykindo, 0.5 mg",,,15.78,21.17,4
APC,0740,Inj hydroxocobalamin iv 25mg,,,6.28,8.42,4
APC,0741,Inj cyclophosphamd (ingenus),,,1.4,1.88,4
APC,0742,Outpatient Services,,,70.64,94.76,4
APC,0743,"Inj, cyclophosphamide, nos",,,0.76,1.01,4
APC,0744,Inst tauro 1.35mg/hep 100u,,,9.31,12.48,4
APC,0745,"Inj, toripalimab-tpzi, 1 mg",,,47.84,64.18,4
APC,0746,"Inj, betibeglogene autotemce",,,3573822.29,4794216.42,4
APC,0747,"Inj, zolbetuximab-clzb, 2 mg",,,40.64,54.52,4
APC,0748,"Inj, lovotibeglogene autotem",,,3950098.58,5298984.09,4
APC,0749,Inj travoprost intra impl,,,236.49,317.24,4
APC,0750,"Inj, nithiodote, 3mg / 125mg",,,2.62,3.52,4
APC,0752,Dactinomycin injection,,,366.9,492.18,4
APC,0753,Inj cefazolin (wg crit care),,,1.21,1.63,4
