code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,PX-10000002,HC Elmore Long Term Care Accommodation,400.0,400.0,260.0,360.0,44
CDM,PX-11000000,HC Daily Accommodation,4900.0,4900.0,3185.0,4410.0,44
CDM,PX-11000001,HC Swing Bed Accommodation,4150.0,4150.0,2697.5,3735.0,44
CDM,PX-11000002,HC Daily Accommodation With Telemetry,8600.0,8600.0,5590.0,7740.0,44
CDM,PX-11000003,HC Bmt Daily Accommodation,16900.0,16900.0,10985.0,15210.0,44
CDM,PX-11000004,HC ED Boarding,0.01,0.01,0.01,0.01,43
CDM,PX-11800000,HC Rehab Private,4900.0,4900.0,3185.0,4410.0,44
CDM,PX-12000001,HC Semi Private Swing/SNF,3270.0,3270.0,2125.5,2943.0,44
CDM,PX-12300000,HC Pediatric Daily Accommodation,4900.0,4900.0,3185.0,4410.0,44
CDM,PX-12300001,HC Pediatric Daily Accommodation W Telemetry,8600.0,8600.0,5590.0,7740.0,44
CDM,PX-12400000,HC Room Board Semiprivate Psychiatric,7500.0,7500.0,4875.0,6750.0,44
CDM,PX-17000000,HC Newborn Care Services,3700.0,3700.0,2405.0,3330.0,44
CDM,PX-17100000,HC Neonate Intensive Care Level 1,8600.0,8600.0,5590.0,7740.0,44
CDM,PX-17200000,HC Neonate Intensive Care Level 2,10900.0,10900.0,7085.0,9810.0,44
CDM,PX-17300000,HC Neonate Intensive Care Level 3,14100.0,14100.0,9165.0,12690.0,44
CDM,PX-17400000,HC Neonate Intensive Care Level 4,16900.0,16900.0,10985.0,15210.0,44
CDM,PX-18000000,HC Leave of Absence,0.01,0.01,0.01,0.01,43
CDM,PX-20000000,HC Intensive Care,16900.0,16900.0,10985.0,15210.0,44
CDM,PX-20300000,HC Pediatric Intensive Care,16900.0,16900.0,10985.0,15210.0,44
CDM,PX-20600000,HC Intensive Care Unit Intermediate Icu,14900.0,14900.0,9685.0,13410.0,44
CDM,PX-25002988,HC Nitric Oxide Gas per Hour,286.0,286.0,185.9,257.4,30
CDM,PX-26000001,Maintenance of spinal canal or brain drug infusion pump,1573.0,1573.0,356.65,1415.7,79
CDM,PX-26000002,"Infusion into a vein for hydration, 31-60 minutes",734.0,734.0,31.03,660.6,79
CDM,PX-26000002,"Infusion into a vein for hydration, 31-60 minutes|NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS PBB DEP",734.0,734.0,91.87,101.06,13
CDM,PX-26000002,"Infusion into a vein for hydration, 31-60 minutes|SERV/PROC OFF CAMPUS PBD",734.0,734.0,91.87,101.06,13
CDM,PX-26000003,"Infusion into a vein for hydration, each additional hour",161.0,161.0,50.56,144.9,79
CDM,PX-26000003,"Infusion into a vein for hydration, each additional hour|NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS PBB DEP",161.0,161.0,20.22,22.25,13
CDM,PX-26000003,"Infusion into a vein for hydration, each additional hour|SERV/PROC OFF CAMPUS PBD",161.0,161.0,20.22,22.25,13
CDM,PX-26000004,"Infusion into a vein for therapy, prevention, or diagnosis, 1 hour or less",734.0,734.0,229.67,660.6,79
CDM,PX-26000004,"Infusion into a vein for therapy, prevention, or diagnosis, 1 hour or less|NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS PBB DEP",734.0,734.0,91.87,101.06,13
CDM,PX-26000004,"Infusion into a vein for therapy, prevention, or diagnosis, 1 hour or less|SERV/PROC OFF CAMPUS PBD",734.0,734.0,91.87,101.06,13
CDM,PX-26000005,"Infusion into a vein for therapy, prevention, or diagnosis, each additional hour",161.0,161.0,50.56,144.9,79
CDM,PX-26000005,"Infusion into a vein for therapy, prevention, or diagnosis, each additional hour|NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS PBB DEP",161.0,161.0,20.22,22.25,13
CDM,PX-26000005,"Infusion into a vein for therapy, prevention, or diagnosis, each additional hour|SERV/PROC OFF CAMPUS PBD",161.0,161.0,20.22,22.25,13
CDM,PX-26000006,"Infusion into a vein for therapy, prevention, or diagnosis, additional sequential infusion, 1 hour or less",249.0,249.0,77.74,224.1,79
CDM,PX-26000006,"Infusion into a vein for therapy, prevention, or diagnosis, additional sequential infusion, 1 hour or less|NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS PBB DEP",249.0,249.0,31.1,34.21,13
CDM,PX-26000006,"Infusion into a vein for therapy, prevention, or diagnosis, additional sequential infusion, 1 hour or less|SERV/PROC OFF CAMPUS PBD",249.0,249.0,31.1,34.21,13
CDM,PX-26000007,"Infusion into a vein for therapy, prevention, or diagnosis concurrent with another infusion",161.0,161.0,104.65,144.9,46
CDM,PX-26000008,"Infusion into tissue for therapy or prevention, 1 hour or less",734.0,734.0,229.67,660.6,79
CDM,PX-26000010,Injection of drug or substance under skin or into muscle,249.0,249.0,77.74,224.1,79
CDM,PX-26000010,Injection of drug or substance under skin or into muscle|NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS PBB DEP,249.0,249.0,31.1,34.21,13
CDM,PX-26000010,Injection of drug or substance under skin or into muscle|SERV/PROC OFF CAMPUS PBD,249.0,249.0,31.1,34.21,13
CDM,PX-26000011,Injection of drug or substance into vein,734.0,734.0,34.91,660.6,79
CDM,PX-26000011,Injection of drug or substance into vein|NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS PBB DEP,734.0,734.0,91.87,101.06,13
CDM,PX-26000011,Injection of drug or substance into vein|SERV/PROC OFF CAMPUS PBD,734.0,734.0,91.87,101.06,13
CDM,PX-26000012,Injection of additional new drug or substance into vein,161.0,161.0,14.56,144.9,79
CDM,PX-26000012,Injection of additional new drug or substance into vein|NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS PBB DEP,161.0,161.0,20.22,22.25,13
CDM,PX-26000012,Injection of additional new drug or substance into vein|SERV/PROC OFF CAMPUS PBD,161.0,161.0,20.22,22.25,13
CDM,PX-26000013,Injection of additional drug or substance into vein provided in a facility,337.0,337.0,219.0,303.3,46
CDM,PX-26000014,HC Adjustment Gastric Band,456.0,456.0,296.4,1077.27,63
CDM,PX-26000016,Irrigation of implanted venous access drug delivery device,207.0,207.0,63.7,186.3,79
CDM,PX-26000016,Irrigation of implanted venous access drug delivery device|NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS PBB DEP,207.0,207.0,25.48,28.03,13
CDM,PX-26000017,HC Prolonged IV Inf. Req Pump,1159.0,1159.0,229.67,1043.1,79
CDM,PX-26000018,Injection of drug or substance into artery,734.0,734.0,229.67,660.6,79
CDM,PX-26000019,Application of on-body injector for under skin injection,161.0,161.0,50.56,144.9,77
CDM,PX-26000019,Application of on-body injector for under skin injection|NON-EXCEPTED SERVICE PROVIDED AT AN OFF-CAMPUS PBB DEP,161.0,161.0,20.22,22.25,13
CDM,PX-26000025,HC Adm Tocilizu Covid-19 1st,1847.0,1847.0,423.9,1662.3,83
CDM,PX-26000026,HC Adm Tocilizu Covid-19 2nd,1847.0,1847.0,423.9,1662.3,83
CDM,PX-27000641,HC Adpr Cath Sd Arm Rot Strl Disp,96.0,96.0,62.4,86.4,30
CDM,PX-27000642,HC Vlv Hmsts .115in Duostat Rot,72.0,72.0,46.8,64.8,30
CDM,PX-27000645,HC Trach Care 12fr,22.0,22.0,14.3,30.0,32
CDM,PX-27000653,HC Bioglue Tip Applicator Bgat-US,197.0,197.0,128.05,177.3,30
CDM,PX-27000655,HC Blde Sw 70x12.5x.64mm Ss Recip,105.0,105.0,68.25,94.5,30
CDM,PX-27000657,HC Blde Sw 90x25.4mm Thk.9mm Med,78.0,78.0,50.7,70.2,30
CDM,PX-27000658,HC Blde Sw 73x12.5x.64mm Nar Thn,78.0,78.0,50.7,70.2,30
CDM,PX-27000659,HC Brc Orth Lg Std 10.5in Lt Ankl,62.0,62.0,40.3,189.0,51
CDM,PX-27000660,HC Brc Orth Lg 10.5in Rt Ankl,62.0,62.0,40.3,189.0,51
CDM,PX-27000661,HC Brc Orth Med 9in Lt Ankl Smrg,64.0,64.0,41.6,189.0,51
CDM,PX-27000662,HC Brc Orth Med 9in Rt Ankl Smrg,64.0,64.0,41.6,189.0,51
CDM,PX-27000664,HC Brush Cytology Bronch 000107,45.0,45.0,29.25,40.5,30
CDM,PX-27000665,HC Btn Replc 18fr 1.7cm Gstrm Str,354.0,354.0,82.72,318.6,36
CDM,PX-27000673,HC Cnn Prfsn 2in Vsl 3mm F Ll,17.0,17.0,11.05,15.3,30
CDM,PX-27000674,HC Cnn Prfsn 1.3in 2mm 2mm Artmy,29.0,29.0,18.85,26.1,30
CDM,PX-27000675,HC Cnn Prfsn 12.5in 15fr Cs Adlt,289.0,289.0,187.85,260.1,30
