code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
,,Bilateral Procedures,,,,,0
,,Bilateral Services,,,,,0
,,CT services furnished with equipment that don't meet NEMA standard,,,,,0
,,Computed radiography x-ray,,,,,0
,,Computed tomography services furnished using equipment that does not meet each of the attributes of the national electrical manufacturers association (NEMA) XR-29-2013 standard,,,,,0
,,Discontinued OP Hospital/ASC Procedure Prior to Administration of Anesthesia,,,,,0
,,Discontinued Procedure,,,,,0
,,Excepted off-campus service,,,,,0
,,Non-excepted off-campus service,,,,,0
,,X-ray taken using film,,,,,0
,,X-ray was performed using film,,,,,0
,,X-ray was taken using computed radiography technology/cassette-based imaging,,,,,0
CDM,00280013,OBSERV PER HR - NICU,181.0,,63.6,2436.0,57
CDM,00290003,ROOM & BED CHARGE NICU,5709.0,,1864.0,7500.0,76
CDM,00490003,ROOM & BED CHARGE CCN,7088.0,,1864.0,7500.0,114
CDM,00580013,OBSERV PER HR - CCU,135.0,,63.6,2436.0,57
CDM,00590003,ROOM & BED CHARGE CCU,5221.0,,1864.0,7500.0,114
CDM,00680013,OBSERV PER HR - CICU,181.0,,63.6,2436.0,57
CDM,00690003,ROOM & BED CHARGE CICU,7344.0,,1864.0,7500.0,38
CDM,00780013,OBSERV PER HR - SICU,196.0,,63.6,2436.0,57
CDM,00790003,ROOM & BED CHARGE SICU,6103.0,,1864.0,7500.0,38
CDM,00880013,OBSERV PER HR - MICU,181.0,,63.6,2436.0,57
CDM,00890003,ROOM & BED CHARGE MICU,5709.0,,1864.0,7500.0,38
CDM,00980013,OBSERV PER HR - GYNX,80.0,,40.0,2436.0,57
CDM,00990003,ROOM & BED CHARGE - GYNX,2117.0,,1058.5,7500.0,38
CDM,01000002,ANES MAC/REGION/SPINE/EPI-INIT,2399.0,,1199.5,2159.1,56
CDM,01000003,ANES MAC/REGION/SPINE/EPI-ADDL,357.0,,178.5,321.3,56
CDM,01000004,ANES GEN 1-INIT HR,3415.0,,1707.5,3073.5,56
CDM,01000005,ANES GEN 1-ADDL 15 MIN,457.0,,228.5,411.3,56
