code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,01100000071,HC BED SERVICE ONLY ROOM AVAILABLE,2400.0,1440.0,1050.0,3113.0,5
CDM,01140000071,HC BED SERVICE ADULT ONE TO ONE,3200.0,1920.0,650.0,3113.0,7
CDM,01140000171,HC BED SERVICE PRI ADULT ROUTINE,2300.0,1380.0,650.0,3113.0,7
CDM,01140000271,HC BED SERVICE PRI ADULT CONTINUOUS WATCH,2800.0,1680.0,650.0,3113.0,7
CDM,01140000371,HC BED SERVICE CHILD ONE TO ONE,4800.0,2880.0,650.0,3113.0,7
CDM,01140000471,HC BED SERVICE CHILD ROUTINE,3500.0,2100.0,650.0,3113.0,7
CDM,01140000571,HC BED SERVICE CHILD CONTINUOUS WATCH,4300.0,2580.0,650.0,3113.0,7
CDM,01140000671,HC BED SERVICE GERIATRIC ONE TO ONE,3200.0,1920.0,650.0,3113.0,7
CDM,01140000771,HC BED SERVICE GERIATRIC ROUTINE,2300.0,1380.0,650.0,3113.0,7
CDM,01140000871,HC BED SERVICE GERIATRIC CONTINUOUS WATCH,2800.0,1680.0,650.0,3113.0,7
CDM,01150000071,HC BED SERVICE HOSPICE,2400.0,1440.0,1273.0,3113.0,5
CDM,01610000071,HC BED SERVICE HOSPITAL AT HOME,2000.0,1200.0,2000.0,2000.0,1
CDM,01690000171,HC BED SERVICE LDR ONLY ROOM AVAILABLE,2400.0,1440.0,1050.0,3113.0,5
CDM,01690000271,HC BED SERVICE LDR PROGRESSIVE CARE,3000.0,1800.0,1050.0,3113.0,5
CDM,01710000071,HC BED SERVICE NEWBORN LEVEL 1,2000.0,1200.0,891.0,2000.0,7
CDM,01720000071,HC BED SERVICE NEWBORN LEVEL 2,2400.0,1440.0,1247.13,4738.0,7
CDM,01730000071,HC BED SERVICE NEWBORN LEVEL 3,3000.0,1800.0,1333.72,4738.0,7
CDM,01730000171,HC BED SERVICE NEWBORN LEVEL 4A,4700.0,2820.0,1403.44,4738.0,7
CDM,01740000071,HC BED SERVICE NEWBORN LEVEL 4B,5600.0,3360.0,1403.44,4738.0,7
CDM,02000000371,HC BED SERVICE INTENSIVE CARE,5000.0,3000.0,1530.0,4468.0,5
CDM,02060000371,HC BED SERVICE INTENSIVE CARE (NON ICU UNIT),5000.0,3000.0,1530.0,4468.0,5
CDM,02060000471,HC BED SERVICE PROGRESSIVE CARE,3000.0,1800.0,1530.0,4468.0,5
CDM,02500001271,HC NITRIC OXIDE EACH 15 MINUTES,180.0,108.0,2000.0,2000.0,1
CDM,02500010671,HC NITRIC OXIDE ONE HOUR,727.0,436.2,2000.0,2000.0,1
CDM,02560020071,HC RESEARCH DRUG DISPENSING FEE/ ORAL,11.0,6.6,2000.0,2000.0,1
CDM,02560040071,HC RESEARCH DRUG DISPENSING FEE - INJECTION,16.0,9.6,2000.0,2000.0,1
CDM,02560050071,HC RESEARCH DRUG DISPENSING FEE - INJECTION,21.0,12.6,2000.0,2000.0,1
CDM,02560060071,HC RESEARCH DRUG DISPENSING FEE - IV,27.0,16.2,2000.0,2000.0,1
CDM,02560070071,HC RESEARCH DRUG DISPENSING FEE- IV (40-60MIN),53.0,31.8,2000.0,2000.0,1
CDM,02560100071,HC PARENTERAL DRUG W/COMPLEX OR TIME CONSUMING ADMIXTURE (60 MIN),64.0,38.4,2000.0,2000.0,1
CDM,02560110071,HC PARENTERAL DRUG W/COMPLEX OR TIME CONSUMING ADMIXTURE (APPROX 2HRS),127.0,76.2,2000.0,2000.0,1
CDM,02700000471,HC CANNULA TRACH LONG TERM MONTGOMERY 6X41,603.0,361.8,887.0,887.0,1
CDM,02700002171,HC KIT GASTROSTOMY FEED TUBE MICKEY 20F 2CM,438.21,262.93,887.0,887.0,1
CDM,02700002271,HC KIT FEED TUBE MICKEY W/BALL 20FR3CM5ML,438.21,262.93,887.0,887.0,1
CDM,02700002671,HC KIT FEEDING TUBE MICKEY BALL 20F3.5CM5ML,438.21,262.93,887.0,887.0,1
CDM,02700002871,HC VENT TRACHEAL BIVONA SIZE #9 55MM,257.36,154.42,887.0,887.0,1
CDM,02700003571,HC VENT TRACH BIVONA STOMA MNTNR 9.5X55MM,254.16,152.5,887.0,887.0,1
CDM,02700004671,HC VENT TRACH BIVONA STOMA MNTNR 12X55MM,257.36,154.42,887.0,887.0,1
CDM,02700021771,HC CANNULA TRACH LONG TERM MONTGOMERY 8X41,603.0,361.8,887.0,887.0,1
CDM,02700023071,"HC KIT,012018-3.5 GASTRO LOW PROFILE 1",438.21,262.93,887.0,887.0,1
CDM,02700043771,"HC KIT, BREAST CORE BIOPSY",242.1,145.26,887.0,887.0,1
CDM,02700046771,HC WOUND VAC-DRESSING LARGE,216.59,129.95,887.0,887.0,1
CDM,02700047571,HC WOUND VAC-DRESSING MEDIUM,175.86,105.52,887.0,887.0,1
CDM,02700060071,HC CPM-PATIENT KIT-KNEE,61.2,36.72,887.0,887.0,1
CDM,02700061371,HC SPLINT #1 - FINGER,24.09,14.45,887.0,887.0,1
CDM,02700061471,HC SPLINT #6 - LONG ARM SPLINT,242.96,145.78,887.0,887.0,1
CDM,02700061971,HC SPLINT #4 - STATIC BASED FOREARM,69.93,41.96,887.0,887.0,1
CDM,02700062371,HC THERABAND PER YARD,7.76,4.66,887.0,887.0,1
CDM,02700062571,HC CONTINUOUS UPDRAFT NEBULIZER (MFG 963-100619),73.31,43.99,887.0,887.0,1
CDM,02700062771,HC 02 ENRICHMENT CONNECTOR,10.07,6.04,887.0,887.0,1
CDM,02700062871,HC HIGH-FLOW NASAL CANNULA,16.5,9.9,887.0,887.0,1
CDM,02700062971,HC PENTAMIDINE TENT,81.0,48.6,887.0,887.0,1
CDM,02700063171,HC HIGH-FLOW AEROSOL NEBULIZER,31.74,19.04,887.0,887.0,1
CDM,02700063271,HC NASAL CPAP MASK,57.24,34.34,887.0,887.0,1
CDM,02700063371,HC WEANING PARAMETER KIT,6.27,3.76,887.0,887.0,1
CDM,02700063571,HC PARI NEB DISPOSABLE,118.26,70.96,887.0,887.0,1
CDM,02700063671,HC RAM CANNULA-NEO,9.52,5.71,887.0,887.0,1
CDM,02700063771,HC BIPAP/CPAP CIRCUIT,36.96,22.18,887.0,887.0,1
CDM,02700063871,HC PEEP VALVE (MFG 19900300),11.55,6.93,887.0,887.0,1
CDM,02700063971,HC OMNIFLEX,3.47,2.08,887.0,887.0,1
CDM,02700064071,HC DISPOSABLE WRAP VEST,308.07,184.84,887.0,887.0,1
CDM,02700064171,HC AEROSOL DRAIN BAG,4.29,2.57,887.0,887.0,1
CDM,02700064271,HC SPACER MDI CHAMBER HH PED,27.23,16.34,887.0,887.0,1
CDM,02700064471,HC FULL FACE CPAP MASK,114.35,68.61,887.0,887.0,1
CDM,02700064571,HC VENT CIRCUIT FOR HME,10.67,6.4,887.0,887.0,1
CDM,02700064671,HC VIBRATORY PEP DEVICE,196.2,117.72,887.0,887.0,1
CDM,02700064771,HC VENT WATER ONLY,14.25,8.55,887.0,887.0,1
CDM,02700064871,HC TRANSPORT CIRCUIT (MFG 820-0106-15),67.28,40.37,887.0,887.0,1
CDM,02700064971,HC FILTERS,12.05,7.23,887.0,887.0,1
CDM,02700065671,HC SPLINT #5 - DYNAMIC BASED FOREARM,124.88,74.93,887.0,887.0,1
CDM,02700066771,HC SPLINT #3 - DYNAMIC BASED HAND,55.13,33.08,887.0,887.0,1
CDM,02700067371,HC SPLINT #8 - XLAFO,398.88,239.33,887.0,887.0,1
CDM,02700067671,HC UNIVERSAL CUFF,36.91,22.15,887.0,887.0,1
CDM,02700068171,HC SPLINT #2 - STATIC BASED HAND,48.18,28.91,887.0,887.0,1
CDM,02700068471,HC AIR PUTTY,11.22,6.73,887.0,887.0,1
CDM,02700068771,HC SPLINT #7 - STANDARD AFO,324.95,194.97,887.0,887.0,1
CDM,02700080371,HC TRACH TUBE JACKSON #6 (MPN PWK518035),2960.69,1776.41,887.0,887.0,1
CDM,02700087871,HC O2/CO2 ORAL NASAL CANNULA,60.5,36.3,887.0,887.0,1
CDM,02700097171,HC FREEZING BAG-EA ADD'L (CRYOPRESERVATION),129.6,77.76,887.0,887.0,1
CDM,02700150071,HC TUBE TRACHEAL DISTAL CUFFLESS XLT 6MM (MPN 60XLTUD),272.97,163.78,887.0,887.0,1
CDM,02700154471,HC HEATED WIRE CIRCUIT - NON INVASIVE,117.86,70.72,887.0,887.0,1
CDM,02720006371,HC TUBE TRACH CUFF PROX EXTND XLT8X13MM,272.97,163.78,887.0,887.0,1
CDM,02720006471,HC PACK CFP PREM CLOSURE FAST PROCEDURE,402.75,241.65,887.0,887.0,1
CDM,02720010671,"HC VENT,BV0836 STOMA ID 9.5MM SILIC",254.16,152.5,887.0,887.0,1
CDM,02720011071,HC KIT CRANIOTOMY SUBDURAL ACCESS EVAC PORT,3063.13,1837.88,887.0,887.0,1
CDM,02720016771,HC DRESSING BURN ACTICOAT SLVR 16X8 IN,187.0,112.2,887.0,887.0,1
