code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
CDM,RRUCLA-1100011100--0111-RR30110-1000-9220,HB SINGLE MED/SURG,9220.0,5071.0,0.01,19253.0,64
CDM,RRUCLA-1100011200--0112-RR31710-1000-9220,HB SINGLE OB,9220.0,5071.0,0.01,19253.0,64
CDM,RRUCLA-1100011300--0113-RR30110-1000-9220,HB SINGLE PEDS,9220.0,5071.0,0.01,19253.0,64
CDM,RRUCLA-1100011700--0117-RR30160-1000-9220,HB SINGLE ONCOLOGY,9220.0,5071.0,0.01,19253.0,64
CDM,RRUCLA-1200012100--0121-RR30172-1000-9220,HB SEMIPRIVATE MED SURG GYN,9220.0,5071.0,0.01,19253.0,64
CDM,RRUCLA-1200012200--0122-RR33800-1000-9220,HB SEMIPRIVATE OB,9220.0,5071.0,0.01,19253.0,64
CDM,RRUCLA-1200012300--0123-RR30180-1000-9220,HB SEMIPRIVATE PEDS,9220.0,5071.0,0.01,19253.0,64
CDM,RRUCLA-1200012700--0127-RR31720-1000-9220,HB SEMIPRIVATE ONCOLOGY,9220.0,5071.0,0.01,19253.0,64
CDM,RRUCLA-1300013000--0130-RR30170-1000-9220,HB MULTIBED STANDARD,9220.0,5071.0,0.01,19253.0,64
CDM,RRUCLA-1300013100--0131-RR30170-1000-9220,HB MULTIBED MED SURG GYN,9220.0,5071.0,0.01,19253.0,64
CDM,RRUCLA-1400020000--0761-RR44282-1000-1260,HB  ECMO ROLLER PUMP-INHOUSE TRANSPORT,1260.0,693.0,315.0,1134.0,115
CDM,RRUCLA-1403394600-33946-0761-RR44282-1000-13130,HB ECMO SUPPORT VENOVENOUS INITIATION,13130.0,7221.5,3282.5,11817.0,115
CDM,RRUCLA-1403394602-33946-0761-RR44282-1000-13130,HB ECMO SUPPORT PRIMARY TRANSPORT VENOVENOUS INITIATION,13130.0,7221.5,3282.5,11817.0,115
CDM,RRUCLA-1403394603-33946-0761-RR44282-1000-15750,HB ECMO SUPPORT SECONDARY TRANSPORT VENOVENOUS INITIATION,15750.0,8662.5,3937.5,14175.0,115
CDM,RRUCLA-1403394700-33947-0761-RR44282-1000-13130,HB ECMO SUPPORT VENOARTERIAL INITIATION,13130.0,7221.5,3282.5,11817.0,115
CDM,RRUCLA-1403394702-33947-0761-RR44282-1000-13130,HB ECMO SUPPORT PRIMARY TRANSPORT VENOARTERIAL INITIATION,13130.0,7221.5,3282.5,11817.0,115
CDM,RRUCLA-1403394703-33947-0761-RR44282-1000-15750,HB ECMO SUPPORT SECONDARY TRANSPORT VENOARTERIAL INITIATION,15750.0,8662.5,3937.5,14175.0,115
CDM,RRUCLA-1403394800-33948-0761-RR44282-1000-10500,HB ECMO SUPPORT VENOVENOUS EA ADDL 24HR,10500.0,5775.0,2625.0,9450.0,115
CDM,RRUCLA-1403394900-33949-0761-RR44282-1000-10500,HB ECMO SUPPORT VENOARTERIAL EA ADDL 24HR,10500.0,5775.0,1685.0,9450.0,115
CDM,RRUCLA-1450042100-33967-0761-RR44280-1000-2650,HB  PERFUSION IABP INSERT/CHANGE VIA FEM ART PERCUTN,2650.0,1457.5,662.5,2385.0,115
CDM,RRUCLA-1450042400-33968-0761-RR44280-1000-170,HB  PERFUSION IABP REMOVE VIA FEM ART PERCUTN,170.0,93.5,42.5,153.0,115
CDM,RRUCLA-1450110015--0360-RR44280-1000-530,HB PERFUSION BYPASS PER 15 MINS,530.0,291.5,132.5,477.0,115
CDM,RRUCLA-1450110060--0360-RR44280-1000-11300,HB PERFUSION SETUP,11300.0,6215.0,2825.0,10170.0,116
CDM,RRUCLA-1450119015--0360-RR44280-1000-400,HB PERFUSION STANDBY PER 15 MINS,400.0,220.0,100.0,360.0,115
CDM,RRUCLA-1452042200--0761-RR44280-1000-2760,HB PERFUSION IABP SUPPORT+CONSOLE EA 24HR,2760.0,1518.0,690.0,2484.0,115
CDM,RRUCLA-1600016400--0164-RR30130-1000-14480,HB ISOLATION,14480.0,7964.0,0.01,19253.0,64
CDM,RRUCLA-1700017000--0170-RR35300-1000-1100,HB NURSERY BOARDER,1100.0,605.0,0.01,16055.0,64
CDM,RRUCLA-1700017100--0171-RR30700-1000-1100,HB NURSERY NEWBORN,1100.0,605.0,0.01,16055.0,64
CDM,RRUCLA-1700017200--0172-RR30700-1000-9540,HB SCU NURSERY,9540.0,5247.0,0.01,23366.0,63
CDM,RRUCLA-1700017300--0173-RR30700-1000-13140,HB SCU MONITORED NURSERY,13140.0,7227.0,0.01,23366.0,63
CDM,RRUCLA-1700017400--0174-RR30510-1000-21410,HB NICU,21410.0,11775.5,0.01,23366.0,64
CDM,RRUCLA-2000020000--0200-RR30110-1000-20590,HB ICU,20590.0,11324.5,0.01,23366.0,64
CDM,RRUCLA-2000020300--0203-RR30180-1000-21210,HB ICU PEDIATRIC,21210.0,11665.5,0.01,23366.0,64
CDM,RRUCLA-2000020600--0206-RR30110-1000-12900,HB MONITORED ACCOMMODATION,12900.0,7095.0,0.01,19253.0,64
CDM,RRUCLA-2000020800--0208-RR30140-1000-23100,HB ICU TRAUMA,23100.0,12705.0,0.01,23366.0,64
CDM,RRUCLA-2100021000--0210-RR30180-1000-20590,HB CCU,20590.0,11324.5,0.01,23366.0,64
CDM,RRUCLA-2453394600--0761-RR48628-1000-10500,HB VAD SUPPORT VENOVENOUS INITIATION,10500.0,5775.0,2625.0,9450.0,115
CDM,RRUCLA-2453394700--0761-RR48628-1000-10500,HB VAD SUPPORT VENOARTERIAL INITIATION,10500.0,5775.0,2625.0,9450.0,115
CDM,RRUCLA-2453394800--0761-RR48628-1000-10500,HB VAD SUPPORT VENOVENOUS EA ADDL 24HR,10500.0,5775.0,2625.0,9450.0,115
